sequence,v115@PhC8HeC8BeF8JeT/IvhF/lBxiBimB1sBGmBUqB,v115@PhC8HeC8BeF8Je/EJvhFUgBxiBimB1sBGmBTqB,v115@PhC8HeC8BeF8Je2EJvhFXhBxiB1rB0nBClBTqB,v115@PhC8HeC8BeF8Je/EJvhFFgBSmBxiB0nB2rBTqB,v115@PhC8HeC8BeF8JeaGJvhFumBcnBxkBlkBXoBTqB,v115@PhC8HeC8BeF8Je2EJvhFRgBzlBCnBFnBXoBUqB,v115@PhC8HeC8BeF8Je/EJvhFRgBmlBCnBUnBFoBTqB,v115@PhC8HeC8BeF8JeeGJvhFxkBFnB0kBCnBXoBTqB
TILJSZO,X,O,X,X,X,X,X,O
TILJSOZ,X,O,X,X,X,X,X,O
TILJZSO,O,X,X,X,O,X,X,O
TILJZOS,O,X,X,X,O,X,X,O
TILJOSZ,X,O,X,X,X,X,X,O
TILJOZS,O,X,X,X,X,X,X,O
TILSJZO,X,O,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,X
TILZJOS,O,X,X,X,O,X,X,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,O
TIJLSOZ,X,O,X,X,X,X,X,O
TIJLZSO,O,X,X,X,O,X,X,O
TIJLZOS,O,X,X,X,O,X,X,O
TIJLOSZ,X,O,X,X,X,X,X,O
TIJLOZS,O,X,X,X,X,X,X,O
TIJSLZO,X,O,X,X,X,X,X,O
TIJSLOZ,X,O,X,X,X,X,X,O
TIJSZLO,X,O,O,X,X,X,X,O
TIJSZOL,X,X,O,X,X,X,X,O
TIJSOLZ,X,O,X,X,X,X,X,O
TIJSOZL,X,O,X,X,X,X,X,O
TIJZLSO,O,X,O,X,O,X,X,O
TIJZLOS,O,X,X,X,O,X,X,O
TIJZSLO,O,X,O,X,X,X,X,O
TIJZSOL,O,X,O,X,X,X,X,O
TIJZOLS,O,X,X,X,X,X,X,O
TIJZOSL,O,X,O,X,X,X,X,O
TIJOLSZ,X,O,X,X,X,X,X,O
TIJOLZS,O,X,X,X,X,X,X,O
TIJOSLZ,X,O,X,X,X,X,X,O
TIJOSZL,X,O,X,X,X,X,X,O
TIJOZLS,O,X,X,X,X,X,X,O
TIJOZSL,O,X,X,X,X,X,X,O
TISLJZO,X,O,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,X,O
TISJLOZ,X,O,X,X,X,X,X,O
TISJZLO,X,O,O,X,X,X,X,O
TISJZOL,X,X,O,X,X,X,X,O
TISJOLZ,X,O,X,X,X,X,X,O
TISJOZL,X,O,X,X,X,X,X,O
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X
TISZOLJ,O,O,X,O,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X
TISOLJZ,X,O,X,X,X,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X
TISOJLZ,X,O,X,X,X,X,X,X
TISOJZL,X,O,X,O,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X
TIZLJSO,O,X,O,X,O,X,X,X
TIZLJOS,O,X,X,X,O,X,X,X
TIZLSJO,O,O,O,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X
TIZLOJS,O,X,O,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X
TIZJLSO,O,X,O,X,O,X,X,O
TIZJLOS,O,X,X,X,O,X,X,O
TIZJSLO,O,X,O,X,X,X,X,O
TIZJSOL,O,X,O,X,X,X,X,O
TIZJOLS,O,X,O,X,X,X,X,O
TIZJOSL,O,X,O,X,X,X,X,O
TIZSLJO,O,O,O,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X
TIZOLJS,O,X,O,X,X,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X
TIZOSJL,O,O,O,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,O
TIOJLZS,O,X,X,X,X,X,X,O
TIOJSLZ,X,O,X,X,X,X,X,O
TIOJSZL,X,O,O,X,X,X,X,O
TIOJZLS,O,X,O,X,X,X,X,O
TIOJZSL,O,X,O,X,X,X,X,O
TIOSLJZ,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,O,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X
TIOSJZL,X,O,O,O,X,X,X,X
TIOSZLJ,O,O,O,O,X,X,X,X
TIOSZJL,O,O,O,O,X,X,X,X
TIOZLJS,O,X,O,X,X,X,X,X
TIOZLSJ,O,O,O,O,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X
TIOZSJL,O,O,O,O,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,O
TLIJSOZ,X,O,X,X,X,X,X,O
TLIJZSO,O,X,X,X,O,X,X,O
TLIJZOS,O,X,X,X,O,X,X,O
TLIJOSZ,X,O,X,X,X,X,X,O
TLIJOZS,O,X,X,X,X,X,X,O
TLISJZO,X,O,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,X
TLIZJOS,O,X,X,X,O,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,O
TLJISOZ,X,O,X,X,X,X,X,O
TLJIZSO,O,X,X,X,O,X,X,O
TLJIZOS,O,X,X,X,O,X,X,O
TLJIOSZ,X,O,X,X,X,X,X,O
TLJIOZS,O,X,X,X,X,X,X,O
TLJSIZO,X,O,X,X,X,X,O,X
TLJSIOZ,X,O,X,X,X,X,O,X
TLJSZIO,X,O,O,X,X,X,O,X
TLJSZOI,X,O,O,X,X,X,O,X
TLJSOIZ,X,O,X,X,X,X,O,X
TLJSOZI,X,O,X,X,X,X,O,X
TLJZISO,O,X,O,X,O,X,X,X
TLJZIOS,O,X,X,X,O,X,X,X
TLJZSIO,O,X,O,X,X,X,X,X
TLJZSOI,O,X,O,X,X,X,X,X
TLJZOIS,O,X,X,X,O,O,X,X
TLJZOSI,O,X,X,X,X,O,X,X
TLJOISZ,X,O,X,X,X,O,X,X
TLJOIZS,O,X,X,X,O,O,X,X
TLJOSIZ,X,O,X,X,X,O,X,X
TLJOSZI,X,O,X,X,X,O,X,X
TLJOZIS,O,X,X,X,O,O,X,X
TLJOZSI,O,X,X,X,X,O,X,X
TLSIJZO,X,O,X,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X
TLSJIZO,X,O,X,X,X,X,O,X
TLSJIOZ,X,O,X,X,X,X,O,X
TLSJZIO,X,O,O,X,X,X,O,X
TLSJZOI,X,O,O,X,X,X,O,X
TLSJOIZ,X,O,X,X,X,X,O,X
TLSJOZI,X,O,X,X,X,X,O,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,O,X
TLSOJZI,X,O,X,X,X,X,O,X
TLSOZIJ,O,O,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X
TLZIJSO,O,X,O,X,O,X,X,X
TLZIJOS,O,X,X,X,O,X,X,X
TLZISJO,O,O,O,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X
TLZJISO,O,X,O,X,O,X,X,X
TLZJIOS,O,X,X,X,O,X,X,X
TLZJSIO,O,X,O,X,X,X,X,X
TLZJSOI,O,X,O,X,X,X,X,X
TLZJOIS,O,X,X,X,O,O,X,X
TLZJOSI,O,X,X,X,X,O,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,X
TLZOIJS,O,X,O,X,O,O,X,X
TLZOISJ,O,O,O,X,X,X,X,X
TLZOJIS,O,X,O,X,O,O,X,X
TLZOJSI,O,X,O,X,X,O,X,X
TLZOSIJ,O,O,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,O,X,X
TLOIJZS,O,X,X,X,O,O,X,X
TLOISJZ,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X
TLOIZJS,O,X,X,X,O,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,O,X,X
TLOJIZS,O,X,X,X,O,O,X,X
TLOJSIZ,X,O,X,X,X,O,O,X
TLOJSZI,X,O,O,X,X,O,O,X
TLOJZIS,O,X,O,X,O,O,X,X
TLOJZSI,O,X,O,X,X,O,X,X
TLOSIJZ,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,O,X
TLOSJZI,X,O,O,X,X,X,O,X
TLOSZIJ,O,O,O,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X
TLOZIJS,O,X,O,X,O,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X
TLOZJIS,O,X,O,X,O,X,X,X
TLOZJSI,O,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,O
TJILSOZ,X,O,X,X,X,X,X,O
TJILZSO,O,X,X,X,O,X,X,O
TJILZOS,O,X,X,X,O,X,X,O
TJILOSZ,X,O,X,X,X,X,X,O
TJILOZS,O,X,X,X,X,X,X,O
TJISLZO,X,O,X,X,X,X,X,O
TJISLOZ,X,O,X,X,X,X,X,O
TJISZLO,X,O,O,X,X,X,X,O
TJISZOL,X,X,O,X,X,X,X,O
TJISOLZ,X,O,X,X,X,X,X,O
TJISOZL,X,O,X,X,X,X,X,O
TJIZLSO,O,X,O,X,O,X,X,O
TJIZLOS,O,X,X,X,O,X,X,O
TJIZSLO,O,X,O,X,X,X,X,O
TJIZSOL,O,X,O,X,X,X,X,O
TJIZOLS,O,X,X,X,X,O,X,O
TJIZOSL,O,X,O,X,X,X,X,O
TJIOLSZ,X,O,X,X,X,O,X,O
TJIOLZS,O,X,X,X,X,O,X,O
TJIOSLZ,X,O,X,X,X,X,X,O
TJIOSZL,X,O,X,X,X,X,X,O
TJIOZLS,O,X,X,X,X,X,X,O
TJIOZSL,O,X,X,X,X,X,X,O
TJLISZO,X,O,X,X,X,X,X,O
TJLISOZ,X,O,X,X,X,X,X,O
TJLIZSO,O,X,X,X,O,X,X,O
TJLIZOS,O,X,X,X,O,X,X,O
TJLIOSZ,X,O,X,X,X,X,X,O
TJLIOZS,O,X,X,X,X,X,X,O
TJLSIZO,X,O,X,X,X,X,O,X
TJLSIOZ,X,O,X,X,X,X,O,X
TJLSZIO,X,O,O,X,X,X,O,X
TJLSZOI,X,O,O,X,X,X,O,X
TJLSOIZ,X,O,X,X,X,X,O,X
TJLSOZI,X,O,X,X,X,X,O,X
TJLZISO,O,X,O,X,O,X,X,X
TJLZIOS,O,X,X,X,O,X,X,X
TJLZSIO,O,X,O,X,X,X,X,X
TJLZSOI,O,X,O,X,X,X,X,X
TJLZOIS,O,X,X,X,O,O,X,X
TJLZOSI,O,X,X,X,X,O,X,X
TJLOISZ,X,O,X,X,X,O,X,X
TJLOIZS,O,X,X,X,O,O,X,X
TJLOSIZ,X,O,X,X,X,O,X,X
TJLOSZI,X,O,X,X,X,O,X,X
TJLOZIS,O,X,X,X,O,O,X,X
TJLOZSI,O,X,X,X,X,O,X,X
TJSILZO,X,O,X,X,X,X,O,O
TJSILOZ,X,O,X,X,X,X,O,O
TJSIZLO,X,O,O,X,X,X,X,O
TJSIZOL,X,X,O,X,X,X,X,O
TJSIOLZ,X,O,X,X,X,X,X,O
TJSIOZL,X,O,X,X,X,X,X,O
TJSLIZO,X,O,X,X,X,X,O,X
TJSLIOZ,X,O,X,X,X,X,O,X
TJSLZIO,X,O,O,X,X,X,O,X
TJSLZOI,X,O,O,X,X,X,O,X
TJSLOIZ,X,O,X,X,X,X,O,X
TJSLOZI,X,O,X,X,X,X,O,X
TJSZILO,X,O,O,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X,X
TJSZLIO,X,O,O,X,X,X,X,X
TJSZLOI,X,O,O,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X,X,X
TJSZOLI,X,X,O,X,X,X,X,X
TJSOILZ,X,O,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X
TJSOZIL,X,O,O,X,X,X,X,X
TJSOZLI,X,O,O,X,X,X,X,X
TJZILSO,O,X,O,X,O,X,X,O
TJZILOS,O,X,X,X,O,X,X,O
TJZISLO,O,X,O,X,X,X,X,O
TJZISOL,O,X,O,X,X,X,X,O
TJZIOLS,O,X,O,X,X,O,X,O
TJZIOSL,O,X,O,X,X,X,X,O
TJZLISO,O,X,O,X,O,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X
TJZLSIO,O,X,O,X,X,X,X,X
TJZLSOI,O,X,O,X,X,X,X,X
TJZLOIS,O,X,X,X,O,O,X,X
TJZLOSI,O,X,X,X,X,O,X,X
TJZSILO,O,X,O,X,X,X,X,X
TJZSIOL,O,X,O,X,X,X,X,X
TJZSLIO,O,X,O,X,X,X,X,X
TJZSLOI,O,X,O,X,X,X,X,X
TJZSOIL,O,X,O,X,X,X,X,X
TJZSOLI,O,X,O,X,X,X,X,X
TJZOILS,O,X,O,X,O,O,X,X
TJZOISL,O,X,O,X,X,X,X,X
TJZOLIS,O,X,O,X,O,O,X,X
TJZOLSI,O,X,O,X,X,O,X,X
TJZOSIL,O,X,O,X,X,X,X,X
TJZOSLI,O,X,O,X,X,X,X,X
TJOILSZ,X,O,X,X,X,O,X,O
TJOILZS,O,X,X,X,O,O,X,O
TJOISLZ,X,O,X,X,X,X,X,O
TJOISZL,X,O,O,X,X,X,X,O
TJOIZLS,O,X,O,X,O,X,X,O
TJOIZSL,O,X,O,X,X,X,X,O
TJOLISZ,X,O,X,X,X,O,X,X
TJOLIZS,O,X,X,X,O,O,X,X
TJOLSIZ,X,O,X,X,X,O,X,X
TJOLSZI,X,O,O,X,X,O,X,X
TJOLZIS,O,X,O,X,O,O,X,X
TJOLZSI,O,X,O,X,X,O,X,X
TJOSILZ,X,O,X,X,X,X,X,X
TJOSIZL,X,O,O,X,X,X,X,X
TJOSLIZ,X,O,X,X,X,X,X,X
TJOSLZI,X,O,O,X,X,X,X,X
TJOSZIL,X,O,O,X,X,X,X,X
TJOSZLI,X,O,O,X,X,X,X,X
TJOZILS,O,X,O,X,O,X,X,X
TJOZISL,O,X,O,X,X,X,X,X
TJOZLIS,O,X,O,X,O,X,X,X
TJOZLSI,O,X,O,X,X,X,X,X
TJOZSIL,O,X,O,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X
TSIJLZO,X,O,X,X,X,X,O,O
TSIJLOZ,X,O,X,X,X,X,O,O
TSIJZLO,X,O,O,X,X,X,X,O
TSIJZOL,X,X,O,X,X,X,X,O
TSIJOLZ,X,O,X,X,X,X,X,O
TSIJOZL,X,O,X,X,X,X,X,O
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,X,O,X,X,X,X,X
TSIZOLJ,O,O,X,O,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,O,X
TSIOJZL,X,O,X,O,X,X,X,X
TSIOZLJ,O,O,X,O,X,X,X,X
TSIOZJL,O,O,X,O,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X
TSLIJOZ,X,O,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,X,O,X,X,X,X,O,X
TSLJIOZ,X,O,X,X,X,X,O,X
TSLJZIO,X,O,O,X,X,X,O,X
TSLJZOI,X,O,O,X,X,X,O,X
TSLJOIZ,X,O,X,X,X,X,O,X
TSLJOZI,X,O,X,X,X,X,O,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X
TSLZJOI,O,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X
TSLOIJZ,X,O,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,X,O,X
TSLOJZI,X,O,X,X,X,X,O,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X
TSJILZO,X,O,X,X,X,X,O,O
TSJILOZ,X,O,X,X,X,X,O,O
TSJIZLO,X,O,O,X,X,X,X,O
TSJIZOL,X,X,O,X,X,X,X,O
TSJIOLZ,X,O,X,X,X,X,X,O
TSJIOZL,X,O,X,X,X,X,X,O
TSJLIZO,X,O,X,X,X,X,O,X
TSJLIOZ,X,O,X,X,X,X,O,X
TSJLZIO,X,O,O,X,X,X,O,X
TSJLZOI,X,O,O,X,X,X,O,X
TSJLOIZ,X,O,X,X,X,X,O,X
TSJLOZI,X,O,X,X,X,X,O,X
TSJZILO,X,O,O,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X,X
TSJZLIO,X,O,O,X,X,X,X,X
TSJZLOI,X,O,O,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X,X
TSJZOLI,X,X,O,X,X,X,X,X
TSJOILZ,X,O,X,X,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X,X,X
TSJOZIL,X,O,O,X,X,X,X,X
TSJOZLI,X,O,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,O,X,O,X,X,X,X,X
TSZIOLJ,O,O,O,O,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X,X
TSZLIJO,O,O,O,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X
TSZLJOI,O,O,O,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,O,X,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X,X
TSZJOLI,O,X,O,X,X,X,X,X
TSZOILJ,O,O,O,O,X,X,X,X
