sequence,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BFhBaoB+qBcrBXsB,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BGhBaoBUmB1vBXsB
TLIOSZJ,X,O
TLIOZJS,X,O
TLIOZSJ,X,X
TLJISZO,X,X
TLJISOZ,X,X
TLJIZSO,X,X
TLJIZOS,X,X
TLJIOSZ,X,X
TLJIOZS,X,X
TLJSIZO,X,X
TLJSIOZ,X,X
TLJSZIO,X,X
TLJSZOI,X,X
TLJSOIZ,X,X
TLJSOZI,X,X
TLJZISO,X,X
TLJZIOS,X,X
TLJZSIO,X,X
TLJZSOI,X,X
TLJZOIS,X,X
TLJZOSI,X,X
TLJOISZ,X,X
TLJOIZS,X,X
TLJOSIZ,X,X
TLJOSZI,X,X
TLJOZIS,X,X
TLJOZSI,X,X
TLSIJZO,X,X
TLSIJOZ,X,X
TLSIZJO,X,O
TLSIZOJ,X,O
TLSIOJZ,X,X
TLSIOZJ,X,O
TLSJIZO,X,X
TLSJIOZ,X,X
TLSJZIO,X,X
TLSJZOI,X,X
TLSJOIZ,X,X
TLSJOZI,X,X
TLSZIJO,X,O
TLSZIOJ,X,O
TLSZJIO,X,O
TLSZJOI,X,O
TLSZOIJ,X,O
TLSZOJI,X,O
TLSOIJZ,X,X
TLSOIZJ,X,O
TLSOJIZ,X,X
TLSOJZI,X,X
TLSOZIJ,X,O
TLSOZJI,X,O
TLZIJSO,X,X
TLZIJOS,X,O
TLZISJO,X,X
TLZISOJ,X,X
TLZIOJS,X,O
TLZIOSJ,X,X
TLZJISO,X,X
TLZJIOS,X,O
TLZJSIO,X,X
TLZJSOI,X,X
TLZJOIS,X,O
TLZJOSI,X,X
TLZSIJO,X,X
TLZSIOJ,X,X
TLZSJIO,X,X
TLZSJOI,X,X
TLZSOIJ,X,X
TLZSOJI,X,X
TLZOIJS,X,O
TLZOISJ,X,X
TLZOJIS,X,O
TLZOJSI,X,X
TLZOSIJ,X,X
TLZOSJI,X,X
TLOIJSZ,X,X
TLOIJZS,X,X
TLOISJZ,X,X
TLOISZJ,X,O
TLOIZJS,X,O
TLOIZSJ,X,X
TLOJISZ,X,X
TLOJIZS,X,X
TLOJSIZ,X,X
TLOJSZI,X,X
TLOJZIS,X,X
TLOJZSI,X,X
TLOSIJZ,X,X
TLOSIZJ,X,O
TLOSJIZ,X,X
TLOSJZI,X,X
TLOSZIJ,X,O
TLOSZJI,X,O
TLOZIJS,X,O
TLOZISJ,X,X
TLOZJIS,X,O
TLOZJSI,X,X
TLOZSIJ,X,X
TLOZSJI,X,X
TJILSZO,X,X
TJILSOZ,X,X
TJILZSO,X,X
TJILZOS,X,X
TJILOSZ,X,X
TJILOZS,X,X
TJISLZO,X,X
TJISLOZ,X,X
TJISZLO,X,X
TJISZOL,X,X
TJISOLZ,X,X
TJISOZL,X,X
TJIZLSO,X,X
TJIZLOS,X,X
TJIZSLO,X,X
TJIZSOL,X,X
TJIZOLS,X,X
TJIZOSL,X,X
TJIOLSZ,X,X
TJIOLZS,X,X
TJIOSLZ,X,X
TJIOSZL,X,X
TJIOZLS,X,X
TJIOZSL,X,X
TJLISZO,X,X
TJLISOZ,X,X
TJLIZSO,X,X
TJLIZOS,X,X
TJLIOSZ,X,X
TJLIOZS,X,X
TJLSIZO,X,X
TJLSIOZ,X,X
TJLSZIO,X,X
TJLSZOI,X,X
TJLSOIZ,X,X
TJLSOZI,X,X
TJLZISO,X,X
TJLZIOS,X,X
TJLZSIO,X,X
TJLZSOI,X,X
TJLZOIS,X,X
TJLZOSI,X,X
TJLOISZ,X,X
TJLOIZS,X,X
TJLOSIZ,X,X
TJLOSZI,X,X
TJLOZIS,X,X
TJLOZSI,X,X
TJSILZO,X,X
TJSILOZ,X,X
TJSIZLO,X,X
TJSIZOL,X,X
TJSIOLZ,X,X
TJSIOZL,X,X
TJSLIZO,X,X
TJSLIOZ,X,X
TJSLZIO,X,X
TJSLZOI,X,X
TJSLOIZ,X,X
TJSLOZI,X,X
TJSZILO,X,X
TJSZIOL,X,X
TJSZLIO,X,X
TJSZLOI,X,X
TJSZOIL,X,X
TJSZOLI,X,X
TJSOILZ,X,X
TJSOIZL,X,X
TJSOLIZ,X,X
TJSOLZI,X,X
TJSOZIL,X,X
TJSOZLI,X,X
TJZILSO,X,X
TJZILOS,X,X
TJZISLO,X,X
TJZISOL,X,X
TJZIOLS,X,X
TJZIOSL,X,X
TJZLISO,X,X
TJZLIOS,X,X
TJZLSIO,X,X
TJZLSOI,X,X
TJZLOIS,X,X
TJZLOSI,X,X
TJZSILO,X,X
TJZSIOL,X,X
TJZSLIO,X,X
TJZSLOI,X,X
TJZSOIL,X,X
TJZSOLI,X,X
TJZOILS,X,X
TJZOISL,X,X
TJZOLIS,X,X
TJZOLSI,X,X
TJZOSIL,X,X
TJZOSLI,X,X
TJOILSZ,X,X
TJOILZS,X,X
TJOISLZ,X,X
TJOISZL,X,X
TJOIZLS,X,X
TJOIZSL,X,X
TJOLISZ,X,X
TJOLIZS,X,X
TJOLSIZ,X,X
TJOLSZI,X,X
TJOLZIS,X,X
TJOLZSI,X,X
TJOSILZ,X,X
TJOSIZL,X,X
TJOSLIZ,X,X
TJOSLZI,X,X
TJOSZIL,X,X
TJOSZLI,X,X
TJOZILS,X,X
TJOZISL,X,X
TJOZLIS,X,X
TJOZLSI,X,X
TJOZSIL,X,X
TJOZSLI,X,X
TSILJZO,X,X
TSILJOZ,X,X
TSILZJO,X,O
TSILZOJ,X,O
TSILOJZ,X,X
TSILOZJ,X,O
TSIJLZO,X,X
TSIJLOZ,X,X
TSIJZLO,X,X
TSIJZOL,X,X
TSIJOLZ,X,X
TSIJOZL,X,X
TSIZLJO,X,O
TSIZLOJ,X,O
TSIZJLO,X,O
TSIZJOL,X,O
TSIZOLJ,X,O
TSIZOJL,X,O
TSIOLJZ,X,X
TSIOLZJ,X,O
TSIOJLZ,X,X
TSIOJZL,X,X
TSIOZLJ,X,O
TSIOZJL,X,O
TSLIJZO,X,X
TSLIJOZ,X,X
TSLIZJO,X,O
TSLIZOJ,X,O
TSLIOJZ,X,X
TSLIOZJ,X,O
TSLJIZO,X,X
TSLJIOZ,X,X
TSLJZIO,X,X
TSLJZOI,X,X
TSLJOIZ,X,X
TSLJOZI,X,X
TSLZIJO,X,O
TSLZIOJ,X,O
TSLZJIO,X,O
TSLZJOI,X,O
TSLZOIJ,X,O
TSLZOJI,X,O
TSLOIJZ,X,X
TSLOIZJ,X,O
TSLOJIZ,X,X
TSLOJZI,X,X
TSLOZIJ,X,O
TSLOZJI,X,O
TSJILZO,X,X
TSJILOZ,X,X
TSJIZLO,X,X
TSJIZOL,X,X
TSJIOLZ,X,X
TSJIOZL,X,X
TSJLIZO,X,X
TSJLIOZ,X,X
TSJLZIO,X,X
TSJLZOI,X,X
TSJLOIZ,X,X
TSJLOZI,X,X
TSJZILO,X,X
TSJZIOL,X,X
TSJZLIO,X,X
TSJZLOI,X,X
TSJZOIL,X,X
TSJZOLI,X,X
TSJOILZ,X,X
TSJOIZL,X,X
TSJOLIZ,X,X
TSJOLZI,X,X
TSJOZIL,X,X
TSJOZLI,X,X
TSZILJO,X,O
TSZILOJ,X,O
TSZIJLO,X,O
TSZIJOL,X,O
TSZIOLJ,X,O
TSZIOJL,X,O
TSZLIJO,X,O
TSZLIOJ,X,O
TSZLJIO,X,O
TSZLJOI,X,O
TSZLOIJ,X,O
TSZLOJI,X,O
TSZJILO,X,O
TSZJIOL,X,O
TSZJLIO,X,O
TSZJLOI,X,O
TSZJOIL,X,O
TSZJOLI,X,O
TSZOILJ,X,O
TSZOIJL,X,O
TSZOLIJ,X,O
TSZOLJI,X,O
TSZOJIL,X,O
TSZOJLI,X,O
TSOILJZ,X,X
TSOILZJ,X,O
TSOIJLZ,X,X
TSOIJZL,X,X
TSOIZLJ,X,O
TSOIZJL,X,O
TSOLIJZ,X,X
TSOLIZJ,X,O
TSOLJIZ,X,X
TSOLJZI,X,X
TSOLZIJ,X,O
TSOLZJI,X,O
TSOJILZ,X,X
TSOJIZL,X,X
TSOJLIZ,X,X
TSOJLZI,X,X
TSOJZIL,X,X
TSOJZLI,X,X
TSOZILJ,X,O
TSOZIJL,X,O
