sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TLIOZSJ,O,X,O,O,X,O
TLJISZO,X,X,X,X,X,O
TLJISOZ,X,X,X,X,X,O
TLJIZSO,X,X,X,X,X,O
TLJIZOS,X,X,X,X,X,O
TLJIOSZ,X,X,X,X,X,O
TLJIOZS,X,X,X,X,X,O
TLJSIZO,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,X,O
TLJSZIO,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O
TLJSOZI,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O
TLJZIOS,X,X,X,X,X,O
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O
TLJZOSI,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,X,X,X,X,X,O
TLJOSZI,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O
TLSIJOZ,X,X,X,X,X,O
TLSIZJO,O,X,O,O,O,O
TLSIZOJ,O,X,O,O,O,O
TLSIOJZ,X,X,O,X,X,O
TLSIOZJ,O,X,O,O,O,O
TLSJIZO,O,X,O,X,X,O
TLSJIOZ,X,X,X,X,X,O
TLSJZIO,O,X,O,X,X,X
TLSJZOI,O,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,O
TLSJOZI,X,X,X,X,X,X
TLSZIJO,O,X,O,O,O,X
TLSZIOJ,O,X,O,O,O,X
TLSZJIO,O,X,O,O,O,X
TLSZJOI,O,X,X,O,O,X
TLSZOIJ,O,X,O,O,O,X
TLSZOJI,O,X,X,O,O,X
TLSOIJZ,X,X,O,X,X,O
TLSOIZJ,O,X,O,O,O,O
TLSOJIZ,X,X,O,X,X,O
TLSOJZI,X,X,O,X,X,X
TLSOZIJ,O,X,O,O,O,X
TLSOZJI,O,X,O,O,O,X
TLZIJSO,X,X,X,O,O,O
TLZIJOS,O,X,X,O,X,O
TLZISJO,X,X,O,O,O,O
TLZISOJ,O,X,O,O,O,O
TLZIOJS,O,X,X,O,X,O
TLZIOSJ,O,X,X,O,X,O
TLZJISO,X,X,X,O,O,O
TLZJIOS,O,X,X,O,X,O
TLZJSIO,X,X,X,O,O,X
TLZJSOI,X,X,X,O,O,X
TLZJOIS,O,X,X,O,X,O
TLZJOSI,X,X,X,O,X,X
TLZSIJO,X,X,O,O,O,X
TLZSIOJ,O,X,O,O,O,X
TLZSJIO,X,X,O,O,O,X
TLZSJOI,X,X,X,O,O,X
TLZSOIJ,O,X,O,O,O,X
TLZSOJI,X,X,X,O,O,X
TLZOIJS,O,X,X,O,X,O
TLZOISJ,O,X,X,O,X,O
TLZOJIS,O,X,X,O,X,O
TLZOJSI,X,X,X,O,X,X
TLZOSIJ,O,X,X,O,X,X
TLZOSJI,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,O
TLOIJZS,X,X,X,X,X,O
TLOISJZ,X,X,O,X,X,O
TLOISZJ,X,X,O,O,X,O
TLOIZJS,O,X,X,O,X,O
TLOIZSJ,O,X,O,O,X,O
TLOJISZ,X,X,X,X,X,O
TLOJIZS,X,X,X,X,X,O
TLOJSIZ,X,X,X,X,X,O
TLOJSZI,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,O
TLOJZSI,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,O
TLOSIZJ,X,X,O,O,X,O
TLOSJIZ,X,X,O,X,X,O
TLOSJZI,X,X,O,X,X,X
TLOSZIJ,X,X,O,O,X,X
TLOSZJI,X,X,O,O,X,X
TLOZIJS,O,X,X,O,X,O
TLOZISJ,O,X,O,O,X,O
TLOZJIS,O,X,X,O,X,O
TLOZJSI,X,X,X,O,X,X
TLOZSIJ,O,X,O,O,X,X
TLOZSJI,X,X,O,O,X,X
TJILSZO,X,X,X,X,X,O
TJILSOZ,X,X,X,X,X,O
TJILZSO,X,X,X,X,X,O
TJILZOS,X,X,X,X,X,O
TJILOSZ,X,X,X,X,X,O
TJILOZS,X,X,X,X,X,O
TJISLZO,O,O,X,X,X,O
TJISLOZ,X,O,X,X,X,O
TJISZLO,O,O,X,O,X,X
TJISZOL,O,O,X,O,X,X
TJISOLZ,X,O,X,X,X,O
TJISOZL,X,O,X,O,X,X
TJIZLSO,X,X,X,O,X,O
TJIZLOS,O,X,X,O,X,O
TJIZSLO,X,O,X,O,X,X
TJIZSOL,X,O,X,O,X,X
TJIZOLS,O,X,X,O,X,O
TJIZOSL,X,O,X,O,X,X
TJIOLSZ,X,X,X,X,X,O
TJIOLZS,X,X,X,X,X,O
TJIOSLZ,X,O,X,X,X,O
TJIOSZL,X,O,X,O,X,X
