sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TZOLIJS,O,X,X,O,X,O
TZOLISJ,O,X,X,O,X,O
TZOLJIS,O,X,X,O,X,O
TZOLJSI,X,X,X,O,X,X
TZOLSIJ,O,X,X,O,X,X
TZOLSJI,O,X,X,O,X,X
TZOJILS,O,X,X,O,X,O
TZOJISL,X,O,X,O,X,X
TZOJLIS,O,X,X,O,X,O
TZOJLSI,X,X,X,O,X,X
TZOJSIL,X,O,X,O,X,X
TZOJSLI,X,O,X,O,X,X
TZOSILJ,O,X,X,O,X,X
TZOSIJL,O,O,X,O,X,X
TZOSLIJ,O,X,X,O,X,X
TZOSLJI,O,X,X,O,X,X
TZOSJIL,O,O,X,O,X,X
TZOSJLI,O,O,X,O,X,X
TOILJSZ,X,X,X,X,X,O
TOILJZS,X,X,X,X,X,O
TOILSJZ,X,X,O,X,X,O
TOILSZJ,X,X,O,O,X,O
TOILZJS,O,X,X,O,X,O
TOILZSJ,O,X,O,O,X,O
TOIJLSZ,X,X,X,X,X,O
TOIJLZS,X,X,X,X,X,O
TOIJSLZ,X,O,X,X,X,O
TOIJSZL,X,O,X,O,X,X
TOIJZLS,O,X,X,O,X,O
TOIJZSL,X,O,X,O,X,X
TOISLJZ,X,O,O,X,X,O
TOISLZJ,O,X,O,O,X,O
TOISJLZ,X,O,O,X,X,O
TOISJZL,X,O,O,O,X,X
TOISZLJ,O,X,O,O,X,X
TOISZJL,O,O,O,O,X,X
TOIZLJS,O,X,X,O,X,O
TOIZLSJ,O,X,O,O,X,O
TOIZJLS,O,X,X,O,X,O
TOIZJSL,X,O,X,O,X,X
TOIZSLJ,O,X,O,O,X,X
TOIZSJL,O,O,O,O,X,X
TOLIJSZ,X,X,X,X,X,O
TOLIJZS,X,X,X,X,X,O
TOLISJZ,X,X,O,X,X,O
TOLISZJ,X,X,O,O,X,O
TOLIZJS,O,X,X,O,X,O
TOLIZSJ,O,X,O,O,X,O
TOLJISZ,X,X,X,X,X,O
TOLJIZS,X,X,X,X,X,O
TOLJSIZ,X,X,X,X,X,O
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,O
TOLJZSI,X,X,X,X,X,X
TOLSIJZ,X,X,O,X,X,O
TOLSIZJ,X,X,O,O,X,O
TOLSJIZ,X,X,O,X,X,O
TOLSJZI,X,X,O,X,X,X
TOLSZIJ,X,X,O,O,X,X
TOLSZJI,X,X,O,O,X,X
TOLZIJS,O,X,X,O,X,O
TOLZISJ,O,X,O,O,X,O
TOLZJIS,O,X,X,O,X,O
TOLZJSI,X,X,X,O,X,X
TOLZSIJ,O,X,O,O,X,X
TOLZSJI,X,X,O,O,X,X
TOJILSZ,X,X,X,X,X,O
TOJILZS,X,X,X,X,X,O
TOJISLZ,X,O,X,X,X,O
TOJISZL,X,O,X,O,X,X
TOJIZLS,O,X,X,O,X,O
TOJIZSL,X,O,X,O,X,X
TOJLISZ,X,X,X,X,X,O
TOJLIZS,X,X,X,X,X,O
TOJLSIZ,X,X,X,X,X,O
TOJLSZI,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,O
TOJLZSI,X,X,X,X,X,X
TOJSILZ,X,O,X,X,X,O
TOJSIZL,X,O,X,O,X,X
TOJSLIZ,X,O,X,X,X,O
TOJSLZI,X,O,X,X,X,X
TOJSZIL,X,O,X,O,X,X
TOJSZLI,X,O,X,O,X,X
TOJZILS,O,X,X,O,X,O
TOJZISL,X,O,X,O,X,X
TOJZLIS,O,X,X,O,X,O
TOJZLSI,X,X,X,O,X,X
TOJZSIL,X,O,X,O,X,X
TOJZSLI,X,O,X,O,X,X
TOSILJZ,X,O,O,X,X,O
TOSILZJ,O,X,O,O,X,O
TOSIJLZ,X,O,O,X,X,O
TOSIJZL,X,O,O,O,X,X
TOSIZLJ,O,X,O,O,X,X
TOSIZJL,O,O,O,O,X,X
TOSLIJZ,X,O,O,X,X,O
TOSLIZJ,O,X,O,O,X,O
TOSLJIZ,X,O,O,X,X,O
TOSLJZI,X,O,O,X,X,X
TOSLZIJ,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,X
TOSJILZ,X,O,O,X,X,O
TOSJIZL,X,O,O,O,X,X
TOSJLIZ,X,O,O,X,X,O
TOSJLZI,X,O,O,X,X,X
TOSJZIL,X,O,O,O,X,X
TOSJZLI,X,O,O,O,X,X
TOSZILJ,O,X,O,O,X,X
TOSZIJL,O,O,O,O,X,X
TOSZLIJ,O,X,O,O,X,X
TOSZLJI,O,X,O,O,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,X,X,O,X,O
TOZILSJ,O,X,O,O,X,O
TOZIJLS,O,X,X,O,X,O
TOZIJSL,X,O,X,O,X,X
TOZISLJ,O,X,O,O,X,X
TOZISJL,O,O,O,O,X,X
TOZLIJS,O,X,X,O,X,O
TOZLISJ,O,X,O,O,X,O
TOZLJIS,O,X,X,O,X,O
TOZLJSI,X,X,X,O,X,X
TOZLSIJ,O,X,O,O,X,X
TOZLSJI,O,X,O,O,X,X
TOZJILS,O,X,X,O,X,O
TOZJISL,X,O,X,O,X,X
TOZJLIS,O,X,X,O,X,O
TOZJLSI,X,X,X,O,X,X
TOZJSIL,X,O,X,O,X,X
TOZJSLI,X,O,X,O,X,X
TOZSILJ,O,X,O,O,X,X
TOZSIJL,O,O,O,O,X,X
TOZSLIJ,O,X,O,O,X,X
TOZSLJI,O,X,O,O,X,X
TOZSJIL,O,O,O,O,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,X,X,X,X,X,O
ITLJSOZ,X,X,X,X,X,O
ITLJZSO,X,X,X,X,X,O
ITLJZOS,X,X,X,X,X,O
ITLJOSZ,X,X,X,X,X,O
ITLJOZS,X,X,X,X,X,O
ITLSJZO,O,X,O,X,X,O
ITLSJOZ,X,X,X,X,X,O
ITLSZJO,O,X,O,O,O,O
ITLSZOJ,O,X,O,O,O,O
ITLSOJZ,X,X,O,X,X,O
ITLSOZJ,O,X,O,O,O,O
ITLZJSO,X,X,X,O,O,O
ITLZJOS,O,X,X,O,X,O
ITLZSJO,X,X,O,O,O,O
ITLZSOJ,O,X,O,O,O,O
ITLZOJS,O,X,X,O,X,O
ITLZOSJ,O,X,X,O,X,O
ITLOJSZ,X,X,X,X,X,O
ITLOJZS,X,X,X,X,X,O
ITLOSJZ,X,X,O,X,X,O
ITLOSZJ,X,X,O,O,X,O
ITLOZJS,O,X,X,O,X,O
ITLOZSJ,O,X,O,O,X,O
ITJLSZO,X,X,X,X,X,O
ITJLSOZ,X,X,X,X,X,O
ITJLZSO,X,X,X,X,X,O
ITJLZOS,X,X,X,X,X,O
ITJLOSZ,X,X,X,X,X,O
ITJLOZS,X,X,X,X,X,O
ITJSLZO,O,O,X,X,X,O
ITJSLOZ,X,O,X,X,X,O
ITJSZLO,O,O,X,O,X,X
ITJSZOL,O,O,X,O,X,X
ITJSOLZ,X,O,X,X,X,O
ITJSOZL,X,O,X,O,X,X
ITJZLSO,X,X,X,O,X,O
ITJZLOS,O,X,X,O,X,O
ITJZSLO,X,O,X,O,X,X
ITJZSOL,X,O,X,O,X,X
ITJZOLS,O,X,X,O,X,O
ITJZOSL,X,O,X,O,X,X
ITJOLSZ,X,X,X,X,X,O
ITJOLZS,X,X,X,X,X,O
ITJOSLZ,X,O,X,X,X,O
ITJOSZL,X,O,X,O,X,X
ITJOZLS,O,X,X,O,X,O
ITJOZSL,X,O,X,O,X,X
ITSLJZO,O,O,O,X,X,O
ITSLJOZ,X,O,X,X,X,O
ITSLZJO,O,X,O,O,O,O
ITSLZOJ,O,X,O,O,O,O
ITSLOJZ,X,O,O,X,X,O
ITSLOZJ,O,X,O,O,O,O
ITSJLZO,O,O,O,X,X,O
ITSJLOZ,X,O,X,X,X,O
ITSJZLO,O,O,O,O,X,X
ITSJZOL,O,O,X,O,X,X
ITSJOLZ,X,O,X,X,X,O
ITSJOZL,X,O,X,O,X,X
ITSZLJO,O,X,O,O,O,X
ITSZLOJ,O,X,O,O,O,X
ITSZJLO,O,O,O,O,O,X
ITSZJOL,O,O,X,O,O,X
ITSZOLJ,O,X,O,O,O,X
ITSZOJL,O,O,X,O,O,X
ITSOLJZ,X,O,O,X,X,O
ITSOLZJ,O,X,O,O,O,O
ITSOJLZ,X,O,O,X,X,O
ITSOJZL,X,O,O,O,X,X
ITSOZLJ,O,X,O,O,O,X
ITSOZJL,O,O,O,O,O,X
ITZLJSO,X,X,X,O,O,O
ITZLJOS,O,X,X,O,X,O
ITZLSJO,O,X,O,O,O,O
ITZLSOJ,O,X,O,O,O,O
ITZLOJS,O,X,X,O,X,O
ITZLOSJ,O,X,X,O,X,O
ITZJLSO,X,X,X,O,O,O
ITZJLOS,O,X,X,O,X,O
ITZJSLO,X,O,X,O,X,X
ITZJSOL,X,O,X,O,X,X
ITZJOLS,O,X,X,O,X,O
ITZJOSL,X,O,X,O,X,X
ITZSLJO,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,O,X
ITZSJLO,O,O,O,O,O,X
ITZSJOL,O,O,X,O,O,X
ITZSOLJ,O,X,O,O,O,X
ITZSOJL,O,O,X,O,O,X
ITZOLJS,O,X,X,O,X,O
ITZOLSJ,O,X,X,O,X,O
ITZOJLS,O,X,X,O,X,O
ITZOJSL,X,O,X,O,X,X
ITZOSLJ,O,X,X,O,X,X
ITZOSJL,O,O,X,O,X,X
ITOLJSZ,X,X,X,X,X,O
ITOLJZS,X,X,X,X,X,O
ITOLSJZ,X,X,O,X,X,O
ITOLSZJ,X,X,O,O,X,O
ITOLZJS,O,X,X,O,X,O
ITOLZSJ,O,X,O,O,X,O
ITOJLSZ,X,X,X,X,X,O
ITOJLZS,X,X,X,X,X,O
ITOJSLZ,X,O,X,X,X,O
ITOJSZL,X,O,X,O,X,X
ITOJZLS,O,X,X,O,X,O
ITOJZSL,X,O,X,O,X,X
ITOSLJZ,X,O,O,X,X,O
ITOSLZJ,O,X,O,O,X,O
ITOSJLZ,X,O,O,X,X,O
ITOSJZL,X,O,O,O,X,X
ITOSZLJ,O,X,O,O,X,X
ITOSZJL,O,O,O,O,X,X
ITOZLJS,O,X,X,O,X,O
ITOZLSJ,O,X,O,O,X,O
ITOZJLS,O,X,X,O,X,O
ITOZJSL,X,O,X,O,X,X
ITOZSLJ,O,X,O,O,X,X
ITOZSJL,O,O,O,O,X,X
ILTJSZO,X,X,X,X,X,O
ILTJSOZ,X,X,X,X,X,O
ILTJZSO,X,X,X,X,X,O
ILTJZOS,X,X,X,X,X,O
ILTJOSZ,X,X,X,X,X,O
ILTJOZS,X,X,X,X,X,O
ILTSJZO,O,X,O,X,X,O
ILTSJOZ,X,X,X,X,X,O
ILTSZJO,O,X,O,O,O,O
ILTSZOJ,O,X,O,O,O,O
ILTSOJZ,X,X,O,X,X,O
ILTSOZJ,O,X,O,O,O,O
ILTZJSO,X,X,X,O,O,O
ILTZJOS,O,X,X,O,X,O
ILTZSJO,X,X,O,O,O,O
ILTZSOJ,O,X,O,O,O,O
ILTZOJS,O,X,X,O,X,O
ILTZOSJ,O,X,X,O,X,O
ILTOJSZ,X,X,X,X,X,O
ILTOJZS,X,X,X,X,X,O
ILTOSJZ,X,X,O,X,X,O
ILTOSZJ,X,X,O,O,X,O
ILTOZJS,O,X,X,O,X,O
ILTOZSJ,O,X,O,O,X,O
ILJTSZO,X,X,X,X,X,O
ILJTSOZ,X,X,X,X,X,O
ILJTZSO,X,X,X,X,X,O
ILJTZOS,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,O
ILJTOZS,X,X,X,X,X,O
ILJSTZO,X,O,O,X,X,O
ILJSTOZ,X,O,X,X,X,O
ILJSZTO,X,O,O,X,O,X
ILJSZOT,X,O,X,X,O,X
ILJSOTZ,X,O,O,X,X,O
ILJSOZT,X,O,O,X,O,X
ILJZTSO,X,X,X,X,O,O
ILJZTOS,X,X,X,X,X,O
ILJZSTO,X,O,O,X,O,X
ILJZSOT,X,O,X,X,O,X
ILJZOTS,X,X,X,X,X,O
ILJZOST,X,O,X,X,O,X
ILJOTSZ,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,O
ILJOSTZ,X,O,O,X,X,O
ILJOSZT,X,O,O,X,X,X
ILJOZTS,X,X,X,X,X,O
ILJOZST,X,O,O,X,X,X
ILSTJZO,O,O,O,X,X,O
ILSTJOZ,X,O,X,X,X,O
ILSTZJO,O,X,O,O,O,O
ILSTZOJ,O,X,O,O,O,O
ILSTOJZ,X,O,O,X,X,O
ILSTOZJ,O,X,O,O,O,O
ILSJTZO,O,O,O,X,X,O
ILSJTOZ,X,O,X,X,X,O
ILSJZTO,O,O,O,X,O,X
ILSJZOT,O,O,X,X,O,X
ILSJOTZ,X,O,O,X,X,O
ILSJOZT,X,O,O,X,O,X
ILSZTJO,O,X,O,O,O,X
ILSZTOJ,O,X,O,O,O,X
ILSZJTO,O,O,O,O,O,X
ILSZJOT,O,O,X,X,O,X
ILSZOTJ,O,X,O,X,O,X
ILSZOJT,O,O,O,X,O,X
ILSOTJZ,X,O,O,X,X,O
ILSOTZJ,O,X,O,X,O,O
ILSOJTZ,X,O,O,X,X,O
ILSOJZT,X,O,O,X,O,X
ILSOZTJ,O,X,O,X,O,X
ILSOZJT,O,O,O,X,O,X
ILZTJSO,X,X,X,O,O,O
ILZTJOS,O,X,X,O,X,O
ILZTSJO,O,X,O,O,O,O
ILZTSOJ,O,X,O,O,O,O
ILZTOJS,O,X,X,O,X,O
ILZTOSJ,O,X,X,O,X,O
ILZJTSO,X,X,X,O,O,O
ILZJTOS,O,X,X,O,X,O
ILZJSTO,O,O,O,O,O,X
ILZJSOT,O,O,X,X,O,X
ILZJOTS,O,X,X,X,X,O
ILZJOST,O,O,X,X,O,X
ILZSTJO,O,X,O,O,O,X
ILZSTOJ,O,X,O,O,O,X
ILZSJTO,O,O,O,O,O,X
ILZSJOT,O,O,X,X,O,X
ILZSOTJ,O,X,O,X,O,X
ILZSOJT,O,O,O,X,O,X
ILZOTJS,O,X,X,X,X,O
ILZOTSJ,O,X,O,X,X,O
ILZOJTS,O,X,X,X,X,O
ILZOJST,O,O,O,X,O,X
ILZOSTJ,O,X,O,X,O,X
ILZOSJT,O,O,O,X,O,X
ILOTJSZ,X,X,X,X,X,O
ILOTJZS,X,X,X,X,X,O
ILOTSJZ,X,X,O,X,X,O
ILOTSZJ,X,X,O,X,X,O
ILOTZJS,O,X,X,X,X,O
ILOTZSJ,O,X,O,X,X,O
ILOJTSZ,X,X,X,X,X,O
ILOJTZS,X,X,X,X,X,O
ILOJSTZ,X,O,O,X,X,O
ILOJSZT,X,O,O,X,X,X
ILOJZTS,X,X,X,X,X,O
ILOJZST,X,O,O,X,X,X
ILOSTJZ,X,O,O,X,X,O
ILOSTZJ,X,X,O,X,O,O
ILOSJTZ,X,O,O,X,X,O
ILOSJZT,X,O,O,X,O,X
ILOSZTJ,X,X,O,X,O,X
ILOSZJT,X,O,O,X,O,X
ILOZTJS,O,X,X,X,X,O
ILOZTSJ,O,X,O,X,X,O
ILOZJTS,O,X,X,X,X,O
ILOZJST,O,O,O,X,O,X
ILOZSTJ,O,X,O,X,O,X
ILOZSJT,O,O,O,X,O,X
IJTLSZO,X,X,X,X,X,O
IJTLSOZ,X,X,X,X,X,O
IJTLZSO,X,X,X,X,X,O
IJTLZOS,X,X,X,X,X,O
IJTLOSZ,X,X,X,X,X,O
IJTLOZS,X,X,X,X,X,O
IJTSLZO,O,O,X,X,X,O
IJTSLOZ,X,O,X,X,X,O
IJTSZLO,O,O,X,O,X,X
IJTSZOL,O,O,X,O,X,X
IJTSOLZ,X,O,X,X,X,O
IJTSOZL,X,O,X,O,X,X
IJTZLSO,X,X,X,O,X,O
IJTZLOS,O,X,X,O,X,O
IJTZSLO,X,O,X,O,X,X
IJTZSOL,X,O,X,O,X,X
IJTZOLS,O,X,X,O,X,O
IJTZOSL,X,O,X,O,X,X
IJTOLSZ,X,X,X,X,X,O
IJTOLZS,X,X,X,X,X,O
IJTOSLZ,X,O,X,X,X,O
IJTOSZL,X,O,X,O,X,X
IJTOZLS,O,X,X,O,X,O
IJTOZSL,X,O,X,O,X,X
IJLTSZO,X,X,X,X,X,O
IJLTSOZ,X,X,X,X,X,O
IJLTZSO,X,X,X,X,X,O
IJLTZOS,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,O
IJLSTZO,X,O,O,X,X,O
IJLSTOZ,X,O,X,X,X,O
IJLSZTO,X,O,O,X,O,X
IJLSZOT,X,O,X,X,O,X
IJLSOTZ,X,O,O,X,X,O
IJLSOZT,X,O,O,X,O,X
IJLZTSO,X,X,X,X,O,O
IJLZTOS,X,X,X,X,X,O
IJLZSTO,X,O,O,X,O,X
IJLZSOT,X,O,X,X,O,X
IJLZOTS,X,X,X,X,X,O
IJLZOST,X,O,X,X,O,X
IJLOTSZ,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,O
IJLOSTZ,X,O,O,X,X,O
IJLOSZT,X,O,O,X,X,X
IJLOZTS,X,X,X,X,X,O
IJLOZST,X,O,O,X,X,X
IJSTLZO,O,O,O,X,X,O
IJSTLOZ,X,O,X,X,X,O
IJSTZLO,O,O,O,O,X,X
IJSTZOL,O,O,X,O,X,X
IJSTOLZ,X,O,X,X,X,O
IJSTOZL,X,O,X,O,X,X
IJSLTZO,O,O,O,X,X,O
IJSLTOZ,X,O,X,X,X,O
IJSLZTO,O,O,O,X,O,X
IJSLZOT,O,O,X,X,O,X
IJSLOTZ,X,O,O,X,X,O
IJSLOZT,X,O,O,X,O,X
IJSZTLO,O,O,O,O,O,X
IJSZTOL,O,O,X,O,O,X
IJSZLTO,O,O,O,O,O,X
IJSZLOT,O,O,X,X,O,X
IJSZOTL,O,O,X,O,O,X
IJSZOLT,O,O,X,X,O,X
IJSOTLZ,X,O,O,X,X,O
IJSOTZL,X,O,O,X,X,X
IJSOLTZ,X,O,O,X,X,O
IJSOLZT,X,O,O,X,O,X
IJSOZTL,X,O,O,X,O,X
IJSOZLT,X,O,O,X,O,X
IJZTLSO,X,X,X,O,O,O
IJZTLOS,O,X,X,O,X,O
IJZTSLO,X,O,X,O,X,X
IJZTSOL,X,O,X,O,X,X
IJZTOLS,O,X,X,O,X,O
IJZTOSL,X,O,X,O,X,X
IJZLTSO,X,X,X,O,O,O
IJZLTOS,O,X,X,O,X,O
IJZLSTO,O,O,O,O,O,X
IJZLSOT,O,O,X,X,O,X
IJZLOTS,O,X,X,X,X,O
IJZLOST,O,O,X,X,O,X
IJZSTLO,O,O,O,O,O,X
IJZSTOL,O,O,X,O,O,X
IJZSLTO,O,O,O,O,O,X
IJZSLOT,O,O,X,X,O,X
IJZSOTL,O,O,X,O,O,X
IJZSOLT,O,O,X,X,O,X
IJZOTLS,O,X,X,O,X,O
IJZOTSL,X,O,X,O,X,X
IJZOLTS,O,X,X,X,X,O
IJZOLST,O,O,X,X,O,X
IJZOSTL,O,O,X,O,X,X
IJZOSLT,O,O,X,X,X,X
IJOTLSZ,X,X,X,X,X,O
IJOTLZS,X,X,X,X,X,O
IJOTSLZ,X,O,X,X,X,O
IJOTSZL,X,O,X,X,X,X
IJOTZLS,O,X,X,X,X,O
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,X,X,X,X,X,O
IJOLTZS,X,X,X,X,X,O
IJOLSTZ,X,O,O,X,X,O
IJOLSZT,X,O,O,X,X,X
IJOLZTS,X,X,X,X,X,O
IJOLZST,X,O,O,X,X,X
IJOSTLZ,X,O,O,X,X,O
IJOSTZL,X,O,O,X,X,X
IJOSLTZ,X,O,O,X,X,O
IJOSLZT,X,O,O,X,X,X
IJOSZTL,X,O,O,X,X,X
IJOSZLT,X,O,O,X,X,X
IJOZTLS,O,X,X,X,X,O
IJOZTSL,X,O,X,X,X,X
IJOZLTS,O,X,X,X,X,O
IJOZLST,O,O,O,X,X,X
IJOZSTL,O,O,O,X,X,X
IJOZSLT,O,O,O,X,X,X
ISTLJZO,O,O,O,X,X,O
ISTLJOZ,X,O,X,X,X,O
ISTLZJO,O,X,O,O,O,O
ISTLZOJ,O,X,O,O,O,O
ISTLOJZ,X,O,O,X,X,O
ISTLOZJ,O,X,O,O,O,O
ISTJLZO,O,O,O,X,X,O
ISTJLOZ,X,O,X,X,X,O
ISTJZLO,O,O,O,O,X,X
ISTJZOL,O,O,X,O,X,X
ISTJOLZ,X,O,X,X,X,O
ISTJOZL,X,O,X,O,X,X
ISTZLJO,O,X,O,O,O,X
ISTZLOJ,O,X,O,O,O,X
ISTZJLO,O,O,O,O,O,X
ISTZJOL,O,O,X,O,O,X
ISTZOLJ,O,X,O,O,O,X
ISTZOJL,O,O,X,O,O,X
ISTOLJZ,X,O,O,X,X,O
ISTOLZJ,O,X,O,O,O,O
ISTOJLZ,X,O,O,X,X,O
ISTOJZL,X,O,O,O,X,X
ISTOZLJ,O,X,O,O,O,X
ISTOZJL,O,O,O,O,O,X
ISLTJZO,O,O,O,X,X,O
ISLTJOZ,X,O,X,X,X,O
ISLTZJO,O,X,O,O,O,O
ISLTZOJ,O,X,O,O,O,O
ISLTOJZ,X,O,O,X,X,O
ISLTOZJ,O,X,O,O,O,O
ISLJTZO,O,O,O,X,X,O
ISLJTOZ,X,O,X,X,X,O
ISLJZTO,O,O,O,X,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,X,O,O,X,X,O
ISLJOZT,X,O,O,X,O,X
ISLZTJO,O,X,O,O,O,X
ISLZTOJ,O,X,O,O,O,X
ISLZJTO,O,O,O,O,O,X
ISLZJOT,O,O,X,X,O,X
ISLZOTJ,O,X,O,X,O,X
ISLZOJT,O,O,O,X,O,X
ISLOTJZ,X,O,O,X,X,O
ISLOTZJ,O,X,O,X,O,O
ISLOJTZ,X,O,O,X,X,O
ISLOJZT,X,O,O,X,O,X
ISLOZTJ,O,X,O,X,O,X
ISLOZJT,O,O,O,X,O,X
ISJTLZO,O,O,O,X,X,O
ISJTLOZ,X,O,X,X,X,O
ISJTZLO,O,O,O,O,X,X
ISJTZOL,O,O,X,O,X,X
ISJTOLZ,X,O,X,X,X,O
ISJTOZL,X,O,X,O,X,X
ISJLTZO,O,O,O,X,X,O
ISJLTOZ,X,O,X,X,X,O
ISJLZTO,O,O,O,X,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,X,O,O,X,X,O
ISJLOZT,X,O,O,X,O,X
ISJZTLO,O,O,O,O,O,X
ISJZTOL,O,O,X,O,O,X
ISJZLTO,O,O,O,O,O,X
ISJZLOT,O,O,X,X,O,X
ISJZOTL,O,O,X,O,O,X
ISJZOLT,O,O,X,X,O,X
ISJOTLZ,X,O,O,X,X,O
ISJOTZL,X,O,O,X,X,X
ISJOLTZ,X,O,O,X,X,O
ISJOLZT,X,O,O,X,O,X
ISJOZTL,X,O,O,X,O,X
ISJOZLT,X,O,O,X,O,X
ISZTLJO,O,X,O,O,O,X
ISZTLOJ,O,X,O,O,O,X
ISZTJLO,O,O,O,O,O,X
ISZTJOL,O,O,X,O,O,X
ISZTOLJ,O,X,O,O,O,X
ISZTOJL,O,O,X,O,O,X
ISZLTJO,O,X,O,O,O,X
ISZLTOJ,O,X,O,O,O,X
ISZLJTO,O,O,O,O,O,X
ISZLJOT,O,O,X,X,O,X
ISZLOTJ,O,X,O,X,O,X
ISZLOJT,O,O,O,X,O,X
ISZJTLO,O,O,O,O,O,X
ISZJTOL,O,O,X,O,O,X
ISZJLTO,O,O,O,O,O,X
ISZJLOT,O,O,X,X,O,X
ISZJOTL,O,O,X,O,O,X
ISZJOLT,O,O,X,X,O,X
ISZOTLJ,O,X,O,O,O,X
ISZOTJL,O,O,O,O,O,X
ISZOLTJ,O,X,O,X,O,X
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,O,O,O,O,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,X,O,O,X,X,O
ISOTLZJ,O,X,O,O,O,O
ISOTJLZ,X,O,O,X,X,O
ISOTJZL,X,O,O,O,X,X
ISOTZLJ,O,X,O,O,O,X
ISOTZJL,O,O,O,O,O,X
ISOLTJZ,X,O,O,X,X,O
ISOLTZJ,O,X,O,X,O,O
ISOLJTZ,X,O,O,X,X,O
ISOLJZT,X,O,O,X,O,X
ISOLZTJ,O,X,O,X,O,X
ISOLZJT,O,O,O,X,O,X
ISOJTLZ,X,O,O,X,X,O
ISOJTZL,X,O,O,X,X,X
ISOJLTZ,X,O,O,X,X,O
ISOJLZT,X,O,O,X,O,X
ISOJZTL,X,O,O,X,O,X
ISOJZLT,X,O,O,X,O,X
ISOZTLJ,O,X,O,O,O,X
ISOZTJL,O,O,O,O,O,X
ISOZLTJ,O,X,O,X,O,X
ISOZLJT,O,O,O,X,O,X
ISOZJTL,O,O,O,O,O,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,X,X,X,O,O,O
IZTLJOS,O,X,X,O,X,O
IZTLSJO,O,X,O,O,O,O
IZTLSOJ,O,X,O,O,O,O
IZTLOJS,O,X,X,O,X,O
IZTLOSJ,O,X,X,O,X,O
IZTJLSO,X,X,X,O,O,O
IZTJLOS,O,X,X,O,X,O
IZTJSLO,X,O,X,O,X,X
IZTJSOL,X,O,X,O,X,X
IZTJOLS,O,X,X,O,X,O
IZTJOSL,X,O,X,O,X,X
IZTSLJO,O,X,O,O,O,X
IZTSLOJ,O,X,O,O,O,X
IZTSJLO,O,O,O,O,O,X
IZTSJOL,O,O,X,O,O,X
IZTSOLJ,O,X,O,O,O,X
IZTSOJL,O,O,X,O,O,X
IZTOLJS,O,X,X,O,X,O
IZTOLSJ,O,X,X,O,X,O
IZTOJLS,O,X,X,O,X,O
IZTOJSL,X,O,X,O,X,X
IZTOSLJ,O,X,X,O,X,X
IZTOSJL,O,O,X,O,X,X
IZLTJSO,X,X,X,O,O,O
IZLTJOS,O,X,X,O,X,O
IZLTSJO,O,X,O,O,O,O
IZLTSOJ,O,X,O,O,O,O
IZLTOJS,O,X,X,O,X,O
IZLTOSJ,O,X,X,O,X,O
IZLJTSO,X,X,X,O,O,O
IZLJTOS,O,X,X,O,X,O
IZLJSTO,O,O,O,O,O,X
IZLJSOT,O,O,X,X,O,X
IZLJOTS,O,X,X,X,X,O
IZLJOST,O,O,X,X,O,X
IZLSTJO,O,X,O,O,O,X
IZLSTOJ,O,X,O,O,O,X
IZLSJTO,O,O,O,O,O,X
IZLSJOT,O,O,X,X,O,X
IZLSOTJ,O,X,O,X,O,X
IZLSOJT,O,O,O,X,O,X
IZLOTJS,O,X,X,X,X,O
IZLOTSJ,O,X,O,X,X,O
IZLOJTS,O,X,X,X,X,O
IZLOJST,O,O,O,X,O,X
IZLOSTJ,O,X,O,X,O,X
IZLOSJT,O,O,O,X,O,X
IZJTLSO,X,X,X,O,O,O
IZJTLOS,O,X,X,O,X,O
IZJTSLO,X,O,X,O,X,X
IZJTSOL,X,O,X,O,X,X
IZJTOLS,O,X,X,O,X,O
IZJTOSL,X,O,X,O,X,X
IZJLTSO,X,X,X,O,O,O
IZJLTOS,O,X,X,O,X,O
