sequence,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBFiB6oB8?qB+rBzsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBUiBGjB6?rBVtBzqB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFFhBXiBTjB0?lBWtBSwB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBUiBFjBT?mBStBWwB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gB8nB+oBl?mBzqBCsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFXiB8nB+oBl?lBTrBCrB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF8nB+oBllB3?mBzqBCsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFFhBXiB8nB+?oB6qBTrB
TILJSZO,O,O,O,O,X,X,O,O
TILJSOZ,X,O,O,O,X,X,X,X
TILJZSO,O,O,O,O,X,O,O,O
TILJZOS,O,O,O,O,X,X,X,O
TILJOSZ,O,O,O,O,X,X,X,O
TILJOZS,O,O,O,O,X,X,X,O
TILSJZO,O,O,O,O,X,X,O,O
TILSJOZ,X,O,O,O,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X
TILSZOJ,X,O,O,O,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,O
TILZJOS,O,O,O,O,X,X,X,O
TILZSJO,O,O,O,O,X,X,X,X
TILZSOJ,X,O,O,O,X,X,X,X
TILZOJS,X,O,O,O,X,X,X,X
TILZOSJ,X,O,O,O,X,X,X,X
TILOJSZ,O,O,X,O,X,X,X,O
TILOJZS,O,O,X,O,X,X,X,O
TILOSJZ,O,O,X,O,X,X,X,O
TILOSZJ,X,O,X,O,X,X,X,X
TILOZJS,O,O,X,O,X,X,X,O
TILOZSJ,X,O,X,O,X,X,X,X
TIJLSZO,O,O,O,O,X,X,O,O
TIJLSOZ,X,O,O,O,X,X,X,X
TIJLZSO,O,O,O,O,X,O,O,O
TIJLZOS,O,O,O,O,X,X,X,O
TIJLOSZ,O,O,O,O,X,X,X,O
TIJLOZS,O,O,O,O,X,X,X,O
TIJSLZO,O,O,O,O,X,X,O,X
TIJSLOZ,X,O,O,O,X,X,X,X
TIJSZLO,O,O,O,O,X,O,O,X
TIJSZOL,O,O,O,O,X,O,O,X
TIJSOLZ,O,O,O,X,X,X,X,X
TIJSOZL,O,O,O,X,X,X,O,X
TIJZLSO,O,O,O,O,X,O,O,O
TIJZLOS,O,O,O,O,X,X,X,O
TIJZSLO,O,O,O,O,X,O,O,O
TIJZSOL,O,O,O,O,X,O,O,O
TIJZOLS,O,O,O,X,O,O,X,O
TIJZOSL,O,O,O,O,O,O,O,O
TIJOLSZ,O,O,O,O,O,X,X,X
TIJOLZS,O,O,O,O,O,O,X,O
TIJOSLZ,O,O,O,O,O,X,X,X
TIJOSZL,O,O,O,O,O,O,O,O
TIJOZLS,O,O,O,O,O,O,X,O
TIJOZSL,O,O,O,O,O,O,O,O
TISLJZO,O,O,O,O,X,X,O,X
TISLJOZ,X,O,O,O,X,X,X,X
