sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
TZLIOJS,O,O,X,X,X,O,X,X
TZLIOSJ,O,O,X,X,X,X,O,X
TZLJISO,O,O,O,X,X,O,O,X
TZLJIOS,O,O,X,X,X,O,X,X
TZLJSIO,O,O,O,O,X,X,X,X
TZLJSOI,O,O,O,O,X,X,X,X
TZLJOIS,O,O,X,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X
TZLSIJO,O,O,O,O,O,X,O,X
TZLSIOJ,O,O,O,O,O,X,O,X
TZLSJIO,O,X,O,O,O,X,X,X
TZLSJOI,X,X,O,O,X,X,X,X
TZLSOIJ,O,X,O,O,O,X,X,O
TZLSOJI,X,X,O,O,X,X,X,O
TZLOIJS,O,O,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,O,X
TZLOJIS,O,O,X,X,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,O
TZLOSJI,O,O,X,O,X,X,X,O
TZJILSO,O,O,O,X,X,O,O,X
TZJILOS,O,O,X,X,X,O,X,X
TZJISLO,O,O,O,X,X,O,O,X
TZJISOL,O,O,O,X,X,X,O,X
TZJIOLS,O,O,X,X,X,O,X,X
TZJIOSL,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,O,O,X
TZJLIOS,O,O,X,X,X,O,X,X
TZJLSIO,O,O,O,O,X,X,X,X
TZJLSOI,O,O,O,O,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X,X
TZJLOSI,X,O,X,X,X,X,X,X
TZJSILO,O,O,O,O,X,X,X,X
TZJSIOL,O,O,O,O,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X
TZJSLOI,O,O,O,O,X,X,X,X
TZJSOIL,O,O,O,O,X,X,X,X
TZJSOLI,O,O,O,O,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X
TZJOISL,X,O,X,X,X,X,X,X
TZJOLIS,O,O,X,X,X,X,X,X
TZJOLSI,X,O,X,X,X,X,X,X
TZJOSIL,X,O,X,X,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X
TZSILJO,O,O,O,O,O,X,O,X
TZSILOJ,O,O,O,O,O,X,O,X
TZSIJLO,O,X,O,O,O,X,O,X
TZSIJOL,X,X,O,O,X,X,O,X
TZSIOLJ,O,X,O,O,O,X,O,X
TZSIOJL,X,X,O,X,X,X,O,X
TZSLIJO,O,O,O,O,O,X,O,X
TZSLIOJ,O,O,O,O,O,X,O,X
TZSLJIO,O,X,O,O,O,X,X,X
TZSLJOI,X,X,O,O,X,X,X,X
TZSLOIJ,O,X,O,O,O,X,X,O
TZSLOJI,X,X,O,O,X,X,X,O
TZSJILO,O,X,O,O,O,X,X,X
TZSJIOL,X,X,O,O,X,X,X,X
TZSJLIO,O,X,O,O,O,X,X,X
TZSJLOI,X,X,O,O,X,X,X,X
TZSJOIL,X,X,O,O,X,X,X,X
TZSJOLI,X,X,O,O,X,X,X,X
TZSOILJ,O,X,O,O,O,X,X,O
TZSOIJL,X,X,O,X,X,X,X,X
TZSOLIJ,O,X,O,O,O,X,X,O
TZSOLJI,X,X,O,O,X,X,X,O
TZSOJIL,X,X,O,O,X,X,X,X
TZSOJLI,X,X,O,O,X,X,X,X
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,O,X
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,O,X
TZOISJL,O,O,X,X,X,X,O,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,O,X
TZOLJIS,O,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,X,O
TZOLSJI,O,O,X,O,X,X,X,O
TZOJILS,O,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,O,O,X,O,X,X,X,O
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,O,X,X,X,O
TZOSLJI,O,O,X,O,X,X,X,O
TZOSJIL,O,O,X,O,X,X,X,X
TZOSJLI,O,O,X,O,X,X,X,X
TOILJSZ,O,O,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,O,X,X
TOILSJZ,O,O,X,X,X,X,X,X
TOILSZJ,O,O,O,X,O,X,X,X
TOILZJS,O,O,X,X,X,O,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,X,X,X
TOIJLZS,O,O,X,X,X,O,X,X
TOIJSLZ,O,O,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,X,X,O,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,O,X,X,X,X,X,X
TOISLZJ,O,O,O,O,O,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X
TOISJZL,O,O,X,O,X,X,X,X
TOISZLJ,O,O,O,O,O,X,X,X
TOISZJL,O,O,O,O,X,X,X,X
TOIZLJS,O,O,X,X,X,O,X,X
TOIZLSJ,O,O,X,O,X,X,X,X
TOIZJLS,O,O,X,X,X,O,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,O,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,X
TOLIJSZ,O,O,X,X,X,X,X,X
TOLIJZS,O,O,X,X,X,O,X,X
TOLISJZ,O,O,X,X,X,X,X,X
TOLISZJ,O,O,O,X,O,X,X,X
TOLIZJS,O,O,X,X,X,O,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,O,O,X,X,X,X,X,X
TOLJIZS,O,O,X,X,X,O,X,X
TOLJSIZ,O,O,X,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,O,O,O,O,O,X,X,X
TOLSJIZ,O,O,X,O,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,O,O,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,O,X,X,O,X
TOLZJIS,O,O,X,X,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X
TOJILSZ,O,O,X,X,X,X,X,X
TOJILZS,O,O,X,X,X,O,X,X
TOJISLZ,O,O,X,O,X,X,X,X
TOJISZL,O,O,X,O,X,X,X,X
TOJIZLS,O,O,X,X,X,O,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X
TOJLIZS,O,O,X,X,X,O,X,X
TOJLSIZ,O,O,X,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X
TOJSIZL,O,O,X,O,X,X,X,X
TOJSLIZ,O,O,X,O,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,X,O,X,X,X,X
TOJZSLI,O,O,X,O,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,O,O,O,O,O,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X
TOSIJZL,O,O,X,O,X,X,X,X
TOSIZLJ,O,O,O,O,O,X,X,X
TOSIZJL,O,O,O,O,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,O,O,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X
TOSLZJI,O,O,X,O,X,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X
TOSJIZL,O,O,X,O,X,X,X,X
TOSJLIZ,O,O,X,O,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X,X,X
TOSZILJ,O,O,X,O,O,X,X,X
TOSZIJL,O,O,X,O,X,X,X,X
TOSZLIJ,O,O,X,O,O,X,X,X
TOSZLJI,O,O,X,O,X,X,X,X
TOSZJIL,O,O,X,O,X,X,X,X
TOSZJLI,O,O,X,O,X,X,X,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,O,X,X,O,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,O,X,X,O,X
TOZISJL,O,O,X,O,X,X,O,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,O,X,X,O,X
TOZLJIS,O,O,X,X,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,X,X
TOZLSJI,O,O,X,O,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X
TOZJSIL,O,O,X,O,X,X,X,X
TOZJSLI,O,O,X,O,X,X,X,X
TOZSILJ,O,O,X,O,X,X,X,X
TOZSIJL,O,O,X,O,X,X,X,X
TOZSLIJ,O,O,X,O,X,X,X,X
TOZSLJI,O,O,X,O,X,X,X,X
TOZSJIL,O,O,X,O,X,X,X,X
TOZSJLI,O,O,X,O,X,X,X,X
ITLJSZO,O,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,X,X,X,X,X
ITLJZSO,O,O,O,X,X,O,X,X
ITLJZOS,O,O,X,X,X,O,X,X
ITLJOSZ,X,O,X,X,X,X,X,X
ITLJOZS,X,O,X,X,X,O,X,X
ITLSJZO,O,O,O,X,O,O,X,X
ITLSJOZ,O,O,X,X,X,X,X,X
ITLSZJO,O,O,O,X,O,O,X,X
ITLSZOJ,O,O,O,X,O,X,X,X
ITLSOJZ,O,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,X,O,X,X,X
ITLZJSO,O,O,O,X,X,O,O,X
ITLZJOS,O,O,X,X,X,O,X,X
ITLZSJO,O,O,O,X,O,O,O,X
ITLZSOJ,O,O,O,X,O,X,O,X
ITLZOJS,O,O,X,X,X,O,X,X
ITLZOSJ,O,O,X,X,X,X,O,X
ITLOJSZ,O,O,X,X,X,X,X,X
ITLOJZS,O,O,X,X,X,O,X,X
ITLOSJZ,O,O,X,X,X,X,X,X
ITLOSZJ,O,O,O,X,O,X,X,X
ITLOZJS,O,O,X,X,X,O,X,X
ITLOZSJ,O,O,X,X,X,X,X,X
ITJLSZO,O,O,O,X,O,O,X,X
ITJLSOZ,O,O,X,X,X,X,X,X
ITJLZSO,O,O,O,X,X,O,X,X
ITJLZOS,O,O,X,X,X,O,X,X
ITJLOSZ,X,O,X,X,X,X,X,X
ITJLOZS,X,O,X,X,X,O,X,X
ITJSLZO,O,O,O,X,O,O,X,X
ITJSLOZ,O,O,X,X,X,X,X,X
ITJSZLO,O,O,O,X,O,O,X,X
ITJSZOL,O,O,O,X,X,X,X,X
ITJSOLZ,O,O,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X
ITJZLSO,O,O,O,X,X,O,X,X
ITJZLOS,O,O,X,X,X,O,X,X
ITJZSLO,O,O,O,X,X,O,X,X
ITJZSOL,O,O,O,X,X,X,X,X
ITJZOLS,O,O,X,X,X,O,X,X
ITJZOSL,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,X,X,X,X,X
ITJOLZS,X,O,X,X,X,O,X,X
ITJOSLZ,X,O,X,X,X,X,X,X
ITJOSZL,X,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,O,X,X
ITJOZSL,X,O,X,X,X,X,X,X
ITSLJZO,O,O,O,X,O,O,X,X
ITSLJOZ,O,O,X,X,X,X,X,X
ITSLZJO,O,O,O,O,O,O,X,X
ITSLZOJ,O,O,O,O,O,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X
ITSLOZJ,O,O,O,X,O,X,X,X
ITSJLZO,O,O,O,O,O,O,X,X
ITSJLOZ,O,O,X,X,X,X,X,X
ITSJZLO,O,O,O,O,O,O,X,X
ITSJZOL,O,O,O,O,X,X,X,X
ITSJOLZ,O,O,X,X,X,X,X,X
ITSJOZL,O,O,X,O,X,X,X,X
ITSZLJO,O,O,O,O,O,O,X,X
ITSZLOJ,O,O,O,O,O,X,X,X
ITSZJLO,O,X,O,O,O,O,X,X
ITSZJOL,X,X,O,O,X,X,X,X
ITSZOLJ,O,X,O,O,O,X,X,X
ITSZOJL,X,X,O,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X
ITSOLZJ,O,O,O,X,O,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,O,X,X,X
ITSOZJL,O,X,O,X,X,X,X,X
ITZLJSO,O,O,O,X,X,O,O,X
ITZLJOS,O,O,X,X,X,O,X,X
ITZLSJO,O,O,O,O,O,O,O,X
ITZLSOJ,O,O,O,O,O,X,O,X
ITZLOJS,O,O,X,X,X,O,X,X
ITZLOSJ,O,O,X,X,X,X,O,X
ITZJLSO,O,O,O,X,X,O,O,X
ITZJLOS,O,O,X,X,X,O,X,X
ITZJSLO,O,O,O,X,X,O,O,X
ITZJSOL,O,O,O,X,X,X,O,X
ITZJOLS,O,O,X,X,X,O,X,X
ITZJOSL,X,O,X,X,X,X,X,X
ITZSLJO,O,O,O,O,O,O,O,X
ITZSLOJ,O,O,O,O,O,X,O,X
ITZSJLO,O,X,O,O,O,O,O,X
ITZSJOL,X,X,O,O,X,X,O,X
ITZSOLJ,O,X,O,O,O,X,O,X
ITZSOJL,X,X,O,X,X,X,O,X
ITZOLJS,O,O,X,X,X,O,X,X
ITZOLSJ,O,O,X,X,X,X,O,X
ITZOJLS,O,O,X,X,X,O,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,O,X
ITZOSJL,O,O,X,X,X,X,O,X
ITOLJSZ,O,O,X,X,X,X,X,X
ITOLJZS,O,O,X,X,X,O,X,X
ITOLSJZ,O,O,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,O,X,X,X
ITOLZJS,O,O,X,X,X,O,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,X,X
ITOJLZS,O,O,X,X,X,O,X,X
ITOJSLZ,O,O,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,O,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,X,X,X,X
ITOSLZJ,O,O,O,X,O,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,O,X,O,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X
ITOZLJS,O,O,X,X,X,O,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,O,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,O,O,X,O,O,X,X
ILTJSOZ,O,O,X,X,X,X,X,X
ILTJZSO,O,O,O,X,X,O,X,X
ILTJZOS,O,O,X,X,X,O,X,X
ILTJOSZ,X,O,X,X,X,X,X,X
ILTJOZS,X,O,X,X,X,O,X,X
ILTSJZO,O,O,O,X,O,O,X,X
ILTSJOZ,O,O,X,X,X,X,X,X
ILTSZJO,O,O,O,X,O,O,X,X
ILTSZOJ,O,O,O,X,O,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,O,X,X,X
ILTZJSO,O,O,O,X,X,O,O,X
ILTZJOS,O,O,X,X,X,O,X,X
ILTZSJO,O,O,O,X,O,O,O,X
ILTZSOJ,O,O,O,X,O,X,O,X
ILTZOJS,O,O,X,X,X,O,X,X
ILTZOSJ,O,O,X,X,X,X,O,X
ILTOJSZ,O,O,X,X,X,X,X,X
ILTOJZS,O,O,X,X,X,O,X,X
ILTOSJZ,O,O,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,O,X,X,X
ILTOZJS,O,O,X,X,X,O,X,X
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,O,O,O,X,O,O,X,X
ILJTSOZ,O,O,X,X,X,X,X,X
ILJTZSO,O,O,O,X,X,O,X,X
ILJTZOS,O,O,X,X,X,O,X,X
ILJTOSZ,X,O,X,X,X,X,X,X
ILJTOZS,X,O,X,X,X,O,X,X
ILJSTZO,O,O,O,X,O,O,X,X
ILJSTOZ,O,O,X,X,X,X,X,X
ILJSZTO,O,O,O,X,O,O,O,X
ILJSZOT,O,O,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,X,X
ILJZTSO,O,O,O,X,X,O,X,X
ILJZTOS,O,O,X,X,X,O,X,X
ILJZSTO,O,O,O,X,X,O,X,X
ILJZSOT,O,O,O,X,X,X,X,X
ILJZOTS,O,O,X,X,X,O,X,X
ILJZOST,O,O,O,X,X,X,X,X
ILJOTSZ,O,O,X,X,X,X,X,X
ILJOTZS,O,O,X,X,X,O,X,X
ILJOSTZ,O,O,X,X,X,X,X,X
ILJOSZT,O,O,X,X,X,X,X,X
ILJOZTS,O,O,X,X,X,O,X,X
ILJOZST,O,O,O,X,X,X,X,X
ILSTJZO,O,O,O,X,O,O,X,X
ILSTJOZ,O,O,X,X,X,X,X,X
ILSTZJO,O,O,O,X,O,O,X,X
ILSTZOJ,O,O,O,X,O,X,X,X
ILSTOJZ,O,X,X,X,X,X,X,X
ILSTOZJ,O,O,O,X,O,X,X,X
ILSJTZO,O,O,O,X,O,O,X,X
ILSJTOZ,O,O,X,X,X,X,X,X
ILSJZTO,O,O,O,X,O,O,O,X
ILSJZOT,O,O,O,X,X,X,X,X
ILSJOTZ,O,O,X,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X
ILSZTJO,O,O,O,X,O,O,O,X
ILSZTOJ,O,O,O,X,O,X,O,X
ILSZJTO,O,O,O,X,O,O,O,X
ILSZJOT,O,O,O,X,X,X,X,X
ILSZOTJ,O,O,O,X,O,X,X,O
ILSZOJT,O,O,O,X,X,X,X,O
ILSOTJZ,O,O,X,X,X,X,X,X
ILSOTZJ,O,O,O,X,O,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X
ILSOZTJ,O,O,O,X,O,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X
ILZTJSO,O,O,O,X,X,O,O,X
ILZTJOS,O,O,X,X,X,O,X,X
ILZTSJO,O,O,O,X,O,O,O,X
ILZTSOJ,O,O,O,X,O,X,O,X
ILZTOJS,O,O,X,X,X,O,X,X
ILZTOSJ,O,O,X,X,X,X,O,X
ILZJTSO,O,O,O,X,X,O,X,X
ILZJTOS,O,O,X,X,X,O,X,X
ILZJSTO,O,O,O,X,X,O,X,X
ILZJSOT,O,O,O,X,X,X,X,X
ILZJOTS,O,O,X,X,X,O,X,X
ILZJOST,O,O,O,X,X,X,X,X
ILZSTJO,O,O,O,X,O,O,X,X
ILZSTOJ,O,O,O,X,O,X,X,X
ILZSJTO,O,O,O,X,O,O,X,X
ILZSJOT,O,O,O,X,X,X,X,X
ILZSOTJ,O,O,O,X,O,X,X,O
ILZSOJT,O,O,O,X,X,X,X,O
ILZOTJS,O,O,X,X,X,O,X,X
ILZOTSJ,O,O,X,X,X,X,X,X
ILZOJTS,O,O,X,X,X,O,X,X
ILZOJST,O,O,O,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,O
ILZOSJT,O,O,O,X,X,X,X,O
ILOTJSZ,O,O,X,X,X,X,X,X
ILOTJZS,O,O,X,X,X,O,X,X
ILOTSJZ,O,O,X,X,X,X,X,X
ILOTSZJ,O,O,O,X,O,X,X,X
ILOTZJS,O,O,X,X,X,O,X,X
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,X,X,X
ILOJTZS,O,O,X,X,X,O,X,X
ILOJSTZ,O,O,X,X,X,X,X,X
ILOJSZT,O,O,X,X,X,X,X,X
ILOJZTS,O,O,X,X,X,O,X,X
ILOJZST,O,O,O,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X
ILOSTZJ,O,O,O,X,O,X,X,X
ILOSJTZ,O,O,X,X,X,X,X,X
ILOSJZT,O,O,X,X,X,X,X,X
ILOSZTJ,O,O,O,X,O,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X
ILOZTJS,O,O,X,X,X,O,X,X
ILOZTSJ,O,O,X,X,X,X,X,X
ILOZJTS,O,O,X,X,X,O,X,X
ILOZJST,O,O,O,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X
IJTLSZO,O,O,O,X,O,O,X,X
IJTLSOZ,O,O,X,X,X,X,X,X
IJTLZSO,O,O,O,X,X,O,X,X
IJTLZOS,O,O,X,X,X,O,X,X
IJTLOSZ,X,O,X,X,X,X,X,X
IJTLOZS,X,O,X,X,X,O,X,X
IJTSLZO,O,O,O,O,O,O,X,X
IJTSLOZ,O,O,X,X,X,X,X,X
IJTSZLO,O,O,O,O,O,O,X,X
IJTSZOL,O,O,O,O,X,X,X,X
IJTSOLZ,O,O,X,O,X,X,X,X
IJTSOZL,O,O,X,O,X,X,X,X
IJTZLSO,O,O,O,X,X,O,X,X
IJTZLOS,O,O,X,X,X,O,X,X
IJTZSLO,O,O,O,X,X,O,X,X
IJTZSOL,O,O,O,X,X,X,X,X
IJTZOLS,O,O,X,X,X,O,X,X
IJTZOSL,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,X,X,X
IJTOLZS,X,O,X,X,X,O,X,X
IJTOSLZ,X,O,X,O,X,X,X,X
IJTOSZL,X,O,X,O,X,X,X,X
IJTOZLS,X,O,X,X,X,O,X,X
IJTOZSL,X,O,X,X,X,X,X,X
IJLTSZO,O,O,O,X,O,O,X,X
IJLTSOZ,O,O,X,X,X,X,X,X
IJLTZSO,O,O,O,X,X,O,X,X
IJLTZOS,O,O,X,X,X,O,X,X
IJLTOSZ,X,O,X,X,X,X,X,X
IJLTOZS,X,O,X,X,X,O,X,X
IJLSTZO,O,O,O,O,O,O,X,X
IJLSTOZ,O,O,X,X,X,X,X,X
IJLSZTO,O,O,O,X,O,O,O,X
IJLSZOT,O,O,O,X,X,X,X,X
IJLSOTZ,O,O,X,O,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X,X
IJLZTSO,O,O,O,X,X,O,X,X
IJLZTOS,O,O,X,X,X,O,X,X
IJLZSTO,O,O,O,X,X,O,X,X
IJLZSOT,O,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,X,O,X,X
IJLZOST,O,O,O,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,X,X,X
IJLOTZS,O,O,X,X,X,O,X,X
IJLOSTZ,O,O,X,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X,X,X
IJLOZTS,O,O,X,X,X,O,X,X
IJLOZST,O,O,O,X,X,X,X,X
IJSTLZO,O,O,O,O,O,O,X,X
IJSTLOZ,O,O,X,X,X,X,X,X
IJSTZLO,O,O,O,O,O,O,X,X
IJSTZOL,O,O,O,O,X,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X
IJSLTZO,O,O,O,O,O,O,X,X
IJSLTOZ,O,O,X,X,X,X,X,X
IJSLZTO,O,O,O,X,O,O,O,X
IJSLZOT,O,O,O,X,X,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,X
IJSLOZT,O,O,X,X,X,X,X,X
IJSZTLO,O,O,O,O,O,O,O,X
IJSZTOL,O,O,O,O,X,X,O,X
IJSZLTO,O,O,O,X,O,O,O,X
IJSZLOT,O,O,O,X,X,X,X,X
IJSZOTL,O,O,O,O,X,X,X,X
IJSZOLT,O,O,O,X,X,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X
IJSOTZL,O,O,X,O,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X
IJSOLZT,O,O,X,X,X,X,X,X
IJSOZTL,O,O,X,O,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,O,O,O,X,X,O,X,X
IJZTLOS,O,O,X,X,X,O,X,X
IJZTSLO,O,O,O,X,X,O,X,X
IJZTSOL,O,O,O,X,X,X,X,X
IJZTOLS,O,O,X,X,X,O,X,X
IJZTOSL,X,O,X,X,X,X,X,X
IJZLTSO,O,O,O,X,X,O,X,X
IJZLTOS,O,O,X,X,X,O,X,X
IJZLSTO,O,O,O,X,X,O,X,X
IJZLSOT,O,O,O,X,X,X,X,X
IJZLOTS,O,O,X,X,X,O,X,X
IJZLOST,O,O,O,X,X,X,X,X
IJZSTLO,O,O,O,O,X,O,X,X
IJZSTOL,O,O,O,O,X,X,X,X
IJZSLTO,O,O,O,X,X,O,X,X
IJZSLOT,O,O,O,X,X,X,X,X
IJZSOTL,O,O,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X,X
IJZOTLS,O,O,X,X,X,O,X,X
IJZOTSL,O,O,X,X,X,X,X,X
IJZOLTS,O,O,X,X,X,O,X,X
IJZOLST,O,O,O,X,X,X,X,X
IJZOSTL,O,O,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,X
IJOTLZS,O,O,X,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,X,X,X
IJOTSZL,O,O,X,O,X,X,X,X
IJOTZLS,O,O,X,X,X,O,X,X
IJOTZSL,O,O,X,X,X,X,X,X
IJOLTSZ,O,O,X,X,X,X,X,X
IJOLTZS,O,O,X,X,X,O,X,X
IJOLSTZ,O,O,X,O,X,X,X,X
IJOLSZT,O,O,X,X,X,X,X,X
IJOLZTS,O,O,X,X,X,O,X,X
IJOLZST,O,O,O,X,X,X,X,X
