sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,O,X,X
TIOZJSL,O,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,O,O,O,X,O,O,X,X
TLIJSOZ,O,O,X,X,X,X,X,X
TLIJZSO,O,O,O,X,X,O,X,X
TLIJZOS,O,O,X,X,X,O,X,X
TLIJOSZ,X,O,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,O,X,X
TLISJZO,O,O,O,X,O,O,X,X
TLISJOZ,O,O,X,X,X,X,X,X
TLISZJO,O,O,O,X,O,O,X,X
TLISZOJ,O,O,O,X,O,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,O,X,X,X
TLIZJSO,O,O,O,X,X,O,O,X
TLIZJOS,O,O,X,X,X,O,X,X
TLIZSJO,O,O,O,X,O,O,O,X
TLIZSOJ,O,O,O,X,O,X,O,X
TLIZOJS,O,O,X,X,X,O,X,X
TLIZOSJ,O,O,X,X,X,X,O,X
TLIOJSZ,O,O,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,O,X,X
TLIOSJZ,O,O,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,O,X,X,X
TLIOZJS,O,O,X,X,X,O,X,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,O,X,X
TLJISOZ,O,O,X,X,X,X,X,X
TLJIZSO,O,O,O,X,X,O,X,X
TLJIZOS,O,O,X,X,X,O,X,X
TLJIOSZ,X,O,X,X,X,X,X,X
