sequence,v115@HhA8IeA8BeA8EeG8BeB8Jex/IvhFmhBCjBzkBFmBXo?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFRhBGjBXlBimBzn?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFamBRiBcoBXlBzm?B+sB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFamBGiBTjBXlBRs?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jex/IvhFmhBcoBzkBFmBSs?B3sB
TILJSZO,O,O,X,O,X
TILJSOZ,O,O,X,O,X
TILJZSO,O,O,O,X,X
TILJZOS,X,O,O,O,O
TILJOSZ,X,O,X,O,O
TILJOZS,X,O,O,O,O
TILSJZO,O,O,X,O,X
TILSJOZ,O,O,X,O,X
TILSZJO,O,O,X,O,X
TILSZOJ,O,O,X,O,X
TILSOJZ,O,O,X,O,X
TILSOZJ,X,X,X,O,X
TILZJSO,O,O,O,X,X
TILZJOS,X,O,O,O,O
TILZSJO,O,O,O,X,X
TILZSOJ,O,O,O,X,X
TILZOJS,X,O,O,O,O
TILZOSJ,X,O,O,X,O
TILOJSZ,X,O,X,O,O
TILOJZS,X,O,O,O,O
TILOSJZ,X,O,X,O,O
TILOSZJ,X,X,X,O,O
TILOZJS,X,O,X,O,O
TILOZSJ,X,O,X,X,O
TIJLSZO,O,O,X,O,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,O,O,O,X,X
TIJLZOS,X,O,O,O,X
TIJLOSZ,X,O,X,O,X
TIJLOZS,X,O,O,O,X
TIJSLZO,O,X,X,O,X
TIJSLOZ,O,X,X,O,X
TIJSZLO,O,X,X,O,X
TIJSZOL,O,X,X,O,X
TIJSOLZ,O,X,X,O,X
TIJSOZL,O,X,X,O,X
TIJZLSO,O,O,O,X,X
TIJZLOS,X,O,O,O,X
TIJZSLO,O,X,O,X,X
TIJZSOL,O,X,X,X,X
TIJZOLS,O,X,O,O,X
TIJZOSL,O,X,O,X,X
TIJOLSZ,O,O,X,O,X
TIJOLZS,O,O,O,O,X
TIJOSLZ,O,X,X,O,X
TIJOSZL,O,X,X,O,X
TIJOZLS,O,X,O,O,X
TIJOZSL,O,X,O,X,X
TISLJZO,O,X,X,O,X
TISLJOZ,O,X,X,O,X
TISLZJO,O,X,X,O,X
TISLZOJ,O,X,X,O,X
TISLOJZ,O,X,X,O,X
TISLOZJ,O,X,X,O,X
TISJLZO,O,X,X,O,X
TISJLOZ,O,X,X,O,X
TISJZLO,O,X,X,O,X
TISJZOL,O,X,X,O,X
TISJOLZ,O,X,X,O,X
TISJOZL,O,X,X,O,X
