sequence,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFFiBTjBGlB0?mB3pByvB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeuEJvhFFhBXiBTjBy?uBRrB0qB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeSFJvhFxhBTjBmmBU?qBFrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeUBJvhFFiBTjBClB2?vBRrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjB3?pBFrBUqB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjBU?lB1uBXrB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JexAJvhFXiBTjBllBU?qBirB+pB
TILJSZO,X,O,X,O,O,X,X
TILJSOZ,O,O,O,O,O,X,X
TILJZSO,X,O,O,O,X,X,X
TILJZOS,O,O,O,O,O,X,X
TILJOSZ,O,O,O,O,O,X,X
TILJOZS,O,O,O,O,O,X,X
TILSJZO,X,O,X,X,O,X,X
TILSJOZ,X,O,X,X,O,X,X
TILSZJO,X,O,X,X,O,X,X
TILSZOJ,X,O,X,X,O,X,X
TILSOJZ,X,O,X,X,O,X,X
TILSOZJ,X,O,X,X,O,X,X
TILZJSO,X,O,O,O,X,X,X
TILZJOS,X,O,O,O,O,X,X
TILZSJO,X,O,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X
TILZOJS,X,O,O,O,O,X,X
TILZOSJ,X,O,X,X,X,X,X
TILOJSZ,O,O,O,O,O,X,X
TILOJZS,O,O,O,O,O,X,X
TILOSJZ,X,O,X,X,O,X,X
TILOSZJ,X,O,X,X,O,X,X
TILOZJS,X,O,O,O,O,X,X
TILOZSJ,X,O,X,X,X,X,X
TIJLSZO,X,O,X,O,O,X,X
TIJLSOZ,X,O,O,O,O,X,X
TIJLZSO,X,O,O,O,X,X,X
TIJLZOS,X,O,O,O,O,X,X
TIJLOSZ,X,O,O,O,O,X,X
TIJLOZS,X,O,O,O,O,X,X
TIJSLZO,X,O,X,O,O,O,X
TIJSLOZ,X,O,O,O,O,O,X
TIJSZLO,X,X,O,O,O,O,X
TIJSZOL,X,X,O,O,O,O,X
TIJSOLZ,X,O,O,O,O,O,X
TIJSOZL,X,X,O,O,O,O,X
TIJZLSO,X,X,O,O,X,O,X
TIJZLOS,X,X,O,O,X,O,X
TIJZSLO,X,X,O,O,X,O,X
TIJZSOL,X,X,O,O,X,O,X
TIJZOLS,X,X,O,O,X,O,X
TIJZOSL,X,X,O,O,X,O,X
TIJOLSZ,X,O,O,O,O,X,X
TIJOLZS,X,O,O,O,O,X,X
TIJOSLZ,X,O,O,O,O,O,X
TIJOSZL,X,X,O,O,O,O,X
TIJOZLS,X,X,O,O,X,O,X
TIJOZSL,X,X,O,O,X,O,X
TISLJZO,X,O,X,X,O,O,X
TISLJOZ,X,O,X,X,O,O,X
TISLZJO,X,O,X,X,O,O,X
TISLZOJ,X,O,X,X,O,O,X
TISLOJZ,X,O,X,X,O,O,X
TISLOZJ,X,O,X,X,O,O,X
TISJLZO,X,O,X,O,O,O,X
TISJLOZ,O,O,O,O,O,O,X
TISJZLO,X,X,O,O,O,O,X
TISJZOL,O,X,O,O,O,O,X
TISJOLZ,O,O,O,O,O,O,X
TISJOZL,O,X,O,O,O,O,X
TISZLJO,X,O,X,X,X,O,X
TISZLOJ,O,O,X,X,X,O,X
TISZJLO,O,X,O,O,X,O,X
TISZJOL,O,X,O,O,X,O,X
TISZOLJ,O,O,X,X,X,O,X
TISZOJL,O,X,O,O,X,O,X
TISOLJZ,X,O,X,X,O,O,X
TISOLZJ,X,O,X,X,O,O,X
TISOJLZ,O,O,O,O,O,O,X
TISOJZL,O,X,O,O,O,O,X
TISOZLJ,O,O,X,X,X,O,X
TISOZJL,O,X,O,O,X,O,X
TIZLJSO,O,O,O,O,X,O,X
TIZLJOS,O,O,O,O,X,O,X
TIZLSJO,X,O,X,X,X,O,X
TIZLSOJ,O,O,X,X,X,O,X
TIZLOJS,O,O,O,O,X,O,X
TIZLOSJ,O,O,X,X,X,O,X
TIZJLSO,X,X,O,O,X,O,X
TIZJLOS,X,X,O,O,X,O,X
TIZJSLO,X,X,O,O,X,O,X
TIZJSOL,X,X,O,O,X,O,X
TIZJOLS,O,X,O,O,X,O,X
TIZJOSL,O,X,O,O,X,O,X
TIZSLJO,X,O,X,X,X,O,X
TIZSLOJ,O,O,X,X,X,O,X
TIZSJLO,O,X,O,O,X,O,X
TIZSJOL,O,X,O,O,X,O,X
TIZSOLJ,O,O,X,X,X,O,X
TIZSOJL,O,X,O,O,X,O,X
TIZOLJS,O,O,O,O,X,O,X
TIZOLSJ,O,O,X,X,X,O,X
TIZOJLS,O,X,O,O,X,O,X
TIZOJSL,O,X,O,O,X,O,X
TIZOSLJ,O,O,X,X,X,O,X
TIZOSJL,O,X,O,O,X,O,X
TIOLJSZ,O,O,O,O,O,X,X
TIOLJZS,O,O,O,O,O,X,X
TIOLSJZ,X,O,X,X,O,X,X
TIOLSZJ,X,O,X,X,O,X,X
TIOLZJS,X,O,O,O,O,X,X
TIOLZSJ,X,O,X,X,X,X,X
TIOJLSZ,X,O,O,O,O,X,X
TIOJLZS,X,O,O,O,O,X,X
TIOJSLZ,X,O,O,O,O,O,X
TIOJSZL,X,X,O,O,O,O,X
TIOJZLS,X,X,O,O,X,O,X
TIOJZSL,X,X,O,O,X,O,X
TIOSLJZ,X,O,X,X,O,O,X
TIOSLZJ,X,O,X,X,O,O,X
TIOSJLZ,O,O,O,O,O,O,X
TIOSJZL,O,X,O,O,O,O,X
TIOSZLJ,O,O,X,X,X,O,X
TIOSZJL,O,X,O,O,X,O,X
TIOZLJS,O,O,O,O,X,O,X
TIOZLSJ,O,O,X,X,X,O,X
TIOZJLS,O,X,O,O,X,O,X
TIOZJSL,O,X,O,O,X,O,X
TIOZSLJ,O,O,X,X,X,O,X
TIOZSJL,O,X,O,O,X,O,X
TLIJSZO,X,O,X,O,O,X,X
TLIJSOZ,O,O,O,O,O,X,X
TLIJZSO,X,O,O,O,X,X,X
TLIJZOS,O,O,O,O,O,X,X
TLIJOSZ,O,O,O,O,O,X,X
