sequence,v115@GhA8IeC8AeA8EeF8DeA8JeT/IvhFOlBVmBcnBZoB3m?BSxB,v115@GhA8IeC8AeA8EeF8DeA8JeT/IvhFOlBXhBZoBFnB6s?B0rB,v115@GhA8IeC8AeA8EeF8DeA8Jei/IvhFRhBziBFlB/rBms?BUsB,v115@GhA8IeC8AeA8EeF8DeA8Jei/IvhFUhB3iBFlBetBxr?BzrB
TSZLJIO,X,O,O,O
TSZLJOI,X,O,O,O
TSZLOIJ,X,O,X,X
TSZLOJI,X,O,X,X
TSZJILO,X,O,O,O
TSZJIOL,X,O,O,O
TSZJLIO,X,O,O,O
TSZJLOI,X,O,O,O
TSZJOIL,X,O,O,X
TSZJOLI,X,O,O,O
TSZOILJ,X,O,X,X
TSZOIJL,X,O,X,X
TSZOLIJ,X,O,X,X
TSZOLJI,X,O,X,X
TSZOJIL,X,O,X,X
TSZOJLI,X,O,X,X
TSOILJZ,O,X,O,X
TSOILZJ,O,X,X,X
TSOIJLZ,O,X,O,X
TSOIJZL,X,O,O,X
TSOIZLJ,X,O,X,X
TSOIZJL,X,O,X,X
TSOLIJZ,O,X,O,X
TSOLIZJ,O,X,X,X
TSOLJIZ,O,X,O,X
TSOLJZI,O,X,O,X
TSOLZIJ,O,X,X,X
TSOLZJI,O,X,X,X
TSOJILZ,O,X,O,X
TSOJIZL,X,O,O,X
TSOJLIZ,O,X,O,X
TSOJLZI,O,X,O,X
TSOJZIL,X,O,O,X
TSOJZLI,X,O,O,X
TSOZILJ,X,O,X,X
TSOZIJL,X,O,X,X
TSOZLIJ,X,O,X,X
TSOZLJI,X,O,X,X
TSOZJIL,X,O,X,X
TSOZJLI,X,O,X,X
TZILJSO,O,O,X,O
TZILJOS,O,O,O,O
TZILSJO,O,O,O,X
TZILSOJ,O,O,X,X
TZILOJS,O,O,X,X
TZILOSJ,O,O,X,X
TZIJLSO,O,O,X,O
TZIJLOS,O,O,O,O
TZIJSLO,X,O,X,O
TZIJSOL,X,O,X,O
TZIJOLS,O,O,O,O
TZIJOSL,X,O,X,O
TZISLJO,X,O,O,X
TZISLOJ,X,O,X,X
TZISJLO,X,O,O,X
TZISJOL,X,O,O,X
TZISOLJ,X,O,X,X
TZISOJL,X,O,X,X
TZIOLJS,O,O,X,X
TZIOLSJ,O,O,X,X
TZIOJLS,O,O,X,X
TZIOJSL,X,O,X,X
TZIOSLJ,X,O,X,X
TZIOSJL,X,O,X,X
TZLIJSO,O,O,X,O
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,X
TZLISOJ,O,O,X,X
TZLIOJS,O,O,X,X
TZLIOSJ,O,O,X,X
TZLJISO,O,O,X,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,O
TZLJSOI,O,O,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,O,O,X
TZLSIOJ,O,O,X,X
TZLSJIO,O,O,O,O
TZLSJOI,O,O,O,O
TZLSOIJ,O,O,X,X
TZLSOJI,O,O,X,X
TZLOIJS,O,O,X,X
TZLOISJ,O,O,X,X
TZLOJIS,O,O,X,O
TZLOJSI,O,O,X,O
TZLOSIJ,O,O,X,X
TZLOSJI,O,O,X,X
TZJILSO,O,O,X,O
TZJILOS,O,O,O,O
TZJISLO,X,O,X,O
TZJISOL,X,O,X,O
TZJIOLS,O,O,O,O
TZJIOSL,X,O,X,O
TZJLISO,O,O,X,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,O
TZJLSOI,O,O,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,X,O,O,O
TZJSIOL,X,O,O,O
TZJSLIO,X,O,O,O
TZJSLOI,X,O,O,O
TZJSOIL,X,O,O,X
TZJSOLI,X,O,O,O
TZJOILS,O,O,O,O
TZJOISL,X,O,X,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,X,O,O,X
TZJOSLI,X,O,O,O
TZSILJO,X,O,O,X
TZSILOJ,X,O,X,X
TZSIJLO,X,O,O,X
TZSIJOL,X,O,O,X
TZSIOLJ,X,O,X,X
TZSIOJL,X,O,X,X
TZSLIJO,X,O,O,X
TZSLIOJ,X,O,X,X
TZSLJIO,X,O,O,O
TZSLJOI,X,O,O,O
TZSLOIJ,X,O,X,X
TZSLOJI,X,O,X,X
TZSJILO,X,O,O,O
TZSJIOL,X,O,O,O
TZSJLIO,X,O,O,O
TZSJLOI,X,O,O,O
TZSJOIL,X,O,O,X
TZSJOLI,X,O,O,O
TZSOILJ,X,O,X,X
TZSOIJL,X,O,X,X
TZSOLIJ,X,O,X,X
TZSOLJI,X,O,X,X
TZSOJIL,X,O,X,X
TZSOJLI,X,O,X,X
TZOILJS,O,O,X,X
TZOILSJ,O,O,X,X
TZOIJLS,O,O,X,X
TZOIJSL,X,O,X,X
TZOISLJ,X,O,X,X
TZOISJL,X,O,X,X
TZOLIJS,O,O,X,X
TZOLISJ,O,O,X,X
TZOLJIS,O,O,X,O
TZOLJSI,O,O,X,O
TZOLSIJ,O,O,X,X
TZOLSJI,O,O,X,X
TZOJILS,O,O,X,O
TZOJISL,X,O,X,O
TZOJLIS,O,O,X,O
TZOJLSI,O,O,X,O
TZOJSIL,X,O,X,X
TZOJSLI,X,O,X,O
TZOSILJ,X,O,X,X
TZOSIJL,X,O,X,X
TZOSLIJ,X,O,X,X
TZOSLJI,X,O,X,X
TZOSJIL,X,O,X,X
TZOSJLI,X,O,X,X
TOILJSZ,O,X,O,X
TOILJZS,O,X,O,X
TOILSJZ,O,X,O,X
TOILSZJ,O,X,X,X
TOILZJS,O,X,X,X
TOILZSJ,O,X,X,X
TOIJLSZ,O,X,O,X
TOIJLZS,O,X,O,X
TOIJSLZ,O,X,O,X
TOIJSZL,X,O,X,X
TOIJZLS,O,O,O,X
TOIJZSL,X,O,X,X
TOISLJZ,O,X,O,X
TOISLZJ,O,X,X,X
TOISJLZ,O,X,O,X
TOISJZL,X,O,O,X
TOISZLJ,X,O,X,X
TOISZJL,X,O,X,X
TOIZLJS,O,O,X,X
TOIZLSJ,O,O,X,X
TOIZJLS,O,O,X,X
TOIZJSL,X,O,X,X
TOIZSLJ,X,O,X,X
TOIZSJL,X,O,X,X
TOLIJSZ,O,X,O,X
TOLIJZS,O,X,O,X
TOLISJZ,O,X,O,X
TOLISZJ,O,X,X,X
TOLIZJS,O,X,X,X
TOLIZSJ,O,X,X,X
TOLJISZ,O,X,O,O
TOLJIZS,O,X,O,O
TOLJSIZ,O,X,O,O
TOLJSZI,O,X,O,O
TOLJZIS,O,X,O,O
TOLJZSI,O,X,O,O
TOLSIJZ,O,X,O,X
TOLSIZJ,O,X,X,X
TOLSJIZ,O,X,O,X
TOLSJZI,O,X,O,X
TOLSZIJ,O,X,X,X
TOLSZJI,O,X,X,X
TOLZIJS,O,X,X,X
TOLZISJ,O,X,X,X
TOLZJIS,O,X,X,O
TOLZJSI,O,X,X,O
TOLZSIJ,O,X,X,X
TOLZSJI,O,X,X,X
TOJILSZ,O,X,O,O
TOJILZS,O,X,O,O
TOJISLZ,O,X,O,O
TOJISZL,X,O,O,O
TOJIZLS,O,O,O,O
TOJIZSL,X,O,X,O
TOJLISZ,O,X,O,O
TOJLIZS,O,X,O,O
TOJLSIZ,O,X,O,O
TOJLSZI,O,X,O,O
TOJLZIS,O,X,O,O
TOJLZSI,O,X,O,O
TOJSILZ,O,X,O,O
TOJSIZL,X,O,O,O
TOJSLIZ,O,X,O,O
TOJSLZI,O,X,O,O
TOJSZIL,X,O,O,X
TOJSZLI,X,O,O,O
TOJZILS,O,O,O,O
TOJZISL,X,O,X,O
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,X,O,O,X
TOJZSLI,X,O,O,O
TOSILJZ,O,X,O,X
TOSILZJ,O,X,X,X
TOSIJLZ,O,X,O,X
TOSIJZL,X,O,O,X
TOSIZLJ,X,O,X,X
TOSIZJL,X,O,X,X
TOSLIJZ,O,X,O,X
TOSLIZJ,O,X,X,X
TOSLJIZ,O,X,O,X
TOSLJZI,O,X,O,X
TOSLZIJ,O,X,X,X
TOSLZJI,O,X,X,X
TOSJILZ,O,X,O,X
TOSJIZL,X,O,O,X
TOSJLIZ,O,X,O,X
TOSJLZI,O,X,O,X
TOSJZIL,X,O,O,X
TOSJZLI,X,O,O,X
TOSZILJ,X,O,X,X
TOSZIJL,X,O,X,X
TOSZLIJ,X,O,X,X
TOSZLJI,X,O,X,X
TOSZJIL,X,O,X,X
TOSZJLI,X,O,X,X
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,X
TOZIJLS,O,O,X,X
TOZIJSL,X,O,X,X
TOZISLJ,X,O,X,X
TOZISJL,X,O,X,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,O
TOZLJSI,O,O,X,O
TOZLSIJ,O,O,X,X
TOZLSJI,O,O,X,X
TOZJILS,O,O,X,O
TOZJISL,X,O,X,O
TOZJLIS,O,O,X,O
TOZJLSI,O,O,X,O
TOZJSIL,X,O,X,X
TOZJSLI,X,O,X,O
TOZSILJ,X,O,X,X
TOZSIJL,X,O,X,X
TOZSLIJ,X,O,X,X
TOZSLJI,X,O,X,X
TOZSJIL,X,O,X,X
TOZSJLI,X,O,X,X
ITLJSZO,O,X,O,O
ITLJSOZ,O,X,O,O
ITLJZSO,O,X,X,O
ITLJZOS,O,X,O,O
ITLJOSZ,O,X,O,O
ITLJOZS,O,X,O,O
ITLSJZO,O,X,O,X
ITLSJOZ,O,X,O,X
ITLSZJO,O,X,O,X
ITLSZOJ,O,X,X,X
ITLSOJZ,O,X,O,X
ITLSOZJ,O,X,X,X
ITLZJSO,O,X,X,O
ITLZJOS,O,X,O,O
ITLZSJO,O,X,O,X
ITLZSOJ,O,X,X,X
ITLZOJS,O,X,X,X
ITLZOSJ,O,X,X,X
ITLOJSZ,O,X,O,X
ITLOJZS,O,X,O,X
ITLOSJZ,O,X,O,X
ITLOSZJ,O,X,X,X
ITLOZJS,O,X,X,X
ITLOZSJ,O,X,X,X
ITJLSZO,O,X,O,O
ITJLSOZ,O,X,O,O
ITJLZSO,O,X,X,O
ITJLZOS,O,X,O,O
ITJLOSZ,O,X,O,O
ITJLOZS,O,X,O,O
ITJSLZO,O,X,O,O
ITJSLOZ,O,X,O,O
ITJSZLO,X,O,O,O
ITJSZOL,X,O,O,O
ITJSOLZ,O,X,O,O
ITJSOZL,X,O,O,O
ITJZLSO,O,O,X,O
ITJZLOS,O,O,O,O
ITJZSLO,X,O,X,O
ITJZSOL,X,O,X,O
ITJZOLS,O,O,O,O
ITJZOSL,X,O,X,O
ITJOLSZ,O,X,O,O
ITJOLZS,O,X,O,O
ITJOSLZ,O,X,O,O
ITJOSZL,X,O,O,O
ITJOZLS,O,O,O,O
ITJOZSL,X,O,X,O
ITSLJZO,O,X,O,X
ITSLJOZ,O,X,O,X
ITSLZJO,O,X,O,X
ITSLZOJ,O,X,X,X
ITSLOJZ,O,X,O,X
ITSLOZJ,O,X,X,X
ITSJLZO,O,X,O,X
ITSJLOZ,O,X,O,X
ITSJZLO,X,O,O,X
ITSJZOL,X,O,O,X
ITSJOLZ,O,X,O,X
ITSJOZL,X,O,O,X
ITSZLJO,X,O,O,X
ITSZLOJ,X,O,X,X
ITSZJLO,X,O,O,X
ITSZJOL,X,O,O,X
ITSZOLJ,X,O,X,X
ITSZOJL,X,O,X,X
ITSOLJZ,O,X,O,X
ITSOLZJ,O,X,X,X
ITSOJLZ,O,X,O,X
ITSOJZL,X,O,O,X
ITSOZLJ,X,O,X,X
ITSOZJL,X,O,X,X
ITZLJSO,O,O,X,O
ITZLJOS,O,O,O,O
ITZLSJO,O,O,O,X
ITZLSOJ,O,O,X,X
ITZLOJS,O,O,X,X
ITZLOSJ,O,O,X,X
ITZJLSO,O,O,X,O
ITZJLOS,O,O,O,O
ITZJSLO,X,O,X,O
ITZJSOL,X,O,X,O
ITZJOLS,O,O,O,O
ITZJOSL,X,O,X,O
ITZSLJO,X,O,O,X
ITZSLOJ,X,O,X,X
ITZSJLO,X,O,O,X
ITZSJOL,X,O,O,X
ITZSOLJ,X,O,X,X
ITZSOJL,X,O,X,X
ITZOLJS,O,O,X,X
ITZOLSJ,O,O,X,X
ITZOJLS,O,O,X,X
ITZOJSL,X,O,X,X
ITZOSLJ,X,O,X,X
ITZOSJL,X,O,X,X
ITOLJSZ,O,X,O,X
ITOLJZS,O,X,O,X
ITOLSJZ,O,X,O,X
ITOLSZJ,O,X,X,X
ITOLZJS,O,X,X,X
ITOLZSJ,O,X,X,X
