sequence,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBXhB?TiBeoBUsBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFUgBFhB?enBziB3sBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgB/mB?UiBaoBTsBWwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBiiB?znBUsBGrBXrB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBaoB?zmB+sB8qB3rB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBzhB?aoB+sB3rB8qB
TILJSZO,O,X,X,X,X,O
TILJSOZ,X,X,X,X,O,O
TILJZSO,O,X,X,X,X,X
TILJZOS,O,X,X,X,O,X
TILJOSZ,X,X,O,X,O,X
TILJOZS,X,X,X,X,O,X
TILSJZO,O,O,X,X,X,X
TILSJOZ,X,O,X,X,O,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,X,O,X,X,X,X
TILSOJZ,X,O,O,X,X,X
TILSOZJ,X,O,O,X,X,X
TILZJSO,O,X,X,X,X,X
TILZJOS,O,X,X,X,O,X
TILZSJO,O,O,X,X,X,X
TILZSOJ,X,O,X,X,X,X
TILZOJS,X,X,X,O,X,X
TILZOSJ,X,X,O,O,X,X
TILOJSZ,X,X,O,X,O,X
TILOJZS,X,X,X,X,O,X
TILOSJZ,X,X,O,X,X,X
TILOSZJ,X,X,O,X,X,X
TILOZJS,X,X,X,O,X,X
TILOZSJ,X,X,O,O,X,X
TIJLSZO,O,X,X,X,X,O
TIJLSOZ,X,X,X,X,O,O
TIJLZSO,O,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X
TIJLOSZ,X,X,O,X,O,X
TIJLOZS,X,X,X,X,O,X
TIJSLZO,O,O,X,X,X,O
TIJSLOZ,X,O,X,X,O,O
TIJSZLO,O,O,X,X,X,X
TIJSZOL,O,O,X,X,X,X
TIJSOLZ,X,O,O,X,O,O
TIJSOZL,O,O,O,X,X,X
TIJZLSO,O,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,O,X,X,X,X
TIJZOLS,O,X,X,O,O,X
TIJZOSL,O,X,X,O,X,X
TIJOLSZ,X,X,O,X,O,X
TIJOLZS,X,X,X,X,O,X
TIJOSLZ,X,X,O,X,O,X
TIJOSZL,O,X,O,X,X,X
TIJOZLS,O,X,X,O,O,X
TIJOZSL,O,X,X,O,X,X
TISLJZO,O,O,X,X,X,X
TISLJOZ,X,O,X,X,O,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,X,O,X,X,X,X
TISLOJZ,X,O,O,X,X,X
