sequence,v115@RhD8FeE8BeC8Jei/IvhF8mBziB+oBRlBFmBXsB,v115@RhD8FeE8BeC8Jei/IvhFXiB8nB+oBRlBFmBzrB,v115@RhD8FeE8BeC8JeT/IvhFigBRmBGoBFnBXoB0rB,v115@RhD8FeE8BeC8JeT/IvhFxgBfoB6oBmlBFsB8rB,v115@RhD8FeE8BeC8Jei/IvhFzhBRlBFoBUmBGoBXsB,v115@RhD8FeE8BeC8JeT/IvhFXjBxlB8rBStBmlBFsB
TLIOJZS,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,O,X
TLIOZJS,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X
TLJISOZ,O,X,X,X,O,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,O,X,O,X,X,X
TLJIOZS,X,O,O,X,X,X
TLJSIZO,O,X,X,O,X,X
TLJSIOZ,O,X,X,O,O,X
TLJSZIO,O,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,X,X,O,O,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,X,O,X,X,X,X
TLJZIOS,X,O,O,X,X,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,O,X,O,X,X,X
TLJOIZS,X,O,O,X,X,X
TLJOSIZ,O,X,X,O,X,X
TLJOSZI,O,X,X,O,X,X
TLJOZIS,X,O,O,X,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,O,X,X,O,X,X
TLSIJOZ,O,X,X,O,O,X
TLSIZJO,O,X,X,X,X,X
TLSIZOJ,X,X,X,X,O,X
TLSIOJZ,X,X,X,O,O,X
TLSIOZJ,X,X,X,X,O,X
TLSJIZO,O,X,X,O,X,X
TLSJIOZ,O,X,X,O,O,X
TLSJZIO,O,X,X,O,X,X
TLSJZOI,O,X,X,O,X,X
TLSJOIZ,O,X,X,O,O,X
TLSJOZI,O,X,X,O,X,X
TLSZIJO,O,X,X,X,X,X
TLSZIOJ,X,X,X,X,O,O
TLSZJIO,O,X,X,O,X,X
TLSZJOI,O,X,X,O,X,X
TLSZOIJ,X,X,X,X,O,O
TLSZOJI,X,X,X,O,X,X
TLSOIJZ,X,X,X,O,O,X
TLSOIZJ,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,O,X
TLSOJZI,X,X,X,O,X,X
TLSOZIJ,X,X,X,X,O,O
TLSOZJI,X,X,X,O,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X
TLZISJO,X,X,X,X,X,X
TLZISOJ,X,X,X,X,O,O
TLZIOJS,X,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,O
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,X,O,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,X,O,X,X,X
TLZJOSI,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,O,O
TLZSJIO,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,O,O
TLZSOJI,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X
TLZOISJ,X,X,X,X,X,O
TLZOJIS,X,X,O,X,X,X
TLZOJSI,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O
TLZOSJI,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X
TLOIJZS,X,O,O,X,X,X
TLOISJZ,X,X,X,X,O,X
TLOISZJ,X,X,X,X,O,X
TLOIZJS,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X
TLOJIZS,X,O,O,X,X,X
TLOJSIZ,X,X,X,O,X,X
TLOJSZI,X,X,X,O,X,X
TLOJZIS,X,O,O,X,X,X
TLOJZSI,X,O,X,X,X,X
TLOSIJZ,X,X,X,O,O,X
TLOSIZJ,X,X,X,X,O,X
TLOSJIZ,X,X,X,O,O,X
TLOSJZI,X,X,X,O,X,X
TLOSZIJ,X,X,X,X,O,O
TLOSZJI,X,X,X,O,X,X
TLOZIJS,X,X,O,X,X,X
TLOZISJ,X,X,X,X,X,O
TLOZJIS,X,X,O,X,X,X
TLOZJSI,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,O
TLOZSJI,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X
TJILSOZ,O,X,X,X,O,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,X
TJILOSZ,O,X,O,X,X,X
TJILOZS,X,O,O,X,X,X
TJISLZO,O,X,X,O,X,X
TJISLOZ,O,X,X,O,O,X
TJISZLO,O,X,X,X,X,X
TJISZOL,O,X,X,X,X,X
TJISOLZ,O,X,X,O,O,X
TJISOZL,O,X,X,X,X,X
TJIZLSO,X,O,X,X,X,X
TJIZLOS,X,O,X,X,X,X
TJIZSLO,X,O,X,X,X,X
TJIZSOL,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,X
TJIOLSZ,O,X,O,X,X,X
TJIOLZS,X,O,O,X,X,X
TJIOSLZ,O,X,X,O,X,X
TJIOSZL,O,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,X
TJLISZO,O,X,X,X,X,X
TJLISOZ,O,X,X,X,O,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,O,X,O,X,X,X
TJLIOZS,X,O,O,X,X,X
TJLSIZO,O,X,X,O,X,X
TJLSIOZ,O,X,X,O,O,X
TJLSZIO,O,X,X,O,X,X
TJLSZOI,O,X,X,O,X,X
TJLSOIZ,O,X,X,O,O,X
TJLSOZI,O,X,X,O,X,X
TJLZISO,X,O,X,X,X,X
TJLZIOS,X,O,O,X,X,X
TJLZSIO,X,O,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,X,X,X,X
TJLOISZ,O,X,O,X,X,X
TJLOIZS,X,O,O,X,X,X
TJLOSIZ,O,X,X,O,X,X
TJLOSZI,O,X,X,O,X,X
TJLOZIS,X,O,O,X,X,X
TJLOZSI,X,O,X,X,X,X
TJSILZO,O,X,X,O,X,X
TJSILOZ,O,X,X,O,O,X
TJSIZLO,O,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X
TJSIOLZ,O,X,X,O,O,X
TJSIOZL,O,X,X,X,X,X
TJSLIZO,O,X,X,O,X,X
TJSLIOZ,O,X,X,O,O,X
TJSLZIO,O,X,X,O,X,X
TJSLZOI,O,X,X,O,X,X
TJSLOIZ,O,X,X,O,O,X
TJSLOZI,O,X,X,O,X,X
TJSZILO,O,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X
TJSZLOI,O,X,X,O,X,X
TJSZOIL,O,X,X,X,X,X
TJSZOLI,O,X,X,O,X,X
TJSOILZ,O,X,X,O,O,X
TJSOIZL,O,X,X,X,X,X
TJSOLIZ,O,X,X,O,O,X
TJSOLZI,O,X,X,O,X,X
TJSOZIL,O,X,X,X,X,X
TJSOZLI,O,X,X,O,X,X
TJZILSO,X,O,X,X,X,X
TJZILOS,X,O,O,X,X,X
TJZISLO,X,O,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,O,O,X,X,X
TJZIOSL,X,O,X,X,X,X
TJZLISO,X,O,X,X,X,X
TJZLIOS,X,O,O,X,X,X
TJZLSIO,X,O,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,O,X,X,X,X
TJZSILO,X,O,X,X,X,X
TJZSIOL,X,X,X,X,X,X
TJZSLIO,X,O,X,O,X,X
TJZSLOI,X,X,X,O,X,X
TJZSOIL,X,X,X,X,X,X
TJZSOLI,X,X,X,O,X,X
TJZOILS,X,O,O,X,X,X
TJZOISL,X,O,X,X,X,X
TJZOLIS,X,O,O,X,X,X
TJZOLSI,X,O,X,X,X,X
TJZOSIL,X,O,X,X,X,X
TJZOSLI,X,O,X,O,X,X
TJOILSZ,O,X,O,X,X,X
TJOILZS,X,O,O,X,X,X
TJOISLZ,O,X,X,O,X,X
TJOISZL,O,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X
TJOIZSL,X,O,X,X,X,X
TJOLISZ,O,X,O,X,X,X
TJOLIZS,X,O,O,X,X,X
TJOLSIZ,O,X,X,O,X,X
TJOLSZI,O,X,X,O,X,X
TJOLZIS,X,O,O,X,X,X
TJOLZSI,X,O,X,X,X,X
TJOSILZ,O,X,X,O,X,X
TJOSIZL,O,X,X,X,X,X
TJOSLIZ,O,X,X,O,X,X
TJOSLZI,O,X,X,O,X,X
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,O,X,X
TJOZILS,X,O,O,X,X,X
TJOZISL,X,O,X,X,X,X
TJOZLIS,X,O,O,X,X,X
TJOZLSI,X,O,X,X,X,X
TJOZSIL,X,O,X,X,X,X
TJOZSLI,X,O,X,O,X,X
TSILJZO,O,X,X,O,X,X
TSILJOZ,O,X,X,O,O,X
TSILZJO,O,X,X,X,X,X
TSILZOJ,X,X,X,X,O,X
TSILOJZ,X,X,X,O,O,X
TSILOZJ,X,X,X,X,O,X
TSIJLZO,O,X,X,O,X,X
TSIJLOZ,O,X,X,O,O,X
TSIJZLO,O,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X
TSIJOLZ,O,X,X,O,O,X
TSIJOZL,O,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X
TSIZLOJ,X,X,X,X,O,X
TSIZJLO,O,X,X,X,X,X
TSIZJOL,O,X,X,X,X,X
TSIZOLJ,X,X,X,X,O,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,X,X,X,O,O,X
TSIOLZJ,X,X,X,X,O,X
TSIOJLZ,X,X,X,O,O,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,O,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,O,X,X,O,X,X
TSLIJOZ,O,X,X,O,O,X
TSLIZJO,O,X,X,X,X,X
TSLIZOJ,X,X,X,X,O,X
TSLIOJZ,X,X,X,O,O,X
TSLIOZJ,X,X,X,X,O,X
TSLJIZO,O,X,X,O,X,X
TSLJIOZ,O,X,X,O,O,X
TSLJZIO,O,X,X,O,X,X
TSLJZOI,O,X,X,O,X,X
TSLJOIZ,O,X,X,O,O,X
TSLJOZI,O,X,X,O,X,X
TSLZIJO,O,X,X,X,X,X
TSLZIOJ,X,X,X,X,O,X
TSLZJIO,O,X,X,O,X,X
TSLZJOI,O,X,X,O,X,X
TSLZOIJ,X,X,X,X,O,X
TSLZOJI,X,X,X,O,X,X
TSLOIJZ,X,X,X,O,O,X
TSLOIZJ,X,X,X,X,O,X
TSLOJIZ,X,X,X,O,O,X
TSLOJZI,X,X,X,O,X,X
TSLOZIJ,X,X,X,X,O,X
TSLOZJI,X,X,X,O,X,X
TSJILZO,O,X,X,O,X,X
TSJILOZ,O,X,X,O,O,X
TSJIZLO,O,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X
TSJIOLZ,O,X,X,O,O,X
TSJIOZL,O,X,X,X,X,X
TSJLIZO,O,X,X,O,X,X
TSJLIOZ,O,X,X,O,O,X
TSJLZIO,O,X,X,O,X,X
TSJLZOI,O,X,X,O,X,X
TSJLOIZ,O,X,X,O,O,X
TSJLOZI,O,X,X,O,X,X
TSJZILO,O,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X
TSJZLIO,O,X,X,O,X,X
TSJZLOI,O,X,X,O,X,X
TSJZOIL,O,X,X,X,X,X
TSJZOLI,O,X,X,O,X,X
TSJOILZ,O,X,X,O,O,X
TSJOIZL,O,X,X,X,X,X
TSJOLIZ,O,X,X,O,O,X
TSJOLZI,O,X,X,O,X,X
TSJOZIL,O,X,X,X,X,X
TSJOZLI,O,X,X,O,X,X
TSZILJO,O,X,X,X,X,X
TSZILOJ,X,X,X,X,O,X
TSZIJLO,O,X,X,X,X,X
TSZIJOL,O,X,X,X,X,X
TSZIOLJ,X,X,X,X,O,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,O,X,X,X,X,X
TSZLIOJ,X,X,X,X,O,X
TSZLJIO,O,X,X,O,X,X
TSZLJOI,O,X,X,O,X,X
TSZLOIJ,X,X,X,X,O,X
TSZLOJI,X,X,X,O,X,X
TSZJILO,O,X,X,X,X,X
TSZJIOL,O,X,X,X,X,X
TSZJLIO,O,X,X,O,X,X
TSZJLOI,O,X,X,O,X,X
TSZJOIL,O,X,X,X,X,X
TSZJOLI,O,X,X,O,X,X
TSZOILJ,X,X,X,X,O,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,O,X
TSZOLJI,X,X,X,O,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,O,X,X
TSOILJZ,X,X,X,O,O,X
TSOILZJ,X,X,X,X,O,X
TSOIJLZ,X,X,X,O,O,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,O,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,O,O,X
TSOLIZJ,X,X,X,X,O,X
TSOLJIZ,X,X,X,O,O,X
TSOLJZI,X,X,X,O,X,X
TSOLZIJ,X,X,X,X,O,X
TSOLZJI,X,X,X,O,X,X
TSOJILZ,X,X,X,O,O,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,O,O,X
TSOJLZI,X,X,X,O,X,X
TSOJZIL,X,X,X,X,X,X
TSOJZLI,X,X,X,O,X,X
TSOZILJ,X,X,X,X,O,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,O,X
TSOZLJI,X,X,X,O,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,O,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,O,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,O,O
TZILOJS,X,X,O,X,X,X
TZILOSJ,X,X,X,X,X,O
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,O,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,O,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,X,X,X,O,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,O,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,O,X,X,X
TZIOLSJ,X,X,X,X,X,O
TZIOJLS,X,X,O,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,O,O
TZLIOJS,X,X,O,X,X,X
TZLIOSJ,X,X,X,X,X,O
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,O,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,O,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,O,O
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,O,O
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,O,X,X,X
TZLOISJ,X,X,X,X,X,O
TZLOJIS,X,X,O,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,O
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,O,X,X,X
TZJISLO,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,X
TZJIOSL,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,O,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,O,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,X
TZJSIOL,X,X,X,X,X,X
TZJSLIO,X,X,X,O,X,X
TZJSLOI,X,X,X,O,X,X
TZJSOIL,X,X,X,X,X,X
TZJSOLI,X,X,X,O,X,X
TZJOILS,X,X,O,X,X,X
TZJOISL,X,X,X,X,X,X
TZJOLIS,X,X,O,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,X,X,X,X,X,X
TZJOSLI,X,X,X,O,X,X
TZSILJO,X,X,X,X,X,X
TZSILOJ,X,X,X,X,O,X
TZSIJLO,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,O,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,X,X,X,X,X
TZSLIOJ,X,X,X,X,O,X
TZSLJIO,X,X,X,O,X,X
TZSLJOI,X,X,X,O,X,X
TZSLOIJ,X,X,X,X,O,X
TZSLOJI,X,X,X,O,X,X
TZSJILO,X,X,X,X,X,X
TZSJIOL,X,X,X,X,X,X
TZSJLIO,X,X,X,O,X,X
TZSJLOI,X,X,X,O,X,X
TZSJOIL,X,X,X,X,X,X
TZSJOLI,X,X,X,O,X,X
TZSOILJ,X,X,X,X,O,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,X,X,X,X,O,X
TZSOLJI,X,X,X,O,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,O,X,X
TZOILJS,X,X,O,X,X,X
TZOILSJ,X,X,X,X,X,O
TZOIJLS,X,X,O,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,O,X,X,X
TZOLISJ,X,X,X,X,X,O
TZOLJIS,X,X,O,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,O
TZOLSJI,X,X,X,X,X,X
TZOJILS,X,X,O,X,X,X
TZOJISL,X,X,X,X,X,X
TZOJLIS,X,X,O,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,X
TZOJSLI,X,X,X,O,X,X
TZOSILJ,X,X,X,X,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,X,X,X,X,X,X
TZOSLJI,X,X,X,O,X,X
TZOSJIL,X,X,X,X,X,X
TZOSJLI,X,X,X,O,X,X
TOILJSZ,X,X,O,X,X,X
TOILJZS,X,O,O,X,X,X
TOILSJZ,X,X,X,X,O,X
TOILSZJ,X,X,X,X,O,X
TOILZJS,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X
TOIJLZS,X,O,O,X,X,X
TOIJSLZ,X,X,X,O,X,X
TOIJSZL,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,X
TOIJZSL,X,O,X,X,X,X
TOISLJZ,X,X,X,O,O,X
TOISLZJ,X,X,X,X,O,X
TOISJLZ,X,X,X,O,O,X
TOISJZL,X,X,X,X,X,X
TOISZLJ,X,X,X,X,O,X
TOISZJL,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,O
TOIZJLS,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,X,X
TOLIJZS,X,O,O,X,X,X
TOLISJZ,X,X,X,X,O,X
TOLISZJ,X,X,X,X,O,X
TOLIZJS,X,X,X,X,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X
TOLJIZS,X,O,O,X,X,X
TOLJSIZ,X,X,X,O,X,X
TOLJSZI,X,X,X,O,X,X
TOLJZIS,X,O,O,X,X,X
TOLJZSI,X,O,X,X,X,X
TOLSIJZ,X,X,X,O,O,X
TOLSIZJ,X,X,X,X,O,X
TOLSJIZ,X,X,X,O,O,X
TOLSJZI,X,X,X,O,X,X
TOLSZIJ,X,X,X,X,O,O
TOLSZJI,X,X,X,O,X,X
TOLZIJS,X,X,O,X,X,X
TOLZISJ,X,X,X,X,X,O
TOLZJIS,X,X,O,X,X,X
TOLZJSI,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,O
TOLZSJI,X,X,X,X,X,X
TOJILSZ,X,X,O,X,X,X
TOJILZS,X,O,O,X,X,X
TOJISLZ,X,X,X,O,X,X
TOJISZL,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,X
TOJIZSL,X,O,X,X,X,X
TOJLISZ,X,X,O,X,X,X
TOJLIZS,X,O,O,X,X,X
TOJLSIZ,X,X,X,O,X,X
TOJLSZI,X,X,X,O,X,X
TOJLZIS,X,O,O,X,X,X
TOJLZSI,X,O,X,X,X,X
TOJSILZ,X,X,X,O,X,X
TOJSIZL,X,X,X,X,X,X
TOJSLIZ,X,X,X,O,X,X
TOJSLZI,X,X,X,O,X,X
TOJSZIL,X,X,X,X,X,X
TOJSZLI,X,X,X,O,X,X
TOJZILS,X,O,O,X,X,X
TOJZISL,X,O,X,X,X,X
TOJZLIS,X,O,O,X,X,X
TOJZLSI,X,O,X,X,X,X
TOJZSIL,X,O,X,X,X,X
TOJZSLI,X,O,X,O,X,X
