sequence,v115@UhB8AeA8DeI8JeZEJvhFqpBTlB/rBUnBGoBVyB,v115@UhB8AeA8DeI8JeZEJvhFupBcqB/rBFnB6tBzsB,v115@UhB8AeA8DeI8JeZEJvhFGlB/rBUnBFoBzpBSyB,v115@UhB8AeA8DeI8JeZEJvhFqpBTlB/rBFnB8sB+tB,v115@UhB8AeA8DeI8JecFJvhFxhBTkBlmBGoBXoBipB
TILJSZO,O,X,O,O,X
TILJSOZ,O,X,O,O,X
TILJZSO,O,X,O,O,X
TILJZOS,O,X,X,O,O
TILJOSZ,O,X,O,O,X
TILJOZS,O,X,O,O,O
TILSJZO,O,O,O,O,X
TILSJOZ,O,X,O,O,X
TILSZJO,O,O,O,X,X
TILSZOJ,O,O,O,X,X
TILSOJZ,O,X,O,O,X
TILSOZJ,O,O,O,X,X
TILZJSO,O,O,O,X,X
TILZJOS,O,X,X,X,O
TILZSJO,O,O,O,X,X
TILZSOJ,O,O,O,X,X
TILZOJS,O,X,O,X,O
TILZOSJ,O,X,O,X,X
TILOJSZ,O,X,O,O,X
TILOJZS,O,X,O,O,O
TILOSJZ,O,X,O,O,X
TILOSZJ,O,X,O,X,X
TILOZJS,O,X,O,X,O
TILOZSJ,O,X,O,X,X
TIJLSZO,O,X,O,O,X
TIJLSOZ,O,X,O,O,X
TIJLZSO,O,X,O,O,X
TIJLZOS,O,X,X,O,O
TIJLOSZ,O,X,O,O,X
TIJLOZS,O,X,X,O,O
TIJSLZO,O,X,O,O,X
TIJSLOZ,O,X,O,O,X
TIJSZLO,O,X,O,O,X
TIJSZOL,O,X,O,O,O
TIJSOLZ,O,X,X,X,X
TIJSOZL,O,X,X,X,O
TIJZLSO,O,X,X,O,X
TIJZLOS,O,X,X,O,O
TIJZSLO,O,X,X,O,X
TIJZSOL,O,X,X,O,O
TIJZOLS,X,X,X,X,O
TIJZOSL,X,X,X,X,O
TIJOLSZ,O,X,X,X,X
TIJOLZS,O,X,X,X,O
TIJOSLZ,O,X,X,X,X
TIJOSZL,O,X,X,X,O
TIJOZLS,X,X,X,X,O
TIJOZSL,X,X,X,X,O
TISLJZO,O,O,O,O,X
TISLJOZ,O,X,O,O,X
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,O,X,X
TISLOJZ,O,O,O,O,X
TISLOZJ,O,O,O,X,X
TISJLZO,O,O,O,O,X
TISJLOZ,O,X,O,O,X
TISJZLO,O,O,O,O,X
TISJZOL,O,O,O,O,O
TISJOLZ,O,O,X,X,X
TISJOZL,O,O,X,X,O
TISZLJO,O,O,O,X,X
TISZLOJ,O,O,O,X,X
TISZJLO,O,O,O,X,X
TISZJOL,O,O,O,X,O
TISZOLJ,O,O,O,X,X
TISZOJL,O,O,O,X,O
TISOLJZ,O,O,O,X,X
TISOLZJ,O,O,O,X,X
TISOJLZ,O,O,O,X,X
TISOJZL,O,O,O,X,O
TISOZLJ,O,O,O,X,X
TISOZJL,O,O,O,X,O
TIZLJSO,O,O,X,X,X
TIZLJOS,O,X,X,X,O
TIZLSJO,O,O,X,X,X
TIZLSOJ,O,O,X,X,X
TIZLOJS,O,X,X,X,O
TIZLOSJ,O,X,X,X,X
TIZJLSO,O,O,X,X,X
TIZJLOS,O,X,X,X,O
TIZJSLO,O,O,X,X,X
TIZJSOL,O,O,X,X,O
TIZJOLS,X,O,X,X,O
TIZJOSL,X,O,X,X,O
TIZSLJO,O,O,X,X,X
TIZSLOJ,O,O,X,X,X
TIZSJLO,O,O,X,X,X
TIZSJOL,O,O,X,X,O
TIZSOLJ,O,O,X,X,X
TIZSOJL,O,O,X,X,O
TIZOLJS,X,O,X,X,O
TIZOLSJ,X,O,X,X,X
TIZOJLS,X,O,X,X,O
TIZOJSL,X,O,X,X,O
TIZOSLJ,X,O,X,X,X
TIZOSJL,X,O,X,X,O
TIOLJSZ,O,X,O,X,X
TIOLJZS,O,X,O,X,O
TIOLSJZ,O,O,O,X,X
TIOLSZJ,O,O,O,X,X
TIOLZJS,O,O,O,X,O
TIOLZSJ,O,O,O,X,X
TIOJLSZ,O,X,O,X,X
TIOJLZS,O,X,O,X,O
TIOJSLZ,O,X,O,X,X
TIOJSZL,O,X,O,X,O
TIOJZLS,X,X,X,X,O
TIOJZSL,X,X,X,X,O
TIOSLJZ,O,O,O,X,X
TIOSLZJ,O,O,O,X,X
TIOSJLZ,O,O,O,X,X
TIOSJZL,O,O,O,X,O
TIOSZLJ,O,O,O,X,X
TIOSZJL,O,O,O,X,O
TIOZLJS,X,O,X,X,O
TIOZLSJ,X,O,X,X,X
TIOZJLS,X,O,X,X,O
TIOZJSL,X,O,X,X,O
TIOZSLJ,X,O,X,X,X
TIOZSJL,X,O,X,X,O
TLIJSZO,O,X,O,O,X
TLIJSOZ,O,X,O,O,X
TLIJZSO,O,X,O,O,X
TLIJZOS,O,X,X,O,O
TLIJOSZ,O,X,O,O,X
TLIJOZS,O,X,O,O,O
TLISJZO,O,O,O,O,X
TLISJOZ,O,X,O,O,X
TLISZJO,O,O,O,X,X
TLISZOJ,O,O,O,X,X
TLISOJZ,O,X,O,O,X
TLISOZJ,O,O,O,X,X
TLIZJSO,O,O,O,X,X
TLIZJOS,O,X,X,X,O
TLIZSJO,O,O,O,X,X
TLIZSOJ,O,O,O,X,X
TLIZOJS,O,X,O,X,O
TLIZOSJ,O,X,O,X,X
TLIOJSZ,O,X,O,O,X
TLIOJZS,O,X,O,O,O
TLIOSJZ,O,X,O,O,X
TLIOSZJ,O,X,O,X,X
TLIOZJS,O,X,O,X,O
TLIOZSJ,O,X,O,X,X
TLJISZO,O,X,O,O,X
TLJISOZ,O,X,O,O,X
TLJIZSO,O,X,O,O,X
TLJIZOS,O,X,X,O,O
TLJIOSZ,O,X,O,O,X
TLJIOZS,O,X,O,O,O
TLJSIZO,O,X,O,O,X
TLJSIOZ,O,X,O,O,X
TLJSZIO,O,X,O,O,X
TLJSZOI,O,X,O,O,X
TLJSOIZ,O,X,O,O,X
TLJSOZI,O,X,O,O,X
TLJZISO,O,X,O,O,X
TLJZIOS,O,X,X,O,O
TLJZSIO,O,X,O,O,X
TLJZSOI,O,X,O,O,X
TLJZOIS,O,X,X,O,O
TLJZOSI,O,X,X,O,O
TLJOISZ,O,X,O,O,X
TLJOIZS,O,X,O,O,O
TLJOSIZ,O,X,O,O,X
TLJOSZI,O,X,O,O,X
TLJOZIS,O,X,O,O,O
TLJOZSI,O,X,O,O,O
TLSIJZO,O,O,O,O,X
TLSIJOZ,O,X,O,O,X
TLSIZJO,O,O,O,X,X
TLSIZOJ,O,O,O,X,X
TLSIOJZ,O,X,O,O,X
TLSIOZJ,O,O,O,X,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,O,X,O,O,X
TLSJZIO,O,O,O,O,X
TLSJZOI,O,O,O,O,X
TLSJOIZ,O,X,O,O,X
TLSJOZI,O,X,O,O,X
TLSZIJO,O,O,O,X,X
TLSZIOJ,O,O,O,X,X
TLSZJIO,O,O,O,X,X
TLSZJOI,O,O,O,X,X
TLSZOIJ,O,O,O,X,X
TLSZOJI,O,O,O,X,X
TLSOIJZ,O,X,O,O,X
TLSOIZJ,O,O,O,X,X
TLSOJIZ,O,X,O,O,X
TLSOJZI,O,X,O,O,X
TLSOZIJ,O,O,O,X,X
TLSOZJI,O,O,O,X,X
TLZIJSO,O,O,O,X,X
TLZIJOS,O,X,X,X,O
TLZISJO,O,O,O,X,X
TLZISOJ,O,O,O,X,X
TLZIOJS,O,X,O,X,O
TLZIOSJ,O,X,O,X,X
TLZJISO,O,O,O,X,X
TLZJIOS,O,X,X,X,O
TLZJSIO,O,O,O,X,X
TLZJSOI,O,O,O,X,X
TLZJOIS,O,X,X,X,O
TLZJOSI,O,X,X,X,O
TLZSIJO,O,O,O,X,X
TLZSIOJ,O,O,O,X,X
TLZSJIO,O,O,O,X,X
TLZSJOI,O,O,O,X,X
TLZSOIJ,O,O,O,X,X
TLZSOJI,O,O,O,X,X
TLZOIJS,O,X,O,X,O
TLZOISJ,O,X,O,X,X
TLZOJIS,O,X,O,X,O
TLZOJSI,O,X,O,X,O
TLZOSIJ,O,X,O,X,X
TLZOSJI,O,X,O,X,X
TLOIJSZ,O,X,O,O,X
TLOIJZS,O,X,O,O,O
TLOISJZ,O,X,O,O,X
TLOISZJ,O,X,O,X,X
TLOIZJS,O,X,O,X,O
TLOIZSJ,O,X,O,X,X
TLOJISZ,O,X,O,O,X
TLOJIZS,O,X,O,O,O
TLOJSIZ,O,X,O,O,X
TLOJSZI,O,X,O,O,X
TLOJZIS,O,X,O,O,O
TLOJZSI,O,X,O,O,O
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,X,O,X,X
TLOSJIZ,O,X,O,O,X
TLOSJZI,O,X,O,O,X
TLOSZIJ,O,X,O,X,X
TLOSZJI,O,X,O,X,X
TLOZIJS,O,X,O,X,O
TLOZISJ,O,X,O,X,X
TLOZJIS,O,X,O,X,O
TLOZJSI,O,X,O,X,O
TLOZSIJ,O,X,O,X,X
TLOZSJI,O,X,O,X,X
TJILSZO,O,X,O,O,X
TJILSOZ,O,X,O,O,X
TJILZSO,O,X,O,O,X
TJILZOS,O,X,X,O,O
TJILOSZ,O,X,O,O,X
TJILOZS,O,X,X,O,O
TJISLZO,O,X,O,O,X
TJISLOZ,O,X,O,O,X
TJISZLO,O,X,O,O,X
TJISZOL,O,X,O,O,O
TJISOLZ,O,X,X,X,X
TJISOZL,O,X,X,X,O
TJIZLSO,O,X,X,O,X
TJIZLOS,O,X,X,O,O
TJIZSLO,O,X,X,O,X
TJIZSOL,O,X,X,O,O
TJIZOLS,X,X,X,X,O
TJIZOSL,X,X,X,X,O
TJIOLSZ,O,X,X,X,X
TJIOLZS,O,X,X,X,O
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,X,X,X,O
TJIOZLS,X,X,X,X,O
TJIOZSL,X,X,X,X,O
TJLISZO,O,X,O,O,X
TJLISOZ,O,X,O,O,X
TJLIZSO,O,X,O,O,X
TJLIZOS,O,X,X,O,O
TJLIOSZ,O,X,O,O,X
TJLIOZS,O,X,X,O,O
TJLSIZO,O,X,O,O,X
TJLSIOZ,O,X,O,O,X
TJLSZIO,O,X,O,O,X
TJLSZOI,O,X,O,O,X
TJLSOIZ,O,X,O,O,X
TJLSOZI,O,X,O,O,X
