sequence,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhFXhBxiBCnBTqB2w?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBxiBqsBTqBmr?B3rB,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhF6mBxiBzlB2vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeGAJvhFThBxiBKqBFrBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeaFJvhFzgB+mBxiB1vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFRhBXmB6sB2vBzr?BFtB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBTiBWsBiqBXt?BRwB,v115@9gA8IeB8FeD8FeD8GeA8JeRAJvhFOqBlmBcsBzqBCs?BXtB
TILJSZO,O,X,O,O,O,X,O,X
TILJSOZ,O,X,O,O,O,X,O,X
TILJZSO,O,X,X,X,X,X,O,X
TILJZOS,X,X,X,O,O,X,O,X
TILJOSZ,O,O,O,O,O,X,O,X
TILJOZS,X,O,O,O,O,X,O,X
TILSJZO,X,X,O,O,O,X,O,X
TILSJOZ,X,X,O,O,O,X,O,X
TILSZJO,X,X,O,O,O,X,O,X
TILSZOJ,X,X,X,O,X,X,X,X
TILSOJZ,X,X,O,O,O,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X
TILZJSO,O,X,X,X,X,X,O,X
TILZJOS,O,O,X,O,O,X,O,X
TILZSJO,O,X,X,X,O,X,O,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,O,O,X,O,X,X,O,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,O,O,X,O,O,X,O,X
TILOJZS,O,O,X,O,O,X,O,X
TILOSJZ,O,X,X,O,O,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X
TILOZJS,O,O,X,O,X,X,O,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,O,X,O,O,O,X,O,X
TIJLSOZ,O,X,O,O,O,X,O,X
TIJLZSO,O,X,X,X,X,X,O,X
TIJLZOS,X,X,X,O,O,X,O,X
TIJLOSZ,O,X,O,O,O,X,O,X
TIJLOZS,O,X,O,O,O,X,O,X
TIJSLZO,O,X,O,O,O,X,O,X
TIJSLOZ,O,X,O,O,O,X,O,X
TIJSZLO,O,X,O,X,O,X,X,X
TIJSZOL,X,X,O,X,O,X,X,X
TIJSOLZ,O,X,O,X,O,X,O,X
TIJSOZL,X,X,O,X,O,X,X,X
TIJZLSO,O,X,X,X,X,X,O,X
TIJZLOS,O,X,X,X,O,X,O,X
TIJZSLO,O,X,O,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X
TIJZOLS,O,X,O,X,O,X,O,X
TIJZOSL,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,O,X,O,X
TIJOLZS,O,O,O,X,O,X,O,X
TIJOSLZ,O,X,O,X,O,X,O,X
TIJOSZL,O,O,O,X,O,X,X,X
TIJOZLS,O,O,O,X,O,X,O,O
TIJOZSL,O,O,X,X,X,X,X,O
TISLJZO,X,X,O,O,O,X,X,X
