sequence,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?XiBysBzqBWxB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?urBinBzqB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?qqB/rBmnBTsB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?uqBinBTrB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?qrB/sBmnBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBThB?qqB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFiB?XmBysBWxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBqqB?TmB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhF0hBllB?inBTrB3sBGqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBfnB?VrBmnBSxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgB1mB?zlB2sBSwB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?zlB2sBSwB3sB
TILJSZO,X,X,O,O,X,O,O,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,O,X,X,O,X,X,O,O,X
TILJZOS,X,X,X,O,X,X,X,X,X,X,O,X
TILJOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,O,O,X,O,X,X,X,O,X,X
TILSJOZ,X,X,X,X,X,X,X,O,X,X,X,X
TILSZJO,X,X,O,X,X,O,X,X,X,O,O,X
TILSZOJ,X,X,O,X,X,O,X,O,X,O,O,X
TILSOJZ,X,X,O,X,X,X,X,O,X,X,X,X
TILSOZJ,X,X,O,X,X,O,X,O,X,O,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,O,O,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,O,X
TILZSJO,X,X,O,X,X,O,X,X,X,O,O,X
TILZSOJ,X,X,O,X,X,O,X,O,X,O,O,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,O,X,X,X,X,X,O,O,O,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,O
TILOSJZ,X,X,O,X,X,X,X,O,X,X,X,X
TILOSZJ,X,X,O,X,X,O,X,O,X,O,X,O
TILOZJS,X,X,X,X,X,X,X,X,X,X,O,O
TILOZSJ,X,X,O,X,X,X,X,X,O,O,O,O
TIJLSZO,X,X,O,O,X,O,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,X,O,X,O,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,X,O,O,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,O,O,X,O,X,X,O,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,O,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,O,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,O,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,O,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,O,X,X,O,X,O,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,O,X,X,O,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,O,O,X,O,X,X,O,X,O,X,X,X
TISLJZO,X,X,O,O,O,O,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,X,O,X,O,O,X,X,X,X,X,X
TISLZOJ,O,X,O,X,O,O,X,O,X,X,X,X
TISLOJZ,X,X,O,X,O,X,X,O,X,X,X,X
TISLOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TISJLZO,O,O,X,O,X,O,O,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,O,O,X,O,X,X,O,X,X,X,X,X
TISJZOL,O,O,X,O,X,X,O,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,O,X,X,O,X,X,X,X,X
TISZLJO,O,X,O,X,O,O,X,X,X,X,X,X
TISZLOJ,O,X,O,X,O,O,X,O,X,X,X,X
TISZJLO,O,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,O,O,X,X,O,X,X,X
TISZOJL,X,O,X,X,X,X,X,X,O,X,X,X
TISOLJZ,X,X,O,X,O,X,X,O,X,X,X,X
TISOLZJ,O,X,O,X,O,O,X,O,O,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,X,X,X,X,O,X,X,X
TISOZLJ,O,X,X,X,O,X,X,X,O,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,O,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,O,O,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSJO,O,X,O,X,X,O,X,X,X,O,O,X
TIZLSOJ,O,X,O,X,X,O,X,O,X,O,O,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,O,X,X,X,X,X,O,O,O,X
TIZJLSO,O,O,X,O,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,O,X,X,X,X,X
TIZJSOL,O,O,X,O,X,X,O,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,O,X,O,X,X,X
TIZSLJO,O,X,X,X,O,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,O,O,X,O,X,X,X,X
TIZSJLO,O,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,O,X,X,X,O,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,O,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,X,X,O,X,X,X,O,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,O,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,O,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,X,X,O,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,O,X,O,X,X,X
TIOSLJZ,X,X,O,X,O,X,X,O,X,X,X,X
TIOSLZJ,O,X,O,X,O,O,X,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,O,X,X,X,O,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,O,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,O,X,X,X
TIOZSLJ,O,X,O,X,O,X,X,X,O,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,O,X,X,X
TLIJSZO,X,X,O,O,X,O,O,X,X,O,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,X,X,X,O,X,X,O,X,X,O,O,X
TLIJZOS,X,X,X,O,X,X,X,X,X,X,O,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,O,X,O,X,X,X,O,X,X
TLISJOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,X,X,O,X,X,O,X,X,X,O,O,X
TLISZOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLISOJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLISOZJ,X,X,O,X,X,O,X,O,X,O,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,O,O,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,O,X
TLIZSJO,X,X,O,X,X,O,X,X,X,O,O,X
TLIZSOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,O,X
TLIZOSJ,X,X,O,X,X,X,X,X,O,O,O,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,X,O,X,X,O,X,O,X,O,X,O
TLIOZJS,X,X,X,X,X,X,X,X,X,X,O,O
TLIOZSJ,X,X,O,X,X,X,X,X,O,O,O,O
TLJISZO,X,X,O,O,X,O,O,X,X,O,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,X,X,X,O,X,X,O,X,X,O,O,X
TLJIZOS,X,X,X,O,X,X,X,X,X,X,O,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,O,X,O,O,X,X,O,X,X
TLJSIOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,X,X,O,O,X,O,O,X,X,O,X,X
TLJSZOI,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,O,X,X,O,X,X,O,O,X
TLJZIOS,X,X,X,O,X,X,X,X,X,X,O,X
TLJZSIO,X,X,X,X,X,X,O,X,X,O,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,O,X,O,X,X,X,O,X,X
TLSIJOZ,X,X,X,X,X,X,X,O,X,X,X,X
