sequence,v115@AhA8IeB8EeA8AeC8EeA8AeC8CeA8Kem/IvhFlhB3iB?5oB6pB8sBzrB,v115@AhA8IeB8EeA8AeC8EeA8AeC8CeA8Kei/IvhFlhB3iB?5oBupB8sBzrB,v115@AhA8IeB8EeA8AeC8EeA8AeC8CeA8Kem/IvhFlhBziB?5oB6pB8rB3sB,v115@AhA8IeB8EeA8AeC8EeA8AeC8CeA8Kei/IvhFlhBziB?5oBupB8rB3sB
ITOZSJL,O,O,X,X
ILTJSZO,X,X,X,X
ILTJSOZ,X,X,X,X
ILTJZSO,O,X,O,X
ILTJZOS,X,X,X,X
ILTJOSZ,X,X,X,X
ILTJOZS,O,X,X,X
ILTSJZO,X,X,X,X
ILTSJOZ,X,X,X,X
ILTSZJO,X,X,X,X
ILTSZOJ,X,X,X,X
ILTSOJZ,X,X,X,X
ILTSOZJ,X,X,X,X
ILTZJSO,O,X,O,X
ILTZJOS,X,X,X,X
ILTZSJO,O,O,O,X
ILTZSOJ,X,X,O,O
ILTZOJS,X,X,X,X
ILTZOSJ,X,X,X,X
ILTOJSZ,X,X,X,X
ILTOJZS,O,X,X,X
ILTOSJZ,X,X,X,X
ILTOSZJ,X,X,X,X
ILTOZJS,O,X,X,X
ILTOZSJ,O,O,X,X
ILJTSZO,X,X,X,X
ILJTSOZ,X,X,X,X
ILJTZSO,O,X,O,X
ILJTZOS,X,X,X,X
ILJTOSZ,X,X,X,X
ILJTOZS,O,X,X,X
ILJSTZO,X,X,X,X
ILJSTOZ,X,X,X,X
ILJSZTO,X,X,O,X
ILJSZOT,X,X,O,X
ILJSOTZ,X,X,X,X
ILJSOZT,X,X,O,X
ILJZTSO,O,X,O,X
ILJZTOS,X,X,X,X
ILJZSTO,O,X,O,X
ILJZSOT,X,X,O,X
ILJZOTS,O,X,X,X
ILJZOST,O,X,X,X
ILJOTSZ,X,X,X,X
ILJOTZS,O,X,X,X
ILJOSTZ,X,X,X,X
ILJOSZT,X,X,X,X
ILJOZTS,O,X,X,X
ILJOZST,O,X,X,X
ILSTJZO,X,X,X,X
ILSTJOZ,X,X,X,X
ILSTZJO,X,X,X,X
ILSTZOJ,X,X,X,X
ILSTOJZ,X,X,X,X
ILSTOZJ,X,X,X,X
ILSJTZO,X,X,X,X
ILSJTOZ,X,X,X,X
ILSJZTO,X,X,O,X
ILSJZOT,X,X,O,X
ILSJOTZ,X,X,X,X
ILSJOZT,X,X,O,X
ILSZTJO,X,X,O,X
ILSZTOJ,X,X,O,O
ILSZJTO,X,X,O,X
ILSZJOT,X,X,O,X
ILSZOTJ,X,X,O,O
ILSZOJT,X,X,O,X
ILSOTJZ,X,X,X,X
ILSOTZJ,X,X,X,X
ILSOJTZ,X,X,X,X
ILSOJZT,X,X,O,X
ILSOZTJ,X,X,O,O
ILSOZJT,X,X,O,X
ILZTJSO,O,X,O,X
ILZTJOS,X,X,X,X
ILZTSJO,O,O,O,X
ILZTSOJ,X,X,O,O
ILZTOJS,X,X,X,X
ILZTOSJ,X,X,X,X
ILZJTSO,O,X,O,X
ILZJTOS,X,X,X,X
ILZJSTO,O,X,O,X
ILZJSOT,X,X,O,X
ILZJOTS,O,X,X,X
ILZJOST,O,X,X,X
ILZSTJO,O,O,O,X
ILZSTOJ,X,X,O,O
ILZSJTO,O,X,O,X
ILZSJOT,X,X,O,X
ILZSOTJ,X,X,O,O
ILZSOJT,X,X,O,X
ILZOTJS,O,X,X,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,X,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,X,X,X
ILOTJSZ,X,X,X,X
ILOTJZS,O,X,X,X
ILOTSJZ,X,X,X,X
ILOTSZJ,X,X,X,X
ILOTZJS,O,X,X,X
ILOTZSJ,O,O,X,X
ILOJTSZ,X,X,X,X
ILOJTZS,O,X,X,X
ILOJSTZ,X,X,X,X
ILOJSZT,X,X,X,X
ILOJZTS,O,X,X,X
ILOJZST,O,X,X,X
ILOSTJZ,X,X,X,X
ILOSTZJ,X,X,X,X
ILOSJTZ,X,X,X,X
ILOSJZT,X,X,X,X
ILOSZTJ,X,X,X,X
ILOSZJT,X,X,X,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,O,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,X,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,X,X,X
IJTLSZO,X,X,X,X
IJTLSOZ,X,X,X,X
IJTLZSO,X,O,X,O
IJTLZOS,X,X,X,X
IJTLOSZ,X,X,X,X
IJTLOZS,X,O,X,X
IJTSLZO,X,X,X,X
IJTSLOZ,X,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,X,X,X,X
IJTSOLZ,X,X,X,X
IJTSOZL,X,X,X,X
IJTZLSO,X,O,X,O
IJTZLOS,X,X,X,X
IJTZSLO,O,O,X,O
IJTZSOL,X,X,O,O
IJTZOLS,X,X,X,X
IJTZOSL,X,X,X,X
IJTOLSZ,X,X,X,X
IJTOLZS,X,O,X,X
IJTOSLZ,X,X,X,X
IJTOSZL,X,X,X,X
IJTOZLS,X,O,X,X
IJTOZSL,O,O,X,X
IJLTSZO,X,X,X,X
IJLTSOZ,X,X,X,X
IJLTZSO,X,O,X,O
IJLTZOS,X,X,X,X
IJLTOSZ,X,X,X,X
IJLTOZS,X,O,X,X
IJLSTZO,X,X,X,X
IJLSTOZ,X,X,X,X
IJLSZTO,X,X,X,O
IJLSZOT,X,X,X,O
IJLSOTZ,X,X,X,X
IJLSOZT,X,X,X,O
IJLZTSO,X,O,X,O
IJLZTOS,X,X,X,X
IJLZSTO,X,O,X,O
IJLZSOT,X,X,X,O
IJLZOTS,X,O,X,X
IJLZOST,X,O,X,X
IJLOTSZ,X,X,X,X
IJLOTZS,X,O,X,X
IJLOSTZ,X,X,X,X
IJLOSZT,X,X,X,X
IJLOZTS,X,O,X,X
IJLOZST,X,O,X,X
IJSTLZO,X,X,X,X
IJSTLOZ,X,X,X,X
IJSTZLO,X,X,X,X
IJSTZOL,X,X,X,X
IJSTOLZ,X,X,X,X
IJSTOZL,X,X,X,X
IJSLTZO,X,X,X,X
IJSLTOZ,X,X,X,X
IJSLZTO,X,X,X,O
IJSLZOT,X,X,X,O
IJSLOTZ,X,X,X,X
IJSLOZT,X,X,X,O
IJSZTLO,X,X,X,O
IJSZTOL,X,X,O,O
IJSZLTO,X,X,X,O
IJSZLOT,X,X,X,O
IJSZOTL,X,X,O,O
IJSZOLT,X,X,X,O
IJSOTLZ,X,X,X,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,X,X,X
IJSOLZT,X,X,X,O
IJSOZTL,X,X,O,O
IJSOZLT,X,X,X,O
IJZTLSO,X,O,X,O
IJZTLOS,X,X,X,X
IJZTSLO,O,O,X,O
IJZTSOL,X,X,O,O
IJZTOLS,X,X,X,X
IJZTOSL,X,X,X,X
IJZLTSO,X,O,X,O
IJZLTOS,X,X,X,X
IJZLSTO,X,O,X,O
IJZLSOT,X,X,X,O
IJZLOTS,X,O,X,X
IJZLOST,X,O,X,X
IJZSTLO,O,O,X,O
IJZSTOL,X,X,O,O
IJZSLTO,X,O,X,O
IJZSLOT,X,X,X,O
IJZSOTL,X,X,O,O
IJZSOLT,X,X,X,O
IJZOTLS,X,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,X,O,X,X
IJZOLST,X,O,X,X
IJZOSTL,O,O,X,X
IJZOSLT,X,O,X,X
IJOTLSZ,X,X,X,X
IJOTLZS,X,O,X,X
IJOTSLZ,X,X,X,X
IJOTSZL,X,X,X,X
IJOTZLS,X,O,X,X
IJOTZSL,O,O,X,X
IJOLTSZ,X,X,X,X
IJOLTZS,X,O,X,X
IJOLSTZ,X,X,X,X
IJOLSZT,X,X,X,X
IJOLZTS,X,O,X,X
IJOLZST,X,O,X,X
IJOSTLZ,X,X,X,X
IJOSTZL,X,X,X,X
IJOSLTZ,X,X,X,X
IJOSLZT,X,X,X,X
IJOSZTL,X,X,X,X
IJOSZLT,X,X,X,X
IJOZTLS,X,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,X,O,X,X
IJOZLST,X,O,X,X
IJOZSTL,O,O,X,X
IJOZSLT,X,O,X,X
ISTLJZO,X,X,X,X
ISTLJOZ,X,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,X,X,X,X
ISTLOZJ,X,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,X,X,X,X
ISTJZLO,X,X,X,X
ISTJZOL,X,X,X,X
ISTJOLZ,X,X,X,X
ISTJOZL,X,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,X
ISTZJOL,X,X,X,X
ISTZOLJ,X,X,X,X
ISTZOJL,X,X,X,X
ISTOLJZ,X,X,X,X
ISTOLZJ,X,X,X,X
ISTOJLZ,X,X,X,X
ISTOJZL,X,X,X,X
ISTOZLJ,X,X,X,X
ISTOZJL,X,X,X,X
ISLTJZO,X,X,X,X
ISLTJOZ,X,X,X,X
ISLTZJO,X,X,X,X
ISLTZOJ,X,X,X,X
ISLTOJZ,X,X,X,X
ISLTOZJ,X,X,X,X
ISLJTZO,X,X,X,X
ISLJTOZ,X,X,X,X
ISLJZTO,X,X,O,X
ISLJZOT,X,X,O,X
ISLJOTZ,X,X,X,X
ISLJOZT,X,X,O,X
ISLZTJO,X,X,O,X
ISLZTOJ,X,X,O,O
ISLZJTO,X,X,O,X
ISLZJOT,X,X,O,X
ISLZOTJ,X,X,O,O
ISLZOJT,X,X,O,X
ISLOTJZ,X,X,X,X
ISLOTZJ,X,X,X,X
ISLOJTZ,X,X,X,X
ISLOJZT,X,X,O,X
ISLOZTJ,X,X,O,O
ISLOZJT,X,X,O,X
ISJTLZO,X,X,X,X
ISJTLOZ,X,X,X,X
ISJTZLO,X,X,X,X
ISJTZOL,X,X,X,X
ISJTOLZ,X,X,X,X
ISJTOZL,X,X,X,X
ISJLTZO,X,X,X,X
ISJLTOZ,X,X,X,X
ISJLZTO,X,X,X,O
ISJLZOT,X,X,X,O
ISJLOTZ,X,X,X,X
ISJLOZT,X,X,X,O
ISJZTLO,X,X,X,O
ISJZTOL,X,X,O,O
ISJZLTO,X,X,X,O
ISJZLOT,X,X,X,O
ISJZOTL,X,X,O,O
ISJZOLT,X,X,X,O
ISJOTLZ,X,X,X,X
ISJOTZL,X,X,X,X
ISJOLTZ,X,X,X,X
ISJOLZT,X,X,X,O
ISJOZTL,X,X,O,O
ISJOZLT,X,X,X,O
ISZTLJO,X,X,O,X
ISZTLOJ,X,X,O,O
ISZTJLO,X,X,X,O
ISZTJOL,X,X,O,O
ISZTOLJ,X,X,O,O
ISZTOJL,X,X,O,O
ISZLTJO,X,X,O,X
ISZLTOJ,X,X,O,O
ISZLJTO,X,X,O,X
ISZLJOT,X,X,O,X
ISZLOTJ,X,X,O,O
ISZLOJT,X,X,O,X
ISZJTLO,X,X,X,O
ISZJTOL,X,X,O,O
ISZJLTO,X,X,X,O
ISZJLOT,X,X,X,O
ISZJOTL,X,X,O,O
ISZJOLT,X,X,X,O
ISZOTLJ,X,X,O,O
ISZOTJL,X,X,O,O
ISZOLTJ,X,X,O,O
ISZOLJT,X,X,O,X
ISZOJTL,X,X,O,O
ISZOJLT,X,X,X,O
ISOTLJZ,X,X,X,X
ISOTLZJ,X,X,X,X
ISOTJLZ,X,X,X,X
ISOTJZL,X,X,X,X
ISOTZLJ,X,X,X,X
ISOTZJL,X,X,X,X
ISOLTJZ,X,X,X,X
ISOLTZJ,X,X,X,X
ISOLJTZ,X,X,X,X
ISOLJZT,X,X,O,X
ISOLZTJ,X,X,O,O
ISOLZJT,X,X,O,X
ISOJTLZ,X,X,X,X
ISOJTZL,X,X,X,X
ISOJLTZ,X,X,X,X
ISOJLZT,X,X,X,O
ISOJZTL,X,X,O,O
ISOJZLT,X,X,X,O
ISOZTLJ,X,X,O,O
ISOZTJL,X,X,O,O
ISOZLTJ,X,X,O,O
ISOZLJT,X,X,O,X
ISOZJTL,X,X,O,O
ISOZJLT,X,X,X,O
IZTLJSO,O,X,O,X
IZTLJOS,X,X,X,X
IZTLSJO,O,O,O,X
IZTLSOJ,X,X,O,O
IZTLOJS,X,X,X,X
IZTLOSJ,X,X,X,X
IZTJLSO,X,O,X,O
IZTJLOS,X,X,X,X
IZTJSLO,O,O,X,O
IZTJSOL,X,X,O,O
IZTJOLS,X,X,X,X
IZTJOSL,X,X,X,X
IZTSLJO,O,O,O,X
IZTSLOJ,X,X,O,O
IZTSJLO,O,O,X,O
IZTSJOL,X,X,O,O
IZTSOLJ,X,X,O,O
IZTSOJL,X,X,O,O
IZTOLJS,X,X,X,X
IZTOLSJ,X,X,X,X
IZTOJLS,X,X,X,X
IZTOJSL,X,X,X,X
IZTOSLJ,X,X,X,X
IZTOSJL,X,X,X,X
IZLTJSO,O,X,O,X
IZLTJOS,X,X,X,X
IZLTSJO,O,O,O,X
IZLTSOJ,X,X,O,O
IZLTOJS,X,X,X,X
IZLTOSJ,X,X,X,X
IZLJTSO,O,X,O,X
IZLJTOS,X,X,X,X
IZLJSTO,O,X,O,X
IZLJSOT,X,X,O,X
IZLJOTS,O,X,X,X
IZLJOST,O,X,X,X
IZLSTJO,O,O,O,X
IZLSTOJ,X,X,O,O
IZLSJTO,O,X,O,X
IZLSJOT,X,X,O,X
IZLSOTJ,X,X,O,O
IZLSOJT,X,X,O,X
IZLOTJS,O,X,X,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,X,X,X
IZLOJST,O,X,X,X
IZLOSTJ,O,O,X,X
IZLOSJT,O,X,X,X
IZJTLSO,X,O,X,O
IZJTLOS,X,X,X,X
IZJTSLO,O,O,X,O
IZJTSOL,X,X,O,O
IZJTOLS,X,X,X,X
IZJTOSL,X,X,X,X
IZJLTSO,X,O,X,O
IZJLTOS,X,X,X,X
IZJLSTO,X,O,X,O
IZJLSOT,X,X,X,O
IZJLOTS,X,O,X,X
IZJLOST,X,O,X,X
IZJSTLO,O,O,X,O
IZJSTOL,X,X,O,O
IZJSLTO,X,O,X,O
IZJSLOT,X,X,X,O
IZJSOTL,X,X,O,O
IZJSOLT,X,X,X,O
IZJOTLS,X,O,X,X
IZJOTSL,O,O,X,X
IZJOLTS,X,O,X,X
IZJOLST,X,O,X,X
IZJOSTL,O,O,X,X
IZJOSLT,X,O,X,X
IZSTLJO,O,O,O,X
IZSTLOJ,X,X,O,O
IZSTJLO,O,O,X,O
IZSTJOL,X,X,O,O
IZSTOLJ,X,X,O,O
IZSTOJL,X,X,O,O
IZSLTJO,O,O,O,X
IZSLTOJ,X,X,O,O
IZSLJTO,O,X,O,X
IZSLJOT,X,X,O,X
IZSLOTJ,X,X,O,O
IZSLOJT,X,X,O,X
IZSJTLO,O,O,X,O
IZSJTOL,X,X,O,O
IZSJLTO,X,O,X,O
IZSJLOT,X,X,X,O
IZSJOTL,X,X,O,O
IZSJOLT,X,X,X,O
IZSOTLJ,X,X,O,O
IZSOTJL,X,X,O,O
IZSOLTJ,X,X,O,O
IZSOLJT,X,X,O,X
IZSOJTL,X,X,O,O
IZSOJLT,X,X,X,O
IZOTLJS,O,X,X,X
IZOTLSJ,O,O,X,X
IZOTJLS,X,O,X,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,O,X,X
IZOTSJL,O,O,X,X
IZOLTJS,O,X,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,X,X,X
IZOLJST,O,X,X,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,X,X,X
IZOJTLS,X,O,X,X
IZOJTSL,O,O,X,X
IZOJLTS,X,O,X,X
IZOJLST,X,O,X,X
IZOJSTL,O,O,X,X
IZOJSLT,X,O,X,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,X,X,X
IZOSJTL,O,O,X,X
IZOSJLT,X,O,X,X
IOTLJSZ,X,X,X,X
IOTLJZS,O,X,X,X
IOTLSJZ,X,X,X,X
IOTLSZJ,X,X,X,X
IOTLZJS,O,X,X,X
IOTLZSJ,O,O,X,X
IOTJLSZ,X,X,X,X
IOTJLZS,X,O,X,X
IOTJSLZ,X,X,X,X
IOTJSZL,X,X,X,X
IOTJZLS,X,O,X,X
IOTJZSL,O,O,X,X
IOTSLJZ,X,X,X,X
IOTSLZJ,X,X,X,X
IOTSJLZ,X,X,X,X
IOTSJZL,X,X,X,X
IOTSZLJ,X,X,X,X
IOTSZJL,X,X,X,X
IOTZLJS,O,X,X,X
IOTZLSJ,O,O,X,X
IOTZJLS,X,O,X,X
IOTZJSL,O,O,X,X
IOTZSLJ,O,O,X,X
IOTZSJL,O,O,X,X
IOLTJSZ,X,X,X,X
IOLTJZS,O,X,X,X
IOLTSJZ,X,X,X,X
IOLTSZJ,X,X,X,X
IOLTZJS,O,X,X,X
IOLTZSJ,O,O,X,X
IOLJTSZ,X,X,X,X
IOLJTZS,O,X,X,X
IOLJSTZ,X,X,X,X
IOLJSZT,X,X,X,X
IOLJZTS,O,X,X,X
IOLJZST,O,X,X,X
IOLSTJZ,X,X,X,X
IOLSTZJ,X,X,X,X
IOLSJTZ,X,X,X,X
IOLSJZT,X,X,X,X
IOLSZTJ,X,X,X,X
IOLSZJT,X,X,X,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,O,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,X,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,X,X,X
IOJTLSZ,X,X,X,X
IOJTLZS,X,O,X,X
IOJTSLZ,X,X,X,X
IOJTSZL,X,X,X,X
IOJTZLS,X,O,X,X
IOJTZSL,O,O,X,X
IOJLTSZ,X,X,X,X
IOJLTZS,X,O,X,X
IOJLSTZ,X,X,X,X
IOJLSZT,X,X,X,X
IOJLZTS,X,O,X,X
IOJLZST,X,O,X,X
IOJSTLZ,X,X,X,X
IOJSTZL,X,X,X,X
IOJSLTZ,X,X,X,X
IOJSLZT,X,X,X,X
IOJSZTL,X,X,X,X
IOJSZLT,X,X,X,X
IOJZTLS,X,O,X,X
IOJZTSL,O,O,X,X
IOJZLTS,X,O,X,X
IOJZLST,X,O,X,X
IOJZSTL,O,O,X,X
IOJZSLT,X,O,X,X
IOSTLJZ,X,X,X,X
IOSTLZJ,X,X,X,X
IOSTJLZ,X,X,X,X
IOSTJZL,X,X,X,X
IOSTZLJ,X,X,X,X
IOSTZJL,X,X,X,X
IOSLTJZ,X,X,X,X
IOSLTZJ,X,X,X,X
IOSLJTZ,X,X,X,X
IOSLJZT,X,X,X,X
IOSLZTJ,X,X,X,X
IOSLZJT,X,X,X,X
IOSJTLZ,X,X,X,X
IOSJTZL,X,X,X,X
IOSJLTZ,X,X,X,X
IOSJLZT,X,X,X,X
IOSJZTL,X,X,X,X
IOSJZLT,X,X,X,X
IOSZTLJ,X,X,X,X
IOSZTJL,X,X,X,X
IOSZLTJ,X,X,X,X
IOSZLJT,X,X,X,X
IOSZJTL,X,X,X,X
IOSZJLT,X,X,X,X
IOZTLJS,O,X,X,X
IOZTLSJ,O,O,X,X
IOZTJLS,X,O,X,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,O,X,X
IOZTSJL,O,O,X,X
IOZLTJS,O,X,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,X,X,X
IOZLJST,O,X,X,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,X,X,X
IOZJTLS,X,O,X,X
IOZJTSL,O,O,X,X
IOZJLTS,X,O,X,X
IOZJLST,X,O,X,X
IOZJSTL,O,O,X,X
IOZJSLT,X,O,X,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,X,X,X
IOZSJTL,O,O,X,X
IOZSJLT,X,O,X,X
LTIJSZO,X,X,X,X
LTIJSOZ,X,X,X,X
LTIJZSO,O,X,O,X
LTIJZOS,X,X,X,X
LTIJOSZ,X,X,X,X
LTIJOZS,O,X,X,X
LTISJZO,X,X,X,X
LTISJOZ,X,X,X,X
LTISZJO,X,X,X,X
LTISZOJ,X,X,X,X
LTISOJZ,X,X,X,X
LTISOZJ,X,X,X,X
LTIZJSO,O,X,O,X
LTIZJOS,X,X,X,X
LTIZSJO,O,O,O,X
LTIZSOJ,X,X,O,O
LTIZOJS,X,X,X,X
LTIZOSJ,X,X,X,X
LTIOJSZ,X,X,X,X
LTIOJZS,O,X,X,X
LTIOSJZ,X,X,X,X
LTIOSZJ,X,X,X,X
LTIOZJS,O,X,X,X
LTIOZSJ,O,O,X,X
LTJISZO,X,X,X,X
LTJISOZ,X,X,X,X
LTJIZSO,O,X,O,X
LTJIZOS,X,X,X,X
LTJIOSZ,X,X,X,X
LTJIOZS,O,X,X,X
LTJSIZO,X,X,X,X
LTJSIOZ,X,X,X,X
LTJSZIO,X,X,X,X
LTJSZOI,X,X,X,X
LTJSOIZ,X,X,X,X
LTJSOZI,X,X,X,X
LTJZISO,O,X,O,X
LTJZIOS,X,X,X,X
LTJZSIO,O,X,X,X
LTJZSOI,X,X,X,X
LTJZOIS,X,X,X,X
LTJZOSI,X,X,X,X
LTJOISZ,X,X,X,X
LTJOIZS,O,X,X,X
LTJOSIZ,X,X,X,X
LTJOSZI,X,X,X,X
LTJOZIS,O,X,X,X
LTJOZSI,O,X,X,X
LTSIJZO,X,X,X,X
LTSIJOZ,X,X,X,X
LTSIZJO,X,X,X,X
LTSIZOJ,X,X,X,X
LTSIOJZ,X,X,X,X
LTSIOZJ,X,X,X,X
LTSJIZO,X,X,X,X
LTSJIOZ,X,X,X,X
LTSJZIO,X,X,X,X
LTSJZOI,X,X,X,X
LTSJOIZ,X,X,X,X
LTSJOZI,X,X,X,X
LTSZIJO,X,X,X,X
LTSZIOJ,X,X,X,X
LTSZJIO,X,X,X,X
LTSZJOI,X,X,X,X
LTSZOIJ,X,X,X,X
LTSZOJI,X,X,X,X
LTSOIJZ,X,X,X,X
LTSOIZJ,X,X,X,X
LTSOJIZ,X,X,X,X
LTSOJZI,X,X,X,X
LTSOZIJ,X,X,X,X
LTSOZJI,X,X,X,X
LTZIJSO,O,X,O,X
LTZIJOS,X,X,X,X
LTZISJO,O,O,O,X
LTZISOJ,X,X,O,O
LTZIOJS,X,X,X,X
LTZIOSJ,X,X,X,X
LTZJISO,O,X,O,X
LTZJIOS,X,X,X,X
LTZJSIO,O,X,X,X
LTZJSOI,X,X,X,X
LTZJOIS,X,X,X,X
LTZJOSI,X,X,X,X
LTZSIJO,O,O,X,X
LTZSIOJ,X,X,X,X
LTZSJIO,O,X,X,X
LTZSJOI,X,X,X,X
LTZSOIJ,X,X,X,X
LTZSOJI,X,X,X,X
LTZOIJS,X,X,X,X
LTZOISJ,X,X,X,X
LTZOJIS,X,X,X,X
LTZOJSI,X,X,X,X
LTZOSIJ,X,X,X,X
LTZOSJI,X,X,X,X
LTOIJSZ,X,X,X,X
LTOIJZS,O,X,X,X
LTOISJZ,X,X,X,X
LTOISZJ,X,X,X,X
LTOIZJS,O,X,X,X
LTOIZSJ,O,O,X,X
LTOJISZ,X,X,X,X
LTOJIZS,O,X,X,X
LTOJSIZ,X,X,X,X
LTOJSZI,X,X,X,X
LTOJZIS,O,X,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,X,X,X,X
LTOSIZJ,X,X,X,X
LTOSJIZ,X,X,X,X
LTOSJZI,X,X,X,X
LTOSZIJ,X,X,X,X
LTOSZJI,X,X,X,X
LTOZIJS,O,X,X,X
LTOZISJ,O,O,X,X
LTOZJIS,O,X,X,X
LTOZJSI,O,X,X,X
LTOZSIJ,O,O,X,X
LTOZSJI,O,X,X,X
LITJSZO,X,X,X,X
LITJSOZ,X,X,X,X
LITJZSO,O,X,O,X
LITJZOS,X,X,X,X
LITJOSZ,X,X,X,X
LITJOZS,O,X,X,X
LITSJZO,X,X,X,X
LITSJOZ,X,X,X,X
LITSZJO,X,X,X,X
LITSZOJ,X,X,X,X
LITSOJZ,X,X,X,X
LITSOZJ,X,X,X,X
LITZJSO,O,X,O,X
LITZJOS,X,X,X,X
LITZSJO,O,O,O,X
LITZSOJ,X,X,O,O
LITZOJS,X,X,X,X
LITZOSJ,X,X,X,X
LITOJSZ,X,X,X,X
LITOJZS,O,X,X,X
LITOSJZ,X,X,X,X
LITOSZJ,X,X,X,X
LITOZJS,O,X,X,X
LITOZSJ,O,O,X,X
LIJTSZO,X,X,X,X
LIJTSOZ,X,X,X,X
LIJTZSO,O,X,O,X
LIJTZOS,X,X,X,X
LIJTOSZ,X,X,X,X
LIJTOZS,O,X,X,X
LIJSTZO,X,X,X,X
LIJSTOZ,X,X,X,X
LIJSZTO,X,X,O,X
LIJSZOT,X,X,O,X
LIJSOTZ,X,X,X,X
LIJSOZT,X,X,O,X
LIJZTSO,O,X,O,X
LIJZTOS,X,X,X,X
LIJZSTO,O,X,O,X
LIJZSOT,X,X,O,X
LIJZOTS,O,X,X,X
LIJZOST,O,X,X,X
LIJOTSZ,X,X,X,X
LIJOTZS,O,X,X,X
LIJOSTZ,X,X,X,X
LIJOSZT,X,X,X,X
LIJOZTS,O,X,X,X
LIJOZST,O,X,X,X
LISTJZO,X,X,X,X
LISTJOZ,X,X,X,X
LISTZJO,X,X,X,X
LISTZOJ,X,X,X,X
LISTOJZ,X,X,X,X
LISTOZJ,X,X,X,X
LISJTZO,X,X,X,X
LISJTOZ,X,X,X,X
LISJZTO,X,X,O,X
LISJZOT,X,X,O,X
LISJOTZ,X,X,X,X
LISJOZT,X,X,O,X
LISZTJO,X,X,O,X
LISZTOJ,X,X,O,O
LISZJTO,X,X,O,X
LISZJOT,X,X,O,X
LISZOTJ,X,X,O,O
LISZOJT,X,X,O,X
LISOTJZ,X,X,X,X
LISOTZJ,X,X,X,X
LISOJTZ,X,X,X,X
LISOJZT,X,X,O,X
LISOZTJ,X,X,O,O
LISOZJT,X,X,O,X
LIZTJSO,O,X,O,X
LIZTJOS,X,X,X,X
LIZTSJO,O,O,O,X
LIZTSOJ,X,X,O,O
LIZTOJS,X,X,X,X
LIZTOSJ,X,X,X,X
LIZJTSO,O,X,O,X
LIZJTOS,X,X,X,X
LIZJSTO,O,X,O,X
LIZJSOT,X,X,O,X
LIZJOTS,O,X,X,X
LIZJOST,O,X,X,X
LIZSTJO,O,O,O,X
LIZSTOJ,X,X,O,O
LIZSJTO,O,X,O,X
LIZSJOT,X,X,O,X
LIZSOTJ,X,X,O,O
LIZSOJT,X,X,O,X
LIZOTJS,O,X,X,X
LIZOTSJ,O,O,X,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,X,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,X,X,X
LIOTJSZ,X,X,X,X
LIOTJZS,O,X,X,X
LIOTSJZ,X,X,X,X
LIOTSZJ,X,X,X,X
LIOTZJS,O,X,X,X
LIOTZSJ,O,O,X,X
LIOJTSZ,X,X,X,X
LIOJTZS,O,X,X,X
LIOJSTZ,X,X,X,X
LIOJSZT,X,X,X,X
LIOJZTS,O,X,X,X
LIOJZST,O,X,X,X
LIOSTJZ,X,X,X,X
LIOSTZJ,X,X,X,X
LIOSJTZ,X,X,X,X
LIOSJZT,X,X,X,X
LIOSZTJ,X,X,X,X
LIOSZJT,X,X,X,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,O,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,X,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,X,X,X
LJTISZO,X,X,X,X
LJTISOZ,X,X,X,X
LJTIZSO,O,X,O,X
LJTIZOS,X,X,X,X
LJTIOSZ,X,X,X,X
LJTIOZS,O,X,X,X
LJTSIZO,X,X,X,X
