sequence,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF0gBxhBeqBFnBCr?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFOlBxhBUmBFnBSv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmhBqnBxlBlqBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFlgBeqB8qBRsBfs?B6sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGlBTmBVv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGmBlqB3s?BzpB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF2lBlhBcnBxqB3s?BSvB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFylBGiBlqBRsBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFGiByqBRsBXqBUs?BlqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmgBSnBlqBRsBXq?BUsB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF/lBRhBqnB2rBVv?BUsB
TILJSZO,X,X,X,X,X,O,X,X,X,O,X
TILJSOZ,X,X,X,X,X,X,X,X,X,O,X
TILJZSO,X,X,X,X,X,X,X,O,X,O,X
TILJZOS,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,X,X,X,X,O,X,X,X
TILSJZO,X,X,X,X,X,O,X,X,X,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,O,X,O,O,O,X
TILSZOJ,X,X,X,X,X,O,X,O,O,O,X
TILSOJZ,X,X,X,X,X,X,X,X,X,O,X
TILSOZJ,X,X,X,X,X,X,X,O,O,O,X
TILZJSO,X,X,O,X,X,X,X,O,O,O,X
TILZJOS,X,X,O,X,X,X,X,O,O,X,X
TILZSJO,X,X,O,X,X,X,X,O,O,O,X
TILZSOJ,X,X,O,X,X,X,X,O,O,O,X
TILZOJS,X,X,O,X,X,X,X,O,O,X,X
TILZOSJ,X,X,O,X,X,X,X,O,O,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,O,X
TILOJZS,X,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,X,X,X,X,X,X,X,O,O,O,X
TILOZJS,X,X,O,X,X,X,X,O,O,X,X
TILOZSJ,X,X,O,X,X,X,X,O,O,X,X
TIJLSZO,X,X,X,X,X,O,X,X,X,O,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,O,X
TIJLZSO,X,X,X,X,X,X,X,O,X,O,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,O,X
TIJLOZS,X,X,X,X,X,X,X,O,X,X,X
