sequence,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiBOqBcsBToBCr?B3rB,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiB0lBCnBToB2v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8JeUCJvhFGjBxlBVtB3lByv?BzrB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFFiBTjB0mBWtBiq?BRwB,v115@9gC8GeB8HeB8HeB8EeC8JeRBJvhFfoB6oBmlBUnBTq?B1wB,v115@9gC8GeB8HeB8HeB8EeC8JeWHJvhFxiBilBToBUmB1v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFzhBGjByqBUoBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JexCJvhFKqBfrBlmBcsBTo?BGrB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFemBzhBfoB6oBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFymBziB+oBXmBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFmhBCjBXmBToBFs?BxvB
TILJSZO,X,X,O,O,O,X,O,X,X,O,X
TILJSOZ,X,X,X,O,O,X,O,X,X,O,X
TILJZSO,X,X,O,O,X,X,O,X,X,O,O
TILJZOS,X,X,O,O,X,X,O,X,X,O,O
TILJOSZ,X,X,O,O,X,X,O,X,X,O,X
TILJOZS,X,X,O,O,X,X,O,X,X,O,X
TILSJZO,X,X,O,O,O,X,O,X,O,O,X
TILSJOZ,X,X,X,O,O,O,O,X,X,O,X
TILSZJO,X,X,O,O,X,X,O,X,O,O,O
TILSZOJ,X,X,X,O,X,X,O,X,O,X,X
TILSOJZ,X,X,X,X,X,O,O,X,X,X,X
TILSOZJ,X,X,X,X,X,O,O,X,O,X,X
TILZJSO,X,X,O,O,X,X,O,X,O,O,O
TILZJOS,X,X,O,O,X,X,O,X,O,O,O
TILZSJO,X,X,O,O,X,X,O,X,O,O,O
TILZSOJ,X,X,X,O,X,X,O,X,O,X,X
TILZOJS,X,X,O,O,X,X,O,X,X,O,O
TILZOSJ,X,X,X,O,X,X,O,X,X,X,O
TILOJSZ,X,X,O,X,X,O,O,X,X,O,X
TILOJZS,X,X,O,X,X,X,O,X,X,O,O
TILOSJZ,X,X,O,X,X,O,O,X,X,X,X
TILOSZJ,X,X,O,X,X,O,O,X,X,X,O
TILOZJS,X,X,O,X,X,X,O,X,X,O,O
TILOZSJ,X,X,O,X,X,O,O,X,X,X,O
TIJLSZO,X,X,O,O,O,X,O,X,X,O,X
TIJLSOZ,X,X,X,O,O,X,O,X,X,O,X
TIJLZSO,X,X,O,O,O,X,O,X,X,O,O
TIJLZOS,X,X,O,O,X,X,O,X,X,O,O
TIJLOSZ,X,X,O,O,X,X,O,X,X,O,X
TIJLOZS,X,X,O,O,X,X,O,X,X,O,X
TIJSLZO,X,X,X,O,O,X,X,X,O,O,X
TIJSLOZ,X,X,X,O,O,X,X,X,X,O,X
TIJSZLO,X,X,X,O,O,X,X,X,O,O,X
TIJSZOL,X,X,X,O,O,X,X,X,O,O,X
TIJSOLZ,X,X,X,O,O,X,X,X,X,O,X
TIJSOZL,X,X,X,O,X,X,X,X,X,O,X
TIJZLSO,X,X,O,O,O,X,O,X,O,O,O
TIJZLOS,X,X,O,O,X,X,O,X,O,O,O
TIJZSLO,X,X,X,O,O,X,O,X,O,O,O
TIJZSOL,X,X,X,O,O,X,O,X,O,O,O
TIJZOLS,X,X,O,O,X,X,O,X,O,O,O
TIJZOSL,X,X,O,O,O,X,O,X,O,O,O
TIJOLSZ,X,X,O,O,X,X,O,X,X,O,X
TIJOLZS,X,X,O,O,X,X,O,X,X,O,O
TIJOSLZ,X,X,X,O,O,X,X,X,X,O,X
TIJOSZL,X,X,O,O,X,X,X,X,X,O,X
TIJOZLS,X,X,O,O,X,X,O,X,X,O,O
TIJOZSL,X,X,O,O,O,X,O,X,X,O,O
TISLJZO,X,X,X,X,O,X,O,X,O,O,X
TISLJOZ,X,X,X,X,O,O,O,X,X,O,X
TISLZJO,X,X,X,X,X,X,O,X,O,O,O
TISLZOJ,X,X,X,X,X,X,O,X,O,X,X
TISLOJZ,X,X,X,X,X,O,O,X,X,X,X
TISLOZJ,X,X,X,X,X,O,O,X,O,X,X
TISJLZO,X,X,X,X,O,X,X,X,O,O,X
TISJLOZ,X,X,X,X,O,O,X,X,X,O,X
TISJZLO,X,X,X,X,O,X,X,X,O,O,X
TISJZOL,X,X,X,X,X,X,X,X,O,O,X
TISJOLZ,X,X,X,X,O,O,X,X,X,O,X
TISJOZL,X,X,X,X,X,O,X,X,X,O,X
TISZLJO,X,X,X,X,X,X,O,X,O,O,O
TISZLOJ,X,X,X,X,X,X,O,X,O,X,X
TISZJLO,X,X,X,X,X,X,O,X,O,O,O
TISZJOL,X,X,X,X,X,X,O,X,O,O,O
TISZOLJ,X,X,X,X,X,X,O,X,O,X,O
TISZOJL,X,X,X,X,X,X,O,X,O,X,O
TISOLJZ,X,X,X,X,X,O,O,X,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,O,X,O
TISOJLZ,X,X,X,X,X,O,X,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,X,X,X
TISOZLJ,X,X,X,X,X,O,O,X,O,X,O
TISOZJL,X,X,X,X,X,O,O,X,O,X,O
TIZLJSO,X,X,O,O,X,X,O,X,O,O,O
TIZLJOS,X,X,O,O,X,X,O,X,O,O,O
TIZLSJO,X,X,O,O,O,X,O,X,O,O,O
TIZLSOJ,X,X,X,X,O,X,O,X,O,X,X
TIZLOJS,X,X,O,X,X,X,O,X,X,O,O
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,O
TIZJLSO,X,X,O,O,O,X,O,X,O,O,O
TIZJLOS,X,X,O,O,X,X,O,X,O,O,O
TIZJSLO,X,X,X,O,O,X,O,X,O,O,O
TIZJSOL,X,X,X,O,O,X,O,X,O,O,O
TIZJOLS,X,X,O,O,X,X,O,X,O,O,O
TIZJOSL,X,X,O,O,O,X,O,X,O,O,O
TIZSLJO,X,X,X,O,O,X,O,X,O,O,O
TIZSLOJ,X,X,X,X,O,X,O,X,O,X,O
TIZSJLO,X,X,X,O,O,X,O,X,O,O,O
TIZSJOL,X,X,X,O,O,X,O,X,O,O,O
TIZSOLJ,X,X,X,X,O,X,O,X,O,X,O
TIZSOJL,X,X,X,O,O,X,O,X,O,X,O
TIZOLJS,X,X,O,X,X,X,O,X,X,O,O
TIZOLSJ,X,X,O,X,O,X,O,X,X,X,O
TIZOJLS,X,X,O,O,O,X,O,X,O,O,O
TIZOJSL,X,X,O,O,O,X,O,X,O,O,O
TIZOSLJ,X,X,X,X,O,X,O,X,O,X,O
TIZOSJL,X,X,O,O,O,X,O,X,O,X,O
TIOLJSZ,X,X,O,X,X,O,O,X,X,O,X
TIOLJZS,X,X,O,X,X,X,O,X,X,O,O
TIOLSJZ,X,X,O,X,X,O,O,X,X,X,X
TIOLSZJ,X,X,O,X,X,O,O,X,X,X,O
TIOLZJS,X,X,O,X,X,X,O,X,X,O,O
TIOLZSJ,X,X,O,X,X,O,O,X,X,X,O
TIOJLSZ,X,X,O,X,X,O,O,X,X,O,X
TIOJLZS,X,X,O,X,X,X,O,X,X,O,O
TIOJSLZ,X,X,X,X,X,O,X,X,X,O,X
TIOJSZL,X,X,O,X,X,O,X,X,X,O,X
TIOJZLS,X,X,O,X,X,X,O,X,X,O,O
TIOJZSL,X,X,O,X,X,X,O,X,X,O,O
TIOSLJZ,X,X,X,X,X,O,O,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,O,X,O,X,O
TIOSJLZ,X,X,X,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,O,X,O,X,O
TIOSZJL,X,X,O,X,X,O,O,X,O,X,O
TIOZLJS,X,X,O,X,X,X,O,X,X,O,O
TIOZLSJ,X,X,O,X,O,O,O,X,X,X,O
TIOZJLS,X,X,O,X,O,X,O,X,O,O,O
TIOZJSL,X,X,O,X,O,X,O,X,O,O,O
TIOZSLJ,X,X,X,X,O,O,O,X,O,X,O
TIOZSJL,X,X,O,X,O,O,O,X,O,X,O
TLIJSZO,X,X,O,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,X,O,X,X,X,O,X,X
TLISJOZ,X,X,X,X,O,O,X,X,X,X,X
TLISZJO,X,X,O,X,X,X,X,X,O,X,X
TLISZOJ,X,X,X,X,X,X,X,X,O,X,X
TLISOJZ,X,X,X,X,X,O,X,X,X,X,X
TLISOZJ,X,X,X,X,X,O,X,X,O,X,X
TLIZJSO,O,X,O,X,X,X,X,X,O,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,X,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,O,X,X
TLIZOJS,O,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,O,X,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,O,X,X,X,X,X
TLIOZJS,O,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,O,X,X,X,X,X
TLJISZO,X,X,O,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,O,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,O,X,X,X,X,X,X
TLJIZOS,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,O,O,X,X,X,X,X
TLJSZIO,X,X,O,O,O,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,O,X,X,X,X,X
TLJSOIZ,X,X,O,O,O,O,X,X,X,X,X
TLJSOZI,X,X,O,O,X,O,X,X,X,X,X
TLJZISO,O,X,O,O,O,X,X,X,X,X,X
TLJZIOS,O,X,O,O,X,X,X,X,X,X,X
TLJZSIO,X,X,O,O,O,X,X,X,X,X,X
TLJZSOI,X,X,X,O,O,X,X,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,X,X,X,X
TLJZOSI,X,X,O,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,O,X,O,X,X,X,X,X
TLJOIZS,O,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,O,O,O,X,X,X,X,X
TLJOSZI,X,X,O,O,X,O,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,O,X,X
TLSIJOZ,X,X,X,X,O,O,X,X,X,X,X
TLSIZJO,X,X,O,X,X,X,X,X,O,X,X
TLSIZOJ,X,X,X,X,X,X,X,X,O,X,X
TLSIOJZ,X,X,X,X,X,O,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,X,O,X,X
TLSJIZO,X,X,O,O,O,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,O,O,X,X,X,X,X
TLSJZIO,X,X,O,O,O,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,O,X,X,X,X,X
TLSJOIZ,X,X,O,O,O,O,X,X,X,X,X
TLSJOZI,X,X,O,O,X,O,X,X,X,X,X
TLSZIJO,O,X,O,O,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,X,X,O,X,X,X
TLSZJIO,X,X,O,O,O,X,X,X,X,X,X
TLSZJOI,X,X,X,O,O,O,X,O,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,O,X,X,X
TLSZOJI,X,X,X,O,O,O,X,O,X,X,X
TLSOIJZ,O,X,O,X,X,O,X,X,X,X,X
TLSOIZJ,O,X,O,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,O,X,O,O,X,X,X,X,X
TLSOJZI,X,X,O,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,O,X,O,X,X,X
TLSOZJI,X,X,O,X,X,O,X,O,X,X,X
TLZIJSO,O,X,O,O,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X
TLZISJO,O,X,O,O,O,X,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X,X,X
TLZIOJS,O,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X
