sequence,v115@DhC8IeA8HeB8AeC8CeC8Kei/IvhFzgBWnB5oB3kB0q?BlrB,v115@DhC8IeA8HeB8AeC8CeC8KeT/IvhFlgBWnB5oBypB8q?B3rB,v115@DhC8IeA8HeB8AeC8CeC8Kem/IvhFChB5oBTkB/rBFn?B0qB,v115@DhC8IeA8HeB8AeC8CeC8Ke0/IvhF6lBThB5oB2pBXn?BVwB,v115@DhC8IeA8HeB8AeC8CeC8KeKEJvhFGgBThB5oBUlBXn?BVwB
ITJLSOZ,O,O,X,O,O
ITJLZSO,O,O,X,O,O
ITJLZOS,O,O,X,O,O
ITJLOSZ,O,O,X,O,X
ITJLOZS,X,O,X,O,O
ITJSLZO,O,O,X,O,O
ITJSLOZ,O,O,O,O,O
ITJSZLO,O,O,X,O,X
ITJSZOL,O,O,X,O,X
ITJSOLZ,O,X,O,O,O
ITJSOZL,O,X,O,O,X
ITJZLSO,O,O,O,O,X
ITJZLOS,O,O,X,O,X
ITJZSLO,O,O,O,O,X
ITJZSOL,O,X,O,O,X
ITJZOLS,O,O,O,O,X
ITJZOSL,O,X,O,O,X
ITJOLSZ,O,X,O,O,X
ITJOLZS,X,X,O,O,O
ITJOSLZ,O,X,O,O,X
ITJOSZL,O,X,O,O,X
ITJOZLS,O,X,O,O,X
ITJOZSL,O,X,O,O,X
ITSLJZO,O,O,X,O,O
ITSLJOZ,O,O,O,O,O
ITSLZJO,O,O,X,O,O
ITSLZOJ,O,O,O,O,O
ITSLOJZ,O,O,O,O,O
ITSLOZJ,O,O,O,O,O
ITSJLZO,O,O,X,O,O
ITSJLOZ,O,O,O,O,O
ITSJZLO,O,O,X,O,X
ITSJZOL,O,O,X,O,X
ITSJOLZ,O,X,O,O,O
ITSJOZL,O,X,O,O,X
ITSZLJO,O,O,O,O,O
ITSZLOJ,O,O,O,O,O
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,O,O,O
ITSZOJL,O,O,O,O,X
ITSOLJZ,O,X,O,O,O
ITSOLZJ,O,X,O,O,O
ITSOJLZ,O,X,O,O,O
ITSOJZL,O,X,O,O,X
ITSOZLJ,O,X,O,O,O
ITSOZJL,O,X,O,O,X
ITZLJSO,O,O,O,O,O
ITZLJOS,O,O,O,O,O
ITZLSJO,O,O,O,O,O
ITZLSOJ,O,O,O,O,O
ITZLOJS,O,O,O,O,O
ITZLOSJ,O,O,O,X,O
ITZJLSO,O,O,O,O,X
ITZJLOS,O,O,O,O,X
ITZJSLO,O,O,O,O,X
ITZJSOL,O,X,O,O,X
ITZJOLS,O,O,O,O,X
ITZJOSL,O,X,O,O,X
ITZSLJO,O,O,O,O,O
ITZSLOJ,O,O,O,O,O
ITZSJLO,O,O,O,O,X
ITZSJOL,O,X,O,O,X
ITZSOLJ,O,X,O,O,O
ITZSOJL,O,X,O,O,X
ITZOLJS,O,O,O,O,O
ITZOLSJ,O,O,O,X,O
ITZOJLS,O,O,O,O,X
ITZOJSL,O,X,O,O,X
ITZOSLJ,O,X,O,X,X
ITZOSJL,O,X,O,X,X
ITOLJSZ,O,X,O,O,X
ITOLJZS,X,X,O,O,O
ITOLSJZ,O,X,O,O,O
ITOLSZJ,O,X,O,O,O
ITOLZJS,X,X,O,O,O
ITOLZSJ,X,X,O,X,O
ITOJLSZ,O,X,O,O,X
ITOJLZS,X,X,O,O,O
ITOJSLZ,O,X,O,O,X
ITOJSZL,O,X,O,O,X
ITOJZLS,O,X,O,O,X
ITOJZSL,O,X,O,O,X
ITOSLJZ,O,X,O,O,O
ITOSLZJ,O,X,O,O,O
ITOSJLZ,O,X,O,O,O
ITOSJZL,O,X,O,O,X
ITOSZLJ,O,X,O,O,O
ITOSZJL,O,X,O,O,X
ITOZLJS,O,X,O,O,O
ITOZLSJ,O,X,O,X,O
ITOZJLS,O,X,O,O,X
ITOZJSL,O,X,O,O,X
ITOZSLJ,O,X,O,X,X
ITOZSJL,O,X,O,X,X
ILTJSZO,O,O,X,O,O
ILTJSOZ,O,O,X,O,O
ILTJZSO,O,O,X,O,O
ILTJZOS,O,O,X,O,O
ILTJOSZ,O,O,X,O,X
ILTJOZS,X,O,X,O,O
ILTSJZO,O,O,X,O,O
ILTSJOZ,O,O,O,O,O
ILTSZJO,O,O,X,O,O
ILTSZOJ,O,O,O,O,O
ILTSOJZ,O,O,O,O,O
ILTSOZJ,O,O,O,O,O
ILTZJSO,O,O,O,O,O
ILTZJOS,O,O,X,O,O
ILTZSJO,O,O,O,O,O
ILTZSOJ,O,O,O,O,O
ILTZOJS,O,O,O,O,O
ILTZOSJ,O,O,O,X,O
ILTOJSZ,O,O,O,O,X
ILTOJZS,X,O,O,O,O
ILTOSJZ,O,O,O,O,O
ILTOSZJ,O,O,O,O,O
ILTOZJS,X,O,O,O,O
ILTOZSJ,X,O,O,X,O
ILJTSZO,O,O,X,O,O
ILJTSOZ,O,O,X,O,O
ILJTZSO,O,O,X,O,O
ILJTZOS,O,O,X,O,O
ILJTOSZ,O,O,X,O,X
ILJTOZS,X,O,X,O,O
ILJSTZO,O,O,X,O,X
ILJSTOZ,O,O,X,O,X
ILJSZTO,O,O,X,O,X
ILJSZOT,O,O,X,X,X
ILJSOTZ,O,O,X,X,X
ILJSOZT,O,O,X,X,X
ILJZTSO,X,O,X,O,X
ILJZTOS,X,O,X,O,X
ILJZSTO,O,O,X,O,X
ILJZSOT,O,O,X,X,X
ILJZOTS,X,O,X,X,X
ILJZOST,O,O,X,X,X
ILJOTSZ,X,O,X,X,X
ILJOTZS,X,O,X,X,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,X,O,X,X,X
ILJOZST,X,O,X,X,X
ILSTJZO,O,O,X,X,O
ILSTJOZ,O,O,X,X,O
ILSTZJO,O,O,X,X,O
ILSTZOJ,O,O,X,X,O
ILSTOJZ,O,O,O,X,O
ILSTOZJ,O,O,X,X,O
ILSJTZO,O,O,X,O,X
ILSJTOZ,O,O,X,O,X
ILSJZTO,O,O,X,O,X
ILSJZOT,O,O,X,X,X
ILSJOTZ,O,O,O,X,X
ILSJOZT,O,O,O,X,X
ILSZTJO,O,O,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,O,X,X,X
ILSZJOT,O,O,X,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,O,O,X,X
ILSOTJZ,O,O,O,X,X
ILSOTZJ,O,O,X,X,X
ILSOJTZ,O,O,O,X,X
ILSOJZT,O,O,O,X,X
ILSOZTJ,O,O,O,X,X
ILSOZJT,O,O,O,X,X
ILZTJSO,O,O,O,X,O
ILZTJOS,O,O,O,X,O
ILZTSJO,O,O,O,X,O
ILZTSOJ,O,O,O,X,O
ILZTOJS,O,O,O,X,O
ILZTOSJ,O,O,O,X,O
ILZJTSO,X,O,O,X,X
ILZJTOS,X,O,O,X,X
ILZJSTO,O,O,O,X,X
ILZJSOT,O,O,O,X,X
ILZJOTS,X,O,O,X,X
ILZJOST,O,O,O,X,X
ILZSTJO,O,O,O,X,X
ILZSTOJ,O,O,O,X,X
ILZSJTO,O,O,O,X,X
ILZSJOT,O,O,O,X,X
ILZSOTJ,O,O,O,X,X
ILZSOJT,O,O,O,X,X
ILZOTJS,X,O,O,X,X
ILZOTSJ,X,O,O,X,X
ILZOJTS,X,O,O,X,X
ILZOJST,O,O,O,X,X
ILZOSTJ,O,O,O,X,X
ILZOSJT,O,O,O,X,X
ILOTJSZ,X,O,O,X,X
ILOTJZS,X,O,O,X,O
ILOTSJZ,X,O,O,X,O
ILOTSZJ,X,O,O,X,O
ILOTZJS,X,O,O,X,O
ILOTZSJ,X,O,O,X,O
ILOJTSZ,X,O,O,X,X
ILOJTZS,X,O,O,X,X
ILOJSTZ,X,O,O,X,X
ILOJSZT,X,O,O,X,X
ILOJZTS,X,O,O,X,X
ILOJZST,X,O,O,X,X
ILOSTJZ,X,O,O,X,X
ILOSTZJ,X,O,X,X,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,X,O,O,X,X
ILOSZTJ,X,O,O,X,X
ILOSZJT,X,O,O,X,X
ILOZTJS,X,O,O,X,X
ILOZTSJ,X,O,O,X,X
ILOZJTS,X,O,O,X,X
ILOZJST,X,O,O,X,X
ILOZSTJ,X,O,O,X,X
ILOZSJT,X,O,O,X,X
IJTLSZO,O,O,X,O,O
IJTLSOZ,O,O,X,O,O
IJTLZSO,O,O,X,O,O
IJTLZOS,O,O,X,O,O
IJTLOSZ,O,O,X,O,X
IJTLOZS,X,O,X,O,O
IJTSLZO,O,O,X,O,O
IJTSLOZ,O,O,O,O,O
IJTSZLO,O,O,X,O,X
IJTSZOL,O,O,X,O,X
IJTSOLZ,O,X,O,O,O
IJTSOZL,O,X,O,O,X
IJTZLSO,O,O,O,O,X
IJTZLOS,O,O,X,O,X
IJTZSLO,O,O,O,O,X
IJTZSOL,O,X,O,O,X
IJTZOLS,O,O,O,O,X
IJTZOSL,O,X,O,O,X
IJTOLSZ,O,X,O,O,X
IJTOLZS,X,X,O,O,O
IJTOSLZ,O,X,O,O,X
IJTOSZL,O,X,O,O,X
IJTOZLS,O,X,O,O,X
IJTOZSL,O,X,O,O,X
IJLTSZO,O,O,X,O,O
IJLTSOZ,O,O,X,O,O
IJLTZSO,O,O,X,O,O
IJLTZOS,O,O,X,O,O
IJLTOSZ,O,O,X,O,X
IJLTOZS,X,O,X,O,O
IJLSTZO,O,O,X,O,X
IJLSTOZ,O,O,X,O,X
IJLSZTO,O,O,X,O,X
IJLSZOT,O,O,X,X,X
IJLSOTZ,O,O,X,X,X
IJLSOZT,O,O,X,X,X
IJLZTSO,X,O,X,O,X
IJLZTOS,X,O,X,O,X
IJLZSTO,O,O,X,O,X
IJLZSOT,O,O,X,X,X
IJLZOTS,X,O,X,X,X
IJLZOST,O,O,X,X,X
IJLOTSZ,X,O,X,X,X
IJLOTZS,X,O,X,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,X,O,X,X,X
IJLOZST,X,O,X,X,X
IJSTLZO,O,O,X,O,X
IJSTLOZ,O,O,X,O,X
IJSTZLO,O,O,X,O,X
IJSTZOL,O,O,X,O,X
IJSTOLZ,O,X,X,O,X
IJSTOZL,O,X,X,O,X
IJSLTZO,O,O,X,O,X
IJSLTOZ,O,O,X,O,X
IJSLZTO,O,O,X,O,X
IJSLZOT,O,O,X,X,X
IJSLOTZ,O,O,O,X,X
IJSLOZT,O,O,O,X,X
IJSZTLO,O,O,X,O,X
IJSZTOL,O,O,X,O,X
IJSZLTO,O,O,X,O,X
IJSZLOT,O,O,X,X,X
IJSZOTL,O,O,X,O,X
IJSZOLT,O,O,X,X,X
IJSOTLZ,O,X,O,O,X
IJSOTZL,O,X,X,O,X
IJSOLTZ,O,O,O,X,X
IJSOLZT,O,O,O,X,X
IJSOZTL,O,O,O,O,X
IJSOZLT,O,O,O,X,X
IJZTLSO,O,O,O,O,X
IJZTLOS,O,O,O,O,X
IJZTSLO,O,O,O,O,X
IJZTSOL,O,X,O,O,X
IJZTOLS,O,O,O,O,X
IJZTOSL,O,X,O,O,X
IJZLTSO,X,O,O,O,X
IJZLTOS,X,O,O,O,X
IJZLSTO,O,O,O,O,X
IJZLSOT,O,O,O,X,X
IJZLOTS,X,O,O,X,X
IJZLOST,O,O,O,X,X
IJZSTLO,O,O,O,O,X
IJZSTOL,O,O,O,O,X
IJZSLTO,O,O,O,O,X
IJZSLOT,O,O,O,X,X
IJZSOTL,O,O,O,O,X
IJZSOLT,O,O,O,X,X
IJZOTLS,X,O,O,O,X
IJZOTSL,O,X,O,O,X
IJZOLTS,X,O,O,X,X
IJZOLST,O,O,O,X,X
IJZOSTL,O,X,O,O,X
IJZOSLT,O,X,O,X,X
IJOTLSZ,O,X,O,O,X
IJOTLZS,X,X,O,O,X
IJOTSLZ,O,X,O,O,X
IJOTSZL,O,X,O,O,X
IJOTZLS,O,X,O,O,X
IJOTZSL,O,X,O,O,X
IJOLTSZ,X,O,O,X,X
IJOLTZS,X,O,O,X,X
IJOLSTZ,X,O,O,X,X
IJOLSZT,X,O,O,X,X
IJOLZTS,X,O,O,X,X
IJOLZST,X,O,O,X,X
IJOSTLZ,O,X,O,O,X
IJOSTZL,O,X,O,O,X
IJOSLTZ,O,O,O,X,X
IJOSLZT,O,O,O,X,X
IJOSZTL,O,O,O,O,X
IJOSZLT,O,O,O,X,X
IJOZTLS,X,O,O,O,X
IJOZTSL,O,X,O,O,X
IJOZLTS,X,O,O,X,X
IJOZLST,O,O,O,X,X
IJOZSTL,O,X,O,O,X
IJOZSLT,O,X,O,X,X
ISTLJZO,O,O,X,O,O
ISTLJOZ,O,O,O,O,O
ISTLZJO,O,O,X,O,O
ISTLZOJ,O,O,O,O,O
ISTLOJZ,O,O,O,O,O
ISTLOZJ,O,O,O,O,O
ISTJLZO,O,O,X,O,O
ISTJLOZ,O,O,O,O,O
ISTJZLO,O,O,X,O,X
ISTJZOL,O,O,X,O,X
ISTJOLZ,O,X,O,O,O
ISTJOZL,O,X,O,O,X
ISTZLJO,O,O,O,O,O
ISTZLOJ,O,O,O,O,O
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,O,O,O
ISTZOJL,O,O,O,O,X
ISTOLJZ,O,X,O,O,O
ISTOLZJ,O,X,O,O,O
ISTOJLZ,O,X,O,O,O
ISTOJZL,O,X,O,O,X
ISTOZLJ,O,X,O,O,O
ISTOZJL,O,X,O,O,X
ISLTJZO,O,O,X,X,O
ISLTJOZ,O,O,X,X,O
ISLTZJO,O,O,X,X,O
ISLTZOJ,O,O,X,X,O
ISLTOJZ,O,O,O,X,O
ISLTOZJ,O,O,X,X,O
ISLJTZO,O,O,X,O,X
ISLJTOZ,O,O,X,O,X
ISLJZTO,O,O,X,O,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,O,O,O,X,X
ISLJOZT,O,O,O,X,X
ISLZTJO,O,O,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,O,X,X,X
ISLZJOT,O,O,X,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,O,O,X,X
ISLOTJZ,O,O,O,X,X
ISLOTZJ,O,O,X,X,X
ISLOJTZ,O,O,O,X,X
ISLOJZT,O,O,O,X,X
ISLOZTJ,O,O,O,X,X
ISLOZJT,O,O,O,X,X
ISJTLZO,O,O,X,O,X
ISJTLOZ,O,O,X,O,X
ISJTZLO,O,O,X,O,X
ISJTZOL,O,O,X,O,X
ISJTOLZ,O,X,X,O,X
ISJTOZL,O,X,X,O,X
ISJLTZO,O,O,X,O,X
ISJLTOZ,O,O,X,O,X
ISJLZTO,O,O,X,O,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,O,O,O,X,X
ISJLOZT,O,O,O,X,X
ISJZTLO,O,O,X,O,X
ISJZTOL,O,O,X,O,X
ISJZLTO,O,O,X,O,X
ISJZLOT,O,O,X,X,X
ISJZOTL,O,O,X,O,X
ISJZOLT,O,O,X,X,X
ISJOTLZ,O,X,O,O,X
ISJOTZL,O,X,X,O,X
ISJOLTZ,O,O,O,X,X
ISJOLZT,O,O,O,X,X
ISJOZTL,O,O,O,O,X
ISJOZLT,O,O,O,X,X
ISZTLJO,O,O,O,X,X
ISZTLOJ,O,O,O,X,X
ISZTJLO,O,O,O,X,X
ISZTJOL,O,O,O,X,X
ISZTOLJ,O,O,O,X,X
ISZTOJL,O,O,O,X,X
ISZLTJO,O,O,O,X,X
ISZLTOJ,O,O,O,X,X
ISZLJTO,O,O,O,X,X
ISZLJOT,O,O,O,X,X
ISZLOTJ,O,O,O,X,X
ISZLOJT,O,O,O,X,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,O,O,O,X
ISZJLOT,O,O,O,X,X
ISZJOTL,O,O,O,O,X
ISZJOLT,O,O,O,X,X
ISZOTLJ,O,O,O,X,X
ISZOTJL,O,O,O,X,X
ISZOLTJ,O,O,O,X,X
ISZOLJT,O,O,O,X,X
ISZOJTL,O,O,O,X,X
ISZOJLT,O,O,O,X,X
ISOTLJZ,O,X,O,X,X
ISOTLZJ,O,X,O,X,X
ISOTJLZ,O,X,O,X,X
ISOTJZL,O,X,O,X,X
ISOTZLJ,O,X,O,X,X
ISOTZJL,O,X,O,X,X
ISOLTJZ,O,O,O,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,O,O,X,X
ISOLZJT,O,O,O,X,X
ISOJTLZ,O,X,O,O,X
ISOJTZL,O,X,O,O,X
ISOJLTZ,O,O,O,X,X
ISOJLZT,O,O,O,X,X
ISOJZTL,O,O,O,O,X
ISOJZLT,O,O,O,X,X
ISOZTLJ,O,O,O,X,X
ISOZTJL,O,O,O,X,X
ISOZLTJ,O,O,O,X,X
ISOZLJT,O,O,O,X,X
ISOZJTL,O,O,O,X,X
ISOZJLT,O,O,O,X,X
IZTLJSO,O,O,O,O,O
IZTLJOS,O,O,O,O,O
IZTLSJO,O,O,O,O,O
IZTLSOJ,O,O,O,O,O
IZTLOJS,O,O,O,O,O
IZTLOSJ,O,O,O,X,O
IZTJLSO,O,O,O,O,X
IZTJLOS,O,O,O,O,X
IZTJSLO,O,O,O,O,X
IZTJSOL,O,X,O,O,X
IZTJOLS,O,O,O,O,X
IZTJOSL,O,X,O,O,X
IZTSLJO,O,O,O,O,O
IZTSLOJ,O,O,O,O,O
IZTSJLO,O,O,O,O,X
IZTSJOL,O,X,O,O,X
IZTSOLJ,O,X,O,O,O
IZTSOJL,O,X,O,O,X
IZTOLJS,O,O,O,O,O
IZTOLSJ,O,O,O,X,O
IZTOJLS,O,O,O,O,X
IZTOJSL,O,X,O,O,X
IZTOSLJ,O,X,O,X,X
IZTOSJL,O,X,O,X,X
IZLTJSO,O,O,O,X,O
IZLTJOS,O,O,O,X,O
IZLTSJO,O,O,O,X,O
IZLTSOJ,O,O,O,X,O
IZLTOJS,O,O,O,X,O
IZLTOSJ,O,O,O,X,O
IZLJTSO,X,O,O,X,X
IZLJTOS,X,O,O,X,X
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,O,X,X
IZLJOTS,X,O,O,X,X
IZLJOST,O,O,O,X,X
IZLSTJO,O,O,O,X,X
IZLSTOJ,O,O,O,X,X
IZLSJTO,O,O,O,X,X
IZLSJOT,O,O,O,X,X
IZLSOTJ,O,O,O,X,X
IZLSOJT,O,O,O,X,X
IZLOTJS,X,O,O,X,X
IZLOTSJ,X,O,O,X,X
IZLOJTS,X,O,O,X,X
IZLOJST,O,O,O,X,X
IZLOSTJ,O,O,O,X,X
IZLOSJT,O,O,O,X,X
IZJTLSO,O,O,O,O,X
IZJTLOS,O,O,O,O,X
IZJTSLO,O,O,O,O,X
IZJTSOL,O,X,O,O,X
IZJTOLS,O,O,O,O,X
IZJTOSL,O,X,O,O,X
IZJLTSO,X,O,O,O,X
IZJLTOS,X,O,O,O,X
IZJLSTO,O,O,O,O,X
IZJLSOT,O,O,O,X,X
IZJLOTS,X,O,O,X,X
IZJLOST,O,O,O,X,X
IZJSTLO,O,O,O,O,X
IZJSTOL,O,O,O,O,X
IZJSLTO,O,O,O,O,X
IZJSLOT,O,O,O,X,X
IZJSOTL,O,O,O,O,X
IZJSOLT,O,O,O,X,X
IZJOTLS,X,O,O,O,X
IZJOTSL,O,X,O,O,X
IZJOLTS,X,O,O,X,X
IZJOLST,O,O,O,X,X
IZJOSTL,O,X,O,O,X
IZJOSLT,O,X,O,X,X
IZSTLJO,O,O,O,X,X
IZSTLOJ,O,O,O,X,X
IZSTJLO,O,O,O,X,X
IZSTJOL,O,O,O,X,X
IZSTOLJ,O,O,O,X,X
IZSTOJL,O,O,O,X,X
IZSLTJO,O,O,O,X,X
IZSLTOJ,O,O,O,X,X
IZSLJTO,O,O,O,X,X
IZSLJOT,O,O,O,X,X
IZSLOTJ,O,O,O,X,X
IZSLOJT,O,O,O,X,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,O,X
IZSJLOT,O,O,O,X,X
IZSJOTL,O,O,O,O,X
IZSJOLT,O,O,O,X,X
IZSOTLJ,O,O,O,X,X
IZSOTJL,O,O,O,X,X
IZSOLTJ,O,O,O,X,X
IZSOLJT,O,O,O,X,X
IZSOJTL,O,O,O,X,X
IZSOJLT,O,O,O,X,X
IZOTLJS,O,O,O,X,X
IZOTLSJ,O,O,O,X,X
IZOTJLS,O,O,O,X,X
IZOTJSL,O,X,O,X,X
IZOTSLJ,O,X,O,X,X
IZOTSJL,O,X,O,X,X
IZOLTJS,X,O,O,X,X
IZOLTSJ,X,O,O,X,X
IZOLJTS,X,O,O,X,X
IZOLJST,O,O,O,X,X
IZOLSTJ,O,O,O,X,X
IZOLSJT,O,O,O,X,X
IZOJTLS,X,O,O,X,X
IZOJTSL,O,X,O,X,X
IZOJLTS,X,O,O,X,X
IZOJLST,O,O,O,X,X
IZOJSTL,O,X,O,X,X
IZOJSLT,O,X,O,X,X
IZOSTLJ,O,X,O,X,X
IZOSTJL,O,X,O,X,X
IZOSLTJ,O,X,O,X,X
IZOSLJT,O,X,O,X,X
IZOSJTL,O,X,O,X,X
IZOSJLT,O,X,O,X,X
IOTLJSZ,O,X,O,O,X
IOTLJZS,X,X,O,O,O
IOTLSJZ,O,X,O,O,O
IOTLSZJ,O,X,O,O,O
IOTLZJS,X,X,O,O,O
IOTLZSJ,X,X,O,X,O
IOTJLSZ,O,X,O,O,X
IOTJLZS,X,X,O,O,O
IOTJSLZ,O,X,O,O,X
IOTJSZL,O,X,O,O,X
IOTJZLS,O,X,O,O,X
IOTJZSL,O,X,O,O,X
IOTSLJZ,O,X,O,O,O
IOTSLZJ,O,X,O,O,O
IOTSJLZ,O,X,O,O,O
IOTSJZL,O,X,O,O,X
IOTSZLJ,O,X,O,O,O
IOTSZJL,O,X,O,O,X
IOTZLJS,O,X,O,O,O
IOTZLSJ,O,X,O,X,O
IOTZJLS,O,X,O,O,X
IOTZJSL,O,X,O,O,X
IOTZSLJ,O,X,O,X,X
IOTZSJL,O,X,O,X,X
IOLTJSZ,X,O,O,X,X
IOLTJZS,X,O,O,X,O
IOLTSJZ,X,O,O,X,O
IOLTSZJ,X,O,O,X,O
IOLTZJS,X,O,O,X,O
IOLTZSJ,X,O,O,X,O
IOLJTSZ,X,O,O,X,X
IOLJTZS,X,O,O,X,X
IOLJSTZ,X,O,O,X,X
IOLJSZT,X,O,O,X,X
IOLJZTS,X,O,O,X,X
IOLJZST,X,O,O,X,X
IOLSTJZ,X,O,O,X,X
IOLSTZJ,X,O,X,X,X
IOLSJTZ,X,O,O,X,X
IOLSJZT,X,O,O,X,X
IOLSZTJ,X,O,O,X,X
IOLSZJT,X,O,O,X,X
IOLZTJS,X,O,O,X,X
IOLZTSJ,X,O,O,X,X
IOLZJTS,X,O,O,X,X
IOLZJST,X,O,O,X,X
IOLZSTJ,X,O,O,X,X
IOLZSJT,X,O,O,X,X
IOJTLSZ,O,X,O,O,X
IOJTLZS,X,X,O,O,X
IOJTSLZ,O,X,O,O,X
IOJTSZL,O,X,O,O,X
IOJTZLS,O,X,O,O,X
IOJTZSL,O,X,O,O,X
IOJLTSZ,X,O,O,X,X
IOJLTZS,X,O,O,X,X
IOJLSTZ,X,O,O,X,X
IOJLSZT,X,O,O,X,X
IOJLZTS,X,O,O,X,X
IOJLZST,X,O,O,X,X
IOJSTLZ,O,X,O,O,X
IOJSTZL,O,X,O,O,X
IOJSLTZ,O,O,O,X,X
IOJSLZT,O,O,O,X,X
IOJSZTL,O,O,O,O,X
IOJSZLT,O,O,O,X,X
IOJZTLS,X,O,O,O,X
IOJZTSL,O,X,O,O,X
IOJZLTS,X,O,O,X,X
IOJZLST,O,O,O,X,X
IOJZSTL,O,X,O,O,X
IOJZSLT,O,X,O,X,X
IOSTLJZ,O,X,O,X,X
IOSTLZJ,O,X,O,X,X
IOSTJLZ,O,X,O,X,X
IOSTJZL,O,X,O,X,X
IOSTZLJ,O,X,O,X,X
IOSTZJL,O,X,O,X,X
IOSLTJZ,O,O,O,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,O,O,O,X,X
IOSLJZT,O,O,O,X,X
IOSLZTJ,O,O,O,X,X
IOSLZJT,O,O,O,X,X
IOSJTLZ,O,X,O,O,X
IOSJTZL,O,X,O,O,X
IOSJLTZ,O,O,O,X,X
IOSJLZT,O,O,O,X,X
IOSJZTL,O,O,O,O,X
IOSJZLT,O,O,O,X,X
IOSZTLJ,O,O,O,X,X
IOSZTJL,O,O,O,X,X
IOSZLTJ,O,O,O,X,X
IOSZLJT,O,O,O,X,X
IOSZJTL,O,O,O,X,X
IOSZJLT,O,O,O,X,X
IOZTLJS,O,O,O,X,X
IOZTLSJ,O,O,O,X,X
IOZTJLS,O,O,O,X,X
IOZTJSL,O,X,O,X,X
IOZTSLJ,O,X,O,X,X
IOZTSJL,O,X,O,X,X
IOZLTJS,X,O,O,X,X
IOZLTSJ,X,O,O,X,X
IOZLJTS,X,O,O,X,X
IOZLJST,O,O,O,X,X
IOZLSTJ,O,O,O,X,X
IOZLSJT,O,O,O,X,X
IOZJTLS,X,O,O,X,X
IOZJTSL,O,X,O,X,X
IOZJLTS,X,O,O,X,X
IOZJLST,O,O,O,X,X
IOZJSTL,O,X,O,X,X
IOZJSLT,O,X,O,X,X
IOZSTLJ,O,X,O,X,X
IOZSTJL,O,X,O,X,X
IOZSLTJ,O,X,O,X,X
IOZSLJT,O,X,O,X,X
IOZSJTL,O,X,O,X,X
IOZSJLT,O,X,O,X,X
LTIJSZO,O,O,X,O,O
LTIJSOZ,O,O,X,O,O
LTIJZSO,O,O,X,O,O
LTIJZOS,O,O,X,O,O
LTIJOSZ,O,O,X,O,X
LTIJOZS,X,O,X,O,O
LTISJZO,O,O,X,O,O
LTISJOZ,O,O,O,O,O
LTISZJO,O,O,X,O,O
LTISZOJ,O,O,O,O,O
LTISOJZ,O,O,O,O,O
LTISOZJ,O,O,O,O,O
LTIZJSO,O,O,O,O,O
LTIZJOS,O,O,X,O,O
LTIZSJO,O,O,O,O,O
LTIZSOJ,O,O,O,O,O
LTIZOJS,O,O,O,O,O
LTIZOSJ,O,O,O,X,O
LTIOJSZ,O,O,O,O,X
LTIOJZS,X,O,O,O,O
LTIOSJZ,O,O,O,O,O
LTIOSZJ,O,O,O,O,O
LTIOZJS,X,O,O,O,O
LTIOZSJ,X,O,O,X,O
LTJISZO,O,O,X,O,O
LTJISOZ,O,O,X,O,O
LTJIZSO,O,O,X,O,O
LTJIZOS,O,O,X,O,O
LTJIOSZ,O,O,X,O,X
LTJIOZS,X,O,X,O,O
LTJSIZO,O,O,X,O,O
LTJSIOZ,O,O,X,O,O
LTJSZIO,O,O,X,O,O
LTJSZOI,O,O,X,O,O
LTJSOIZ,O,O,X,O,O
LTJSOZI,O,O,X,O,O
LTJZISO,O,O,X,O,O
LTJZIOS,O,O,X,O,O
LTJZSIO,O,O,X,O,O
LTJZSOI,O,O,X,O,O
LTJZOIS,O,O,X,O,O
LTJZOSI,O,O,X,O,O
LTJOISZ,O,O,X,O,X
LTJOIZS,X,O,X,O,O
LTJOSIZ,O,O,X,O,X
LTJOSZI,O,O,X,O,X
LTJOZIS,X,O,X,O,O
LTJOZSI,X,O,X,O,O
LTSIJZO,O,O,X,O,O
LTSIJOZ,O,O,O,O,O
LTSIZJO,O,O,X,O,O
LTSIZOJ,O,O,O,O,O
LTSIOJZ,O,O,O,O,O
LTSIOZJ,O,O,O,O,O
LTSJIZO,O,O,X,O,O
LTSJIOZ,O,O,O,O,O
