sequence,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBGjB8?rBatBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBCjB8?rBOtBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxnBXnBO?tBVvBUrB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxiBXnBO?tBVvBUrB
TLSZOJI,O,O,X,X
TLSOIJZ,O,X,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,O,X,X,X
TLSOJZI,O,X,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,O,X,X
TLZIJOS,O,O,X,X
TLZISJO,O,O,X,X
TLZISOJ,O,O,X,X
TLZIOJS,O,O,X,X
TLZIOSJ,O,O,X,X
TLZJISO,O,O,X,X
TLZJIOS,O,O,X,X
TLZJSIO,O,O,X,X
TLZJSOI,O,O,X,X
TLZJOIS,O,O,X,X
TLZJOSI,O,O,X,X
TLZSIJO,O,X,X,X
TLZSIOJ,O,O,X,X
TLZSJIO,O,O,X,X
TLZSJOI,O,O,X,X
TLZSOIJ,O,O,X,X
TLZSOJI,O,O,X,X
TLZOIJS,O,O,X,X
TLZOISJ,O,O,X,X
TLZOJIS,O,O,X,X
TLZOJSI,O,O,X,X
TLZOSIJ,O,O,X,X
TLZOSJI,O,O,X,X
TLOIJSZ,O,X,O,X
TLOIJZS,O,O,X,X
TLOISJZ,O,X,O,X
TLOISZJ,O,O,X,X
TLOIZJS,O,O,X,X
TLOIZSJ,O,O,X,X
TLOJISZ,O,O,X,X
TLOJIZS,O,O,X,X
TLOJSIZ,O,O,X,X
TLOJSZI,O,O,X,X
TLOJZIS,O,O,X,X
TLOJZSI,O,O,X,X
TLOSIJZ,O,X,X,X
TLOSIZJ,O,O,X,X
TLOSJIZ,O,X,X,X
TLOSJZI,O,X,X,X
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,X
TLOZIJS,O,O,X,X
TLOZISJ,O,O,X,X
TLOZJIS,O,O,X,X
TLOZJSI,O,O,X,X
TLOZSIJ,O,O,X,X
TLOZSJI,O,O,X,X
TJILSZO,X,O,X,X
TJILSOZ,X,O,X,X
TJILZSO,O,O,X,X
TJILZOS,O,O,X,X
TJILOSZ,X,O,X,X
TJILOZS,O,O,X,X
TJISLZO,X,O,X,X
TJISLOZ,X,O,X,X
TJISZLO,O,O,X,X
TJISZOL,O,O,X,X
TJISOLZ,X,O,X,X
TJISOZL,O,O,X,X
TJIZLSO,O,O,X,X
TJIZLOS,O,O,X,X
TJIZSLO,O,O,X,X
TJIZSOL,O,O,X,X
TJIZOLS,O,O,X,X
TJIZOSL,O,O,X,X
