sequence,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkB/qB6sBmrBUrB,v115@EhC8HeB8HeE8EeB8Jex/IvhFlhBTkBmlBXnB0qBSxB,v115@EhC8HeB8HeE8EeB8Jei/IvhF3gB1pBxmBUnBzqBWxB,v115@EhC8HeB8HeE8EeB8JeT/IvhFlgBUiBypBXmBGsBRwB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBRhB3lBCnBVwBTsB,v115@EhC8HeB8HeE8EeB8Jex/IvhFylBTkBGnB3mB0qBVxB,v115@EhC8HeB8HeE8EeB8Jei/IvhFzgBUiB3kBWsBlqBxwB,v115@EhC8HeB8HeE8EeB8Jex/IvhFTkB/qBFmB8rB+sBirB,v115@EhC8HeB8HeE8EeB8JeOEJvhF8kBzgBqmB/nBlqBxwB,v115@EhC8HeB8HeE8EeB8JeKEJvhFzfBWmB/nB0mBlqBxwB,v115@EhC8HeB8HeE8EeB8Jem/IvhFChB/nBTkB0mBlqBxwB
TILJSZO,X,X,O,O,O,X,O,X,X,O,O
TILJSOZ,X,X,O,O,X,X,O,X,X,O,O
TILJZSO,X,X,O,O,O,X,O,X,X,O,X
TILJZOS,X,X,X,O,O,X,O,X,X,O,X
TILJOSZ,X,X,O,O,X,X,O,X,X,O,X
TILJOZS,X,X,O,O,X,X,O,X,X,O,X
TILSJZO,X,X,O,O,O,X,O,X,O,O,O
TILSJOZ,X,X,O,O,X,X,O,X,O,O,O
TILSZJO,X,X,X,O,O,X,O,X,O,O,O
TILSZOJ,X,X,X,O,O,X,O,X,O,O,O
TILSOJZ,X,X,O,O,X,X,O,X,O,O,O
TILSOZJ,X,X,O,O,O,X,O,X,O,O,O
TILZJSO,X,X,X,O,O,X,X,X,O,O,X
TILZJOS,X,X,X,O,O,X,X,X,X,O,X
TILZSJO,X,X,X,O,O,X,X,X,O,O,X
TILZSOJ,X,X,X,O,O,X,X,X,O,O,X
TILZOJS,X,X,X,O,O,X,X,X,X,O,X
