sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TIZOSJL,X,X,O,O,O
TIOLJSZ,X,X,O,X,X
TIOLJZS,X,X,O,X,X
TIOLSJZ,X,X,O,X,O
TIOLSZJ,X,X,O,O,O
TIOLZJS,X,X,O,O,X
TIOLZSJ,X,X,O,O,O
TIOJLSZ,X,X,O,X,X
TIOJLZS,X,X,O,X,X
TIOJSLZ,X,X,X,O,O
TIOJSZL,X,X,X,O,O
TIOJZLS,X,X,O,O,X
TIOJZSL,X,X,O,O,O
TIOSLJZ,X,X,X,X,O
TIOSLZJ,X,X,O,O,O
TIOSJLZ,X,X,X,O,O
TIOSJZL,X,X,X,O,O
TIOSZLJ,X,X,O,O,O
TIOSZJL,X,X,O,O,O
TIOZLJS,X,X,O,O,X
TIOZLSJ,X,X,O,O,O
TIOZJLS,X,X,O,O,X
TIOZJSL,X,X,O,O,O
TIOZSLJ,X,X,O,O,O
TIOZSJL,X,X,O,O,O
TLIJSZO,O,O,O,X,X
TLIJSOZ,O,O,O,X,X
TLIJZSO,O,O,O,X,X
TLIJZOS,O,O,O,X,X
TLIJOSZ,O,O,O,X,X
TLIJOZS,O,O,O,X,X
TLISJZO,O,O,O,X,O
TLISJOZ,O,O,O,X,O
TLISZJO,O,O,O,O,O
TLISZOJ,O,O,O,O,O
TLISOJZ,O,O,O,X,O
TLISOZJ,O,O,O,O,O
TLIZJSO,O,O,O,O,X
TLIZJOS,O,O,O,O,X
TLIZSJO,O,O,O,O,O
TLIZSOJ,O,O,O,O,O
TLIZOJS,O,O,O,O,X
TLIZOSJ,O,O,O,O,O
TLIOJSZ,O,O,O,X,X
TLIOJZS,O,O,O,X,X
TLIOSJZ,O,O,O,X,O
TLIOSZJ,O,O,O,O,O
TLIOZJS,O,O,O,O,X
TLIOZSJ,O,O,O,O,O
TLJISZO,O,O,O,X,X
TLJISOZ,O,O,O,X,X
TLJIZSO,O,O,O,X,X
TLJIZOS,O,O,O,X,X
TLJIOSZ,O,O,O,X,X
TLJIOZS,O,O,O,X,X
TLJSIZO,O,O,O,O,X
TLJSIOZ,O,O,O,O,X
TLJSZIO,O,O,O,O,X
TLJSZOI,O,O,O,O,X
TLJSOIZ,O,O,O,O,X
TLJSOZI,O,O,O,O,X
TLJZISO,O,O,O,O,X
TLJZIOS,O,O,O,O,X
TLJZSIO,O,O,O,O,X
TLJZSOI,O,O,O,O,X
