sequence,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lBzhBaoB5oB+s?BlrB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFmhBziB5oBCmB0r?BlsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF6mBmiB5oBzlB0n?BVxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF0hBliB5oBzlBys?BWxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFVmBUiBaoB5oBGr?BTsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFlhBaoB5oBzlB8r?B+sB,v115@9gB8HeA8IeC8GeE8CeA8KeVFJvhFUhBanBziB5oBGr?B3sB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lB+mBiiB5oBzn?BVxB
TILJSZO,X,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,O
TILJZOS,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X
TILSZJO,X,X,O,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,O
TIJLZOS,O,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,X,O,X
TIJSZLO,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,X,X,X,O,X
TIJSOLZ,X,O,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,O,X
TIJZLSO,O,X,X,X,X,X,O,O
TIJZLOS,O,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,O,O
TIJZSOL,O,X,X,X,X,X,O,O
TIJZOLS,O,X,X,X,X,X,X,O
TIJZOSL,O,X,X,X,X,X,X,O
TIJOLSZ,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,O
TIJOSLZ,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X
