sequence,v115@HhA8IeB8GeC8BeF8Jex/IvhFmhBqnBTjBFlB0mB3qB,v115@HhA8IeB8GeC8BeF8Jel/IvhFRhB3iBcoBKqBzqBWxB,v115@HhA8IeB8GeC8BeF8Jex/IvhFihBunBcoBFlBzmB3qB,v115@HhA8IeB8GeC8BeF8Jex/IvhFThBenBCjB1qBXoBUqB,v115@HhA8IeB8GeC8BeF8JeRBJvhFCjBFlB8qBzmBXoBmpB
TJIZLOS,X,X,X,X,X
TJIZSLO,X,O,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,X,X,X,O,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,O,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,X,O,X,X,X
TJLZSOI,X,O,X,X,X
TJLZOIS,X,O,X,X,X
TJLZOSI,X,O,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,O,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,O,X,X,X
TJLOZSI,X,O,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,O,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,O,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,O,X
TJSLZIO,X,X,X,O,X
TJSLZOI,X,X,X,O,X
TJSLOIZ,X,X,X,O,X
TJSLOZI,X,X,X,O,X
TJSZILO,X,X,X,O,X
TJSZIOL,X,X,X,O,X
TJSZLIO,X,X,X,O,X
TJSZLOI,X,X,X,O,X
TJSZOIL,X,X,X,O,X
TJSZOLI,X,X,X,O,X
TJSOILZ,X,X,X,O,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,O,X
TJSOLZI,X,X,X,O,X
TJSOZIL,X,X,X,O,X
TJSOZLI,X,X,X,O,X
TJZILSO,X,X,X,X,X
TJZILOS,X,X,X,X,X
TJZISLO,X,O,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,O,X,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,X,O,X,X,X
TJZLSOI,X,O,X,X,X
TJZLOIS,X,O,X,X,X
TJZLOSI,X,O,X,X,X
TJZSILO,X,O,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,X,O,X,X,X
TJZSLOI,X,O,X,X,X
TJZSOIL,X,X,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,X,X,X,O,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,X,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,X,X,X,O,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,O,X
TJOSLZI,X,X,X,O,X
TJOSZIL,X,X,X,O,X
TJOSZLI,X,X,X,O,X
TJOZILS,X,X,X,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,O,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,O,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,O,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,O,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,O,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,O,X
TSLJZIO,X,X,X,O,X
TSLJZOI,X,X,X,O,X
TSLJOIZ,X,X,X,O,X
TSLJOZI,X,X,X,O,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,O,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,O,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,O,X
TSJLZIO,X,X,X,O,X
TSJLZOI,X,X,X,O,X
TSJLOIZ,X,X,X,O,X
TSJLOZI,X,X,X,O,X
TSJZILO,X,X,X,O,X
TSJZIOL,X,X,X,O,X
TSJZLIO,X,X,X,O,X
TSJZLOI,X,X,X,O,X
TSJZOIL,X,X,X,O,X
TSJZOLI,X,X,X,O,X
TSJOILZ,X,X,X,O,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,O,X
TSJOLZI,X,X,X,O,X
TSJOZIL,X,X,X,O,X
TSJOZLI,X,X,X,O,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
