sequence,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFFgB0hB?6nB3lBWvBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeOEJvhF0hB6nB?llBXlBzrBxuB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF1lB6mB?TiBUlBWvBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBFiB?6rBcsBGqBzpB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF6mBTiB?8pBuqBXsBFqB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF0hBllB?SsBzpBGqBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFUgB6rB?TnB3lBWvBFsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBGqBzpBCsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gB+nB?lmBCqBUqBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBupBTqBCsB
TILJSZO,O,O,O,O,X,X,X,X,O,X
TILJSOZ,O,X,O,X,X,X,X,X,O,X
TILJZSO,X,O,O,O,X,X,X,X,O,X
TILJZOS,X,O,X,O,X,O,O,X,X,X
TILJOSZ,X,O,O,X,X,X,X,X,O,X
TILJOZS,X,O,X,X,X,X,O,X,X,X
TILSJZO,O,O,O,X,X,X,X,X,O,X
TILSJOZ,X,X,O,X,X,X,X,X,O,X
TILSZJO,O,O,X,O,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,O,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X
TILZJOS,X,O,X,O,X,O,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,X
TILZSOJ,X,X,O,O,X,O,X,X,X,X
TILZOJS,X,O,X,O,X,O,O,X,X,X
TILZOSJ,X,X,X,O,X,O,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X
TILOJZS,O,O,X,X,X,O,O,X,X,X
TILOSJZ,X,O,O,X,X,X,X,X,X,X
TILOSZJ,O,O,O,X,X,O,X,X,X,X
TILOZJS,O,O,X,X,X,O,O,X,X,X
TILOZSJ,O,O,X,X,X,O,X,X,X,X
TIJLSZO,O,O,O,O,O,X,X,X,O,X
TIJLSOZ,O,X,O,X,O,X,X,X,O,X
TIJLZSO,X,O,O,O,O,X,X,X,O,X
TIJLZOS,X,O,X,O,X,O,O,X,X,X
TIJLOSZ,O,O,O,X,X,X,X,X,O,X
TIJLOZS,O,O,X,X,X,X,O,X,X,X
TIJSLZO,O,O,O,O,O,X,X,X,O,X
TIJSLOZ,O,X,O,X,O,X,X,X,O,X
TIJSZLO,O,O,O,X,O,X,X,O,O,X
TIJSZOL,O,X,O,X,O,X,X,O,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,O,X
TIJSOZL,O,O,O,X,O,X,X,X,X,X
TIJZLSO,X,O,O,O,O,X,X,O,O,X
TIJZLOS,X,O,X,O,X,O,O,X,X,X
TIJZSLO,X,O,O,X,O,X,X,O,O,X
TIJZSOL,X,X,O,X,O,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X,O,X,X,X
TIJZOSL,O,O,X,X,X,X,X,O,X,X
TIJOLSZ,O,O,O,X,X,X,X,X,O,X
TIJOLZS,O,O,X,X,X,X,O,X,X,X
TIJOSLZ,O,O,O,X,X,X,X,X,O,X
TIJOSZL,O,O,O,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,O,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,O,X,X,X,X,X
TISLJOZ,X,X,O,X,O,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,X,X,O,X,X,X,X
TISLOJZ,O,X,O,X,O,X,X,X,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,O,X,X,X,X,X
TISJLOZ,X,X,O,X,O,X,X,X,X,X
TISJZLO,O,O,O,X,O,X,X,X,X,X
TISJZOL,X,X,O,X,O,X,X,X,X,X
TISJOLZ,O,O,O,X,O,X,X,X,X,X
TISJOZL,O,O,O,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,O,X,X,X,X
TISZJLO,O,O,X,X,O,X,X,X,X,X
TISZJOL,X,X,X,X,O,X,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,O,X,X,X,X,X
TISOLJZ,O,O,O,X,O,X,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X,X,X,X,X
TISOJZL,O,O,O,X,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,O,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,O,X,X
TIZLJOS,X,O,X,O,X,O,X,X,X,X
TIZLSJO,X,O,X,O,X,X,X,O,X,X
TIZLSOJ,X,X,O,O,X,O,X,X,X,O
TIZLOJS,X,O,X,O,X,O,O,X,X,X
TIZLOSJ,X,X,X,O,X,O,X,X,X,O
TIZJLSO,X,O,X,O,O,X,X,O,X,X
TIZJLOS,X,O,X,O,X,O,X,X,X,X
TIZJSLO,X,O,X,X,O,X,X,O,X,X
TIZJSOL,X,X,X,X,O,X,X,O,X,O
TIZJOLS,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,O,X,O
TIZSLJO,X,O,X,X,X,X,X,O,X,X
