sequence,v115@KhA8FeA8BeB8EeH8Le/EJvhFalBRhBGjB0mBlnBTtB,v115@KhA8FeA8BeB8EeH8Le/EJvhFalBFhB8mBziB5oBmsB,v115@KhA8FeA8BeB8EeH8LeT/IvhFelBFhB8mB5oBatB3sB,v115@KhA8FeA8BeB8EeH8LeyEJvhFFhBmiB5oBzmBftB0pB
TILJSZO,O,X,O,X
TILJSOZ,O,X,O,X
TILJZSO,X,X,O,X
TILJZOS,X,X,O,X
TILJOSZ,X,X,O,O
TILJOZS,X,X,O,X
TILSJZO,O,O,O,X
TILSJOZ,O,X,O,X
TILSZJO,O,O,O,X
TILSZOJ,X,O,X,X
TILSOJZ,O,X,X,O
TILSOZJ,X,O,X,O
TILZJSO,X,O,O,X
TILZJOS,X,O,O,X
TILZSJO,X,O,O,X
TILZSOJ,X,O,X,X
TILZOJS,X,X,O,X
TILZOSJ,X,X,X,O
TILOJSZ,X,X,O,O
TILOJZS,X,X,O,X
TILOSJZ,X,X,X,O
TILOSZJ,X,X,X,O
TILOZJS,X,X,O,X
TILOZSJ,X,X,X,O
TIJLSZO,O,X,O,X
TIJLSOZ,O,X,O,X
TIJLZSO,X,X,O,X
TIJLZOS,X,X,O,X
TIJLOSZ,X,X,O,O
TIJLOZS,X,X,O,X
TIJSLZO,O,O,O,X
TIJSLOZ,O,O,O,X
TIJSZLO,O,O,O,X
TIJSZOL,O,O,O,X
TIJSOLZ,O,O,O,X
TIJSOZL,X,O,O,X
TIJZLSO,O,O,O,X
TIJZLOS,X,O,O,X
TIJZSLO,O,O,O,X
TIJZSOL,O,O,O,X
TIJZOLS,X,O,O,X
TIJZOSL,O,O,O,X
TIJOLSZ,X,X,O,O
TIJOLZS,X,X,O,X
TIJOSLZ,O,O,O,O
TIJOSZL,X,O,O,O
TIJOZLS,X,O,O,X
TIJOZSL,X,O,O,X
TISLJZO,O,O,O,X
TISLJOZ,O,O,O,X
TISLZJO,O,O,O,X
TISLZOJ,O,O,X,X
TISLOJZ,O,X,X,O
TISLOZJ,O,O,X,O
TISJLZO,O,O,O,X
TISJLOZ,O,O,O,X
TISJZLO,O,O,O,X
TISJZOL,O,O,O,X
TISJOLZ,O,O,O,X
TISJOZL,X,O,O,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,O,X
TISZJOL,O,O,O,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,X,X,O
TISOLZJ,O,O,X,O
TISOJLZ,O,X,X,O
TISOJZL,O,X,X,O
TISOZLJ,O,O,X,O
TISOZJL,O,O,X,O
TIZLJSO,O,O,O,X
TIZLJOS,X,O,O,X
TIZLSJO,O,O,O,X
TIZLSOJ,O,O,X,X
TIZLOJS,X,X,O,X
TIZLOSJ,X,X,X,O
TIZJLSO,O,O,O,X
TIZJLOS,X,O,O,X
TIZJSLO,O,O,O,X
TIZJSOL,O,O,O,X
TIZJOLS,X,O,O,X
TIZJOSL,O,O,O,X
TIZSLJO,O,O,O,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,O,X
TIZSJOL,O,O,O,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,X,O,X
TIZOLSJ,O,X,X,O
