sequence,v115@9gA8IeA8IeA8EeA8AeC8DeE8Je5EJvhF/lB1mB6nBT?jBUmB2vB,v115@9gA8IeA8IeA8EeA8AeC8DeE8Je5EJvhF0hB6nBTjBl?lBOqBXrB,v115@9gA8IeA8IeA8EeA8AeC8DeE8Jez/IvhFRhBGjBcrBl?nBCqB3qB,v115@9gA8IeA8IeA8EeA8AeC8DeE8JeUAJvhF3hBGjBqpBl?nBxqBzqB
TILJSZO,O,X,X,O
TILJSOZ,O,X,O,O
TILJZSO,O,X,O,O
TILJZOS,O,X,O,O
TILJOSZ,O,X,O,O
TILJOZS,O,X,O,O
TILSJZO,O,O,X,O
TILSJOZ,O,O,O,O
TILSZJO,X,O,X,O
TILSZOJ,X,O,X,O
TILSOJZ,O,O,O,O
TILSOZJ,X,O,X,O
TILZJSO,O,X,O,O
TILZJOS,O,X,O,O
TILZSJO,X,O,O,O
TILZSOJ,X,O,O,O
TILZOJS,O,X,O,O
TILZOSJ,X,O,O,O
TILOJSZ,O,X,O,O
TILOJZS,O,X,O,O
TILOSJZ,O,O,O,O
TILOSZJ,X,O,X,O
TILOZJS,O,X,O,O
TILOZSJ,X,O,O,O
TIJLSZO,O,X,X,O
TIJLSOZ,O,X,O,O
TIJLZSO,O,X,O,O
TIJLZOS,O,X,O,O
TIJLOSZ,O,X,O,O
TIJLOZS,O,X,O,O
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,O,O
TIJSZLO,O,X,O,X
TIJSZOL,O,X,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,O,X,O,X
TIJZLOS,O,X,O,X
TIJZSLO,O,X,O,X
TIJZSOL,O,X,X,X
TIJZOLS,O,X,O,X
TIJZOSL,O,X,X,X
TIJOLSZ,O,X,O,X
TIJOLZS,O,X,O,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,O,X
TIJOZSL,O,X,X,X
TISLJZO,O,O,X,O
TISLJOZ,O,O,O,O
TISLZJO,X,O,X,O
TISLZOJ,X,O,X,O
TISLOJZ,O,O,O,O
TISLOZJ,X,O,X,O
TISJLZO,O,O,X,O
TISJLOZ,O,O,O,O
TISJZLO,O,O,O,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,X,X
TISJOZL,O,O,X,X
TISZLJO,X,O,O,X
TISZLOJ,X,O,O,X
TISZJLO,X,O,O,X
TISZJOL,X,O,X,X
TISZOLJ,X,O,X,X
TISZOJL,X,O,X,X
TISOLJZ,O,O,X,X
TISOLZJ,X,O,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,X,O,X,X
TISOZJL,X,O,X,X
TIZLJSO,O,X,O,X
TIZLJOS,O,X,O,X
TIZLSJO,X,O,O,X
TIZLSOJ,X,O,O,X
TIZLOJS,O,X,O,X
TIZLOSJ,X,O,O,X
TIZJLSO,O,X,O,X
TIZJLOS,O,X,O,X
TIZJSLO,O,X,O,X
TIZJSOL,O,X,X,X
TIZJOLS,O,X,O,X
TIZJOSL,O,X,X,X
TIZSLJO,X,O,O,X
TIZSLOJ,X,O,O,X
TIZSJLO,X,O,O,X
TIZSJOL,X,O,X,X
TIZSOLJ,X,O,X,X
TIZSOJL,X,O,X,X
TIZOLJS,O,X,O,X
TIZOLSJ,X,O,O,X
TIZOJLS,O,X,O,X
TIZOJSL,O,X,X,X
TIZOSLJ,X,O,X,X
TIZOSJL,X,O,X,X
TIOLJSZ,O,X,O,X
TIOLJZS,O,X,O,X
TIOLSJZ,O,O,O,X
TIOLSZJ,X,O,X,X
TIOLZJS,O,X,O,X
TIOLZSJ,X,O,X,X
TIOJLSZ,O,X,O,X
TIOJLZS,O,X,O,X
TIOJSLZ,O,X,X,X
TIOJSZL,O,X,X,X
TIOJZLS,O,X,O,X
TIOJZSL,O,X,X,X
TIOSLJZ,O,O,X,X
TIOSLZJ,X,O,X,X
TIOSJLZ,O,O,X,X
TIOSJZL,O,O,X,X
TIOSZLJ,X,O,X,X
TIOSZJL,X,O,X,X
TIOZLJS,O,X,O,X
TIOZLSJ,X,O,O,X
TIOZJLS,O,X,O,X
TIOZJSL,O,X,X,X
TIOZSLJ,X,O,X,X
TIOZSJL,X,O,X,X
TLIJSZO,O,X,X,O
TLIJSOZ,O,X,O,O
TLIJZSO,O,X,O,O
TLIJZOS,O,X,O,O
TLIJOSZ,O,X,O,O
TLIJOZS,O,X,O,O
TLISJZO,O,O,X,O
TLISJOZ,O,O,O,O
TLISZJO,X,O,X,O
TLISZOJ,X,O,X,O
TLISOJZ,O,O,O,O
TLISOZJ,X,O,X,O
TLIZJSO,O,X,O,O
TLIZJOS,O,X,O,O
TLIZSJO,X,O,O,O
TLIZSOJ,X,O,O,O
TLIZOJS,O,X,O,O
TLIZOSJ,X,O,O,O
TLIOJSZ,O,X,O,O
TLIOJZS,O,X,O,O
TLIOSJZ,O,O,O,O
TLIOSZJ,X,O,X,O
TLIOZJS,O,X,O,O
TLIOZSJ,X,O,O,O
TLJISZO,O,X,X,O
TLJISOZ,O,X,O,O
TLJIZSO,O,X,O,O
TLJIZOS,O,X,O,O
TLJIOSZ,O,X,O,O
TLJIOZS,O,X,O,O
TLJSIZO,O,X,X,O
TLJSIOZ,O,X,O,O
TLJSZIO,O,X,O,O
TLJSZOI,O,X,O,O
TLJSOIZ,O,X,O,O
TLJSOZI,O,X,O,O
TLJZISO,O,X,O,O
TLJZIOS,O,X,O,O
TLJZSIO,O,X,O,O
TLJZSOI,O,X,O,O
TLJZOIS,O,X,O,O
TLJZOSI,O,X,O,O
TLJOISZ,O,X,O,O
TLJOIZS,O,X,O,O
TLJOSIZ,O,X,O,O
TLJOSZI,O,X,O,O
TLJOZIS,O,X,O,O
TLJOZSI,O,X,O,O
TLSIJZO,O,O,X,O
TLSIJOZ,O,O,O,O
TLSIZJO,X,O,X,O
TLSIZOJ,X,O,X,O
TLSIOJZ,O,O,O,O
TLSIOZJ,X,O,X,O
TLSJIZO,O,O,X,O
TLSJIOZ,O,O,O,O
TLSJZIO,O,O,O,O
TLSJZOI,O,O,O,O
TLSJOIZ,O,O,O,O
TLSJOZI,O,O,O,O
TLSZIJO,X,O,O,O
TLSZIOJ,X,O,O,O
TLSZJIO,X,O,O,O
TLSZJOI,X,O,O,O
TLSZOIJ,X,O,O,X
TLSZOJI,X,O,O,O
TLSOIJZ,O,O,O,O
TLSOIZJ,X,O,X,O
TLSOJIZ,O,O,O,O
TLSOJZI,O,O,O,O
TLSOZIJ,X,O,O,X
TLSOZJI,X,O,O,O
TLZIJSO,O,X,O,O
TLZIJOS,O,X,O,O
TLZISJO,X,O,O,O
TLZISOJ,X,O,O,O
TLZIOJS,O,X,O,O
TLZIOSJ,X,O,O,O
TLZJISO,O,X,O,O
TLZJIOS,O,X,O,O
TLZJSIO,O,X,O,O
TLZJSOI,O,X,O,O
TLZJOIS,O,X,O,O
TLZJOSI,O,X,O,O
TLZSIJO,X,O,O,O
TLZSIOJ,X,O,O,O
TLZSJIO,X,O,O,O
TLZSJOI,X,O,O,O
TLZSOIJ,X,O,O,X
TLZSOJI,X,O,O,O
TLZOIJS,O,X,O,O
TLZOISJ,X,O,O,O
TLZOJIS,O,X,O,O
TLZOJSI,O,X,O,O
