sequence,v115@GhA8IeA8BeB8AeA8CeD8DeC8Jem/IvhFfmB0hBliBT?kBysBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeOEJvhF8kBfmBlhBa?oBTnBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeKEJvhFzfBfmB0hBm?iB1sBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeKEJvhFzfBfmBlhBc?nBeoBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8Jex/IvhFOmBVnBaoBT?kBXsB0qB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeOEJvhF8kBRiBFmBy?sBXsBzqB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JecGJvhFxkBmnBTkB3?nBlqBywB
TILJSZO,O,X,O,O,X,X,X
TILJSOZ,O,X,O,O,X,X,X
TILJZSO,O,X,O,O,X,X,X
TILJZOS,X,X,O,O,X,X,X
TILJOSZ,O,X,O,O,X,X,X
TILJOZS,O,X,O,O,X,X,X
TILSJZO,O,O,O,O,X,X,X
TILSJOZ,O,X,O,O,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,O,O,O,X,X,O,X
TILZJOS,X,X,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X
TILZOJS,O,X,O,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X
TILOJZS,O,X,O,O,X,X,X
TILOSJZ,O,X,O,O,X,X,X
TILOSZJ,O,X,O,X,X,X,X
TILOZJS,O,X,O,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X
TIJLSZO,O,X,O,O,X,X,X
TIJLSOZ,O,X,O,O,X,X,X
TIJLZSO,O,X,O,O,X,X,X
TIJLZOS,X,X,O,O,X,X,X
TIJLOSZ,O,X,O,O,X,X,X
TIJLOZS,X,X,O,O,X,X,X
TIJSLZO,O,X,O,O,X,X,X
TIJSLOZ,O,X,O,O,X,X,X
TIJSZLO,O,X,O,O,X,X,X
TIJSZOL,O,X,O,O,X,X,X
TIJSOLZ,X,X,O,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X
TIJZLSO,X,X,O,O,X,X,X
TIJZLOS,X,X,O,O,X,X,X
TIJZSLO,X,X,O,O,X,X,X
TIJZSOL,X,X,O,O,X,X,O
TIJZOLS,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,O
TIJOLSZ,X,X,O,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,X
TISLJOZ,O,X,O,O,X,X,X
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,O,O,O,O,X,X,X
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,O,O,O,O,X,X,X
TISJLOZ,O,X,O,O,X,X,X
TISJZLO,O,O,O,O,X,X,X
TISJZOL,O,O,O,O,X,X,X
TISJOLZ,X,O,O,X,X,X,X
TISJOZL,X,O,O,X,X,X,X
TISZLJO,O,O,O,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X
TISZJOL,O,O,O,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X
TISZOJL,O,O,O,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X
TISOLZJ,O,O,O,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X
TISOJZL,O,O,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X
TISOZJL,O,O,O,X,X,X,X
TIZLJSO,X,O,O,X,X,O,X
TIZLJOS,X,X,O,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X
TIZJLSO,X,O,O,X,X,O,X
TIZJLOS,X,X,O,X,X,X,X
TIZJSLO,X,O,O,X,X,X,X
TIZJSOL,X,O,O,X,X,X,O
TIZJOLS,X,O,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,O
TIZSLJO,X,O,O,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X
TIZSJOL,X,O,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X
TIZSOJL,X,O,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X
TIOLJZS,O,X,O,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X
TIOLZJS,O,O,O,X,X,X,X
TIOLZSJ,O,O,O,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,X
TIOJLZS,O,X,O,X,X,X,X
TIOJSLZ,O,X,O,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X
TLIJSZO,O,X,O,O,X,X,X
TLIJSOZ,X,X,O,O,X,X,X
TLIJZSO,X,X,O,O,X,X,X
TLIJZOS,X,X,O,O,X,X,X
TLIJOSZ,X,X,O,O,X,X,X
TLIJOZS,X,X,O,O,X,X,X
TLISJZO,O,O,O,O,X,X,X
TLISJOZ,X,X,O,O,X,X,X
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X
TLISOZJ,O,O,O,X,X,X,X
TLIZJSO,X,O,O,X,X,O,X
TLIZJOS,X,X,O,X,X,X,X
TLIZSJO,X,O,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X
TLIZOSJ,X,X,O,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X
TLIOJZS,X,X,O,O,X,X,X
TLIOSJZ,O,X,O,O,X,X,X
TLIOSZJ,O,X,O,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X
TLJISZO,O,X,O,O,X,X,X
TLJISOZ,X,X,O,O,X,X,X
TLJIZSO,X,X,X,O,X,X,X
TLJIZOS,X,X,X,O,X,X,X
TLJIOSZ,X,X,O,O,X,X,X
TLJIOZS,X,X,X,O,X,X,X
TLJSIZO,O,X,O,O,X,X,X
TLJSIOZ,X,X,O,O,X,X,X
TLJSZIO,O,X,O,O,X,X,X
TLJSZOI,O,X,O,O,X,X,X
TLJSOIZ,O,X,O,O,X,X,X
TLJSOZI,O,X,O,O,X,X,X
TLJZISO,X,X,X,X,X,O,X
TLJZIOS,X,X,X,X,X,X,X
TLJZSIO,O,X,O,O,X,O,X
TLJZSOI,O,X,O,O,X,O,X
TLJZOIS,X,X,X,X,X,X,X
TLJZOSI,X,X,O,O,X,O,X
TLJOISZ,O,X,O,O,X,X,X
TLJOIZS,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,O,X,X,X
TLJOSZI,O,X,O,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X
TLSIJZO,O,O,O,O,X,X,X
TLSIJOZ,X,X,O,O,O,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,X,O,O,O,X,X
TLSIOZJ,O,O,O,X,O,X,X
TLSJIZO,O,X,O,O,X,X,X
TLSJIOZ,X,X,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X,X
TLSJZOI,O,O,O,O,O,X,X
TLSJOIZ,O,X,O,O,O,X,X
TLSJOZI,O,X,O,O,O,X,X
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X
TLSZJIO,O,O,O,X,X,O,X
TLSZJOI,O,O,O,X,O,O,X
TLSZOIJ,O,X,O,X,O,X,X
TLSZOJI,O,O,O,X,O,X,X
TLSOIJZ,O,X,O,O,O,X,X
TLSOIZJ,O,X,O,X,O,X,X
TLSOJIZ,O,X,O,O,O,X,X
TLSOJZI,O,X,O,O,O,X,X
TLSOZIJ,O,X,O,X,O,X,X
TLSOZJI,O,O,O,X,O,X,X
TLZIJSO,X,O,X,X,X,O,X
TLZIJOS,X,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,O,X
TLZJIOS,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,X,O,X
TLZJSOI,O,O,O,X,X,O,X
TLZJOIS,X,X,X,X,X,X,X
TLZJOSI,X,X,O,X,X,O,X
TLZSIJO,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X
TLZSJIO,O,O,O,X,X,O,X
TLZSJOI,O,O,O,X,X,O,X
TLZSOIJ,O,X,O,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,O,X
TLZOSIJ,O,X,O,X,X,X,X
TLZOSJI,O,X,O,X,X,X,X
