sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
ITLJZOS,X,X,X,O,X
ITLJOSZ,X,O,X,X,X
ITLJOZS,X,X,X,O,X
ITLSJZO,X,O,X,X,X
ITLSJOZ,X,O,X,X,X
ITLSZJO,O,O,X,X,X
ITLSZOJ,O,O,X,X,X
ITLSOJZ,X,O,X,X,X
ITLSOZJ,O,O,X,X,X
ITLZJSO,X,X,X,O,X
ITLZJOS,X,X,X,O,X
ITLZSJO,O,X,X,O,X
ITLZSOJ,O,X,X,O,X
ITLZOJS,X,X,X,O,X
ITLZOSJ,O,X,X,O,X
ITLOJSZ,X,O,X,X,X
ITLOJZS,X,X,X,O,X
ITLOSJZ,X,O,X,X,X
ITLOSZJ,O,O,X,X,X
ITLOZJS,X,X,X,O,X
ITLOZSJ,O,X,X,O,X
ITJLSZO,X,X,X,X,O
ITJLSOZ,X,X,X,X,O
ITJLZSO,X,X,O,X,X
ITJLZOS,X,X,O,X,X
ITJLOSZ,X,X,X,X,O
ITJLOZS,X,X,O,X,X
ITJSLZO,X,X,X,X,O
ITJSLOZ,X,X,X,X,O
ITJSZLO,X,X,X,X,O
ITJSZOL,X,X,X,X,O
ITJSOLZ,X,X,X,X,O
ITJSOZL,X,X,X,X,O
ITJZLSO,X,X,O,X,X
ITJZLOS,X,X,O,X,X
ITJZSLO,X,X,O,X,X
ITJZSOL,X,X,O,X,X
ITJZOLS,X,X,O,X,X
ITJZOSL,X,X,O,X,X
ITJOLSZ,X,X,X,X,O
ITJOLZS,X,X,O,X,X
ITJOSLZ,X,X,X,X,O
ITJOSZL,X,X,X,X,O
ITJOZLS,X,X,O,X,X
ITJOZSL,X,X,O,X,X
ITSLJZO,X,O,X,X,O
ITSLJOZ,X,O,X,X,O
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,X,O,X,X,O
ITSLOZJ,O,O,X,X,X
ITSJLZO,X,O,X,X,O
ITSJLOZ,X,O,X,X,O
ITSJZLO,X,X,X,X,O
ITSJZOL,X,X,X,X,O
ITSJOLZ,X,O,X,X,O
ITSJOZL,X,X,X,X,O
ITSZLJO,O,O,X,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,X,X,X,O
ITSZJOL,O,X,X,X,O
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,X,X,X,O
ITSOLJZ,X,O,X,X,O
ITSOLZJ,O,O,X,X,X
ITSOJLZ,X,O,X,X,O
ITSOJZL,X,X,X,X,O
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,X,X,X,O
ITZLJSO,X,X,O,O,X
ITZLJOS,X,X,O,O,X
ITZLSJO,O,X,X,O,X
ITZLSOJ,O,X,X,O,X
ITZLOJS,X,X,O,O,X
ITZLOSJ,O,X,X,O,X
ITZJLSO,X,X,O,O,X
ITZJLOS,X,X,O,O,X
ITZJSLO,X,X,O,X,X
ITZJSOL,X,X,O,X,X
ITZJOLS,X,X,O,O,X
ITZJOSL,X,X,O,X,X
ITZSLJO,O,X,X,O,X
ITZSLOJ,O,X,X,O,X
ITZSJLO,O,X,O,X,X
ITZSJOL,O,X,O,X,X
ITZSOLJ,O,X,X,O,X
ITZSOJL,O,X,O,X,X
ITZOLJS,X,X,O,O,X
ITZOLSJ,O,X,X,O,X
ITZOJLS,X,X,O,O,X
ITZOJSL,X,X,O,X,X
ITZOSLJ,O,X,X,O,X
ITZOSJL,O,X,O,X,X
ITOLJSZ,X,O,X,X,X
ITOLJZS,X,X,X,O,X
ITOLSJZ,X,O,X,X,X
ITOLSZJ,O,O,X,X,X
ITOLZJS,X,X,X,O,X
ITOLZSJ,O,X,X,O,X
ITOJLSZ,X,X,X,X,O
ITOJLZS,X,X,O,X,X
ITOJSLZ,X,X,X,X,O
ITOJSZL,X,X,X,X,O
ITOJZLS,X,X,O,X,X
ITOJZSL,X,X,O,X,X
ITOSLJZ,X,O,X,X,O
ITOSLZJ,O,O,X,X,X
ITOSJLZ,X,O,X,X,O
ITOSJZL,X,X,X,X,O
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,X,X,X,O
ITOZLJS,X,X,O,O,X
ITOZLSJ,O,X,X,O,X
ITOZJLS,X,X,O,O,X
ITOZJSL,X,X,O,X,X
ITOZSLJ,O,X,X,O,X
ITOZSJL,O,X,O,X,X
ILTJSZO,X,O,X,X,X
ILTJSOZ,X,O,X,X,X
ILTJZSO,X,X,X,O,X
ILTJZOS,X,X,X,O,X
ILTJOSZ,X,O,X,X,X
ILTJOZS,X,X,X,O,X
ILTSJZO,X,O,X,X,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,X,O,X,X,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,X,X,X,O,X
ILTZJOS,X,X,X,O,X
ILTZSJO,O,X,X,O,X
ILTZSOJ,O,X,X,O,X
ILTZOJS,X,X,X,O,X
ILTZOSJ,O,X,X,O,X
ILTOJSZ,X,O,X,X,X
ILTOJZS,X,X,X,O,X
ILTOSJZ,X,O,X,X,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,X,X,X,O,X
ILTOZSJ,O,X,X,O,X
ILJTSZO,X,O,X,X,X
ILJTSOZ,X,O,X,X,X
ILJTZSO,X,X,X,O,X
ILJTZOS,X,X,X,O,X
ILJTOSZ,X,O,X,X,X
ILJTOZS,X,X,X,O,X
ILJSTZO,X,O,X,X,X
ILJSTOZ,X,O,X,X,X
ILJSZTO,O,X,X,X,X
ILJSZOT,O,O,X,X,X
ILJSOTZ,X,O,X,X,X
ILJSOZT,O,O,X,X,X
ILJZTSO,X,X,X,O,X
ILJZTOS,X,X,X,O,X
ILJZSTO,O,X,X,X,X
ILJZSOT,O,X,X,X,X
ILJZOTS,X,X,X,O,X
ILJZOST,O,X,X,X,X
ILJOTSZ,X,O,X,X,X
ILJOTZS,X,X,X,O,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,O,O,X,X,X
ILJOZTS,X,X,X,O,X
ILJOZST,O,X,X,X,X
ILSTJZO,X,O,X,X,X
ILSTJOZ,X,O,X,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,X,O,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,X,O,X,X,X
ILSJTOZ,X,O,X,X,X
ILSJZTO,O,X,X,X,X
ILSJZOT,O,O,X,X,X
ILSJOTZ,X,O,X,X,X
ILSJOZT,O,O,X,X,X
ILSZTJO,O,X,X,X,X
ILSZTOJ,O,X,X,X,X
ILSZJTO,O,X,X,X,X
ILSZJOT,O,O,X,X,X
ILSZOTJ,O,X,X,X,X
ILSZOJT,O,O,X,X,X
ILSOTJZ,X,O,X,X,X
ILSOTZJ,O,O,X,X,X
ILSOJTZ,X,O,X,X,X
ILSOJZT,O,O,X,X,X
ILSOZTJ,O,X,X,X,X
ILSOZJT,O,O,X,X,X
ILZTJSO,X,X,X,O,X
ILZTJOS,X,X,X,O,X
ILZTSJO,O,X,X,O,X
ILZTSOJ,O,X,X,O,X
ILZTOJS,X,X,X,O,X
ILZTOSJ,O,X,X,O,X
ILZJTSO,X,X,X,O,X
ILZJTOS,X,X,X,O,X
ILZJSTO,O,X,X,X,X
ILZJSOT,O,X,X,X,X
ILZJOTS,X,X,X,O,X
ILZJOST,O,X,X,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,X,X
ILZSJTO,O,X,X,X,X
ILZSJOT,O,X,X,X,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,O,X,X,X,X
ILZOTJS,X,X,X,O,X
ILZOTSJ,O,X,X,O,X
ILZOJTS,X,X,X,O,X
ILZOJST,O,X,X,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,X,X,X,X
ILOTJSZ,X,O,X,X,X
ILOTJZS,X,X,X,O,X
ILOTSJZ,X,O,X,X,X
ILOTSZJ,O,O,X,X,X
ILOTZJS,X,X,X,O,X
ILOTZSJ,O,X,X,O,X
ILOJTSZ,X,O,X,X,X
ILOJTZS,X,X,X,O,X
ILOJSTZ,X,O,X,X,X
ILOJSZT,O,O,X,X,X
ILOJZTS,X,X,X,O,X
ILOJZST,O,X,X,X,X
ILOSTJZ,X,O,X,X,X
ILOSTZJ,O,O,X,X,X
ILOSJTZ,X,O,X,X,X
ILOSJZT,O,O,X,X,X
ILOSZTJ,O,X,X,X,X
ILOSZJT,O,O,X,X,X
ILOZTJS,X,X,X,O,X
ILOZTSJ,O,X,X,O,X
ILOZJTS,X,X,X,O,X
ILOZJST,O,X,X,X,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,X,X,X,X
IJTLSZO,X,X,X,X,O
IJTLSOZ,X,X,X,X,O
IJTLZSO,X,X,O,X,X
IJTLZOS,X,X,O,X,X
IJTLOSZ,X,X,X,X,O
IJTLOZS,X,X,O,X,X
IJTSLZO,X,X,X,X,O
IJTSLOZ,X,X,X,X,O
IJTSZLO,X,X,X,X,O
IJTSZOL,X,X,X,X,O
IJTSOLZ,X,X,X,X,O
IJTSOZL,X,X,X,X,O
IJTZLSO,X,X,O,X,X
IJTZLOS,X,X,O,X,X
IJTZSLO,X,X,O,X,X
IJTZSOL,X,X,O,X,X
IJTZOLS,X,X,O,X,X
IJTZOSL,X,X,O,X,X
IJTOLSZ,X,X,X,X,O
IJTOLZS,X,X,O,X,X
IJTOSLZ,X,X,X,X,O
IJTOSZL,X,X,X,X,O
IJTOZLS,X,X,O,X,X
IJTOZSL,X,X,O,X,X
IJLTSZO,X,X,X,X,O
IJLTSOZ,X,X,X,X,O
IJLTZSO,X,X,O,X,X
IJLTZOS,X,X,O,X,X
IJLTOSZ,X,X,X,X,O
IJLTOZS,X,X,O,X,X
IJLSTZO,X,X,X,X,O
IJLSTOZ,X,X,X,X,O
IJLSZTO,O,X,X,X,X
IJLSZOT,O,X,X,X,X
IJLSOTZ,X,X,X,X,O
IJLSOZT,O,X,X,X,X
IJLZTSO,X,X,O,X,X
IJLZTOS,X,X,O,X,X
IJLZSTO,O,X,X,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,X,X,O,X,X
IJLZOST,O,X,O,X,X
IJLOTSZ,X,X,X,X,O
IJLOTZS,X,X,O,X,X
IJLOSTZ,X,X,X,X,O
IJLOSZT,O,X,X,X,X
IJLOZTS,X,X,O,X,X
IJLOZST,O,X,O,X,X
IJSTLZO,X,X,X,X,O
IJSTLOZ,X,X,X,X,O
IJSTZLO,X,X,X,X,O
IJSTZOL,X,X,X,X,O
IJSTOLZ,X,X,X,X,O
IJSTOZL,X,X,X,X,O
IJSLTZO,X,X,X,X,O
IJSLTOZ,X,X,X,X,O
IJSLZTO,O,X,X,X,X
IJSLZOT,O,X,X,X,X
IJSLOTZ,X,X,X,X,O
IJSLOZT,O,X,X,X,X
IJSZTLO,O,X,X,X,X
IJSZTOL,O,X,X,X,X
IJSZLTO,O,X,X,X,X
IJSZLOT,O,X,X,X,X
IJSZOTL,O,X,X,X,X
IJSZOLT,O,X,X,X,X
IJSOTLZ,X,X,X,X,O
IJSOTZL,X,X,X,X,O
IJSOLTZ,X,X,X,X,O
IJSOLZT,O,X,X,X,X
IJSOZTL,O,X,X,X,X
IJSOZLT,O,X,X,X,X
IJZTLSO,X,X,O,X,X
IJZTLOS,X,X,O,X,X
IJZTSLO,X,X,O,X,X
IJZTSOL,X,X,O,X,X
IJZTOLS,X,X,O,X,X
IJZTOSL,X,X,O,X,X
IJZLTSO,X,X,O,X,X
IJZLTOS,X,X,O,X,X
IJZLSTO,O,X,X,X,X
IJZLSOT,O,X,O,X,X
IJZLOTS,X,X,O,X,X
IJZLOST,O,X,O,X,X
IJZSTLO,O,X,X,X,X
IJZSTOL,O,X,X,X,X
IJZSLTO,O,X,X,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,O,X,X,X,X
IJZSOLT,O,X,O,X,X
IJZOTLS,X,X,O,X,X
IJZOTSL,X,X,O,X,X
IJZOLTS,X,X,O,X,X
IJZOLST,O,X,O,X,X
IJZOSTL,O,X,X,X,X
IJZOSLT,O,X,O,X,X
IJOTLSZ,X,X,X,X,O
IJOTLZS,X,X,O,X,X
IJOTSLZ,X,X,X,X,O
IJOTSZL,X,X,X,X,O
IJOTZLS,X,X,O,X,X
IJOTZSL,X,X,O,X,X
IJOLTSZ,X,X,X,X,O
IJOLTZS,X,X,O,X,X
IJOLSTZ,X,X,X,X,O
IJOLSZT,O,X,X,X,X
IJOLZTS,X,X,O,X,X
IJOLZST,O,X,O,X,X
IJOSTLZ,X,X,X,X,O
IJOSTZL,X,X,X,X,O
IJOSLTZ,X,X,X,X,O
IJOSLZT,O,X,X,X,X
IJOSZTL,O,X,X,X,X
IJOSZLT,O,X,X,X,X
IJOZTLS,X,X,O,X,X
IJOZTSL,X,X,O,X,X
IJOZLTS,X,X,O,X,X
IJOZLST,O,X,O,X,X
IJOZSTL,O,X,X,X,X
IJOZSLT,O,X,O,X,X
ISTLJZO,X,O,X,X,O
ISTLJOZ,X,O,X,X,O
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,X,O,X,X,O
ISTLOZJ,O,O,X,X,X
ISTJLZO,X,O,X,X,O
ISTJLOZ,X,O,X,X,O
ISTJZLO,X,X,X,X,O
ISTJZOL,X,X,X,X,O
ISTJOLZ,X,O,X,X,O
ISTJOZL,X,X,X,X,O
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,X,X,X,O
ISTZJOL,O,X,X,X,O
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,X,X,X,O
ISTOLJZ,X,O,X,X,O
ISTOLZJ,O,O,X,X,X
ISTOJLZ,X,O,X,X,O
ISTOJZL,X,X,X,X,O
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,X,X,X,O
ISLTJZO,X,O,X,X,X
ISLTJOZ,X,O,X,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,X,O,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,X,O,X,X,X
ISLJTOZ,X,O,X,X,X
ISLJZTO,O,X,X,X,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,X,O,X,X,X
ISLJOZT,O,O,X,X,X
ISLZTJO,O,X,X,X,X
ISLZTOJ,O,X,X,X,X
ISLZJTO,O,X,X,X,X
ISLZJOT,O,O,X,X,X
ISLZOTJ,O,X,X,X,X
ISLZOJT,O,O,X,X,X
ISLOTJZ,X,O,X,X,X
ISLOTZJ,O,O,X,X,X
ISLOJTZ,X,O,X,X,X
ISLOJZT,O,O,X,X,X
ISLOZTJ,O,X,X,X,X
ISLOZJT,O,O,X,X,X
ISJTLZO,X,X,X,X,O
ISJTLOZ,X,X,X,X,O
ISJTZLO,X,X,X,X,O
ISJTZOL,X,X,X,X,O
ISJTOLZ,X,X,X,X,O
ISJTOZL,X,X,X,X,O
ISJLTZO,X,X,X,X,O
ISJLTOZ,X,O,X,X,O
ISJLZTO,O,X,X,X,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,X,O,X,X,O
ISJLOZT,O,O,X,X,X
ISJZTLO,O,X,X,X,X
ISJZTOL,O,X,X,X,X
ISJZLTO,O,X,X,X,X
ISJZLOT,O,X,X,X,X
ISJZOTL,O,X,X,X,X
ISJZOLT,O,X,X,X,X
ISJOTLZ,X,X,X,X,O
ISJOTZL,X,X,X,X,O
ISJOLTZ,X,O,X,X,O
ISJOLZT,O,O,X,X,X
ISJOZTL,O,X,X,X,X
ISJOZLT,O,X,X,X,X
ISZTLJO,O,X,X,X,X
ISZTLOJ,O,X,X,X,X
ISZTJLO,O,X,X,X,X
ISZTJOL,O,X,X,X,X
ISZTOLJ,O,X,X,X,X
ISZTOJL,O,X,X,X,X
ISZLTJO,O,X,X,X,X
ISZLTOJ,O,X,X,X,X
ISZLJTO,O,X,X,X,X
ISZLJOT,O,O,X,X,X
ISZLOTJ,O,X,X,X,X
ISZLOJT,O,O,X,X,X
ISZJTLO,O,X,X,X,X
ISZJTOL,O,X,X,X,X
ISZJLTO,O,X,X,X,X
ISZJLOT,O,X,X,X,X
ISZJOTL,O,X,X,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,O,X,X,X,X
ISZOTJL,O,X,X,X,X
ISZOLTJ,O,X,X,X,X
ISZOLJT,O,O,X,X,X
ISZOJTL,O,X,X,X,X
ISZOJLT,O,X,X,X,X
ISOTLJZ,X,O,X,X,O
ISOTLZJ,O,O,X,X,X
ISOTJLZ,X,O,X,X,O
ISOTJZL,X,X,X,X,O
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,X,X,X,O
ISOLTJZ,X,O,X,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,X,O,X,X,X
ISOLJZT,O,O,X,X,X
ISOLZTJ,O,X,X,X,X
ISOLZJT,O,O,X,X,X
ISOJTLZ,X,X,X,X,O
ISOJTZL,X,X,X,X,O
ISOJLTZ,X,O,X,X,O
ISOJLZT,O,O,X,X,X
ISOJZTL,O,X,X,X,X
ISOJZLT,O,X,X,X,X
ISOZTLJ,O,X,X,X,X
ISOZTJL,O,X,X,X,X
ISOZLTJ,O,X,X,X,X
ISOZLJT,O,O,X,X,X
ISOZJTL,O,X,X,X,X
ISOZJLT,O,X,X,X,X
IZTLJSO,X,X,O,O,X
IZTLJOS,X,X,O,O,X
IZTLSJO,O,X,X,O,X
IZTLSOJ,O,X,X,O,X
IZTLOJS,X,X,O,O,X
IZTLOSJ,O,X,X,O,X
IZTJLSO,X,X,O,O,X
IZTJLOS,X,X,O,O,X
IZTJSLO,X,X,O,X,X
IZTJSOL,X,X,O,X,X
IZTJOLS,X,X,O,O,X
IZTJOSL,X,X,O,X,X
IZTSLJO,O,X,X,O,X
IZTSLOJ,O,X,X,O,X
IZTSJLO,O,X,O,X,X
IZTSJOL,O,X,O,X,X
IZTSOLJ,O,X,X,O,X
IZTSOJL,O,X,O,X,X
IZTOLJS,X,X,O,O,X
IZTOLSJ,O,X,X,O,X
IZTOJLS,X,X,O,O,X
IZTOJSL,X,X,O,X,X
IZTOSLJ,O,X,X,O,X
IZTOSJL,O,X,O,X,X
IZLTJSO,X,X,X,O,X
IZLTJOS,X,X,X,O,X
IZLTSJO,O,X,X,O,X
IZLTSOJ,O,X,X,O,X
IZLTOJS,X,X,X,O,X
IZLTOSJ,O,X,X,O,X
IZLJTSO,X,X,X,O,X
IZLJTOS,X,X,O,O,X
IZLJSTO,O,X,X,X,X
IZLJSOT,O,X,O,X,X
IZLJOTS,X,X,O,O,X
IZLJOST,O,X,O,X,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,X,X,X,X
IZLSJTO,O,X,X,X,X
IZLSJOT,O,X,X,X,X
IZLSOTJ,O,X,X,X,X
IZLSOJT,O,X,X,X,X
IZLOTJS,X,X,X,O,X
IZLOTSJ,O,X,X,O,X
IZLOJTS,X,X,O,O,X
IZLOJST,O,X,O,X,X
IZLOSTJ,O,X,X,X,X
IZLOSJT,O,X,X,X,X
IZJTLSO,X,X,O,X,X
IZJTLOS,X,X,O,X,X
IZJTSLO,X,X,O,X,X
IZJTSOL,X,X,O,X,X
IZJTOLS,X,X,O,X,X
IZJTOSL,X,X,O,X,X
IZJLTSO,X,X,O,X,X
IZJLTOS,X,X,O,X,X
IZJLSTO,O,X,X,X,X
IZJLSOT,O,X,O,X,X
IZJLOTS,X,X,O,X,X
IZJLOST,O,X,O,X,X
IZJSTLO,O,X,X,X,X
IZJSTOL,O,X,X,X,X
IZJSLTO,O,X,X,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,O,X,X,X,X
IZJSOLT,O,X,O,X,X
IZJOTLS,X,X,O,X,X
IZJOTSL,X,X,O,X,X
IZJOLTS,X,X,O,X,X
IZJOLST,O,X,O,X,X
IZJOSTL,O,X,X,X,X
IZJOSLT,O,X,O,X,X
IZSTLJO,O,X,X,X,X
IZSTLOJ,O,X,X,X,X
IZSTJLO,O,X,X,X,X
IZSTJOL,O,X,X,X,X
IZSTOLJ,O,X,X,X,X
IZSTOJL,O,X,X,X,X
IZSLTJO,O,X,X,X,X
IZSLTOJ,O,X,X,X,X
IZSLJTO,O,X,X,X,X
IZSLJOT,O,X,X,X,X
IZSLOTJ,O,X,X,X,X
IZSLOJT,O,X,X,X,X
IZSJTLO,O,X,X,X,X
IZSJTOL,O,X,X,X,X
IZSJLTO,O,X,X,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,O,X,X,X,X
IZSJOLT,O,X,O,X,X
IZSOTLJ,O,X,X,X,X
IZSOTJL,O,X,X,X,X
IZSOLTJ,O,X,X,X,X
IZSOLJT,O,X,X,X,X
IZSOJTL,O,X,X,X,X
IZSOJLT,O,X,O,X,X
IZOTLJS,X,X,O,O,X
IZOTLSJ,O,X,X,O,X
IZOTJLS,X,X,O,O,X
IZOTJSL,X,X,O,X,X
IZOTSLJ,O,X,X,O,X
IZOTSJL,O,X,O,X,X
IZOLTJS,X,X,X,O,X
IZOLTSJ,O,X,X,O,X
IZOLJTS,X,X,O,O,X
IZOLJST,O,X,O,X,X
IZOLSTJ,O,X,X,X,X
IZOLSJT,O,X,X,X,X
IZOJTLS,X,X,O,X,X
IZOJTSL,X,X,O,X,X
IZOJLTS,X,X,O,X,X
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,X,X,X
IZOJSLT,O,X,O,X,X
IZOSTLJ,O,X,X,X,X
IZOSTJL,O,X,X,X,X
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,X
IZOSJTL,O,X,X,X,X
IZOSJLT,O,X,O,X,X
IOTLJSZ,X,O,X,X,X
IOTLJZS,X,X,X,O,X
IOTLSJZ,X,O,X,X,X
IOTLSZJ,O,O,X,X,X
IOTLZJS,X,X,X,O,X
IOTLZSJ,O,X,X,O,X
IOTJLSZ,X,X,X,X,O
IOTJLZS,X,X,O,X,X
IOTJSLZ,X,X,X,X,O
IOTJSZL,X,X,X,X,O
IOTJZLS,X,X,O,X,X
IOTJZSL,X,X,O,X,X
IOTSLJZ,X,O,X,X,O
IOTSLZJ,O,O,X,X,X
IOTSJLZ,X,O,X,X,O
IOTSJZL,X,X,X,X,O
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,X,X,X,O
IOTZLJS,X,X,O,O,X
IOTZLSJ,O,X,X,O,X
IOTZJLS,X,X,O,O,X
IOTZJSL,X,X,O,X,X
IOTZSLJ,O,X,X,O,X
IOTZSJL,O,X,O,X,X
IOLTJSZ,X,O,X,X,X
IOLTJZS,X,X,X,O,X
IOLTSJZ,X,O,X,X,X
IOLTSZJ,O,O,X,X,X
IOLTZJS,X,X,X,O,X
IOLTZSJ,O,X,X,O,X
IOLJTSZ,X,O,X,X,X
IOLJTZS,X,X,X,O,X
IOLJSTZ,X,O,X,X,X
IOLJSZT,O,O,X,X,X
IOLJZTS,X,X,X,O,X
IOLJZST,O,X,X,X,X
IOLSTJZ,X,O,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,X,O,X,X,X
IOLSJZT,O,O,X,X,X
IOLSZTJ,O,X,X,X,X
IOLSZJT,O,O,X,X,X
IOLZTJS,X,X,X,O,X
IOLZTSJ,O,X,X,O,X
IOLZJTS,X,X,X,O,X
IOLZJST,O,X,X,X,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,X,X,X,X
IOJTLSZ,X,X,X,X,O
IOJTLZS,X,X,O,X,X
IOJTSLZ,X,X,X,X,O
IOJTSZL,X,X,X,X,O
IOJTZLS,X,X,O,X,X
IOJTZSL,X,X,O,X,X
IOJLTSZ,X,X,X,X,O
IOJLTZS,X,X,O,X,X
IOJLSTZ,X,X,X,X,O
IOJLSZT,O,X,X,X,X
IOJLZTS,X,X,O,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,X,X,X,X,O
IOJSTZL,X,X,X,X,O
IOJSLTZ,X,X,X,X,O
IOJSLZT,O,X,X,X,X
IOJSZTL,O,X,X,X,X
IOJSZLT,O,X,X,X,X
IOJZTLS,X,X,O,X,X
IOJZTSL,X,X,O,X,X
IOJZLTS,X,X,O,X,X
IOJZLST,O,X,O,X,X
IOJZSTL,O,X,X,X,X
IOJZSLT,O,X,O,X,X
IOSTLJZ,X,O,X,X,O
IOSTLZJ,O,O,X,X,X
IOSTJLZ,X,O,X,X,O
IOSTJZL,X,X,X,X,O
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,X,X,X,O
IOSLTJZ,X,O,X,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,X,O,X,X,X
IOSLJZT,O,O,X,X,X
IOSLZTJ,O,X,X,X,X
IOSLZJT,O,O,X,X,X
IOSJTLZ,X,X,X,X,O
IOSJTZL,X,X,X,X,O
IOSJLTZ,X,O,X,X,O
IOSJLZT,O,O,X,X,X
IOSJZTL,O,X,X,X,X
IOSJZLT,O,X,X,X,X
IOSZTLJ,O,X,X,X,X
IOSZTJL,O,X,X,X,X
IOSZLTJ,O,X,X,X,X
IOSZLJT,O,O,X,X,X
IOSZJTL,O,X,X,X,X
IOSZJLT,O,X,X,X,X
IOZTLJS,X,X,O,O,X
IOZTLSJ,O,X,X,O,X
IOZTJLS,X,X,O,O,X
IOZTJSL,X,X,O,X,X
IOZTSLJ,O,X,X,O,X
IOZTSJL,O,X,O,X,X
IOZLTJS,X,X,X,O,X
IOZLTSJ,O,X,X,O,X
IOZLJTS,X,X,O,O,X
IOZLJST,O,X,O,X,X
IOZLSTJ,O,X,X,X,X
IOZLSJT,O,X,X,X,X
IOZJTLS,X,X,O,X,X
IOZJTSL,X,X,O,X,X
IOZJLTS,X,X,O,X,X
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,X,X,X
IOZJSLT,O,X,O,X,X
IOZSTLJ,O,X,X,X,X
IOZSTJL,O,X,X,X,X
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,X
IOZSJTL,O,X,X,X,X
IOZSJLT,O,X,O,X,X
LTIJSZO,X,O,X,X,X
LTIJSOZ,X,O,X,X,X
LTIJZSO,X,X,X,O,X
LTIJZOS,X,X,X,O,X
LTIJOSZ,X,O,X,X,X
LTIJOZS,X,X,X,O,X
LTISJZO,X,O,X,X,X
LTISJOZ,X,O,X,X,X
LTISZJO,O,O,X,X,X
LTISZOJ,O,O,X,X,X
LTISOJZ,X,O,X,X,X
LTISOZJ,O,O,X,X,X
LTIZJSO,X,X,X,O,X
LTIZJOS,X,X,X,O,X
LTIZSJO,O,X,X,O,X
LTIZSOJ,O,X,X,O,X
LTIZOJS,X,X,X,O,X
LTIZOSJ,O,X,X,O,X
LTIOJSZ,X,O,X,X,X
LTIOJZS,X,X,X,O,X
LTIOSJZ,X,O,X,X,X
LTIOSZJ,O,O,X,X,X
LTIOZJS,X,X,X,O,X
LTIOZSJ,O,X,X,O,X
LTJISZO,X,O,X,X,O
LTJISOZ,X,O,X,X,O
LTJIZSO,X,X,O,O,X
LTJIZOS,X,X,O,O,X
LTJIOSZ,X,O,X,X,O
LTJIOZS,X,X,O,O,X
LTJSIZO,X,O,X,X,O
LTJSIOZ,X,O,X,X,O
LTJSZIO,X,O,O,O,O
LTJSZOI,X,O,O,O,O
LTJSOIZ,X,O,X,X,O
