sequence,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeOFJvhFXhBVnBaoB5?oBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFxhBXjBimB+?tB0qBlsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFVnBGjBilB/?tBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFOmBxiBFnBX?oB0qBSyB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MelAJvhFUiB5oB/qBO?rBysBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnB6?tBzsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFTjB/qBarBF?nBGtB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF5oB/qBFmBy?sBmqBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeRCJvhFcoB/qBFmBT?nBSyBmqB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexBJvhFXjBTlBimB+?tBlsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnBC?tBTtB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF/qBFmBxsBT?tBmqBCtB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeKFJvhFUiBFmBxsBX?tBzqBGtB
TILJSZO,O,X,O,O,O,X,X,X,X,X,X,X,O
TILJSOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
TILJZSO,O,X,O,O,O,X,X,X,X,X,X,X,O
TILJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
TILSJZO,O,X,O,O,O,X,X,O,X,X,X,X,O
TILSJOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
TILSZJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TILSZOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
TILSOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,O,X,X,X,X,O
TILZJSO,O,X,O,O,O,X,X,X,X,X,X,X,O
TILZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TILZSOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
TILZOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TIJLSZO,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,O,O,X,X,X,X,O,X,X
TIJLZSO,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJSLZO,O,X,O,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TIJSZLO,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
TIJSOZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,X,O,X,X,X,X,X,X,X,X
TIJZSOL,O,X,O,O,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,O,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,O,O,X,X,X,X,X
TISLJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TISLZJO,O,X,O,X,X,X,O,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TISLOJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TISJLZO,O,X,O,X,O,X,O,O,X,X,X,X,X
TISJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TISJZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
TISJZOL,O,X,O,O,O,X,X,X,X,X,X,O,X
TISJOLZ,O,X,O,X,O,O,O,X,X,X,X,X,X
TISJOZL,O,X,O,X,O,X,X,X,X,X,X,O,X
TISZLJO,O,X,O,X,X,X,X,O,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TISZJLO,O,X,O,X,X,X,X,O,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
TISZOLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TISZOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
TISOLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,X,O,X,O,X,X,X,O,X
TISOJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X,O,X
TISOZLJ,O,X,X,X,X,X,X,O,X,X,X,O,X
TISOZJL,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZLJSO,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZLJOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZLSOJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TIZJLSO,O,X,X,O,X,X,X,X,X,X,X,X,X
