sequence,v115@FhB8HeC8HeC8DeD8Jei/IvhFGhBTiBfqBUrBRsBlqB,v115@FhB8HeC8HeC8DeD8JeT/IvhF0gBqnBVqB3mBmmBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRhBqnB8rB3qBFrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFigBGiBfrBUqBRsBlrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFCiBXlB2rB0nBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFcmBenBqnBXlBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRmB1sBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Je2EJvhFRmB1sBzkBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Jei/IvhFfqBxlB0nBuqBFnBTrB
TLIOJSZ,O,O,X,X,X,O,O,X,X
TLIOJZS,O,O,X,X,X,O,O,X,X
TLIOSJZ,O,O,X,X,X,O,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,O,X,O,X
TLJISOZ,X,O,X,X,X,O,X,O,X
TLJIZSO,X,O,X,X,X,O,X,O,X
TLJIZOS,X,O,X,X,X,O,X,O,X
TLJIOSZ,X,O,X,X,X,O,O,O,X
TLJIOZS,X,O,X,X,X,O,O,O,X
TLJSIZO,X,X,X,X,X,X,X,O,X
TLJSIOZ,X,X,X,X,X,X,O,O,X
TLJSZIO,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,O,X,X,X
TLJSOIZ,X,X,X,X,X,X,O,X,X
TLJSOZI,X,X,O,X,X,O,X,X,X
TLJZISO,X,O,X,X,X,O,X,X,X
TLJZIOS,X,O,O,X,X,O,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,O,X,X,O,X,X,X
TLJZOIS,X,O,O,X,X,O,X,X,X
TLJZOSI,X,X,O,X,X,O,X,X,X
TLJOISZ,X,O,X,X,X,O,O,X,X
TLJOIZS,X,O,X,X,X,O,O,X,X
TLJOSIZ,X,X,X,X,X,X,O,X,X
TLJOSZI,X,X,O,X,X,O,X,X,X
TLJOZIS,X,O,O,X,X,O,X,X,X
TLJOZSI,X,X,O,X,X,O,X,X,X
TLSIJZO,X,O,X,X,X,O,X,O,X
TLSIJOZ,O,O,X,X,X,O,O,O,X
TLSIZJO,O,O,X,X,X,X,X,X,O
TLSIZOJ,O,O,X,X,X,X,X,X,O
TLSIOJZ,O,O,X,X,X,O,O,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,O,X
