sequence,v115@FhB8HeC8HeC8DeD8Jei/IvhFGhBTiBfqBUrBRsBlqB,v115@FhB8HeC8HeC8DeD8JeT/IvhF0gBqnBVqB3mBmmBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRhBqnB8rB3qBFrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFigBGiBfrBUqBRsBlrB,v115@FhB8HeC8HeC8DeD8JeT/IvhFCiBXlB2rB0nBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFcmBenBqnBXlBllBxvB,v115@FhB8HeC8HeC8DeD8JeT/IvhFelBRmB1sBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Je2EJvhFRmB1sBzkBCnB3qBUrB,v115@FhB8HeC8HeC8DeD8Jei/IvhFfqBxlB0nBuqBFnBTrB
TSOILZJ,X,X,X,X,X,X,X,X,O
TSOIJLZ,X,X,X,X,X,X,O,O,X
TSOIJZL,X,X,X,X,X,X,O,O,X
TSOIZLJ,X,X,X,X,X,X,X,X,O
TSOIZJL,X,X,X,X,O,X,O,X,X
TSOLIJZ,X,O,X,X,X,O,O,X,X
TSOLIZJ,X,O,X,X,X,X,X,X,O
TSOLJIZ,X,X,X,X,X,X,O,X,X
TSOLJZI,X,X,O,X,X,O,X,X,X
TSOLZIJ,X,O,X,X,X,X,X,X,O
TSOLZJI,X,X,O,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X,O,O,X
TSOJIZL,X,X,X,X,X,X,O,O,X
TSOJLIZ,X,X,X,X,X,X,O,X,X
TSOJLZI,X,X,O,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,O,X,X
TSOJZLI,X,X,O,X,X,X,X,X,X
TSOZILJ,X,O,X,X,X,X,X,X,O
TSOZIJL,X,O,X,X,O,X,O,X,X
TSOZLIJ,X,O,X,X,X,X,X,X,O
TSOZLJI,X,X,O,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X,O,X,X
TSOZJLI,X,X,O,X,O,X,X,X,X
TZILJSO,X,O,X,X,O,X,X,X,X
TZILJOS,X,O,X,O,O,X,X,X,X
TZILSJO,X,O,X,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,X,X,X,X
TZILOJS,X,O,X,O,O,X,X,X,X
TZILOSJ,X,O,X,X,X,X,X,X,X
TZIJLSO,X,O,X,X,O,X,X,O,X
TZIJLOS,X,O,X,O,O,X,X,O,X
TZIJSLO,X,O,X,O,O,X,X,O,X
TZIJSOL,X,O,X,O,O,X,X,O,X
TZIJOLS,X,O,X,O,O,X,O,O,X
TZIJOSL,X,O,X,O,O,X,O,O,X
TZISLJO,X,O,X,O,X,X,X,X,X
TZISLOJ,X,O,X,O,X,X,X,X,X
TZISJLO,X,O,X,O,O,X,X,O,X
TZISJOL,X,O,X,O,O,X,O,O,X
TZISOLJ,X,O,X,O,X,X,X,X,X
TZISOJL,X,O,X,O,O,X,O,X,X
TZIOLJS,X,O,X,O,O,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X
TZIOJLS,X,O,X,O,O,X,O,X,X
TZIOJSL,X,O,X,O,O,X,O,X,X
TZIOSLJ,X,O,X,O,X,X,X,X,X
TZIOSJL,X,O,X,O,O,X,X,X,X
TZLIJSO,X,O,X,X,O,X,X,X,X
TZLIJOS,X,O,O,O,O,X,X,X,X
TZLISJO,X,O,O,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X,X,X
TZLIOJS,X,O,X,O,O,X,X,X,X
TZLIOSJ,X,O,X,X,X,X,X,X,X
TZLJISO,X,O,X,X,O,X,X,X,X
TZLJIOS,X,O,O,X,O,X,X,X,X
TZLJSIO,X,X,O,X,X,X,X,X,X
TZLJSOI,X,X,O,X,O,X,X,X,X
TZLJOIS,X,O,O,X,O,X,X,X,X
TZLJOSI,X,X,O,X,O,X,X,X,X
TZLSIJO,X,O,O,O,X,X,X,X,O
TZLSIOJ,X,O,X,O,X,X,X,X,O
TZLSJIO,X,X,O,X,X,X,X,X,X
TZLSJOI,X,X,O,X,X,X,X,X,X
TZLSOIJ,X,O,X,O,X,X,X,X,O
TZLSOJI,X,X,O,X,X,X,X,X,X
TZLOIJS,X,O,X,O,O,X,X,X,X
TZLOISJ,X,O,X,X,X,X,X,X,X
TZLOJIS,X,O,O,X,O,X,X,X,X
TZLOJSI,X,X,O,X,O,X,X,X,X
TZLOSIJ,X,O,X,O,X,X,X,X,O
TZLOSJI,X,X,O,X,X,X,X,X,X
TZJILSO,X,O,X,X,O,X,X,O,X
TZJILOS,X,O,X,X,O,X,X,O,X
TZJISLO,X,O,X,X,O,X,X,O,X
TZJISOL,X,O,X,X,O,X,X,O,X
TZJIOLS,X,O,X,X,O,X,O,O,X
TZJIOSL,X,O,X,X,O,X,O,O,X
TZJLISO,X,O,X,X,O,X,X,X,X
TZJLIOS,X,O,O,X,O,X,X,X,X
TZJLSIO,X,X,O,X,X,X,X,X,X
TZJLSOI,X,X,O,X,O,X,X,X,X
TZJLOIS,X,O,O,X,O,X,X,X,X
TZJLOSI,X,X,O,X,O,X,X,X,X
TZJSILO,X,X,X,X,X,X,X,O,X
TZJSIOL,X,X,X,X,X,X,O,O,X
TZJSLIO,X,X,O,X,X,X,X,X,X
TZJSLOI,X,X,O,X,O,X,X,X,X
TZJSOIL,X,X,X,X,X,X,O,X,X
TZJSOLI,X,X,O,X,O,X,X,X,X
TZJOILS,X,O,X,X,O,X,O,X,X
TZJOISL,X,O,X,X,O,X,O,X,X
TZJOLIS,X,O,O,X,O,X,X,X,X
TZJOLSI,X,X,O,X,O,X,X,X,X
TZJOSIL,X,X,X,X,X,X,O,X,X
TZJOSLI,X,X,O,X,O,X,X,X,X
TZSILJO,X,O,X,O,X,X,X,X,O
TZSILOJ,X,O,X,O,X,X,X,X,O
TZSIJLO,X,O,X,O,O,X,X,O,X
TZSIJOL,X,O,X,O,O,X,O,O,X
TZSIOLJ,X,O,X,O,X,X,X,X,X
TZSIOJL,X,O,X,O,O,X,O,X,X
TZSLIJO,X,O,O,O,X,X,X,X,O
TZSLIOJ,X,O,X,O,X,X,X,X,O
TZSLJIO,X,X,O,X,X,X,X,X,X
TZSLJOI,X,X,O,X,X,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,X,X,O
TZSLOJI,X,X,O,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,X,X,O,X
TZSJIOL,X,X,X,X,X,X,O,O,X
TZSJLIO,X,X,O,X,X,X,X,X,X
TZSJLOI,X,X,O,X,O,X,X,X,X
TZSJOIL,X,X,X,X,X,X,O,X,X
TZSJOLI,X,X,O,X,O,X,X,X,X
TZSOILJ,X,O,X,O,X,X,X,X,O
TZSOIJL,X,O,X,O,O,X,O,X,X
TZSOLIJ,X,O,X,O,X,X,X,X,O
TZSOLJI,X,X,O,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X,O,X,X
TZSOJLI,X,X,O,X,O,X,X,X,X
TZOILJS,X,O,X,O,O,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X,X
TZOIJLS,X,O,X,O,O,X,O,X,X
TZOIJSL,X,O,X,O,O,X,O,X,X
TZOISLJ,X,O,X,O,X,X,X,X,X
TZOISJL,X,O,X,O,O,X,X,X,X
TZOLIJS,X,O,X,O,O,X,X,X,X
TZOLISJ,X,O,X,X,X,X,X,X,X
TZOLJIS,X,O,O,X,O,X,X,X,X
TZOLJSI,X,X,O,X,O,X,X,X,X
TZOLSIJ,X,O,X,O,X,X,X,X,O
TZOLSJI,X,X,O,X,X,X,X,X,X
TZOJILS,X,O,X,X,O,X,O,X,X
TZOJISL,X,O,X,X,O,X,O,X,X
TZOJLIS,X,O,O,X,O,X,X,X,X
TZOJLSI,X,X,O,X,O,X,X,X,X
TZOJSIL,X,X,X,X,X,X,O,X,X
TZOJSLI,X,X,O,X,O,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X,X,O
TZOSIJL,X,O,X,O,O,X,O,X,X
TZOSLIJ,X,O,X,O,X,X,X,X,O
TZOSLJI,X,X,O,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X,O,X,X
TZOSJLI,X,X,O,X,O,X,X,X,X
TOILJSZ,X,O,X,X,X,O,O,X,X
TOILJZS,X,O,X,X,X,O,O,X,X
TOILSJZ,X,O,X,X,X,O,X,X,X
TOILSZJ,X,O,X,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X,X,X
TOILZSJ,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,O,O,X
TOIJLZS,X,O,X,X,X,X,O,O,X
TOIJSLZ,X,O,X,X,X,X,O,O,X
TOIJSZL,X,O,X,X,X,X,O,O,X
TOIJZLS,X,O,X,O,X,X,O,O,X
TOIJZSL,X,O,X,O,X,X,O,O,X
TOISLJZ,X,O,X,X,X,O,O,X,X
TOISLZJ,X,O,X,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,O,O,X
TOISJZL,X,O,X,X,X,X,O,O,X
TOISZLJ,X,O,X,X,X,X,X,X,X
TOISZJL,X,O,X,X,O,X,O,X,X
TOIZLJS,X,O,X,O,O,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X
TOIZJLS,X,O,X,O,O,X,O,X,X
TOIZJSL,X,O,X,O,O,X,O,X,X
TOIZSLJ,X,O,X,O,X,X,X,X,X
TOIZSJL,X,O,X,O,O,X,X,X,X
TOLIJSZ,X,O,X,X,X,O,O,X,X
TOLIJZS,X,O,X,X,X,O,O,X,X
TOLISJZ,X,O,X,X,X,O,X,X,X
TOLISZJ,X,O,X,X,X,X,X,X,X
TOLIZJS,X,O,X,X,X,X,X,X,X
TOLIZSJ,X,O,X,X,X,X,X,X,X
TOLJISZ,X,O,X,X,X,O,O,X,X
TOLJIZS,X,O,X,X,X,O,O,X,X
TOLJSIZ,X,X,X,X,X,X,O,X,X
TOLJSZI,X,X,O,X,X,O,X,X,X
TOLJZIS,X,O,O,X,X,O,X,X,X
TOLJZSI,X,X,O,X,X,O,X,X,X
TOLSIJZ,X,O,X,X,X,O,O,X,X
TOLSIZJ,X,O,X,X,X,X,X,X,O
TOLSJIZ,X,X,X,X,X,X,O,X,X
TOLSJZI,X,X,O,X,X,O,X,X,X
TOLSZIJ,X,O,X,X,X,X,X,X,O
TOLSZJI,X,X,O,X,X,X,X,X,X
TOLZIJS,X,O,X,X,X,X,X,X,X
TOLZISJ,X,O,X,X,X,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X,X,X
TOLZJSI,X,X,O,X,X,X,X,X,X
TOLZSIJ,X,O,X,X,X,X,X,X,O
TOLZSJI,X,X,O,X,X,X,X,X,X
TOJILSZ,X,X,X,X,X,X,O,O,X
TOJILZS,X,X,X,X,X,X,O,O,X
TOJISLZ,X,X,X,X,X,X,O,O,X
TOJISZL,X,X,X,X,X,X,O,O,X
TOJIZLS,X,X,X,X,X,X,O,O,X
TOJIZSL,X,X,X,X,X,X,O,O,X
TOJLISZ,X,O,X,X,X,X,O,X,X
TOJLIZS,X,O,X,X,X,X,O,X,X
TOJLSIZ,X,X,X,X,X,X,O,X,X
TOJLSZI,X,X,O,X,X,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X,X,X
TOJLZSI,X,X,O,X,X,X,X,X,X
TOJSILZ,X,X,X,X,X,X,O,O,X
TOJSIZL,X,X,X,X,X,X,O,O,X
TOJSLIZ,X,X,X,X,X,X,O,X,X
TOJSLZI,X,X,O,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X,O,X,X
TOJSZLI,X,X,O,X,X,X,X,X,X
TOJZILS,X,O,X,X,X,X,O,X,X
TOJZISL,X,O,X,X,X,X,O,X,X
TOJZLIS,X,O,O,X,X,X,X,X,X
TOJZLSI,X,X,O,X,X,X,X,X,X
TOJZSIL,X,X,X,X,X,X,O,X,X
TOJZSLI,X,X,O,X,X,X,X,X,X
TOSILJZ,X,X,X,X,X,O,O,X,X
TOSILZJ,X,X,X,X,X,X,X,X,O
TOSIJLZ,X,X,X,X,X,X,O,O,X
TOSIJZL,X,X,X,X,X,X,O,O,X
TOSIZLJ,X,X,X,X,X,X,X,X,O
TOSIZJL,X,X,X,X,O,X,O,X,X
TOSLIJZ,X,O,X,X,X,O,O,X,X
TOSLIZJ,X,O,X,X,X,X,X,X,O
TOSLJIZ,X,X,X,X,X,X,O,X,X
TOSLJZI,X,X,O,X,X,O,X,X,X
TOSLZIJ,X,O,X,X,X,X,X,X,O
TOSLZJI,X,X,O,X,X,X,X,X,X
TOSJILZ,X,X,X,X,X,X,O,O,X
TOSJIZL,X,X,X,X,X,X,O,O,X
TOSJLIZ,X,X,X,X,X,X,O,X,X
TOSJLZI,X,X,O,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,O,X,X
TOSJZLI,X,X,O,X,X,X,X,X,X
TOSZILJ,X,O,X,X,X,X,X,X,O
TOSZIJL,X,O,X,X,O,X,O,X,X
TOSZLIJ,X,O,X,X,X,X,X,X,O
TOSZLJI,X,X,O,X,X,X,X,X,X
TOSZJIL,X,X,X,X,X,X,O,X,X
TOSZJLI,X,X,O,X,O,X,X,X,X
TOZILJS,X,O,X,O,O,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X
TOZIJLS,X,O,X,O,O,X,O,X,X
TOZIJSL,X,O,X,O,O,X,O,X,X
TOZISLJ,X,O,X,O,X,X,X,X,X
TOZISJL,X,O,X,O,O,X,X,X,X
TOZLIJS,X,O,X,O,O,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,X,X
TOZLJIS,X,O,O,X,O,X,X,X,X
TOZLJSI,X,X,O,X,O,X,X,X,X
TOZLSIJ,X,O,X,O,X,X,X,X,O
TOZLSJI,X,X,O,X,X,X,X,X,X
TOZJILS,X,O,X,X,O,X,O,X,X
TOZJISL,X,O,X,X,O,X,O,X,X
TOZJLIS,X,O,O,X,O,X,X,X,X
TOZJLSI,X,X,O,X,O,X,X,X,X
TOZJSIL,X,X,X,X,X,X,O,X,X
TOZJSLI,X,X,O,X,O,X,X,X,X
TOZSILJ,X,O,X,O,X,X,X,X,O
TOZSIJL,X,O,X,O,O,X,O,X,X
TOZSLIJ,X,O,X,O,X,X,X,X,O
TOZSLJI,X,X,O,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X,O,X,X
TOZSJLI,X,X,O,X,O,X,X,X,X
ITLJSZO,X,O,X,X,X,O,X,O,X
ITLJSOZ,X,O,X,X,X,O,X,O,X
ITLJZSO,X,O,X,X,X,O,X,O,X
ITLJZOS,X,O,X,X,X,O,X,O,X
ITLJOSZ,O,O,X,X,X,O,O,O,X
ITLJOZS,O,O,X,X,X,O,O,O,X
ITLSJZO,X,O,X,X,X,O,X,O,X
ITLSJOZ,O,O,X,X,X,O,O,O,X
ITLSZJO,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,O,O,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X,X,X
ITLZOJS,O,O,X,X,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,O,X,X
ITLOJZS,O,O,X,X,X,O,O,X,X
ITLOSJZ,O,O,X,X,X,O,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,X
ITLOZJS,O,O,X,X,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X,X,O,X
ITJLSOZ,X,O,X,X,X,X,X,O,X
ITJLZSO,X,O,X,X,X,X,X,O,X
ITJLZOS,X,O,X,X,X,X,X,O,X
ITJLOSZ,O,O,X,X,X,X,O,O,X
ITJLOZS,O,O,X,X,X,X,O,O,X
ITJSLZO,X,O,X,X,X,X,X,O,X
ITJSLOZ,O,O,X,X,X,X,O,O,X
ITJSZLO,X,O,X,X,X,X,X,O,X
ITJSZOL,X,O,X,X,X,X,O,O,X
ITJSOLZ,O,O,X,X,X,X,O,O,X
ITJSOZL,X,O,X,X,X,X,O,O,X
ITJZLSO,X,O,X,X,X,X,X,O,X
ITJZLOS,O,O,X,O,X,X,X,O,X
ITJZSLO,O,O,X,O,X,X,X,O,X
ITJZSOL,O,O,X,O,X,X,X,O,X
ITJZOLS,O,O,X,O,X,X,O,O,X
ITJZOSL,O,O,X,O,X,X,O,O,X
ITJOLSZ,O,O,X,X,X,X,O,O,X
ITJOLZS,O,O,X,X,X,X,O,O,X
ITJOSLZ,O,O,X,X,X,X,O,O,X
ITJOSZL,X,O,X,X,X,X,O,O,X
ITJOZLS,O,O,X,O,X,X,O,O,X
ITJOZSL,O,O,X,O,X,X,O,O,X
ITSLJZO,X,O,X,X,X,O,X,O,X
ITSLJOZ,O,O,X,X,X,O,O,O,X
ITSLZJO,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,O,X,X,X,O,O,X,X
ITSLOZJ,O,O,X,X,X,X,X,X,X
ITSJLZO,X,O,X,X,X,X,X,O,X
ITSJLOZ,O,O,X,X,X,X,O,O,X
ITSJZLO,X,O,X,X,X,X,X,O,X
ITSJZOL,X,O,X,X,X,X,O,O,X
ITSJOLZ,O,O,X,X,X,X,O,O,X
ITSJOZL,X,O,X,X,X,X,O,O,X
ITSZLJO,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,O,X,X,O,X
ITSZJOL,O,O,X,X,O,X,O,O,X
ITSZOLJ,O,O,X,X,X,X,X,X,X
ITSZOJL,O,O,X,X,O,X,O,X,X
ITSOLJZ,O,O,X,X,X,O,O,X,X
ITSOLZJ,O,O,X,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,O,O,X
ITSOJZL,X,O,X,X,X,X,O,O,X
ITSOZLJ,O,O,X,X,X,X,X,X,X
ITSOZJL,O,O,X,X,O,X,O,X,X
ITZLJSO,X,O,X,X,O,X,X,X,X
ITZLJOS,O,O,X,O,O,X,X,X,X
ITZLSJO,X,O,X,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,X,X,X
ITZLOJS,O,O,X,O,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X
ITZJLSO,X,O,X,X,O,X,X,O,X
ITZJLOS,O,O,X,O,O,X,X,O,X
ITZJSLO,O,O,X,O,O,X,X,O,X
ITZJSOL,O,O,X,O,O,X,X,O,X
ITZJOLS,O,O,X,O,O,X,O,O,X
ITZJOSL,O,O,X,O,O,X,O,O,X
ITZSLJO,O,O,X,O,X,X,X,X,X
ITZSLOJ,O,O,X,O,X,X,X,X,X
ITZSJLO,O,O,X,O,O,X,X,O,X
ITZSJOL,O,O,X,O,O,X,O,O,X
ITZSOLJ,O,O,X,O,X,X,X,X,X
ITZSOJL,O,O,X,O,O,X,O,X,X
ITZOLJS,O,O,X,O,O,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X
ITZOJLS,O,O,X,O,O,X,O,X,X
ITZOJSL,O,O,X,O,O,X,O,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X
ITZOSJL,O,O,X,O,O,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,O,X,X
ITOLJZS,O,O,X,X,X,O,O,X,X
ITOLSJZ,O,O,X,X,X,O,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,X,O,O,X
ITOJLZS,O,O,X,X,X,X,O,O,X
ITOJSLZ,O,O,X,X,X,X,O,O,X
ITOJSZL,X,O,X,X,X,X,O,O,X
ITOJZLS,O,O,X,O,X,X,O,O,X
ITOJZSL,O,O,X,O,X,X,O,O,X
ITOSLJZ,O,O,X,X,X,O,O,X,X
ITOSLZJ,O,O,X,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,O,O,X
ITOSJZL,X,O,X,X,X,X,O,O,X
ITOSZLJ,O,O,X,X,X,X,X,X,X
ITOSZJL,O,O,X,X,O,X,O,X,X
ITOZLJS,O,O,X,O,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X
ITOZJLS,O,O,X,O,O,X,O,X,X
ITOZJSL,O,O,X,O,O,X,O,X,X
ITOZSLJ,O,O,X,O,X,X,X,X,X
ITOZSJL,O,O,X,O,O,X,X,X,X
ILTJSZO,X,O,X,X,X,O,X,X,X
ILTJSOZ,X,O,X,X,X,O,X,X,X
ILTJZSO,X,O,X,X,X,O,X,X,X
ILTJZOS,X,O,X,X,X,O,X,X,X
ILTJOSZ,O,O,X,X,X,O,X,X,X
ILTJOZS,O,O,X,X,X,O,X,X,X
ILTSJZO,X,O,X,X,X,O,X,X,X
ILTSJOZ,O,O,X,X,X,O,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,O,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X
ILTZJSO,X,O,X,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,X,X,X,X
ILTZSJO,X,O,X,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X,X,X,X
ILTZOJS,O,O,X,X,X,X,X,X,X
ILTZOSJ,X,O,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,O,X,X,X
ILTOJZS,O,O,X,X,X,O,X,X,X
ILTOSJZ,O,O,X,X,X,O,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X
ILTOZJS,O,O,X,X,X,X,X,X,X
ILTOZSJ,X,O,X,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,O,X,X,X
ILJTSOZ,X,O,X,X,X,O,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X
ILJTZOS,X,O,X,X,X,O,X,X,X
ILJTOSZ,O,O,X,X,X,O,X,X,X
ILJTOZS,O,O,X,X,X,O,X,X,X
ILJSTZO,X,O,X,X,X,O,X,X,X
ILJSTOZ,O,O,X,X,X,O,X,X,X
ILJSZTO,O,X,O,X,X,O,X,X,X
ILJSZOT,O,X,O,X,X,O,X,X,X
ILJSOTZ,O,X,X,X,X,O,X,X,X
ILJSOZT,O,X,O,X,X,O,X,X,X
ILJZTSO,X,X,X,X,X,O,X,X,X
ILJZTOS,O,X,O,O,X,O,X,X,X
ILJZSTO,O,X,O,O,X,O,X,X,X
ILJZSOT,O,X,O,O,X,O,X,X,X
ILJZOTS,O,X,O,O,X,O,X,X,X
ILJZOST,O,X,O,O,X,O,X,X,X
ILJOTSZ,O,O,X,X,X,O,X,X,X
ILJOTZS,O,O,X,X,X,O,X,X,X
ILJOSTZ,O,X,X,X,X,O,X,X,X
ILJOSZT,O,X,O,X,X,O,X,X,X
ILJOZTS,O,X,O,O,X,O,X,X,X
ILJOZST,O,X,O,O,X,O,X,X,X
ILSTJZO,X,O,X,X,X,O,X,X,X
ILSTJOZ,O,O,X,X,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X,O
ILSTZOJ,O,O,X,X,X,X,X,X,O
ILSTOJZ,O,O,X,X,X,O,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X,X
ILSJTZO,X,O,X,X,X,O,X,X,X
ILSJTOZ,O,O,X,X,X,O,X,X,X
ILSJZTO,O,X,O,X,X,O,X,X,O
ILSJZOT,O,X,O,X,X,O,X,X,O
ILSJOTZ,O,X,X,X,X,O,X,X,X
ILSJOZT,O,X,O,X,X,O,X,X,X
ILSZTJO,O,O,O,X,X,X,X,X,O
ILSZTOJ,O,O,X,X,X,X,X,X,O
ILSZJTO,O,X,O,X,O,O,X,X,O
ILSZJOT,O,X,O,X,O,O,X,X,O
ILSZOTJ,O,X,X,X,X,X,X,X,O
ILSZOJT,O,X,O,X,O,O,X,X,O
ILSOTJZ,O,O,X,X,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X,O
ILSOJTZ,O,X,X,X,X,O,X,X,X
ILSOJZT,O,X,O,X,X,O,X,X,O
ILSOZTJ,O,X,X,X,X,X,X,X,O
ILSOZJT,O,X,O,X,O,O,X,X,O
ILZTJSO,X,O,X,X,O,X,X,X,X
ILZTJOS,O,O,O,O,O,X,X,X,X
ILZTSJO,X,O,O,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,X,X,X
ILZTOJS,O,O,X,O,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,O,O,X,X,X
ILZJTOS,O,X,O,O,O,O,X,X,X
ILZJSTO,O,X,O,O,O,O,X,X,X
ILZJSOT,O,X,O,O,O,O,X,X,X
ILZJOTS,O,X,O,O,O,O,X,X,X
ILZJOST,O,X,O,O,O,O,X,X,X
ILZSTJO,O,O,O,O,X,X,X,X,O
ILZSTOJ,O,O,X,O,X,X,X,X,O
ILZSJTO,O,X,O,O,O,O,X,X,O
ILZSJOT,O,X,O,O,O,O,X,X,O
ILZSOTJ,O,X,X,O,X,X,X,X,O
ILZSOJT,O,X,O,O,O,O,X,X,O
ILZOTJS,O,O,X,O,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X,X,X
ILZOJTS,O,X,O,O,O,O,X,X,X
ILZOJST,O,X,O,O,O,O,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,O
ILZOSJT,O,X,O,O,O,O,X,X,O
ILOTJSZ,O,O,X,X,X,O,X,X,X
ILOTJZS,O,O,X,X,X,O,X,X,X
ILOTSJZ,O,O,X,X,X,O,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X,X,X,X
ILOTZSJ,X,O,X,X,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,O,X,X,X
ILOJTZS,O,O,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,X,X,O,X,X,X
ILOJSZT,O,X,O,X,X,O,X,X,X
ILOJZTS,O,X,O,O,X,O,X,X,X
ILOJZST,O,X,O,O,X,O,X,X,X
ILOSTJZ,O,O,X,X,X,O,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,O,X,X,X
ILOSJZT,O,X,O,X,X,O,X,X,O
ILOSZTJ,O,X,X,X,X,X,X,X,O
ILOSZJT,O,X,O,X,O,O,X,X,O
ILOZTJS,O,O,X,O,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X,X
ILOZJTS,O,X,O,O,O,O,X,X,X
ILOZJST,O,X,O,O,O,O,X,X,X
ILOZSTJ,O,X,X,O,X,X,X,X,O
ILOZSJT,O,X,O,O,O,O,X,X,O
IJTLSZO,X,O,X,X,X,X,X,O,X
IJTLSOZ,X,O,X,X,X,X,X,O,X
IJTLZSO,X,O,X,X,X,X,X,O,X
IJTLZOS,X,O,X,X,X,X,X,O,X
IJTLOSZ,O,O,X,X,X,X,O,O,X
IJTLOZS,O,O,X,X,X,X,O,O,X
IJTSLZO,X,O,X,X,X,X,X,O,X
IJTSLOZ,O,O,X,X,X,X,O,O,X
IJTSZLO,X,O,X,X,X,X,X,O,X
IJTSZOL,X,O,X,X,X,X,O,O,X
IJTSOLZ,O,O,X,X,X,X,O,O,X
IJTSOZL,X,O,X,X,X,X,O,O,X
IJTZLSO,X,O,X,X,X,X,X,O,X
IJTZLOS,O,O,X,O,X,X,X,O,X
IJTZSLO,O,O,X,O,X,X,X,O,X
