sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TZOLISJ,O,O,O,X,X,O
TZOLJIS,O,X,O,X,X,X
TZOLJSI,O,X,O,X,X,X
TZOLSIJ,O,O,O,X,X,O
TZOLSJI,O,O,O,X,X,O
TZOJILS,O,X,O,O,X,X
TZOJISL,X,X,O,O,X,X
TZOJLIS,O,X,O,O,X,X
TZOJLSI,O,X,O,O,X,X
TZOJSIL,X,X,O,O,X,X
TZOJSLI,X,X,O,O,X,X
TZOSILJ,X,X,O,X,X,O
TZOSIJL,X,X,O,O,X,O
TZOSLIJ,X,X,O,X,X,O
TZOSLJI,X,X,O,X,X,O
TZOSJIL,X,X,O,O,X,O
TZOSJLI,X,X,O,O,X,O
TOILJSZ,X,O,X,O,X,X
TOILJZS,O,X,O,O,X,X
TOILSJZ,X,O,O,O,X,X
TOILSZJ,O,O,O,X,X,X
TOILZJS,O,X,O,X,X,X
TOILZSJ,O,O,O,X,X,X
TOIJLSZ,X,O,X,O,X,X
TOIJLZS,O,X,O,O,X,X
TOIJSLZ,X,X,O,O,X,X
TOIJSZL,X,X,O,O,X,X
TOIJZLS,X,X,O,O,X,X
TOIJZSL,X,X,O,O,X,X
TOISLJZ,X,O,O,O,X,X
TOISLZJ,O,O,O,X,X,X
TOISJLZ,X,O,O,O,X,X
TOISJZL,X,X,O,O,X,O
TOISZLJ,X,X,O,X,X,O
TOISZJL,X,X,O,O,X,O
TOIZLJS,O,X,O,X,X,X
TOIZLSJ,O,O,O,X,X,O
TOIZJLS,O,X,O,O,X,X
TOIZJSL,X,X,O,O,X,X
TOIZSLJ,X,X,O,X,X,O
TOIZSJL,X,X,O,O,X,O
TOLIJSZ,X,O,X,O,X,X
TOLIJZS,O,X,O,O,X,X
TOLISJZ,X,O,O,O,X,X
TOLISZJ,O,O,O,X,X,X
TOLIZJS,O,X,O,X,X,X
TOLIZSJ,O,O,O,X,X,X
TOLJISZ,X,O,X,O,X,X
TOLJIZS,O,X,O,O,X,X
TOLJSIZ,X,O,X,O,X,X
TOLJSZI,X,O,X,O,X,X
TOLJZIS,O,X,O,O,X,X
TOLJZSI,O,X,O,O,X,X
TOLSIJZ,X,O,O,O,X,X
TOLSIZJ,O,O,O,X,X,X
TOLSJIZ,X,O,O,O,X,X
TOLSJZI,X,O,O,O,X,X
TOLSZIJ,O,O,O,X,X,X
TOLSZJI,O,O,O,X,X,X
TOLZIJS,O,X,O,X,X,X
TOLZISJ,O,O,O,X,X,X
TOLZJIS,O,X,O,X,X,X
TOLZJSI,O,X,O,X,X,X
TOLZSIJ,O,O,O,X,X,X
TOLZSJI,O,O,O,X,X,X
TOJILSZ,X,O,X,O,X,X
TOJILZS,O,X,O,O,X,X
TOJISLZ,X,X,O,O,X,X
TOJISZL,X,X,O,O,X,X
TOJIZLS,X,X,O,O,X,X
TOJIZSL,X,X,O,O,X,X
TOJLISZ,X,O,X,O,X,X
TOJLIZS,O,X,O,O,X,X
TOJLSIZ,X,O,X,O,X,X
TOJLSZI,X,O,X,O,X,X
TOJLZIS,O,X,O,O,X,X
TOJLZSI,O,X,O,O,X,X
TOJSILZ,X,X,O,O,X,X
TOJSIZL,X,X,O,O,X,X
TOJSLIZ,X,X,O,O,X,X
TOJSLZI,X,X,O,O,X,X
TOJSZIL,X,X,O,O,X,X
TOJSZLI,X,X,O,O,X,X
TOJZILS,X,X,O,O,X,X
TOJZISL,X,X,O,O,X,X
TOJZLIS,X,X,O,O,X,X
TOJZLSI,X,X,O,O,X,X
TOJZSIL,X,X,O,O,X,X
TOJZSLI,X,X,O,O,X,X
TOSILJZ,X,O,O,O,X,X
TOSILZJ,O,O,O,X,X,X
TOSIJLZ,X,O,O,O,X,X
TOSIJZL,X,X,O,O,X,O
TOSIZLJ,X,X,O,X,X,O
TOSIZJL,X,X,O,O,X,O
TOSLIJZ,X,O,O,O,X,X
TOSLIZJ,O,O,O,X,X,X
TOSLJIZ,X,O,O,O,X,X
TOSLJZI,X,O,O,O,X,X
TOSLZIJ,O,O,O,X,X,X
TOSLZJI,O,O,O,X,X,X
TOSJILZ,X,O,O,O,X,X
TOSJIZL,X,X,O,O,X,O
TOSJLIZ,X,O,O,O,X,X
TOSJLZI,X,O,O,O,X,X
TOSJZIL,X,X,O,O,X,O
TOSJZLI,X,X,O,O,X,O
TOSZILJ,X,X,O,X,X,O
TOSZIJL,X,X,O,O,X,O
TOSZLIJ,X,X,O,X,X,O
TOSZLJI,X,X,O,X,X,O
TOSZJIL,X,X,O,O,X,O
TOSZJLI,X,X,O,O,X,O
TOZILJS,O,X,O,X,X,X
TOZILSJ,O,O,O,X,X,O
TOZIJLS,O,X,O,O,X,X
TOZIJSL,X,X,O,O,X,X
TOZISLJ,X,X,O,X,X,O
TOZISJL,X,X,O,O,X,O
TOZLIJS,O,X,O,X,X,X
TOZLISJ,O,O,O,X,X,O
TOZLJIS,O,X,O,X,X,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,O,O,X,X,O
TOZLSJI,O,O,O,X,X,O
TOZJILS,O,X,O,O,X,X
TOZJISL,X,X,O,O,X,X
TOZJLIS,O,X,O,O,X,X
TOZJLSI,O,X,O,O,X,X
TOZJSIL,X,X,O,O,X,X
TOZJSLI,X,X,O,O,X,X
TOZSILJ,X,X,O,X,X,O
TOZSIJL,X,X,O,O,X,O
TOZSLIJ,X,X,O,X,X,O
TOZSLJI,X,X,O,X,X,O
TOZSJIL,X,X,O,O,X,O
TOZSJLI,X,X,O,O,X,O
ITLJSZO,X,O,X,O,X,X
ITLJSOZ,X,O,X,O,X,X
ITLJZSO,O,X,O,O,X,X
ITLJZOS,O,X,O,O,X,X
ITLJOSZ,X,O,X,O,X,X
ITLJOZS,O,X,O,O,X,X
ITLSJZO,X,O,O,O,X,O
ITLSJOZ,X,O,O,O,X,X
ITLSZJO,O,O,O,X,X,O
ITLSZOJ,O,O,O,X,X,O
ITLSOJZ,X,O,O,O,X,X
ITLSOZJ,O,O,O,X,X,X
ITLZJSO,O,X,O,X,X,O
ITLZJOS,O,X,O,X,X,X
ITLZSJO,O,O,O,X,X,O
ITLZSOJ,O,O,O,X,X,O
ITLZOJS,O,X,O,X,X,X
ITLZOSJ,O,O,O,X,X,O
ITLOJSZ,X,O,X,O,X,X
ITLOJZS,O,X,O,O,X,X
ITLOSJZ,X,O,O,O,X,X
ITLOSZJ,O,O,O,X,X,X
ITLOZJS,O,X,O,X,X,X
ITLOZSJ,O,O,O,X,X,X
ITJLSZO,X,O,X,O,X,X
ITJLSOZ,X,O,X,O,X,X
ITJLZSO,O,X,O,O,X,X
ITJLZOS,O,X,O,O,X,X
ITJLOSZ,X,O,X,O,X,X
ITJLOZS,O,X,O,O,X,X
ITJSLZO,X,X,O,O,X,O
ITJSLOZ,X,X,O,O,X,X
ITJSZLO,X,X,O,O,O,O
ITJSZOL,X,X,O,O,O,O
ITJSOLZ,X,X,O,O,X,X
ITJSOZL,X,X,O,O,O,O
ITJZLSO,X,X,O,O,O,O
ITJZLOS,X,X,O,O,X,X
ITJZSLO,X,X,O,O,O,O
ITJZSOL,X,X,O,O,O,O
ITJZOLS,X,X,O,O,X,X
ITJZOSL,X,X,O,O,X,X
ITJOLSZ,X,O,X,O,X,X
ITJOLZS,O,X,O,O,X,X
ITJOSLZ,X,X,O,O,X,X
ITJOSZL,X,X,O,O,X,X
ITJOZLS,X,X,O,O,X,X
ITJOZSL,X,X,O,O,X,X
ITSLJZO,X,O,O,O,X,O
ITSLJOZ,X,O,O,O,X,X
ITSLZJO,O,O,O,X,X,O
ITSLZOJ,O,O,O,X,X,O
ITSLOJZ,X,O,O,O,X,X
ITSLOZJ,O,O,O,X,X,X
ITSJLZO,X,O,O,O,X,O
ITSJLOZ,X,O,O,O,X,X
ITSJZLO,X,X,O,O,O,O
ITSJZOL,X,X,O,O,O,O
ITSJOLZ,X,O,O,O,X,X
ITSJOZL,X,X,O,O,O,O
ITSZLJO,X,X,O,X,O,O
ITSZLOJ,X,X,O,X,X,O
ITSZJLO,X,X,O,O,O,O
ITSZJOL,X,X,O,O,O,O
ITSZOLJ,X,X,O,X,X,O
ITSZOJL,X,X,O,O,X,O
ITSOLJZ,X,O,O,O,X,X
ITSOLZJ,O,O,O,X,X,X
ITSOJLZ,X,O,O,O,X,X
ITSOJZL,X,X,O,O,X,O
ITSOZLJ,X,X,O,X,X,O
ITSOZJL,X,X,O,O,X,O
ITZLJSO,O,X,O,X,O,O
ITZLJOS,O,X,O,X,X,X
ITZLSJO,O,O,O,X,O,O
ITZLSOJ,O,O,O,X,X,O
ITZLOJS,O,X,O,X,X,X
ITZLOSJ,O,O,O,X,X,O
ITZJLSO,O,X,O,O,O,O
ITZJLOS,O,X,O,O,X,X
ITZJSLO,X,X,O,O,O,O
ITZJSOL,X,X,O,O,O,O
ITZJOLS,O,X,O,O,X,X
ITZJOSL,X,X,O,O,X,X
ITZSLJO,X,X,O,X,O,O
ITZSLOJ,X,X,O,X,X,O
ITZSJLO,X,X,O,O,O,O
ITZSJOL,X,X,O,O,O,O
ITZSOLJ,X,X,O,X,X,O
ITZSOJL,X,X,O,O,X,O
ITZOLJS,O,X,O,X,X,X
ITZOLSJ,O,O,O,X,X,O
ITZOJLS,O,X,O,O,X,X
ITZOJSL,X,X,O,O,X,X
ITZOSLJ,X,X,O,X,X,O
ITZOSJL,X,X,O,O,X,O
ITOLJSZ,X,O,X,O,X,X
ITOLJZS,O,X,O,O,X,X
ITOLSJZ,X,O,O,O,X,X
ITOLSZJ,O,O,O,X,X,X
ITOLZJS,O,X,O,X,X,X
ITOLZSJ,O,O,O,X,X,X
ITOJLSZ,X,O,X,O,X,X
ITOJLZS,O,X,O,O,X,X
ITOJSLZ,X,X,O,O,X,X
ITOJSZL,X,X,O,O,X,X
ITOJZLS,X,X,O,O,X,X
ITOJZSL,X,X,O,O,X,X
ITOSLJZ,X,O,O,O,X,X
ITOSLZJ,O,O,O,X,X,X
ITOSJLZ,X,O,O,O,X,X
ITOSJZL,X,X,O,O,X,O
ITOSZLJ,X,X,O,X,X,O
ITOSZJL,X,X,O,O,X,O
ITOZLJS,O,X,O,X,X,X
ITOZLSJ,O,O,O,X,X,O
ITOZJLS,O,X,O,O,X,X
ITOZJSL,X,X,O,O,X,X
ITOZSLJ,X,X,O,X,X,O
ITOZSJL,X,X,O,O,X,O
ILTJSZO,X,O,X,O,X,X
ILTJSOZ,X,O,X,O,X,X
ILTJZSO,O,X,O,O,X,X
ILTJZOS,O,X,O,O,X,X
ILTJOSZ,X,O,X,O,X,X
ILTJOZS,O,X,O,O,X,X
ILTSJZO,X,O,O,O,X,O
ILTSJOZ,X,O,O,O,X,X
ILTSZJO,O,O,O,X,X,O
ILTSZOJ,O,O,O,X,X,O
ILTSOJZ,X,O,O,O,X,X
ILTSOZJ,O,O,O,X,X,X
ILTZJSO,O,X,O,X,X,O
ILTZJOS,O,X,O,X,X,X
ILTZSJO,O,O,O,X,X,O
ILTZSOJ,O,O,O,X,X,O
ILTZOJS,O,X,O,X,X,X
ILTZOSJ,O,O,O,X,X,O
ILTOJSZ,X,O,X,O,X,X
ILTOJZS,O,X,O,O,X,X
ILTOSJZ,X,O,O,O,X,X
ILTOSZJ,O,O,O,X,X,X
ILTOZJS,O,X,O,X,X,X
ILTOZSJ,O,O,O,X,X,X
ILJTSZO,X,O,X,O,X,X
ILJTSOZ,X,O,X,O,X,X
ILJTZSO,O,X,X,O,X,X
ILJTZOS,O,X,X,O,X,X
ILJTOSZ,X,O,X,O,X,X
ILJTOZS,O,X,X,O,X,X
ILJSTZO,X,O,X,X,X,X
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,X,O,X,X,O,X
ILJSZOT,X,O,X,X,O,X
ILJSOTZ,X,O,X,X,X,X
ILJSOZT,X,O,X,X,O,X
ILJZTSO,O,X,X,X,O,X
ILJZTOS,O,X,X,X,X,X
ILJZSTO,O,X,X,X,O,X
ILJZSOT,O,X,X,X,O,X
ILJZOTS,O,X,X,X,X,X
ILJZOST,O,X,X,X,O,X
ILJOTSZ,X,O,X,O,X,X
ILJOTZS,O,X,X,O,X,X
ILJOSTZ,X,O,X,X,X,X
ILJOSZT,X,O,X,X,X,X
ILJOZTS,O,X,X,X,X,X
ILJOZST,O,X,X,X,X,X
ILSTJZO,X,O,X,X,X,O
ILSTJOZ,X,O,X,X,X,X
ILSTZJO,O,O,X,X,X,O
ILSTZOJ,O,O,X,X,X,O
ILSTOJZ,X,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,X,O,X,X,O,X
ILSJZOT,X,O,X,X,O,X
ILSJOTZ,X,O,X,X,X,X
ILSJOZT,X,O,X,X,O,X
ILSZTJO,O,O,X,X,O,O
ILSZTOJ,O,O,X,X,X,O
ILSZJTO,O,O,X,X,O,X
ILSZJOT,O,O,X,X,O,X
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,X,X,O,X
ILSOTJZ,X,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X
ILSOJTZ,X,O,X,X,X,X
ILSOJZT,X,O,X,X,X,X
ILSOZTJ,O,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X
ILZTJSO,O,X,O,X,O,O
ILZTJOS,O,X,O,X,X,X
ILZTSJO,O,O,O,X,O,O
ILZTSOJ,O,O,O,X,X,O
ILZTOJS,O,X,O,X,X,X
ILZTOSJ,O,O,O,X,X,O
ILZJTSO,O,X,O,X,O,O
ILZJTOS,O,X,O,X,X,X
ILZJSTO,O,X,X,X,O,X
ILZJSOT,O,X,X,X,O,X
ILZJOTS,O,X,X,X,X,X
ILZJOST,O,X,X,X,O,X
ILZSTJO,O,O,O,X,O,O
ILZSTOJ,O,O,O,X,X,O
ILZSJTO,O,O,X,X,O,X
ILZSJOT,O,O,X,X,O,X
ILZSOTJ,O,O,X,X,X,X
ILZSOJT,O,O,X,X,O,X
ILZOTJS,O,X,O,X,X,X
ILZOTSJ,O,O,O,X,X,O
ILZOJTS,O,X,X,X,X,X
ILZOJST,O,X,X,X,O,X
ILZOSTJ,O,O,X,X,X,X
ILZOSJT,O,O,X,X,O,X
ILOTJSZ,X,O,X,O,X,X
ILOTJZS,O,X,X,O,X,X
ILOTSJZ,X,O,X,O,X,X
ILOTSZJ,O,O,X,X,X,X
ILOTZJS,O,X,X,X,X,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,X,O,X,O,X,X
ILOJTZS,O,X,X,O,X,X
ILOJSTZ,X,O,X,X,X,X
ILOJSZT,X,O,X,X,X,X
ILOJZTS,O,X,X,X,X,X
ILOJZST,O,X,X,X,X,X
ILOSTJZ,X,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X
ILOSJTZ,X,O,X,X,X,X
ILOSJZT,X,O,X,X,X,X
ILOSZTJ,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X
ILOZTJS,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X
ILOZJTS,O,X,X,X,X,X
ILOZJST,O,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X
IJTLSZO,X,O,X,O,X,X
IJTLSOZ,X,O,X,O,X,X
IJTLZSO,O,X,O,O,X,X
IJTLZOS,O,X,O,O,X,X
IJTLOSZ,X,O,X,O,X,X
IJTLOZS,O,X,O,O,X,X
IJTSLZO,X,X,O,O,X,O
IJTSLOZ,X,X,O,O,X,X
IJTSZLO,X,X,O,O,O,O
IJTSZOL,X,X,O,O,O,O
IJTSOLZ,X,X,O,O,X,X
IJTSOZL,X,X,O,O,O,O
IJTZLSO,X,X,O,O,O,O
IJTZLOS,X,X,O,O,X,X
IJTZSLO,X,X,O,O,O,O
IJTZSOL,X,X,O,O,O,O
IJTZOLS,X,X,O,O,X,X
IJTZOSL,X,X,O,O,X,X
IJTOLSZ,X,O,X,O,X,X
IJTOLZS,O,X,O,O,X,X
IJTOSLZ,X,X,O,O,X,X
IJTOSZL,X,X,O,O,X,X
IJTOZLS,X,X,O,O,X,X
IJTOZSL,X,X,O,O,X,X
IJLTSZO,X,O,X,O,X,X
IJLTSOZ,X,O,X,O,X,X
IJLTZSO,O,X,X,O,X,X
IJLTZOS,O,X,X,O,X,X
IJLTOSZ,X,O,X,O,X,X
IJLTOZS,O,X,X,O,X,X
IJLSTZO,X,O,X,X,X,X
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,X,O,X,X,O,X
IJLSZOT,X,O,X,X,O,X
IJLSOTZ,X,O,X,X,X,X
IJLSOZT,X,O,X,X,O,X
IJLZTSO,O,X,X,X,O,X
IJLZTOS,O,X,X,X,X,X
IJLZSTO,O,X,X,X,O,X
IJLZSOT,O,X,X,X,O,X
IJLZOTS,O,X,X,X,X,X
IJLZOST,O,X,X,X,O,X
IJLOTSZ,X,O,X,O,X,X
IJLOTZS,O,X,X,O,X,X
IJLOSTZ,X,O,X,X,X,X
IJLOSZT,X,O,X,X,X,X
IJLOZTS,O,X,X,X,X,X
IJLOZST,O,X,X,X,X,X
IJSTLZO,X,O,X,O,X,O
IJSTLOZ,X,O,X,O,X,X
IJSTZLO,X,X,X,O,O,O
IJSTZOL,X,X,X,O,O,O
IJSTOLZ,X,O,X,O,X,X
IJSTOZL,X,X,X,O,O,O
IJSLTZO,X,O,X,X,X,X
IJSLTOZ,X,O,X,X,X,X
IJSLZTO,X,O,X,X,O,X
IJSLZOT,X,O,X,X,O,X
IJSLOTZ,X,O,X,X,X,X
IJSLOZT,X,O,X,X,O,X
IJSZTLO,X,X,X,X,O,O
IJSZTOL,X,X,X,X,O,O
IJSZLTO,X,O,X,X,O,X
IJSZLOT,X,O,X,X,O,X
IJSZOTL,X,X,X,X,O,X
IJSZOLT,X,O,X,X,O,X
IJSOTLZ,X,O,X,O,X,X
IJSOTZL,X,X,X,O,O,X
IJSOLTZ,X,O,X,X,X,X
IJSOLZT,X,O,X,X,O,X
IJSOZTL,X,X,X,X,O,X
IJSOZLT,X,O,X,X,O,X
IJZTLSO,O,X,O,O,O,O
IJZTLOS,O,X,O,O,X,X
IJZTSLO,X,X,O,O,O,O
IJZTSOL,X,X,O,O,O,O
IJZTOLS,O,X,O,O,X,X
IJZTOSL,X,X,O,O,X,X
IJZLTSO,O,X,O,X,O,O
IJZLTOS,O,X,O,X,X,X
IJZLSTO,O,X,X,X,O,X
IJZLSOT,O,X,X,X,O,X
IJZLOTS,O,X,X,X,X,X
IJZLOST,O,X,X,X,O,X
IJZSTLO,X,X,X,X,O,O
IJZSTOL,X,X,X,X,O,O
IJZSLTO,O,X,X,X,O,X
IJZSLOT,O,X,X,X,O,X
IJZSOTL,X,X,X,X,O,X
IJZSOLT,O,X,X,X,O,X
IJZOTLS,O,X,X,O,X,X
IJZOTSL,X,X,X,O,X,X
IJZOLTS,O,X,X,X,X,X
IJZOLST,O,X,X,X,O,X
IJZOSTL,X,X,X,X,O,X
IJZOSLT,O,X,X,X,O,X
IJOTLSZ,X,O,X,O,X,X
IJOTLZS,O,X,X,O,X,X
IJOTSLZ,X,X,X,O,X,X
IJOTSZL,X,X,X,O,X,X
IJOTZLS,X,X,X,O,X,X
IJOTZSL,X,X,X,O,X,X
IJOLTSZ,X,O,X,O,X,X
IJOLTZS,O,X,X,O,X,X
IJOLSTZ,X,O,X,X,X,X
IJOLSZT,X,O,X,X,X,X
IJOLZTS,O,X,X,X,X,X
IJOLZST,O,X,X,X,X,X
IJOSTLZ,X,O,X,O,X,X
IJOSTZL,X,X,X,O,O,X
IJOSLTZ,X,O,X,X,X,X
IJOSLZT,X,O,X,X,O,X
IJOSZTL,X,X,X,X,O,X
IJOSZLT,X,O,X,X,O,X
IJOZTLS,O,X,X,O,X,X
IJOZTSL,X,X,X,O,X,X
IJOZLTS,O,X,X,X,X,X
IJOZLST,O,X,X,X,O,X
IJOZSTL,X,X,X,X,O,X
IJOZSLT,O,X,X,X,O,X
ISTLJZO,X,O,O,O,X,O
ISTLJOZ,X,O,O,O,X,X
ISTLZJO,O,O,O,X,X,O
ISTLZOJ,O,O,O,X,X,O
ISTLOJZ,X,O,O,O,X,X
ISTLOZJ,O,O,O,X,X,X
ISTJLZO,X,O,O,O,X,O
ISTJLOZ,X,O,O,O,X,X
ISTJZLO,X,X,O,O,O,O
ISTJZOL,X,X,O,O,O,O
ISTJOLZ,X,O,O,O,X,X
ISTJOZL,X,X,O,O,O,O
ISTZLJO,X,X,O,X,O,O
ISTZLOJ,X,X,O,X,X,O
ISTZJLO,X,X,O,O,O,O
ISTZJOL,X,X,O,O,O,O
ISTZOLJ,X,X,O,X,X,O
ISTZOJL,X,X,O,O,X,O
ISTOLJZ,X,O,O,O,X,X
ISTOLZJ,O,O,O,X,X,X
ISTOJLZ,X,O,O,O,X,X
ISTOJZL,X,X,O,O,X,O
ISTOZLJ,X,X,O,X,X,O
ISTOZJL,X,X,O,O,X,O
ISLTJZO,X,O,X,X,X,O
ISLTJOZ,X,O,X,X,X,X
ISLTZJO,O,O,X,X,X,O
ISLTZOJ,O,O,X,X,X,O
ISLTOJZ,X,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X
ISLJTZO,X,O,X,X,X,X
ISLJTOZ,X,O,X,X,X,X
ISLJZTO,X,O,X,X,O,X
ISLJZOT,X,O,X,X,O,X
ISLJOTZ,X,O,X,X,X,X
ISLJOZT,X,O,X,X,O,X
ISLZTJO,O,O,X,X,O,O
ISLZTOJ,O,O,X,X,X,O
ISLZJTO,O,O,X,X,O,X
ISLZJOT,O,O,X,X,O,X
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,X,X,O,X
ISLOTJZ,X,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X
ISLOJTZ,X,O,X,X,X,X
ISLOJZT,X,O,X,X,X,X
ISLOZTJ,O,O,X,X,X,X
ISLOZJT,O,O,X,X,X,X
ISJTLZO,X,O,X,O,X,O
ISJTLOZ,X,O,X,O,X,X
ISJTZLO,X,X,X,O,O,O
ISJTZOL,X,X,X,O,O,O
ISJTOLZ,X,O,X,O,X,X
ISJTOZL,X,X,X,O,O,O
ISJLTZO,X,O,X,X,X,X
ISJLTOZ,X,O,X,X,X,X
ISJLZTO,X,O,X,X,O,X
ISJLZOT,X,O,X,X,O,X
ISJLOTZ,X,O,X,X,X,X
ISJLOZT,X,O,X,X,O,X
ISJZTLO,X,X,X,X,O,O
ISJZTOL,X,X,X,X,O,O
ISJZLTO,X,O,X,X,O,X
ISJZLOT,X,O,X,X,O,X
ISJZOTL,X,X,X,X,O,X
ISJZOLT,X,O,X,X,O,X
ISJOTLZ,X,O,X,O,X,X
ISJOTZL,X,X,X,O,O,X
ISJOLTZ,X,O,X,X,X,X
ISJOLZT,X,O,X,X,O,X
ISJOZTL,X,X,X,X,O,X
ISJOZLT,X,O,X,X,O,X
ISZTLJO,X,X,O,X,O,O
ISZTLOJ,X,X,O,X,X,O
ISZTJLO,X,X,O,X,O,O
ISZTJOL,X,X,O,X,O,O
ISZTOLJ,X,X,O,X,X,O
ISZTOJL,X,X,O,X,X,O
ISZLTJO,O,O,O,X,O,O
ISZLTOJ,O,O,O,X,X,O
ISZLJTO,O,O,X,X,O,X
ISZLJOT,O,O,X,X,O,X
ISZLOTJ,O,O,X,X,X,X
ISZLOJT,O,O,X,X,O,X
ISZJTLO,X,X,X,X,O,O
ISZJTOL,X,X,X,X,O,O
ISZJLTO,O,O,X,X,O,X
ISZJLOT,O,O,X,X,O,X
ISZJOTL,X,X,X,X,O,X
ISZJOLT,O,O,X,X,O,X
ISZOTLJ,X,X,X,X,X,O
ISZOTJL,X,X,X,X,X,O
ISZOLTJ,O,O,X,X,X,X
ISZOLJT,O,O,X,X,O,X
ISZOJTL,X,X,X,X,O,X
ISZOJLT,O,O,X,X,O,X
ISOTLJZ,X,O,X,O,X,X
ISOTLZJ,O,O,X,X,X,X
ISOTJLZ,X,O,X,O,X,X
ISOTJZL,X,X,X,O,X,O
ISOTZLJ,X,X,X,X,X,O
ISOTZJL,X,X,X,O,X,O
ISOLTJZ,X,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X
ISOLJTZ,X,O,X,X,X,X
ISOLJZT,X,O,X,X,X,X
ISOLZTJ,O,O,X,X,X,X
ISOLZJT,O,O,X,X,X,X
ISOJTLZ,X,O,X,O,X,X
ISOJTZL,X,X,X,O,O,X
ISOJLTZ,X,O,X,X,X,X
ISOJLZT,X,O,X,X,O,X
ISOJZTL,X,X,X,X,O,X
ISOJZLT,X,O,X,X,O,X
ISOZTLJ,X,X,X,X,X,O
ISOZTJL,X,X,X,X,X,O
ISOZLTJ,O,O,X,X,X,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,X,X,X,X,O,X
ISOZJLT,O,O,X,X,O,X
IZTLJSO,O,X,O,X,O,O
IZTLJOS,O,X,O,X,X,X
IZTLSJO,O,O,O,X,O,O
IZTLSOJ,O,O,O,X,X,O
IZTLOJS,O,X,O,X,X,X
IZTLOSJ,O,O,O,X,X,O
IZTJLSO,O,X,O,O,O,O
IZTJLOS,O,X,O,O,X,X
IZTJSLO,X,X,O,O,O,O
IZTJSOL,X,X,O,O,O,O
IZTJOLS,O,X,O,O,X,X
IZTJOSL,X,X,O,O,X,X
IZTSLJO,X,X,O,X,O,O
IZTSLOJ,X,X,O,X,X,O
IZTSJLO,X,X,O,O,O,O
IZTSJOL,X,X,O,O,O,O
IZTSOLJ,X,X,O,X,X,O
IZTSOJL,X,X,O,O,X,O
IZTOLJS,O,X,O,X,X,X
IZTOLSJ,O,O,O,X,X,O
IZTOJLS,O,X,O,O,X,X
IZTOJSL,X,X,O,O,X,X
IZTOSLJ,X,X,O,X,X,O
IZTOSJL,X,X,O,O,X,O
IZLTJSO,O,X,O,X,O,O
IZLTJOS,O,X,O,X,X,X
IZLTSJO,O,O,O,X,O,O
IZLTSOJ,O,O,O,X,X,O
IZLTOJS,O,X,O,X,X,X
IZLTOSJ,O,O,O,X,X,O
IZLJTSO,O,X,O,X,O,O
IZLJTOS,O,X,O,X,X,X
IZLJSTO,O,X,X,X,O,X
IZLJSOT,O,X,X,X,O,X
IZLJOTS,O,X,X,X,X,X
IZLJOST,O,X,X,X,O,X
IZLSTJO,O,O,O,X,O,O
IZLSTOJ,O,O,O,X,X,O
IZLSJTO,O,O,X,X,O,X
IZLSJOT,O,O,X,X,O,X
IZLSOTJ,O,O,X,X,X,X
IZLSOJT,O,O,X,X,O,X
IZLOTJS,O,X,O,X,X,X
IZLOTSJ,O,O,O,X,X,O
IZLOJTS,O,X,X,X,X,X
IZLOJST,O,X,X,X,O,X
IZLOSTJ,O,O,X,X,X,X
IZLOSJT,O,O,X,X,O,X
IZJTLSO,O,X,O,O,O,O
IZJTLOS,O,X,O,O,X,X
IZJTSLO,X,X,O,O,O,O
IZJTSOL,X,X,O,O,O,O
IZJTOLS,O,X,O,O,X,X
IZJTOSL,X,X,O,O,X,X
IZJLTSO,O,X,O,X,O,O
IZJLTOS,O,X,O,X,X,X
