sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TLIOZJS,O,X,O,X,X,X
TLIOZSJ,O,O,O,X,X,X
TLJISZO,X,O,X,O,X,X
TLJISOZ,X,O,X,O,X,X
TLJIZSO,O,X,O,O,X,X
TLJIZOS,O,X,O,O,X,X
TLJIOSZ,X,O,X,O,X,X
TLJIOZS,O,X,O,O,X,X
TLJSIZO,X,O,X,O,X,X
TLJSIOZ,X,O,X,O,X,X
TLJSZIO,X,O,X,O,X,X
TLJSZOI,X,O,X,O,X,X
TLJSOIZ,X,O,X,O,X,X
TLJSOZI,X,O,X,O,X,X
TLJZISO,O,X,O,O,X,X
TLJZIOS,O,X,O,O,X,X
TLJZSIO,O,X,O,O,X,X
TLJZSOI,O,X,O,O,X,X
TLJZOIS,O,X,O,O,X,X
TLJZOSI,O,X,O,O,X,X
TLJOISZ,X,O,X,O,X,X
TLJOIZS,O,X,O,O,X,X
TLJOSIZ,X,O,X,O,X,X
TLJOSZI,X,O,X,O,X,X
TLJOZIS,O,X,O,O,X,X
TLJOZSI,O,X,O,O,X,X
TLSIJZO,X,O,O,O,X,O
TLSIJOZ,X,O,O,O,X,X
TLSIZJO,O,O,O,X,X,O
TLSIZOJ,O,O,O,X,X,O
TLSIOJZ,X,O,O,O,X,X
TLSIOZJ,O,O,O,X,X,X
TLSJIZO,X,O,O,O,X,O
TLSJIOZ,X,O,O,O,X,X
TLSJZIO,X,O,O,O,X,O
TLSJZOI,X,O,O,O,X,O
TLSJOIZ,X,O,O,O,X,X
TLSJOZI,X,O,O,O,X,X
TLSZIJO,O,O,O,X,X,O
TLSZIOJ,O,O,O,X,X,O
TLSZJIO,O,O,O,X,X,O
TLSZJOI,O,O,O,X,X,O
TLSZOIJ,O,O,O,X,X,O
TLSZOJI,O,O,O,X,X,O
TLSOIJZ,X,O,O,O,X,X
TLSOIZJ,O,O,O,X,X,X
TLSOJIZ,X,O,O,O,X,X
TLSOJZI,X,O,O,O,X,X
TLSOZIJ,O,O,O,X,X,X
TLSOZJI,O,O,O,X,X,X
TLZIJSO,O,X,O,X,X,O
TLZIJOS,O,X,O,X,X,X
TLZISJO,O,O,O,X,X,O
TLZISOJ,O,O,O,X,X,O
TLZIOJS,O,X,O,X,X,X
TLZIOSJ,O,O,O,X,X,O
TLZJISO,O,X,O,X,X,O
TLZJIOS,O,X,O,X,X,X
TLZJSIO,O,X,O,X,X,O
TLZJSOI,O,X,O,X,X,O
TLZJOIS,O,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X
TLZSIJO,O,O,O,X,X,O
TLZSIOJ,O,O,O,X,X,O
TLZSJIO,O,O,O,X,X,O
TLZSJOI,O,O,O,X,X,O
TLZSOIJ,O,O,O,X,X,O
TLZSOJI,O,O,O,X,X,O
TLZOIJS,O,X,O,X,X,X
TLZOISJ,O,O,O,X,X,O
TLZOJIS,O,X,O,X,X,X
TLZOJSI,O,X,O,X,X,X
TLZOSIJ,O,O,O,X,X,O
TLZOSJI,O,O,O,X,X,O
TLOIJSZ,X,O,X,O,X,X
TLOIJZS,O,X,O,O,X,X
TLOISJZ,X,O,O,O,X,X
TLOISZJ,O,O,O,X,X,X
TLOIZJS,O,X,O,X,X,X
TLOIZSJ,O,O,O,X,X,X
TLOJISZ,X,O,X,O,X,X
TLOJIZS,O,X,O,O,X,X
TLOJSIZ,X,O,X,O,X,X
TLOJSZI,X,O,X,O,X,X
TLOJZIS,O,X,O,O,X,X
TLOJZSI,O,X,O,O,X,X
TLOSIJZ,X,O,O,O,X,X
TLOSIZJ,O,O,O,X,X,X
TLOSJIZ,X,O,O,O,X,X
TLOSJZI,X,O,O,O,X,X
TLOSZIJ,O,O,O,X,X,X
TLOSZJI,O,O,O,X,X,X
TLOZIJS,O,X,O,X,X,X
TLOZISJ,O,O,O,X,X,X
