sequence,v115@EhC8HeB8HeC8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@EhC8HeB8HeC8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhF8lBzhB/pBaqB+s?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFzfBRhBUmBGnBXq?BVxB,v115@EhC8HeB8HeC8BeB8CeB8Jex/IvhFVmBUiB/pBaqBGr?BTsB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFzhBRlB+sB3lB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8JeyEJvhFfmBzmB+sBxpB0p?BlrB,v115@EhC8HeB8HeC8BeB8CeB8Je0/IvhF/pB1qBxmBurBTs?BiqB,v115@EhC8HeB8HeC8BeB8CeB8Jei/IvhFRhBFlBXmBTnB0p?BWxB,v115@EhC8HeB8HeC8BeB8CeB8JeKEJvhFRhBFlBXmB8rB+s?BzpB,v115@EhC8HeB8HeC8BeB8CeB8JeVHJvhFUmBxpBTsB/pBaq?BGrB,v115@EhC8HeB8HeC8BeB8CeB8JeUBJvhF/pBFlB6sBRrBmp?BzrB
TILJSZO,X,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,O,X,X,X,X,X
TILSZJO,X,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,O,X,X,X,O,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
