sequence,v115@HhA8IeB8CeC8BeB8BeD8Lel/IvhF3gBcmB2nB5oBat?BTqB,v115@HhA8IeB8CeC8BeB8BeD8Lel/IvhFclB2mBRiBSoB3q?BTtB,v115@HhA8IeB8CeC8BeB8BeD8Lel/IvhFclBihBGjBRnB3q?BTtB
IJTSZLO,O,O,O
IJTSZOL,O,O,O
IJTSOLZ,X,X,X
IJTSOZL,O,X,X
IJTZLSO,O,X,X
IJTZLOS,X,X,X
IJTZSLO,O,X,X
IJTZSOL,O,X,X
IJTZOLS,O,X,X
IJTZOSL,O,X,X
IJTOLSZ,X,X,X
IJTOLZS,O,X,X
IJTOSLZ,X,X,X
IJTOSZL,O,X,X
IJTOZLS,O,X,X
IJTOZSL,O,X,X
IJLTSZO,X,O,O
IJLTSOZ,X,X,X
IJLTZSO,O,X,X
IJLTZOS,X,X,X
IJLTOSZ,X,X,X
IJLTOZS,O,X,X
IJLSTZO,X,O,O
IJLSTOZ,X,X,X
IJLSZTO,X,O,O
IJLSZOT,X,O,O
IJLSOTZ,X,X,X
IJLSOZT,X,O,O
IJLZTSO,O,X,X
IJLZTOS,X,X,X
IJLZSTO,O,O,O
IJLZSOT,X,O,O
IJLZOTS,O,X,X
IJLZOST,O,X,X
IJLOTSZ,X,X,X
IJLOTZS,O,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,O,O
IJLOZTS,O,X,X
IJLOZST,O,X,X
IJSTLZO,X,O,O
IJSTLOZ,X,X,X
IJSTZLO,O,O,O
IJSTZOL,O,O,O
IJSTOLZ,X,X,X
IJSTOZL,O,X,X
IJSLTZO,X,O,O
IJSLTOZ,X,X,X
IJSLZTO,X,O,O
IJSLZOT,X,O,O
IJSLOTZ,X,X,X
IJSLOZT,X,O,O
IJSZTLO,O,O,O
IJSZTOL,O,O,O
IJSZLTO,O,O,O
IJSZLOT,X,O,O
IJSZOTL,O,O,O
IJSZOLT,O,O,O
IJSOTLZ,X,O,X
IJSOTZL,O,O,X
IJSOLTZ,X,O,X
IJSOLZT,X,O,O
IJSOZTL,O,O,O
IJSOZLT,O,O,O
IJZTLSO,O,X,X
IJZTLOS,X,X,X
IJZTSLO,O,X,X
IJZTSOL,O,X,X
IJZTOLS,O,X,X
IJZTOSL,O,X,X
IJZLTSO,O,X,X
IJZLTOS,X,X,X
IJZLSTO,O,O,O
IJZLSOT,X,O,O
IJZLOTS,O,X,X
IJZLOST,O,X,X
IJZSTLO,O,O,O
IJZSTOL,O,O,O
IJZSLTO,O,O,O
IJZSLOT,X,O,O
IJZSOTL,O,O,O
IJZSOLT,O,O,O
IJZOTLS,O,X,X
IJZOTSL,O,X,X
IJZOLTS,O,X,X
IJZOLST,O,X,X
IJZOSTL,O,X,X
IJZOSLT,O,X,X
IJOTLSZ,X,O,X
IJOTLZS,O,X,X
IJOTSLZ,X,O,X
IJOTSZL,O,O,X
IJOTZLS,O,X,X
IJOTZSL,O,X,X
IJOLTSZ,X,O,X
IJOLTZS,O,X,X
IJOLSTZ,X,O,X
IJOLSZT,X,O,O
IJOLZTS,O,X,X
IJOLZST,O,O,X
IJOSTLZ,X,O,X
IJOSTZL,O,O,X
IJOSLTZ,X,O,X
IJOSLZT,X,O,O
IJOSZTL,O,O,O
IJOSZLT,O,O,O
IJOZTLS,O,X,X
IJOZTSL,O,X,X
IJOZLTS,O,X,X
IJOZLST,O,O,X
IJOZSTL,O,O,X
IJOZSLT,O,O,X
ISTLJZO,X,X,O
ISTLJOZ,X,X,X
ISTLZJO,X,X,O
ISTLZOJ,X,X,O
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,O
ISTJLOZ,X,X,X
ISTJZLO,O,X,O
ISTJZOL,O,X,O
ISTJOLZ,X,X,X
ISTJOZL,O,X,X
ISTZLJO,O,X,O
ISTZLOJ,X,X,O
ISTZJLO,O,X,O
ISTZJOL,O,X,O
ISTZOLJ,X,X,O
ISTZOJL,O,X,O
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,O,X,X
ISTOZLJ,O,X,X
ISTOZJL,O,X,X
ISLTJZO,X,O,O
ISLTJOZ,X,X,X
ISLTZJO,X,O,O
ISLTZOJ,X,O,O
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,O,O
ISLJTOZ,X,X,X
ISLJZTO,X,O,O
ISLJZOT,X,O,O
ISLJOTZ,X,X,X
ISLJOZT,X,O,O
ISLZTJO,X,O,O
ISLZTOJ,X,O,O
ISLZJTO,X,O,O
ISLZJOT,X,O,O
ISLZOTJ,X,O,O
ISLZOJT,X,O,O
ISLOTJZ,X,X,O
ISLOTZJ,X,X,O
ISLOJTZ,X,X,O
ISLOJZT,X,O,O
ISLOZTJ,X,O,O
ISLOZJT,X,O,O
ISJTLZO,X,O,O
ISJTLOZ,X,X,X
ISJTZLO,O,O,O
ISJTZOL,O,O,O
ISJTOLZ,X,X,X
ISJTOZL,O,X,X
ISJLTZO,X,O,O
ISJLTOZ,X,X,X
ISJLZTO,X,O,O
ISJLZOT,X,O,O
ISJLOTZ,X,X,X
ISJLOZT,X,O,O
ISJZTLO,O,O,O
ISJZTOL,O,O,O
ISJZLTO,O,O,O
ISJZLOT,X,O,O
ISJZOTL,O,O,O
ISJZOLT,O,O,O
ISJOTLZ,X,O,X
ISJOTZL,O,O,X
ISJOLTZ,X,O,X
ISJOLZT,X,O,O
ISJOZTL,O,O,O
ISJOZLT,O,O,O
ISZTLJO,O,O,O
ISZTLOJ,X,O,O
ISZTJLO,O,O,O
ISZTJOL,O,O,O
ISZTOLJ,X,O,O
ISZTOJL,O,O,O
ISZLTJO,O,O,O
ISZLTOJ,X,O,O
ISZLJTO,O,O,O
ISZLJOT,X,O,O
ISZLOTJ,X,O,O
ISZLOJT,X,O,O
ISZJTLO,O,O,O
ISZJTOL,O,O,O
ISZJLTO,O,O,O
ISZJLOT,X,O,O
ISZJOTL,O,O,O
ISZJOLT,O,O,O
ISZOTLJ,O,O,O
ISZOTJL,O,O,O
ISZOLTJ,O,O,O
ISZOLJT,O,O,O
ISZOJTL,O,O,O
ISZOJLT,O,O,O
ISOTLJZ,X,X,O
ISOTLZJ,X,X,O
ISOTJLZ,X,X,O
ISOTJZL,O,X,O
ISOTZLJ,O,X,O
ISOTZJL,O,X,O
ISOLTJZ,X,O,O
ISOLTZJ,X,O,O
ISOLJTZ,X,O,O
ISOLJZT,X,O,O
ISOLZTJ,X,O,O
ISOLZJT,X,O,O
ISOJTLZ,X,O,O
ISOJTZL,O,O,O
ISOJLTZ,X,O,O
ISOJLZT,X,O,O
ISOJZTL,O,O,O
ISOJZLT,O,O,O
ISOZTLJ,O,O,O
ISOZTJL,O,O,O
ISOZLTJ,O,O,O
ISOZLJT,O,O,O
ISOZJTL,O,O,O
ISOZJLT,O,O,O
IZTLJSO,O,X,X
IZTLJOS,X,X,X
IZTLSJO,O,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,O,X,X
IZTJLOS,X,X,X
IZTJSLO,O,X,X
IZTJSOL,O,X,X
IZTJOLS,O,X,X
IZTJOSL,O,X,X
IZTSLJO,O,X,X
IZTSLOJ,X,X,X
IZTSJLO,O,X,X
IZTSJOL,O,X,X
IZTSOLJ,X,X,X
IZTSOJL,O,X,X
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,O,X,X
IZTOSLJ,O,X,X
IZTOSJL,O,X,X
IZLTJSO,O,X,X
IZLTJOS,X,X,X
IZLTSJO,O,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,O,X,X
IZLJTOS,X,X,X
IZLJSTO,O,X,O
IZLJSOT,X,X,O
IZLJOTS,O,X,X
IZLJOST,O,X,X
IZLSTJO,O,X,O
IZLSTOJ,X,X,O
IZLSJTO,O,X,O
IZLSJOT,X,X,O
IZLSOTJ,X,X,O
IZLSOJT,X,X,O
IZLOTJS,O,X,X
IZLOTSJ,O,X,X
IZLOJTS,O,X,X
IZLOJST,O,X,X
IZLOSTJ,O,X,X
IZLOSJT,O,X,X
IZJTLSO,O,X,X
IZJTLOS,X,X,X
IZJTSLO,O,X,X
IZJTSOL,O,X,X
IZJTOLS,O,X,X
IZJTOSL,O,X,X
IZJLTSO,O,X,X
IZJLTOS,X,X,X
IZJLSTO,O,X,O
IZJLSOT,X,X,O
IZJLOTS,O,X,X
IZJLOST,O,X,X
IZJSTLO,O,X,O
IZJSTOL,O,X,O
IZJSLTO,O,X,O
IZJSLOT,X,X,O
IZJSOTL,O,X,O
IZJSOLT,O,X,O
IZJOTLS,O,X,X
IZJOTSL,O,X,X
IZJOLTS,O,X,X
IZJOLST,O,X,X
IZJOSTL,O,X,X
IZJOSLT,O,X,X
IZSTLJO,O,X,O
IZSTLOJ,X,X,O
IZSTJLO,O,X,O
IZSTJOL,O,X,O
IZSTOLJ,X,X,O
IZSTOJL,O,X,O
IZSLTJO,O,X,O
IZSLTOJ,X,X,O
IZSLJTO,O,X,O
IZSLJOT,X,X,O
IZSLOTJ,X,X,O
IZSLOJT,X,X,O
IZSJTLO,O,X,O
IZSJTOL,O,X,O
IZSJLTO,O,X,O
IZSJLOT,X,X,O
IZSJOTL,O,X,O
IZSJOLT,O,X,O
IZSOTLJ,O,X,O
IZSOTJL,O,X,O
IZSOLTJ,O,X,O
IZSOLJT,O,X,O
IZSOJTL,O,X,O
IZSOJLT,O,X,O
IZOTLJS,O,X,X
IZOTLSJ,O,X,X
IZOTJLS,O,X,X
IZOTJSL,O,X,X
IZOTSLJ,O,X,X
IZOTSJL,O,X,X
IZOLTJS,O,X,X
IZOLTSJ,O,X,X
IZOLJTS,O,X,X
IZOLJST,O,X,X
IZOLSTJ,O,X,X
IZOLSJT,O,X,X
IZOJTLS,O,X,X
IZOJTSL,O,X,X
IZOJLTS,O,X,X
IZOJLST,O,X,X
IZOJSTL,O,X,X
IZOJSLT,O,X,X
IZOSTLJ,O,X,X
IZOSTJL,O,X,X
IZOSLTJ,O,X,X
IZOSLJT,O,X,X
IZOSJTL,O,X,X
IZOSJLT,O,X,X
IOTLJSZ,X,X,O
IOTLJZS,O,X,X
IOTLSJZ,X,X,O
IOTLSZJ,X,X,O
IOTLZJS,O,X,X
IOTLZSJ,O,X,X
IOTJLSZ,X,X,O
IOTJLZS,O,X,X
IOTJSLZ,X,X,O
IOTJSZL,O,X,O
IOTJZLS,O,X,X
IOTJZSL,O,X,X
IOTSLJZ,X,X,O
IOTSLZJ,X,X,O
IOTSJLZ,X,X,O
IOTSJZL,O,X,O
IOTSZLJ,O,X,O
IOTSZJL,O,X,O
IOTZLJS,O,X,X
IOTZLSJ,O,X,X
IOTZJLS,O,X,X
IOTZJSL,O,X,X
IOTZSLJ,O,X,X
IOTZSJL,O,X,X
IOLTJSZ,X,O,O
IOLTJZS,O,X,X
IOLTSJZ,X,O,O
IOLTSZJ,X,O,O
IOLTZJS,O,X,X
IOLTZSJ,O,X,X
IOLJTSZ,X,O,O
IOLJTZS,O,X,X
IOLJSTZ,X,O,O
IOLJSZT,X,O,O
IOLJZTS,O,X,X
IOLJZST,O,O,O
IOLSTJZ,X,O,O
IOLSTZJ,X,O,O
IOLSJTZ,X,O,O
IOLSJZT,X,O,O
IOLSZTJ,X,O,O
IOLSZJT,X,O,O
IOLZTJS,O,X,X
IOLZTSJ,O,X,X
IOLZJTS,O,X,X
IOLZJST,O,O,O
IOLZSTJ,O,O,O
IOLZSJT,O,O,O
IOJTLSZ,X,O,O
IOJTLZS,O,X,X
IOJTSLZ,X,O,O
IOJTSZL,O,O,O
IOJTZLS,O,X,X
IOJTZSL,O,X,X
IOJLTSZ,X,O,O
IOJLTZS,O,X,X
IOJLSTZ,X,O,O
IOJLSZT,X,O,O
IOJLZTS,O,X,X
IOJLZST,O,O,O
IOJSTLZ,X,O,O
IOJSTZL,O,O,O
IOJSLTZ,X,O,O
IOJSLZT,X,O,O
IOJSZTL,O,O,O
IOJSZLT,O,O,O
IOJZTLS,O,X,X
IOJZTSL,O,X,X
IOJZLTS,O,X,X
IOJZLST,O,O,O
IOJZSTL,O,O,O
IOJZSLT,O,O,O
IOSTLJZ,X,X,O
IOSTLZJ,X,X,O
IOSTJLZ,X,X,O
IOSTJZL,O,X,O
IOSTZLJ,O,X,O
IOSTZJL,O,X,O
IOSLTJZ,X,O,O
IOSLTZJ,X,O,O
IOSLJTZ,X,O,O
IOSLJZT,X,O,O
IOSLZTJ,X,O,O
IOSLZJT,X,O,O
IOSJTLZ,X,O,O
IOSJTZL,O,O,O
IOSJLTZ,X,O,O
IOSJLZT,X,O,O
IOSJZTL,O,O,O
IOSJZLT,O,O,O
IOSZTLJ,O,O,O
IOSZTJL,O,O,O
IOSZLTJ,O,O,O
IOSZLJT,O,O,O
IOSZJTL,O,O,O
IOSZJLT,O,O,O
IOZTLJS,O,X,X
IOZTLSJ,O,X,X
IOZTJLS,O,X,X
IOZTJSL,O,X,X
IOZTSLJ,O,X,X
IOZTSJL,O,X,X
IOZLTJS,O,X,X
IOZLTSJ,O,X,X
IOZLJTS,O,X,X
IOZLJST,O,X,O
IOZLSTJ,O,X,O
IOZLSJT,O,X,O
IOZJTLS,O,X,X
IOZJTSL,O,X,X
IOZJLTS,O,X,X
IOZJLST,O,X,O
IOZJSTL,O,X,O
IOZJSLT,O,X,O
IOZSTLJ,O,X,O
IOZSTJL,O,X,O
IOZSLTJ,O,X,O
IOZSLJT,O,X,O
IOZSJTL,O,X,O
IOZSJLT,O,X,O
LTIJSZO,X,O,X
LTIJSOZ,X,X,X
LTIJZSO,O,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,X,X
LTIJOZS,O,X,X
LTISJZO,X,O,X
LTISJOZ,X,X,X
LTISZJO,X,O,X
LTISZOJ,X,O,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,O,X,X
LTIZJOS,X,X,X
LTIZSJO,O,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,X,X
LTIOJZS,O,X,X
LTIOSJZ,X,X,X
LTIOSZJ,X,X,X
LTIOZJS,O,X,X
LTIOZSJ,O,X,X
LTJISZO,X,O,X
LTJISOZ,X,X,X
LTJIZSO,O,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,X,X
LTJIOZS,O,X,X
LTJSIZO,X,O,X
LTJSIOZ,X,X,X
LTJSZIO,X,O,X
LTJSZOI,X,O,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,O,X,X
LTJZIOS,X,X,X
LTJZSIO,O,X,X
LTJZSOI,X,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,X,X
LTJOIZS,O,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,X,O,X
LTSIJOZ,X,X,X
LTSIZJO,X,O,X
LTSIZOJ,X,O,X
LTSIOJZ,X,X,X
LTSIOZJ,X,X,X
LTSJIZO,X,O,X
LTSJIOZ,X,X,X
LTSJZIO,X,O,X
LTSJZOI,X,O,X
LTSJOIZ,X,X,X
LTSJOZI,X,X,X
LTSZIJO,X,O,X
LTSZIOJ,X,O,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,X,X,X
LTSOIZJ,X,X,X
LTSOJIZ,X,X,X
LTSOJZI,X,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,O,X,X
LTZIJOS,X,X,X
LTZISJO,O,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,O,X,X
LTZJIOS,X,X,X
LTZJSIO,O,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,O,X,X
LTZSIOJ,X,X,X
LTZSJIO,O,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,X,X
LTOIJZS,O,X,X
LTOISJZ,X,X,X
LTOISZJ,X,X,X
LTOIZJS,O,X,X
LTOIZSJ,O,X,X
LTOJISZ,X,X,X
LTOJIZS,O,X,X
LTOJSIZ,X,X,X
LTOJSZI,X,X,X
LTOJZIS,O,X,X
LTOJZSI,O,X,X
LTOSIJZ,X,X,X
LTOSIZJ,X,X,X
LTOSJIZ,X,X,X
LTOSJZI,X,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,O,X,X
LTOZISJ,O,X,X
LTOZJIS,O,X,X
LTOZJSI,O,X,X
LTOZSIJ,O,X,X
LTOZSJI,O,X,X
LITJSZO,X,O,O
LITJSOZ,X,X,X
LITJZSO,O,X,X
LITJZOS,X,X,X
LITJOSZ,X,X,X
LITJOZS,O,X,X
LITSJZO,X,O,O
LITSJOZ,X,X,X
LITSZJO,X,O,O
LITSZOJ,X,O,O
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,O,X,X
LITZJOS,X,X,X
LITZSJO,O,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,X,X
LITOJZS,O,X,X
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,O,X,X
LITOZSJ,O,X,X
LIJTSZO,X,O,O
LIJTSOZ,X,X,X
LIJTZSO,O,X,X
LIJTZOS,X,X,X
LIJTOSZ,X,X,X
LIJTOZS,O,X,X
LIJSTZO,X,O,O
LIJSTOZ,X,X,X
LIJSZTO,X,O,O
LIJSZOT,X,O,O
LIJSOTZ,X,X,X
LIJSOZT,X,O,O
LIJZTSO,O,X,X
LIJZTOS,X,X,X
LIJZSTO,O,O,O
LIJZSOT,X,O,O
LIJZOTS,O,X,X
LIJZOST,O,X,X
LIJOTSZ,X,X,X
LIJOTZS,O,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,O,O
LIJOZTS,O,X,X
LIJOZST,O,X,X
LISTJZO,X,O,O
LISTJOZ,X,X,X
LISTZJO,X,O,O
LISTZOJ,X,O,O
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,X,O,O
LISJTOZ,X,X,X
LISJZTO,X,O,O
LISJZOT,X,O,O
LISJOTZ,X,X,X
LISJOZT,X,O,O
LISZTJO,X,O,O
LISZTOJ,X,O,O
LISZJTO,X,O,O
LISZJOT,X,O,O
LISZOTJ,X,O,O
LISZOJT,X,O,O
LISOTJZ,X,X,X
LISOTZJ,X,X,X
LISOJTZ,X,X,X
LISOJZT,X,O,O
LISOZTJ,X,O,O
LISOZJT,X,O,O
LIZTJSO,O,X,X
LIZTJOS,X,X,X
LIZTSJO,O,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,O,X,X
LIZJTOS,X,X,X
LIZJSTO,O,O,O
LIZJSOT,X,O,O
LIZJOTS,O,X,X
LIZJOST,O,X,X
LIZSTJO,O,O,O
LIZSTOJ,X,O,O
LIZSJTO,O,O,O
LIZSJOT,X,O,O
LIZSOTJ,X,O,O
LIZSOJT,X,O,O
LIZOTJS,O,X,X
LIZOTSJ,O,X,X
LIZOJTS,O,X,X
LIZOJST,O,X,X
LIZOSTJ,O,X,X
LIZOSJT,O,X,X
LIOTJSZ,X,X,X
LIOTJZS,O,X,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,O,X,X
LIOTZSJ,O,X,X
LIOJTSZ,X,X,X
LIOJTZS,O,X,X
LIOJSTZ,X,X,X
LIOJSZT,X,O,O
LIOJZTS,O,X,X
LIOJZST,O,X,X
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,X,X,X
LIOSJZT,X,O,O
LIOSZTJ,X,O,O
LIOSZJT,X,O,O
LIOZTJS,O,X,X
LIOZTSJ,O,X,X
LIOZJTS,O,X,X
LIOZJST,O,X,X
LIOZSTJ,O,X,X
LIOZSJT,O,X,X
LJTISZO,X,O,X
LJTISOZ,X,X,X
LJTIZSO,O,X,X
LJTIZOS,X,X,X
LJTIOSZ,X,X,X
LJTIOZS,O,X,X
LJTSIZO,X,O,X
LJTSIOZ,X,X,X
LJTSZIO,X,O,X
LJTSZOI,X,O,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,O,X,X
LJTZIOS,X,X,X
LJTZSIO,O,X,X
LJTZSOI,X,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,X,X,X
LJTOIZS,O,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,X,O,X
LJITSOZ,X,X,X
LJITZSO,O,X,X
LJITZOS,X,X,X
LJITOSZ,X,X,X
LJITOZS,O,X,X
LJISTZO,X,O,X
LJISTOZ,X,X,X
LJISZTO,X,O,X
LJISZOT,X,O,X
LJISOTZ,X,X,X
LJISOZT,X,O,X
LJIZTSO,O,X,X
LJIZTOS,X,X,X
LJIZSTO,O,O,X
LJIZSOT,X,O,X
LJIZOTS,O,X,X
LJIZOST,O,X,X
LJIOTSZ,X,X,X
LJIOTZS,O,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,O,X
LJIOZTS,O,X,X
LJIOZST,O,X,X
LJSTIZO,X,O,X
LJSTIOZ,X,X,X
LJSTZIO,X,O,X
LJSTZOI,X,O,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,X,O,X
LJSITOZ,X,X,X
LJSIZTO,X,O,X
LJSIZOT,X,O,X
LJSIOTZ,X,X,X
LJSIOZT,X,O,X
LJSZTIO,X,O,X
LJSZTOI,X,O,X
LJSZITO,X,O,X
LJSZIOT,X,O,X
LJSZOTI,X,O,X
LJSZOIT,X,O,X
LJSOTIZ,X,O,X
LJSOTZI,X,O,X
LJSOITZ,X,O,X
LJSOIZT,X,O,X
LJSOZTI,X,O,X
LJSOZIT,X,O,X
LJZTISO,O,X,X
LJZTIOS,X,X,X
LJZTSIO,O,X,X
LJZTSOI,X,X,X
LJZTOIS,X,X,X
LJZTOSI,X,X,X
LJZITSO,O,X,X
LJZITOS,X,X,X
LJZISTO,O,O,X
LJZISOT,X,O,X
LJZIOTS,O,X,X
LJZIOST,O,X,X
LJZSTIO,O,O,X
LJZSTOI,X,O,X
LJZSITO,O,O,X
LJZSIOT,X,O,X
LJZSOTI,X,O,X
LJZSOIT,X,O,X
LJZOTIS,O,X,X
LJZOTSI,O,X,X
LJZOITS,O,X,X
LJZOIST,O,X,X
LJZOSTI,O,X,X
LJZOSIT,O,X,X
LJOTISZ,X,O,X
LJOTIZS,O,X,X
LJOTSIZ,X,O,X
LJOTSZI,X,O,X
LJOTZIS,O,X,X
LJOTZSI,O,X,X
LJOITSZ,X,O,X
LJOITZS,O,X,X
LJOISTZ,X,O,X
LJOISZT,X,O,X
LJOIZTS,O,X,X
LJOIZST,O,O,X
LJOSTIZ,X,O,X
LJOSTZI,X,O,X
LJOSITZ,X,O,X
LJOSIZT,X,O,X
LJOSZTI,X,O,X
LJOSZIT,X,O,X
LJOZTIS,O,X,X
LJOZTSI,O,X,X
LJOZITS,O,X,X
LJOZIST,O,O,X
LJOZSTI,O,O,X
LJOZSIT,O,O,X
LSTIJZO,X,O,O
LSTIJOZ,X,X,X
LSTIZJO,X,O,O
LSTIZOJ,X,O,O
LSTIOJZ,X,X,X
LSTIOZJ,X,X,X
LSTJIZO,X,O,X
LSTJIOZ,X,X,X
LSTJZIO,X,O,X
LSTJZOI,X,O,X
LSTJOIZ,X,X,X
LSTJOZI,X,X,X
LSTZIJO,X,O,O
LSTZIOJ,X,O,O
LSTZJIO,X,O,O
LSTZJOI,X,O,O
LSTZOIJ,X,O,O
LSTZOJI,X,O,O
LSTOIJZ,X,X,O
LSTOIZJ,X,X,O
LSTOJIZ,X,X,X
LSTOJZI,X,X,O
LSTOZIJ,X,X,O
LSTOZJI,X,X,O
LSITJZO,X,O,O
LSITJOZ,X,X,X
LSITZJO,X,O,O
LSITZOJ,X,O,O
LSITOJZ,X,X,X
LSITOZJ,X,X,X
LSIJTZO,X,O,O
LSIJTOZ,X,X,X
LSIJZTO,X,O,O
LSIJZOT,X,O,O
LSIJOTZ,X,X,X
LSIJOZT,X,O,O
LSIZTJO,X,O,O
LSIZTOJ,X,O,O
LSIZJTO,X,O,O
LSIZJOT,X,O,O
LSIZOTJ,X,O,O
LSIZOJT,X,O,O
LSIOTJZ,X,X,O
LSIOTZJ,X,X,O
LSIOJTZ,X,X,O
LSIOJZT,X,O,O
LSIOZTJ,X,O,O
LSIOZJT,X,O,O
LSJTIZO,X,O,X
LSJTIOZ,X,X,X
LSJTZIO,X,O,X
LSJTZOI,X,O,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,X,O,O
LSJITOZ,X,X,X
LSJIZTO,X,O,O
LSJIZOT,X,O,O
LSJIOTZ,X,X,X
LSJIOZT,X,O,O
LSJZTIO,X,O,O
LSJZTOI,X,O,O
LSJZITO,X,O,O
LSJZIOT,X,O,O
LSJZOTI,X,O,O
LSJZOIT,X,O,O
LSJOTIZ,X,O,X
LSJOTZI,X,O,O
LSJOITZ,X,O,O
LSJOIZT,X,O,O
LSJOZTI,X,O,O
LSJOZIT,X,O,O
LSZTIJO,X,O,O
LSZTIOJ,X,O,O
LSZTJIO,X,O,O
LSZTJOI,X,O,O
LSZTOIJ,X,O,O
LSZTOJI,X,O,O
LSZITJO,X,O,O
LSZITOJ,X,O,O
LSZIJTO,X,O,O
LSZIJOT,X,O,O
LSZIOTJ,X,O,O
LSZIOJT,X,O,O
LSZJTIO,X,O,O
LSZJTOI,X,O,O
LSZJITO,X,O,O
LSZJIOT,X,O,O
LSZJOTI,X,O,O
LSZJOIT,X,O,O
LSZOTIJ,X,O,O
LSZOTJI,X,O,O
LSZOITJ,X,O,O
LSZOIJT,X,O,O
LSZOJTI,X,O,O
LSZOJIT,X,O,O
LSOTIJZ,X,O,O
LSOTIZJ,X,O,O
LSOTJIZ,X,O,X
LSOTJZI,X,O,O
LSOTZIJ,X,O,O
LSOTZJI,X,O,O
LSOITJZ,X,O,O
LSOITZJ,X,O,O
LSOIJTZ,X,O,O
LSOIJZT,X,O,O
LSOIZTJ,X,O,O
LSOIZJT,X,O,O
LSOJTIZ,X,O,X
LSOJTZI,X,O,O
LSOJITZ,X,O,O
LSOJIZT,X,O,O
LSOJZTI,X,O,O
LSOJZIT,X,O,O
LSOZTIJ,X,O,O
LSOZTJI,X,O,O
LSOZITJ,X,O,O
LSOZIJT,X,O,O
LSOZJTI,X,O,O
LSOZJIT,X,O,O
LZTIJSO,O,X,X
LZTIJOS,X,X,X
LZTISJO,O,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,O,X,X
LZTJIOS,X,X,X
LZTJSIO,O,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,O,X,X
LZTSIOJ,X,X,X
LZTSJIO,O,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,O,X,X
