sequence,v115@OhA8HeE8CeF8Je0/IvhFxgBXiBTjB2pBVrBSvB,v115@OhA8HeE8CeF8JeFBJvhFXiBTjBxkBmkB0pBCrB,v115@OhA8HeE8CeF8JeKEJvhFclBxhBTjBlmB3qBupB,v115@OhA8HeE8CeF8Jei/IvhFXiBTjBRlBGmB0pBlqB,v115@OhA8HeE8CeF8Jei/IvhFFhBXiBTjB0pBxqBGqB,v115@OhA8HeE8CeF8JeKEJvhFUgBFhBXiBTjBxqBWvB
TILJSZO,O,X,O,X,X,O
TILJSOZ,O,X,O,O,X,O
TILJZSO,O,X,X,X,X,O
TILJZOS,O,X,X,X,X,O
TILJOSZ,O,X,O,O,X,O
TILJOZS,O,X,X,X,X,O
TILSJZO,O,X,O,X,X,O
TILSJOZ,O,X,O,O,X,O
TILSZJO,X,X,O,X,O,O
TILSZOJ,X,X,O,O,O,O
TILSOJZ,O,X,O,O,X,O
TILSOZJ,X,X,O,O,O,O
TILZJSO,X,X,X,X,O,O
TILZJOS,X,X,X,X,O,O
TILZSJO,X,X,O,X,O,O
TILZSOJ,X,X,O,O,O,O
TILZOJS,X,X,X,X,O,O
TILZOSJ,X,X,O,O,O,O
TILOJSZ,O,X,O,O,X,O
TILOJZS,O,X,X,X,X,O
TILOSJZ,O,X,O,O,X,O
TILOSZJ,X,X,O,O,O,O
TILOZJS,X,X,X,X,O,O
TILOZSJ,X,X,O,O,O,O
TIJLSZO,O,X,O,X,X,O
TIJLSOZ,O,X,O,O,X,O
TIJLZSO,O,X,X,X,X,O
TIJLZOS,O,X,X,X,X,O
TIJLOSZ,O,X,O,O,X,O
TIJLOZS,O,X,X,X,X,O
TIJSLZO,O,X,O,X,X,O
TIJSLOZ,O,X,O,O,X,O
TIJSZLO,O,X,O,X,O,X
TIJSZOL,O,X,O,X,O,X
TIJSOLZ,O,X,O,O,X,O
TIJSOZL,O,X,O,X,O,X
TIJZLSO,O,X,X,X,O,X
TIJZLOS,O,X,X,X,O,X
TIJZSLO,O,X,X,X,O,X
TIJZSOL,O,X,X,X,O,X
TIJZOLS,O,X,X,X,O,X
TIJZOSL,O,X,X,X,O,X
TIJOLSZ,O,X,O,O,X,O
TIJOLZS,O,X,X,X,X,O
TIJOSLZ,O,X,O,O,X,O
TIJOSZL,O,X,O,X,O,X
TIJOZLS,O,X,X,X,O,X
TIJOZSL,O,X,X,X,O,X
TISLJZO,O,X,O,X,X,O
TISLJOZ,O,X,O,O,X,O
TISLZJO,X,X,O,X,O,O
TISLZOJ,X,X,O,O,O,O
TISLOJZ,O,X,O,O,X,O
TISLOZJ,X,X,O,O,O,O
TISJLZO,O,X,O,X,X,O
TISJLOZ,O,X,O,O,X,O
TISJZLO,O,X,O,X,O,X
TISJZOL,O,X,O,X,O,X
TISJOLZ,O,X,O,O,X,O
TISJOZL,O,X,O,X,O,X
TISZLJO,X,X,O,O,O,O
