sequence,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukBUhBFiBXjB6q?BTrB,v115@QhA8BeA8CeD8AeB8CeD8JeZEJvhFukB3gBUiBFjB6r?BzqB
TZLSOIJ,X,X
TZLSOJI,X,X
TZLOIJS,X,X
TZLOISJ,X,X
TZLOJIS,X,X
TZLOJSI,X,X
TZLOSIJ,X,X
TZLOSJI,X,X
TZJILSO,X,O
TZJILOS,X,X
TZJISLO,X,O
TZJISOL,X,O
TZJIOLS,X,X
TZJIOSL,X,O
TZJLISO,X,O
TZJLIOS,X,X
TZJLSIO,X,O
TZJLSOI,X,X
TZJLOIS,X,X
TZJLOSI,X,X
TZJSILO,X,O
TZJSIOL,X,O
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,X
TZJOISL,X,O
TZJOLIS,X,X
TZJOLSI,X,X
TZJOSIL,X,O
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,O
TZSIJOL,X,O
TZSIOLJ,X,X
TZSIOJL,X,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,O
TZSJIOL,X,O
TZSJLIO,X,X
TZSJLOI,X,X
TZSJOIL,X,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,X,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,X,X
TZSOJLI,X,X
TZOILJS,X,X
TZOILSJ,X,X
TZOIJLS,X,X
TZOIJSL,X,O
TZOISLJ,X,X
TZOISJL,X,O
TZOLIJS,X,X
TZOLISJ,X,X
TZOLJIS,X,X
TZOLJSI,X,X
TZOLSIJ,X,X
TZOLSJI,X,X
TZOJILS,X,X
TZOJISL,X,O
TZOJLIS,X,X
TZOJLSI,X,X
TZOJSIL,X,O
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,X,O
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,X,O
TZOSJLI,X,X
TOILJSZ,O,O
TOILJZS,O,O
TOILSJZ,O,O
TOILSZJ,O,O
TOILZJS,O,O
TOILZSJ,O,O
TOIJLSZ,X,O
TOIJLZS,X,O
TOIJSLZ,X,X
TOIJSZL,O,O
TOIJZLS,X,X
TOIJZSL,O,O
TOISLJZ,O,X
TOISLZJ,O,X
TOISJLZ,X,X
TOISJZL,O,O
TOISZLJ,X,X
TOISZJL,O,O
TOIZLJS,X,X
TOIZLSJ,X,X
TOIZJLS,X,X
TOIZJSL,O,O
TOIZSLJ,X,X
TOIZSJL,O,O
TOLIJSZ,O,O
TOLIJZS,O,O
TOLISJZ,O,O
TOLISZJ,O,O
TOLIZJS,O,O
TOLIZSJ,O,O
TOLJISZ,O,O
TOLJIZS,O,O
TOLJSIZ,O,O
TOLJSZI,O,O
TOLJZIS,O,O
TOLJZSI,O,O
TOLSIJZ,O,O
TOLSIZJ,O,O
TOLSJIZ,O,O
TOLSJZI,O,O
TOLSZIJ,O,O
TOLSZJI,O,O
TOLZIJS,O,O
TOLZISJ,O,O
TOLZJIS,O,O
TOLZJSI,O,O
TOLZSIJ,O,O
TOLZSJI,O,O
TOJILSZ,X,O
TOJILZS,X,O
TOJISLZ,X,X
TOJISZL,O,O
TOJIZLS,X,X
TOJIZSL,O,O
TOJLISZ,X,O
TOJLIZS,X,O
TOJLSIZ,X,O
TOJLSZI,X,O
TOJLZIS,X,O
TOJLZSI,X,O
TOJSILZ,X,X
TOJSIZL,O,O
TOJSLIZ,X,X
TOJSLZI,X,X
TOJSZIL,O,O
TOJSZLI,X,X
TOJZILS,X,X
