sequence,v115@QhA8DeF8BeC8CeB8Jei/IvhFzgBUiBFjBxpB3pBWxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBFiBXjBKpBzkBWxB,v115@QhA8DeF8BeC8CeB8JeZEJvhFzfBWmBFjBCqB/sB0rB,v115@QhA8DeF8BeC8CeB8JezAJvhFCiBXjBxpBOpB8pBVxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBzhBFjB2pB3pBSxB,v115@QhA8DeF8BeC8CeB8JeZEJvhF8lBzhBXjBupBFlBSxB,v115@QhA8DeF8BeC8CeB8Jez/IvhFWmBFjBxpBKpB/sB0rB,v115@QhA8DeF8BeC8CeB8Je2EJvhFRgBFjB3lBTpBCsBUsB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBCiBXjBmkBTpBVxB
TIOJZSL,O,X,X,O,O,O,X,X,X
TIOSLJZ,O,X,X,O,X,X,O,O,X
TIOSLZJ,O,X,X,O,X,X,O,O,X
TIOSJLZ,O,X,X,O,X,X,O,O,X
TIOSJZL,O,X,X,O,X,O,X,O,X
TIOSZLJ,O,X,X,O,X,X,X,O,X
TIOSZJL,O,X,X,O,X,O,X,O,X
TIOZLJS,X,X,X,O,O,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X
TIOZJLS,O,X,X,O,O,X,X,X,X
TIOZJSL,O,X,X,O,O,O,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X
TIOZSJL,O,X,X,O,O,O,X,X,X
TLIJSZO,O,X,O,X,X,X,O,X,X
TLIJSOZ,O,X,O,X,X,X,O,X,X
TLIJZSO,O,X,O,X,X,X,O,X,X
TLIJZOS,O,X,O,X,X,X,O,X,X
TLIJOSZ,O,X,O,X,X,X,O,X,X
TLIJOZS,O,X,O,X,X,X,O,X,X
TLISJZO,O,X,O,X,X,X,O,X,X
TLISJOZ,O,X,O,X,X,X,O,X,X
TLISZJO,O,O,O,X,X,X,O,X,X
TLISZOJ,O,O,O,X,X,X,O,X,X
TLISOJZ,O,X,O,X,X,X,O,X,X
TLISOZJ,O,O,O,X,X,X,O,X,X
TLIZJSO,X,O,O,X,X,X,O,X,X
TLIZJOS,X,X,O,X,X,X,O,X,X
TLIZSJO,X,O,O,X,X,X,O,X,X
TLIZSOJ,X,O,O,X,X,X,O,X,X
TLIZOJS,X,O,O,X,X,X,O,X,X
TLIZOSJ,X,O,O,X,X,X,O,X,X
TLIOJSZ,O,X,O,X,X,X,O,X,X
TLIOJZS,O,X,O,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,O,X,X
TLIOSZJ,O,O,O,X,X,X,O,X,X
TLIOZJS,X,O,O,X,X,X,O,X,X
TLIOZSJ,X,O,O,X,X,X,O,X,X
TLJISZO,X,X,O,X,X,X,O,X,X
TLJISOZ,X,X,O,X,X,X,O,X,X
TLJIZSO,X,X,O,X,X,X,O,X,X
TLJIZOS,X,X,O,X,X,X,O,X,X
TLJIOSZ,X,X,O,X,X,X,O,X,X
TLJIOZS,X,X,O,X,X,X,O,X,X
TLJSIZO,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,O,X,X,X,X
TLJZIOS,X,X,O,X,O,X,X,X,X
TLJZSIO,X,O,X,X,O,X,X,X,X
TLJZSOI,X,O,X,X,O,X,X,X,X
TLJZOIS,X,O,O,X,O,X,X,X,X
TLJZOSI,X,O,X,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,O,X,X,X,X
TLJOZSI,X,O,X,X,O,X,X,X,X
TLSIJZO,X,X,O,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,X,X
TLSJZIO,X,O,X,X,X,X,X,X,X
TLSJZOI,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X
TLSZIJO,X,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,X,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X
TLSZJOI,X,O,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,O,X
TLSOIZJ,X,O,O,X,X,X,X,O,X
TLSOJIZ,X,X,O,X,X,X,X,O,X
TLSOJZI,X,O,X,X,X,X,X,O,X
TLSOZIJ,X,O,X,X,X,X,X,O,X
TLSOZJI,X,O,X,X,X,X,X,O,X
TLZIJSO,X,O,O,X,X,X,X,X,X
TLZIJOS,X,X,O,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,X
TLZISOJ,O,O,O,X,X,X,X,X,X
TLZIOJS,X,O,O,X,O,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X,X
TLZJISO,X,O,O,X,O,X,X,X,X
TLZJIOS,X,X,O,X,O,X,X,X,X
TLZJSIO,X,O,X,X,O,X,X,X,X
TLZJSOI,X,O,X,X,O,X,X,X,X
TLZJOIS,X,O,O,X,O,X,X,X,X
TLZJOSI,X,O,X,X,O,X,X,X,X
TLZSIJO,X,O,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,O,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X
TLZOJIS,X,O,O,X,O,X,X,X,X
TLZOJSI,X,O,X,X,O,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,O,X
TLOJSZI,X,O,X,X,X,X,X,O,X
TLOJZIS,X,O,O,X,O,X,X,X,X
TLOJZSI,X,O,X,X,O,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,O,X
TLOSIZJ,X,O,O,X,X,X,X,O,X
TLOSJIZ,X,X,O,X,X,X,X,O,X
TLOSJZI,X,O,X,X,X,X,X,O,X
TLOSZIJ,X,O,X,X,X,X,X,O,X
TLOSZJI,X,O,X,X,X,X,X,O,X
TLOZIJS,X,O,O,X,O,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X
TLOZJIS,X,O,O,X,O,X,X,X,X
TLOZJSI,X,O,X,X,O,X,X,X,X
TLOZSIJ,X,O,X,X,X,X,X,X,X
TLOZSJI,X,O,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,X,O,X,X
TJILSOZ,O,X,O,X,X,X,O,X,X
TJILZSO,O,X,O,X,X,X,O,X,X
TJILZOS,O,X,O,X,X,X,O,X,X
TJILOSZ,O,X,O,X,X,X,O,X,X
TJILOZS,O,X,O,X,X,X,O,X,X
TJISLZO,O,X,O,X,X,X,O,X,X
TJISLOZ,O,X,O,X,X,X,O,X,X
TJISZLO,O,X,X,X,X,X,O,X,X
TJISZOL,O,X,X,X,X,O,X,X,X
TJISOLZ,O,X,X,X,X,X,O,X,X
TJISOZL,O,X,X,X,X,O,X,X,X
TJIZLSO,O,X,O,X,O,X,O,X,X
TJIZLOS,O,X,O,X,O,X,O,X,X
TJIZSLO,O,X,X,X,O,X,O,X,X
TJIZSOL,O,X,X,X,O,O,X,X,X
TJIZOLS,O,X,X,X,O,X,X,X,X
TJIZOSL,O,X,X,X,X,O,X,X,X
TJIOLSZ,O,X,O,X,X,X,O,X,X
TJIOLZS,O,X,O,X,X,X,O,X,X
TJIOSLZ,O,X,X,X,X,X,O,X,X
TJIOSZL,O,X,X,X,X,O,X,X,X
TJIOZLS,O,X,X,X,O,X,X,X,X
TJIOZSL,O,X,X,X,O,O,X,X,X
TJLISZO,X,X,O,X,X,X,O,X,X
TJLISOZ,X,X,O,X,X,X,O,X,X
TJLIZSO,X,X,O,X,X,X,O,X,X
TJLIZOS,X,X,O,X,X,X,O,X,X
TJLIOSZ,X,X,O,X,X,X,O,X,X
TJLIOZS,X,X,O,X,X,X,O,X,X
TJLSIZO,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,O,X,X,X,X,X,X
TJLSZIO,X,O,X,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,X,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,O,X,X,X,X
TJLZIOS,X,X,O,X,O,X,X,X,X
TJLZSIO,X,O,X,X,O,X,X,X,X
TJLZSOI,X,O,X,X,O,X,X,X,X
TJLZOIS,X,O,O,X,O,X,X,X,X
TJLZOSI,X,O,X,X,O,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,O,X,O,X,X,X,X
TJLOZSI,X,O,X,X,O,X,X,X,X
TJSILZO,X,X,O,X,X,X,O,X,X
TJSILOZ,X,X,O,X,X,X,O,X,X
TJSIZLO,X,X,X,X,X,X,O,X,X
TJSIZOL,X,X,X,X,X,O,X,X,X
TJSIOLZ,X,X,X,X,X,X,O,X,X
TJSIOZL,X,X,X,X,X,O,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X,X
TJSLZIO,X,O,X,X,X,X,X,X,X
TJSLZOI,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,X
TJSZILO,X,O,X,X,O,X,X,X,X
TJSZIOL,X,X,X,X,O,O,X,X,X
TJSZLIO,X,O,X,X,O,X,X,X,X
TJSZLOI,X,O,X,X,O,X,X,X,X
TJSZOIL,X,X,X,X,O,O,X,X,X
TJSZOLI,X,X,X,X,O,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,O,X
TJSOIZL,X,X,X,X,X,O,X,O,X
TJSOLIZ,X,X,X,X,X,X,X,O,X
TJSOLZI,X,X,X,X,X,X,X,O,X
TJSOZIL,X,X,X,X,O,O,X,O,X
TJSOZLI,X,X,X,X,O,X,X,O,X
TJZILSO,X,X,O,X,O,X,O,X,X
TJZILOS,X,X,O,X,O,X,O,X,X
TJZISLO,O,O,X,X,O,X,O,X,X
TJZISOL,O,X,X,X,O,O,X,X,X
TJZIOLS,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,O,O,X,X,X
TJZLISO,X,O,O,X,O,X,X,X,X
TJZLIOS,X,X,O,X,O,X,X,X,X
TJZLSIO,X,O,X,X,O,X,X,X,X
TJZLSOI,X,O,X,X,O,X,X,X,X
TJZLOIS,X,O,O,X,O,X,X,X,X
TJZLOSI,X,O,X,X,O,X,X,X,X
TJZSILO,X,O,X,X,O,X,X,X,X
TJZSIOL,X,X,X,X,O,O,X,X,X
TJZSLIO,X,O,X,X,O,X,X,X,X
TJZSLOI,X,O,X,X,O,X,X,X,X
TJZSOIL,X,X,X,X,O,O,X,X,X
TJZSOLI,X,X,X,X,O,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X,X
TJZOISL,O,X,X,X,O,O,X,X,X
TJZOLIS,X,X,X,X,O,X,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X,X
TJZOSIL,X,X,X,X,O,O,X,X,X
TJZOSLI,X,X,X,X,O,X,X,X,X
TJOILSZ,O,X,O,X,X,X,O,X,X
TJOILZS,O,X,O,X,X,X,O,X,X
TJOISLZ,O,X,X,X,X,X,O,O,X
TJOISZL,O,X,X,X,X,O,X,O,X
TJOIZLS,O,X,X,X,O,X,X,X,X
TJOIZSL,O,X,X,X,O,O,X,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X
TJOLIZS,X,X,O,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,X,X,X,O,X
TJOLSZI,X,X,X,X,X,X,X,O,X
TJOLZIS,X,X,O,X,O,X,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X,X
TJOSILZ,X,X,X,X,X,X,X,O,X
TJOSIZL,X,X,X,X,X,O,X,O,X
TJOSLIZ,X,X,X,X,X,X,X,O,X
TJOSLZI,X,X,X,X,X,X,X,O,X
TJOSZIL,X,X,X,X,O,O,X,O,X
TJOSZLI,X,X,X,X,O,X,X,O,X
TJOZILS,X,X,X,X,O,X,X,X,X
TJOZISL,O,X,X,X,O,O,X,X,X
TJOZLIS,X,X,X,X,O,X,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X,X
TJOZSIL,X,X,X,X,O,O,X,O,X
