sequence,v115@QhA8DeF8BeC8CeB8Jei/IvhFzgBUiBFjBxpB3pBWxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBFiBXjBKpBzkBWxB,v115@QhA8DeF8BeC8CeB8JeZEJvhFzfBWmBFjBCqB/sB0rB,v115@QhA8DeF8BeC8CeB8JezAJvhFCiBXjBxpBOpB8pBVxB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBzhBFjB2pB3pBSxB,v115@QhA8DeF8BeC8CeB8JeZEJvhF8lBzhBXjBupBFlBSxB,v115@QhA8DeF8BeC8CeB8Jez/IvhFWmBFjBxpBKpB/sB0rB,v115@QhA8DeF8BeC8CeB8Je2EJvhFRgBFjB3lBTpBCsBUsB,v115@QhA8DeF8BeC8CeB8Jex/IvhF8lBCiBXjBmkBTpBVxB
TSOLIZJ,X,O,X,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,X,X,X,O,X
TSOLJZI,X,O,X,X,X,X,X,O,X
TSOLZIJ,X,O,X,X,X,X,X,O,X
TSOLZJI,X,O,X,X,X,X,X,O,X
TSOJILZ,X,X,X,X,X,X,X,O,X
TSOJIZL,X,X,X,X,X,O,X,O,X
TSOJLIZ,X,X,X,X,X,X,X,O,X
TSOJLZI,X,X,X,X,X,X,X,O,X
TSOJZIL,X,X,X,X,O,O,X,O,O
TSOJZLI,X,X,X,X,O,X,X,O,O
TSOZILJ,O,O,X,X,X,X,X,O,X
TSOZIJL,O,X,X,X,O,O,X,O,X
TSOZLIJ,X,O,X,X,X,X,X,O,X
TSOZLJI,X,O,X,X,X,X,X,O,X
TSOZJIL,X,X,X,X,O,O,X,O,O
TSOZJLI,X,X,X,X,O,X,X,O,O
TZILJSO,X,O,O,X,X,X,O,X,X
TZILJOS,X,X,O,X,X,X,O,X,X
TZILSJO,O,O,O,X,X,X,O,X,X
TZILSOJ,O,O,O,X,X,X,O,X,X
TZILOJS,X,O,O,X,O,X,O,X,X
TZILOSJ,O,O,O,X,X,X,O,X,X
TZIJLSO,O,X,O,X,O,X,O,X,X
TZIJLOS,O,X,O,X,O,X,O,X,X
TZIJSLO,O,O,X,X,O,X,O,X,X
TZIJSOL,O,X,X,X,O,O,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X
TZIJOSL,O,X,X,X,O,O,X,X,X
TZISLJO,O,O,X,X,X,X,O,X,X
TZISLOJ,O,O,X,X,X,X,O,X,X
TZISJLO,O,O,X,X,X,X,O,X,X
TZISJOL,O,X,X,X,X,O,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X,X
TZISOJL,O,X,X,X,O,O,X,X,X
TZIOLJS,X,X,X,X,O,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X,X
TZIOJSL,O,X,X,X,O,O,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,X,O,O,X,X,X
TZLIJSO,X,O,O,X,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X
TZLIOJS,X,O,O,X,O,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,X,X
TZLJISO,X,O,O,X,O,X,X,X,X
TZLJIOS,X,X,O,X,O,X,X,X,X
TZLJSIO,X,O,X,X,O,X,X,X,X
TZLJSOI,X,O,X,X,O,X,X,X,X
TZLJOIS,X,O,O,X,O,X,X,X,X
TZLJOSI,X,O,X,X,O,X,X,X,X
TZLSIJO,X,O,X,X,X,X,X,X,X
TZLSIOJ,X,O,X,X,X,X,X,X,X
TZLSJIO,X,O,X,X,X,X,X,X,X
TZLSJOI,X,O,X,X,X,X,X,X,X
TZLSOIJ,X,O,X,X,X,X,X,X,X
TZLSOJI,X,O,X,X,X,X,X,X,X
TZLOIJS,X,O,O,X,O,X,X,X,X
TZLOISJ,O,O,O,X,X,X,X,X,X
TZLOJIS,X,O,O,X,O,X,X,X,X
TZLOJSI,X,O,X,X,O,X,X,X,X
TZLOSIJ,X,O,X,X,X,X,X,X,X
TZLOSJI,X,O,X,X,X,X,X,X,X
TZJILSO,X,X,O,X,O,X,O,X,X
TZJILOS,X,X,O,X,O,X,O,X,X
TZJISLO,O,O,X,X,O,X,O,X,X
TZJISOL,O,X,X,X,O,O,X,X,X
TZJIOLS,X,X,X,X,O,X,X,X,X
TZJIOSL,O,X,X,X,O,O,X,X,X
TZJLISO,X,O,O,X,O,X,X,X,X
TZJLIOS,X,X,O,X,O,X,X,X,X
TZJLSIO,X,O,X,X,O,X,X,X,X
TZJLSOI,X,O,X,X,O,X,X,X,X
TZJLOIS,X,O,O,X,O,X,X,X,X
TZJLOSI,X,O,X,X,O,X,X,X,X
TZJSILO,X,O,X,X,O,X,X,X,X
TZJSIOL,X,X,X,X,O,O,X,X,X
TZJSLIO,X,O,X,X,O,X,X,X,X
TZJSLOI,X,O,X,X,O,X,X,X,X
TZJSOIL,X,X,X,X,O,O,X,X,X
TZJSOLI,X,X,X,X,O,X,X,X,X
TZJOILS,X,X,X,X,O,X,X,X,X
TZJOISL,O,X,X,X,O,O,X,X,X
TZJOLIS,X,X,X,X,O,X,X,X,X
TZJOLSI,X,X,X,X,O,X,X,X,X
TZJOSIL,X,X,X,X,O,O,X,X,X
TZJOSLI,X,X,X,X,O,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X
TZSILOJ,O,O,X,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X,X
TZSIJOL,O,X,X,X,X,O,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X,X
TZSIOJL,O,X,X,X,O,O,X,X,X
TZSLIJO,X,O,X,X,X,X,X,X,X
TZSLIOJ,X,O,X,X,X,X,X,X,X
TZSLJIO,X,O,X,X,X,X,X,X,X
TZSLJOI,X,O,X,X,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,X,X,X,X
TZSLOJI,X,O,X,X,X,X,X,X,X
TZSJILO,X,O,X,X,O,X,X,X,X
TZSJIOL,X,X,X,X,O,O,X,X,X
TZSJLIO,X,O,X,X,O,X,X,X,X
TZSJLOI,X,O,X,X,O,X,X,X,X
TZSJOIL,X,X,X,X,O,O,X,X,X
TZSJOLI,X,X,X,X,O,X,X,X,X
TZSOILJ,O,O,X,X,X,X,X,O,X
TZSOIJL,O,X,X,X,O,O,X,O,X
TZSOLIJ,X,O,X,X,X,X,X,O,X
TZSOLJI,X,O,X,X,X,X,X,O,X
TZSOJIL,X,X,X,X,O,O,X,O,O
TZSOJLI,X,X,X,X,O,X,X,O,O
TZOILJS,X,X,X,X,O,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X,X
TZOIJSL,O,X,X,X,O,O,X,X,X
TZOISLJ,O,O,X,X,X,X,X,X,X
TZOISJL,O,X,X,X,O,O,X,X,X
TZOLIJS,X,O,X,X,O,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X,X
TZOLJIS,X,O,X,X,O,X,X,X,X
TZOLJSI,X,O,X,X,O,X,X,X,X
TZOLSIJ,X,O,X,X,X,X,X,X,X
TZOLSJI,X,O,X,X,X,X,X,X,X
TZOJILS,X,X,X,X,O,X,X,X,O
TZOJISL,O,X,X,X,O,O,X,X,O
TZOJLIS,X,X,X,X,O,X,X,X,O
TZOJLSI,X,X,X,X,O,X,X,X,O
TZOJSIL,X,X,X,X,O,O,X,O,O
TZOJSLI,X,X,X,X,O,X,X,O,O
TZOSILJ,O,O,X,X,X,X,X,O,X
TZOSIJL,O,X,X,X,O,O,X,O,X
TZOSLIJ,X,O,X,X,X,X,X,O,X
TZOSLJI,X,O,X,X,X,X,X,O,X
TZOSJIL,X,X,X,X,O,O,X,O,O
TZOSJLI,X,X,X,X,O,X,X,O,O
TOILJSZ,O,X,O,O,X,X,O,X,X
TOILJZS,O,X,O,O,X,X,O,X,X
TOILSJZ,O,X,O,O,X,X,O,X,X
TOILSZJ,O,X,O,O,X,X,O,X,X
TOILZJS,X,X,O,O,X,X,O,X,X
TOILZSJ,X,X,O,O,X,X,O,X,X
TOIJLSZ,O,X,O,O,X,X,O,X,X
TOIJLZS,O,X,O,O,X,X,O,X,X
TOIJSLZ,O,X,X,O,X,X,O,O,X
TOIJSZL,O,X,X,O,X,O,X,O,X
TOIJZLS,O,X,X,O,O,X,X,X,X
TOIJZSL,O,X,X,O,O,O,X,X,X
TOISLJZ,O,X,X,O,X,X,O,O,X
TOISLZJ,O,X,X,O,X,X,O,O,X
TOISJLZ,O,X,X,O,X,X,O,O,X
TOISJZL,O,X,X,O,X,O,X,O,X
TOISZLJ,O,X,X,O,X,X,X,O,X
TOISZJL,O,X,X,O,X,O,X,O,X
TOIZLJS,X,X,X,O,O,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,O,O,X,X,X,X
TOIZJSL,O,X,X,O,O,O,X,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,X
TOIZSJL,O,X,X,O,O,O,X,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X
TOLIJZS,O,X,O,X,X,X,X,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X
TOLISZJ,O,O,O,X,X,X,X,X,X
TOLIZJS,X,O,O,X,X,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,X,X,X,O,X
TOLJSZI,X,O,X,X,X,X,X,O,X
TOLJZIS,X,O,O,X,O,X,X,X,X
TOLJZSI,X,O,X,X,O,X,X,X,X
TOLSIJZ,X,X,O,X,X,X,X,O,X
TOLSIZJ,X,O,O,X,X,X,X,O,X
TOLSJIZ,X,X,O,X,X,X,X,O,X
TOLSJZI,X,O,X,X,X,X,X,O,X
TOLSZIJ,X,O,X,X,X,X,X,O,X
TOLSZJI,X,O,X,X,X,X,X,O,X
TOLZIJS,X,O,O,X,O,X,X,X,X
TOLZISJ,O,O,O,X,X,X,X,X,X
TOLZJIS,X,O,O,X,O,X,X,X,X
TOLZJSI,X,O,X,X,O,X,X,X,X
TOLZSIJ,X,O,X,X,X,X,X,X,X
TOLZSJI,X,O,X,X,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,O,X,X
TOJILZS,O,X,O,X,X,X,O,X,X
TOJISLZ,O,X,X,X,X,X,O,O,X
TOJISZL,O,X,X,X,X,O,X,O,X
TOJIZLS,O,X,X,X,O,X,X,X,X
TOJIZSL,O,X,X,X,O,O,X,X,X
TOJLISZ,X,X,O,X,X,X,X,X,X
TOJLIZS,X,X,O,X,X,X,X,X,X
TOJLSIZ,X,X,O,X,X,X,X,O,X
TOJLSZI,X,X,X,X,X,X,X,O,X
TOJLZIS,X,X,O,X,O,X,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X,X
TOJSILZ,X,X,X,X,X,X,X,O,X
TOJSIZL,X,X,X,X,X,O,X,O,X
TOJSLIZ,X,X,X,X,X,X,X,O,X
TOJSLZI,X,X,X,X,X,X,X,O,X
TOJSZIL,X,X,X,X,O,O,X,O,O
TOJSZLI,X,X,X,X,O,X,X,O,O
TOJZILS,X,X,X,X,O,X,X,X,O
TOJZISL,O,X,X,X,O,O,X,X,O
TOJZLIS,X,X,X,X,O,X,X,X,O
TOJZLSI,X,X,X,X,O,X,X,X,O
TOJZSIL,X,X,X,X,O,O,X,O,O
TOJZSLI,X,X,X,X,O,X,X,O,O
TOSILJZ,O,X,X,O,X,X,X,O,X
TOSILZJ,O,X,X,O,X,X,X,O,X
TOSIJLZ,O,X,X,O,X,X,X,O,X
TOSIJZL,O,X,X,O,X,O,X,O,X
TOSIZLJ,O,X,X,O,X,X,X,O,X
TOSIZJL,O,X,X,O,X,O,X,O,X
TOSLIJZ,X,X,X,X,X,X,X,O,X
TOSLIZJ,X,O,X,X,X,X,X,O,X
TOSLJIZ,X,X,X,X,X,X,X,O,X
TOSLJZI,X,O,X,X,X,X,X,O,X
TOSLZIJ,X,O,X,X,X,X,X,O,X
TOSLZJI,X,O,X,X,X,X,X,O,X
TOSJILZ,X,X,X,X,X,X,X,O,X
TOSJIZL,X,X,X,X,X,O,X,O,X
TOSJLIZ,X,X,X,X,X,X,X,O,X
TOSJLZI,X,X,X,X,X,X,X,O,X
TOSJZIL,X,X,X,X,O,O,X,O,O
TOSJZLI,X,X,X,X,O,X,X,O,O
TOSZILJ,O,O,X,X,X,X,X,O,X
TOSZIJL,O,X,X,X,O,O,X,O,X
TOSZLIJ,X,O,X,X,X,X,X,O,X
TOSZLJI,X,O,X,X,X,X,X,O,X
TOSZJIL,X,X,X,X,O,O,X,O,O
TOSZJLI,X,X,X,X,O,X,X,O,O
TOZILJS,X,X,X,X,O,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X,X
TOZIJSL,O,X,X,X,O,O,X,X,X
TOZISLJ,O,O,X,X,X,X,X,X,X
TOZISJL,O,X,X,X,O,O,X,X,X
TOZLIJS,X,O,X,X,O,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X,X
TOZLJIS,X,O,X,X,O,X,X,X,X
TOZLJSI,X,O,X,X,O,X,X,X,X
TOZLSIJ,X,O,X,X,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,X,X,X
TOZJILS,X,X,X,X,O,X,X,X,O
TOZJISL,O,X,X,X,O,O,X,X,O
TOZJLIS,X,X,X,X,O,X,X,X,O
TOZJLSI,X,X,X,X,O,X,X,X,O
TOZJSIL,X,X,X,X,O,O,X,O,O
TOZJSLI,X,X,X,X,O,X,X,O,O
TOZSILJ,O,O,X,X,X,X,X,O,X
TOZSIJL,O,X,X,X,O,O,X,O,X
TOZSLIJ,X,O,X,X,X,X,X,O,X
TOZSLJI,X,O,X,X,X,X,X,O,X
TOZSJIL,X,X,X,X,O,O,X,O,O
TOZSJLI,X,X,X,X,O,X,X,O,O
ITLJSZO,O,X,O,O,X,X,O,X,X
ITLJSOZ,O,X,O,O,X,X,O,X,X
ITLJZSO,O,X,O,O,X,X,O,X,X
ITLJZOS,O,X,O,O,X,X,O,X,X
ITLJOSZ,O,X,O,O,X,X,O,X,X
ITLJOZS,O,X,O,O,X,X,O,X,X
ITLSJZO,O,X,O,O,X,X,O,X,X
ITLSJOZ,O,X,O,O,X,X,O,X,X
ITLSZJO,O,O,O,O,X,X,O,X,X
ITLSZOJ,O,O,O,O,X,X,O,X,X
ITLSOJZ,O,X,O,O,X,X,O,X,X
ITLSOZJ,O,O,O,O,X,X,O,X,X
ITLZJSO,X,O,O,O,X,X,O,X,X
ITLZJOS,X,X,O,O,X,X,O,X,X
ITLZSJO,X,O,O,O,X,X,O,X,X
ITLZSOJ,X,O,O,O,X,X,O,X,X
ITLZOJS,X,O,O,O,X,X,O,X,X
ITLZOSJ,X,O,O,O,X,X,O,X,X
ITLOJSZ,O,X,O,O,X,X,O,X,X
ITLOJZS,O,X,O,O,X,X,O,X,X
ITLOSJZ,O,X,O,O,X,X,O,X,X
ITLOSZJ,O,O,O,O,X,X,O,X,X
ITLOZJS,X,O,O,O,X,X,O,X,X
ITLOZSJ,X,O,O,O,X,X,O,X,X
ITJLSZO,O,X,O,O,X,X,O,X,X
ITJLSOZ,O,X,O,O,X,X,O,X,X
ITJLZSO,O,X,O,O,X,X,O,X,X
ITJLZOS,O,X,O,O,X,X,O,X,X
ITJLOSZ,O,X,O,O,X,X,O,X,X
ITJLOZS,O,X,O,O,X,X,O,X,X
ITJSLZO,O,X,O,O,X,X,O,X,X
ITJSLOZ,O,X,O,O,X,X,O,X,X
ITJSZLO,O,X,X,O,X,X,O,X,X
ITJSZOL,O,X,X,O,X,O,X,X,X
ITJSOLZ,O,X,X,O,X,X,O,X,X
ITJSOZL,O,X,X,O,X,O,X,X,X
ITJZLSO,O,X,O,O,O,X,O,X,X
ITJZLOS,O,X,O,O,O,X,O,X,X
ITJZSLO,O,X,X,O,O,X,O,X,X
ITJZSOL,O,X,X,O,O,O,X,X,X
ITJZOLS,O,X,X,O,O,X,X,X,X
ITJZOSL,O,X,X,O,X,O,X,X,X
ITJOLSZ,O,X,O,O,X,X,O,X,X
ITJOLZS,O,X,O,O,X,X,O,X,X
ITJOSLZ,O,X,X,O,X,X,O,X,X
ITJOSZL,O,X,X,O,X,O,X,X,X
ITJOZLS,O,X,X,O,O,X,X,X,X
ITJOZSL,O,X,X,O,O,O,X,X,X
ITSLJZO,O,X,O,O,X,X,O,X,X
ITSLJOZ,O,X,O,O,X,X,O,X,X
ITSLZJO,O,O,O,O,X,X,O,X,X
ITSLZOJ,O,O,O,O,X,X,O,X,X
ITSLOJZ,O,X,O,O,X,X,O,X,X
ITSLOZJ,O,O,O,O,X,X,O,X,X
ITSJLZO,O,X,O,O,X,X,O,X,X
ITSJLOZ,O,X,O,O,X,X,O,X,X
ITSJZLO,O,X,X,O,X,X,O,X,X
ITSJZOL,O,X,X,O,X,O,X,X,X
ITSJOLZ,O,X,X,O,X,X,O,X,X
ITSJOZL,O,X,X,O,X,O,X,X,X
ITSZLJO,O,O,X,O,X,X,O,X,X
ITSZLOJ,O,O,X,O,X,X,O,X,X
ITSZJLO,O,O,X,O,X,X,O,X,X
ITSZJOL,O,X,X,O,X,O,X,X,X
ITSZOLJ,O,O,X,O,X,X,X,X,X
ITSZOJL,O,X,X,O,X,O,X,X,X
ITSOLJZ,O,X,X,O,X,X,O,O,X
ITSOLZJ,O,X,X,O,X,X,O,O,X
ITSOJLZ,O,X,X,O,X,X,O,O,X
ITSOJZL,O,X,X,O,X,O,X,O,X
ITSOZLJ,O,X,X,O,X,X,X,O,X
ITSOZJL,O,X,X,O,X,O,X,O,X
ITZLJSO,X,O,O,O,X,X,O,X,X
ITZLJOS,X,X,O,O,X,X,O,X,X
ITZLSJO,O,O,O,O,X,X,O,X,X
ITZLSOJ,O,O,O,O,X,X,O,X,X
ITZLOJS,X,O,O,O,O,X,O,X,X
ITZLOSJ,O,O,O,O,X,X,O,X,X
ITZJLSO,O,X,O,O,O,X,O,X,X
ITZJLOS,O,X,O,O,O,X,O,X,X
ITZJSLO,O,O,X,O,O,X,O,X,X
ITZJSOL,O,X,X,O,O,O,X,X,X
ITZJOLS,O,X,X,O,O,X,X,X,X
ITZJOSL,O,X,X,O,O,O,X,X,X
ITZSLJO,O,O,X,O,X,X,O,X,X
ITZSLOJ,O,O,X,O,X,X,O,X,X
ITZSJLO,O,O,X,O,X,X,O,X,X
ITZSJOL,O,X,X,O,X,O,X,X,X
ITZSOLJ,O,O,X,O,X,X,X,X,X
ITZSOJL,O,X,X,O,O,O,X,X,X
ITZOLJS,X,X,X,O,O,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,X
ITZOJLS,O,X,X,O,O,X,X,X,X
ITZOJSL,O,X,X,O,O,O,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X
ITZOSJL,O,X,X,O,O,O,X,X,X
ITOLJSZ,O,X,O,O,X,X,O,X,X
ITOLJZS,O,X,O,O,X,X,O,X,X
ITOLSJZ,O,X,O,O,X,X,O,X,X
ITOLSZJ,O,X,O,O,X,X,O,X,X
ITOLZJS,X,X,O,O,X,X,O,X,X
ITOLZSJ,X,X,O,O,X,X,O,X,X
ITOJLSZ,O,X,O,O,X,X,O,X,X
ITOJLZS,O,X,O,O,X,X,O,X,X
ITOJSLZ,O,X,X,O,X,X,O,O,X
ITOJSZL,O,X,X,O,X,O,X,O,X
ITOJZLS,O,X,X,O,O,X,X,X,X
ITOJZSL,O,X,X,O,O,O,X,X,X
ITOSLJZ,O,X,X,O,X,X,O,O,X
ITOSLZJ,O,X,X,O,X,X,O,O,X
ITOSJLZ,O,X,X,O,X,X,O,O,X
ITOSJZL,O,X,X,O,X,O,X,O,X
ITOSZLJ,O,X,X,O,X,X,X,O,X
ITOSZJL,O,X,X,O,X,O,X,O,X
ITOZLJS,X,X,X,O,O,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,O,O,X,X,X,X
ITOZJSL,O,X,X,O,O,O,X,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,X
ITOZSJL,O,X,X,O,O,O,X,X,X
ILTJSZO,O,X,O,O,X,X,O,X,X
ILTJSOZ,O,X,O,O,X,X,O,X,X
ILTJZSO,O,X,O,O,X,X,O,X,X
ILTJZOS,O,X,O,O,X,X,O,X,X
ILTJOSZ,O,X,O,O,X,X,O,X,X
ILTJOZS,O,X,O,O,X,X,O,X,X
ILTSJZO,O,X,O,O,X,X,O,X,X
ILTSJOZ,O,X,O,O,X,X,O,X,X
ILTSZJO,O,O,O,O,X,X,O,X,X
ILTSZOJ,O,O,O,O,X,X,O,X,X
ILTSOJZ,O,X,O,O,X,X,O,X,X
ILTSOZJ,O,O,O,O,X,X,O,X,X
ILTZJSO,X,O,O,O,X,X,O,X,X
ILTZJOS,X,X,O,O,X,X,O,X,X
ILTZSJO,X,O,O,O,X,X,O,X,X
ILTZSOJ,X,O,O,O,X,X,O,X,X
ILTZOJS,X,O,O,O,X,X,O,X,X
ILTZOSJ,X,O,O,O,X,X,O,X,X
ILTOJSZ,O,X,O,O,X,X,O,X,X
ILTOJZS,O,X,O,O,X,X,O,X,X
ILTOSJZ,O,X,O,O,X,X,O,X,X
ILTOSZJ,O,O,O,O,X,X,O,X,X
ILTOZJS,X,O,O,O,X,X,O,X,X
ILTOZSJ,X,O,O,O,X,X,O,X,X
ILJTSZO,O,X,O,X,X,X,O,X,X
ILJTSOZ,O,X,O,X,X,X,O,X,X
ILJTZSO,O,X,O,X,X,X,O,X,X
ILJTZOS,O,X,O,X,X,X,O,X,X
ILJTOSZ,O,X,O,X,X,X,O,X,X
ILJTOZS,O,X,O,X,X,X,O,X,X
ILJSTZO,O,X,O,X,X,X,O,X,X
ILJSTOZ,O,X,O,X,X,X,O,X,X
ILJSZTO,O,X,O,X,X,X,O,X,X
ILJSZOT,O,X,O,X,X,O,O,X,X
ILJSOTZ,O,X,O,X,X,X,O,X,X
ILJSOZT,O,X,O,X,X,O,O,X,X
ILJZTSO,O,X,O,X,X,X,O,X,X
ILJZTOS,O,X,O,X,X,X,O,X,X
ILJZSTO,O,X,O,X,X,X,O,X,X
ILJZSOT,O,X,O,X,X,O,O,X,X
ILJZOTS,O,X,O,X,X,X,O,X,X
ILJZOST,O,X,O,X,X,O,O,X,X
ILJOTSZ,O,X,O,X,X,X,O,X,X
ILJOTZS,O,X,O,X,X,X,O,X,X
ILJOSTZ,O,X,O,X,X,X,O,X,X
ILJOSZT,O,X,O,X,X,O,O,X,X
ILJOZTS,O,X,O,X,X,X,O,X,X
ILJOZST,O,X,O,X,X,O,O,X,X
ILSTJZO,O,X,O,X,X,X,O,X,X
ILSTJOZ,O,X,O,X,X,X,O,X,X
ILSTZJO,O,O,O,X,X,X,O,X,X
ILSTZOJ,O,O,O,X,X,X,O,X,X
ILSTOJZ,O,X,O,X,X,X,O,X,X
ILSTOZJ,O,O,O,X,X,X,O,X,X
ILSJTZO,O,X,O,X,X,X,O,X,X
ILSJTOZ,O,X,O,X,X,X,O,X,X
ILSJZTO,O,X,O,X,X,X,O,X,X
ILSJZOT,O,X,O,X,X,O,O,X,X
ILSJOTZ,O,X,O,X,X,X,O,X,X
ILSJOZT,O,X,O,X,X,O,O,X,X
ILSZTJO,O,O,O,X,X,X,O,X,X
ILSZTOJ,O,O,O,X,X,X,O,X,X
ILSZJTO,O,O,O,X,X,X,O,X,X
ILSZJOT,O,X,O,O,X,O,O,X,X
ILSZOTJ,O,O,O,O,X,X,O,X,X
ILSZOJT,O,O,O,O,X,O,O,X,X
ILSOTJZ,O,X,O,O,X,X,O,X,X
ILSOTZJ,O,O,O,O,X,X,O,X,X
ILSOJTZ,O,X,O,X,X,X,O,X,X
ILSOJZT,O,X,O,X,X,O,O,X,X
ILSOZTJ,O,O,O,O,X,X,O,X,X
ILSOZJT,O,O,O,O,X,O,O,X,X
ILZTJSO,X,O,O,O,X,X,O,X,X
ILZTJOS,X,X,O,O,X,X,O,X,X
ILZTSJO,X,O,O,O,X,X,O,X,X
ILZTSOJ,X,O,O,O,X,X,O,X,X
ILZTOJS,X,O,O,O,X,X,O,X,X
ILZTOSJ,X,O,O,O,X,X,O,X,X
ILZJTSO,X,O,O,O,X,X,O,X,X
ILZJTOS,X,X,O,O,X,X,O,X,X
ILZJSTO,X,O,O,X,X,X,O,X,X
ILZJSOT,X,X,O,O,X,O,O,X,X
ILZJOTS,X,X,O,O,X,X,O,X,X
ILZJOST,X,X,O,O,X,O,O,X,X
ILZSTJO,X,O,O,X,X,X,O,X,X
ILZSTOJ,X,O,O,X,X,X,O,X,X
ILZSJTO,X,O,O,X,X,X,O,X,X
ILZSJOT,X,X,O,O,X,O,O,X,X
ILZSOTJ,X,O,O,O,X,X,O,X,X
ILZSOJT,X,O,O,O,X,O,O,X,X
ILZOTJS,X,O,O,O,X,X,O,X,X
ILZOTSJ,X,O,O,O,X,X,O,X,X
ILZOJTS,X,O,O,O,X,X,O,X,X
ILZOJST,X,O,O,O,X,O,O,X,X
ILZOSTJ,X,O,O,O,X,X,O,X,X
ILZOSJT,X,O,O,O,X,O,O,X,X
ILOTJSZ,O,X,O,O,X,X,O,X,X
ILOTJZS,O,X,O,O,X,X,O,X,X
ILOTSJZ,O,X,O,O,X,X,O,X,X
ILOTSZJ,O,O,O,O,X,X,O,X,X
ILOTZJS,X,O,O,O,X,X,O,X,X
ILOTZSJ,X,O,O,O,X,X,O,X,X
ILOJTSZ,O,X,O,X,X,X,O,X,X
ILOJTZS,O,X,O,X,X,X,O,X,X
ILOJSTZ,O,X,O,X,X,X,O,X,X
ILOJSZT,O,X,O,X,X,O,O,X,X
ILOJZTS,O,X,O,X,X,X,O,X,X
ILOJZST,O,X,O,X,X,O,O,X,X
ILOSTJZ,O,X,O,O,X,X,O,X,X
ILOSTZJ,O,O,O,O,X,X,O,X,X
ILOSJTZ,O,X,O,X,X,X,O,X,X
ILOSJZT,O,X,O,X,X,O,O,X,X
ILOSZTJ,O,O,O,O,X,X,O,X,X
ILOSZJT,O,O,O,O,X,O,O,X,X
ILOZTJS,X,O,O,O,X,X,O,X,X
ILOZTSJ,X,O,O,O,X,X,O,X,X
ILOZJTS,X,O,O,O,X,X,O,X,X
ILOZJST,X,O,O,O,X,O,O,X,X
ILOZSTJ,X,O,O,O,X,X,O,X,X
ILOZSJT,X,O,O,O,X,O,O,X,X
IJTLSZO,O,X,O,O,X,X,O,X,X
IJTLSOZ,O,X,O,O,X,X,O,X,X
IJTLZSO,O,X,O,O,X,X,O,X,X
IJTLZOS,O,X,O,O,X,X,O,X,X
IJTLOSZ,O,X,O,O,X,X,O,X,X
IJTLOZS,O,X,O,O,X,X,O,X,X
IJTSLZO,O,X,O,O,X,X,O,X,X
IJTSLOZ,O,X,O,O,X,X,O,X,X
IJTSZLO,O,X,X,O,X,X,O,X,X
IJTSZOL,O,X,X,O,X,O,X,X,X
IJTSOLZ,O,X,X,O,X,X,O,X,X
IJTSOZL,O,X,X,O,X,O,X,X,X
IJTZLSO,O,X,O,O,O,X,O,X,X
IJTZLOS,O,X,O,O,O,X,O,X,X
IJTZSLO,O,X,X,O,O,X,O,X,X
IJTZSOL,O,X,X,O,O,O,X,X,X
IJTZOLS,O,X,X,O,O,X,X,X,X
IJTZOSL,O,X,X,O,X,O,X,X,X
IJTOLSZ,O,X,O,O,X,X,O,X,X
IJTOLZS,O,X,O,O,X,X,O,X,X
IJTOSLZ,O,X,X,O,X,X,O,X,X
