sequence,v115@PhB8GeD8BeB8AeD8Je2EJvhFRgBzhBCjB3lB0pBlrB,v115@PhB8GeD8BeB8AeD8JeT/IvhFigBWnBxiB3lB0pBlrB,v115@PhB8GeD8BeB8AeD8JeT/IvhF8lBWnBxiBypBlrBXqB,v115@PhB8GeD8BeB8AeD8JeiAJvhFWnBxiBTkB3lBlrB0pB,v115@PhB8GeD8BeB8AeD8Jex/IvhFlhBCjBTkBmlB8rBXqB,v115@PhB8GeD8BeB8AeD8JeXAJvhFxiB2pBzlBFnB6rB0pB,v115@PhB8GeD8BeB8AeD8JeKFJvhFxiBTkBFmBXnB0pBGrB
TILJSZO,X,O,O,O,X,X,X
TILJSOZ,X,O,O,O,X,X,X
TILJZSO,X,O,O,X,X,X,X
TILJZOS,X,O,O,X,X,X,X
TILJOSZ,X,X,O,O,X,O,X
TILJOZS,X,X,O,X,X,X,X
TILSJZO,O,O,O,O,X,X,X
TILSJOZ,O,O,O,O,X,X,O
TILSZJO,O,O,O,O,X,X,X
TILSZOJ,O,O,O,O,X,X,O
TILSOJZ,O,O,O,O,X,X,O
TILSOZJ,O,O,O,O,X,X,O
TILZJSO,O,O,O,X,X,X,X
TILZJOS,O,O,O,X,X,X,X
TILZSJO,O,O,O,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X
TILZOJS,O,O,O,X,X,X,X
TILZOSJ,O,O,O,X,X,X,X
TILOJSZ,X,X,O,O,X,O,X
TILOJZS,X,X,O,X,X,X,X
TILOSJZ,O,X,O,O,X,O,O
TILOSZJ,O,X,O,O,X,X,O
TILOZJS,O,X,O,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X
TIJLSOZ,X,O,O,O,X,X,X
TIJLZSO,X,O,O,X,X,X,X
TIJLZOS,X,O,O,X,X,X,X
TIJLOSZ,X,X,O,O,X,O,X
TIJLOZS,X,X,O,X,X,X,X
TIJSLZO,X,O,O,O,X,X,X
TIJSLOZ,X,O,O,O,X,X,X
TIJSZLO,X,O,O,O,X,X,X
TIJSZOL,X,O,X,O,X,X,X
TIJSOLZ,X,O,X,O,X,O,X
TIJSOZL,X,O,X,O,X,O,X
TIJZLSO,X,O,O,X,X,X,X
TIJZLOS,X,O,O,X,X,X,X
TIJZSLO,X,O,O,O,X,X,X
TIJZSOL,X,O,X,O,X,X,X
TIJZOLS,X,O,O,X,X,X,X
TIJZOSL,X,O,X,O,X,O,X
TIJOLSZ,X,X,O,O,X,O,X
TIJOLZS,X,X,O,X,X,X,X
TIJOSLZ,X,O,X,O,X,O,X
TIJOSZL,X,O,X,O,X,O,X
TIJOZLS,X,O,O,X,X,X,X
TIJOZSL,X,O,X,O,X,O,X
TISLJZO,O,O,O,O,X,X,X
TISLJOZ,O,O,O,O,X,X,O
TISLZJO,O,O,O,O,X,X,X
TISLZOJ,O,O,O,O,X,X,O
TISLOJZ,O,O,O,O,X,X,O
TISLOZJ,O,O,O,O,X,X,O
TISJLZO,O,O,O,O,X,X,X
TISJLOZ,O,O,O,O,X,X,O
TISJZLO,O,O,O,O,X,X,X
TISJZOL,O,O,X,O,X,X,X
TISJOLZ,O,O,X,O,X,O,O
TISJOZL,O,O,X,O,X,O,X
TISZLJO,O,O,O,O,X,X,X
TISZLOJ,O,O,O,O,X,X,O
TISZJLO,O,O,O,O,X,X,X
TISZJOL,O,O,X,O,X,X,X
TISZOLJ,O,O,X,O,X,X,O
TISZOJL,O,O,X,O,X,X,X
TISOLJZ,O,O,X,O,X,O,O
TISOLZJ,O,O,X,O,X,X,O
TISOJLZ,O,O,X,O,X,O,O
TISOJZL,O,O,X,O,X,O,X
TISOZLJ,O,O,X,O,X,X,O
TISOZJL,O,O,X,O,X,O,X
TIZLJSO,O,O,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X
TIZLOJS,O,O,O,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X
TIZJLOS,O,O,O,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X
TIZJSOL,O,O,X,O,X,X,X
TIZJOLS,O,O,O,X,X,X,X
TIZJOSL,O,O,X,O,X,O,X
TIZSLJO,O,O,O,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,X
TIZSJLO,O,O,O,O,X,X,X
TIZSJOL,O,O,X,O,X,X,X
TIZSOLJ,O,O,X,O,X,X,X
TIZSOJL,O,O,X,O,X,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X
TIZOJLS,O,O,O,X,X,X,X
TIZOJSL,O,O,X,O,X,O,X
TIZOSLJ,O,O,X,O,X,X,X
TIZOSJL,O,O,X,O,X,O,X
TIOLJSZ,X,X,O,O,X,O,X
TIOLJZS,X,X,O,X,X,X,X
TIOLSJZ,O,X,O,O,X,O,O
TIOLSZJ,O,X,O,O,X,X,O
TIOLZJS,O,X,O,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X
TIOJLSZ,X,X,O,O,X,O,X
TIOJLZS,X,X,O,X,X,X,X
TIOJSLZ,X,O,X,O,X,O,X
TIOJSZL,X,O,X,O,X,O,X
TIOJZLS,X,O,O,X,X,X,X
TIOJZSL,X,O,X,O,X,O,X
TIOSLJZ,O,O,X,O,X,O,O
TIOSLZJ,O,O,X,O,X,X,O
TIOSJLZ,O,O,X,O,X,O,O
TIOSJZL,O,O,X,O,X,O,X
TIOSZLJ,O,O,X,O,X,X,O
TIOSZJL,O,O,X,O,X,O,X
TIOZLJS,O,O,O,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X
TIOZJLS,O,O,O,X,X,X,X
TIOZJSL,O,O,X,O,X,O,X
TIOZSLJ,O,O,X,O,X,X,X
TIOZSJL,O,O,X,O,X,O,X
TLIJSZO,X,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,X,X,X
TLIJZSO,X,O,O,X,X,X,X
TLIJZOS,X,O,O,X,X,X,X
TLIJOSZ,X,X,O,O,X,O,X
TLIJOZS,X,X,O,X,X,X,X
TLISJZO,O,O,O,O,X,X,X
TLISJOZ,O,O,O,O,X,X,O
TLISZJO,O,O,O,O,X,X,X
TLISZOJ,O,O,O,O,X,X,O
TLISOJZ,O,O,O,O,X,X,O
TLISOZJ,O,O,O,O,X,X,O
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X
