sequence,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoBO?sB6sBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoB6?sBOsBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBOnB8nBF?lB3qByxB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiBFlBc?sBetB3qB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBmiB1qBK?sBftBUqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiB1qBm?sBUqB3sB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBFlBmnB3?qB0sBisB
TILJSZO,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,O,O,X
TILJZSO,O,O,O,O,X,X,X
TILJZOS,X,X,O,O,X,X,X
TILJOSZ,X,X,X,X,O,O,X
TILJOZS,O,O,O,O,X,X,X
TILSJZO,X,X,X,X,O,X,X
TILSJOZ,X,X,X,X,O,X,X
TILSZJO,X,O,O,X,O,X,X
TILSZOJ,X,O,O,X,O,X,X
TILSOJZ,X,X,X,X,O,X,X
TILSOZJ,X,O,O,X,O,X,X
TILZJSO,O,O,O,X,X,X,X
TILZJOS,X,X,O,X,X,X,X
TILZSJO,O,O,O,X,O,X,X
TILZSOJ,X,O,O,X,O,X,X
TILZOJS,X,O,O,X,X,X,X
TILZOSJ,X,O,O,X,O,X,X
TILOJSZ,X,X,X,X,O,O,X
TILOJZS,O,O,O,O,X,X,X
TILOSJZ,X,X,X,X,O,X,X
TILOSZJ,X,O,O,X,O,X,X
TILOZJS,O,O,O,X,X,X,X
TILOZSJ,O,O,O,X,O,X,X
TIJLSZO,X,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,O,O,X
TIJLZSO,O,O,O,O,X,X,X
TIJLZOS,X,X,O,O,X,O,X
TIJLOSZ,X,X,X,X,O,O,X
TIJLOZS,O,O,O,O,X,O,X
TIJSLZO,X,X,X,X,O,O,X
TIJSLOZ,X,X,X,X,O,O,X
TIJSZLO,O,X,X,O,X,O,X
TIJSZOL,O,X,X,O,X,O,X
TIJSOLZ,X,X,X,X,X,O,X
TIJSOZL,O,X,X,O,X,O,X
TIJZLSO,O,O,X,O,X,O,X
TIJZLOS,X,X,X,O,X,O,X
TIJZSLO,O,O,X,O,X,O,X
TIJZSOL,O,X,X,O,X,O,X
TIJZOLS,O,X,X,O,X,O,X
TIJZOSL,O,X,X,O,X,O,X
TIJOLSZ,X,X,X,X,O,O,X
TIJOLZS,O,O,O,O,X,O,X
TIJOSLZ,X,X,X,X,X,O,X
TIJOSZL,O,X,X,O,X,O,X
TIJOZLS,O,O,X,O,X,O,X
TIJOZSL,O,O,X,O,X,O,X
TISLJZO,X,X,X,X,O,X,X
TISLJOZ,X,X,X,X,O,X,X
TISLZJO,X,O,O,X,O,X,X
TISLZOJ,X,O,O,X,O,X,X
TISLOJZ,X,X,X,X,O,X,X
TISLOZJ,X,O,O,X,O,X,X
TISJLZO,X,X,X,X,O,O,X
TISJLOZ,X,X,X,X,O,O,X
TISJZLO,O,X,X,O,X,O,X
TISJZOL,O,X,X,O,X,O,X
TISJOLZ,X,X,X,X,X,O,X
TISJOZL,O,X,X,O,X,O,X
TISZLJO,O,O,X,X,O,X,X
TISZLOJ,X,O,X,X,O,X,X
TISZJLO,O,O,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X
TISOLZJ,X,O,O,X,O,X,X
TISOJLZ,X,X,X,X,X,O,X
TISOJZL,O,X,X,O,X,O,X
TISOZLJ,O,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X
TIZLJSO,O,O,O,X,X,X,X
TIZLJOS,X,X,O,X,X,X,X
TIZLSJO,O,O,O,X,O,X,X
TIZLSOJ,X,O,O,X,O,X,X
TIZLOJS,X,O,O,X,X,X,X
TIZLOSJ,X,O,O,X,O,X,X
TIZJLSO,O,O,X,O,X,X,X
TIZJLOS,X,X,X,O,X,X,X
TIZJSLO,O,O,X,O,X,O,X
TIZJSOL,O,X,X,O,X,O,X
TIZJOLS,O,X,X,O,X,X,X
TIZJOSL,O,X,X,O,X,O,O
TIZSLJO,O,O,X,X,O,X,X
TIZSLOJ,X,O,X,X,O,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X
TIZOJLS,O,O,X,O,X,X,X
TIZOJSL,O,O,X,O,X,O,O
TIZOSLJ,O,O,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X
TIOLJZS,O,O,O,O,X,X,X
TIOLSJZ,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,X,O,X,X
TIOLZJS,O,O,O,X,X,X,X
TIOLZSJ,O,O,O,X,O,X,X
TIOJLSZ,X,X,X,X,O,O,X
TIOJLZS,O,O,O,O,X,O,X
TIOJSLZ,X,X,X,X,X,O,X
TIOJSZL,O,X,X,O,X,O,X
TIOJZLS,O,O,X,O,X,O,X
TIOJZSL,O,O,X,O,X,O,X
TIOSLJZ,X,X,X,X,O,X,X
TIOSLZJ,X,O,O,X,O,X,X
TIOSJLZ,X,X,X,X,X,O,X
TIOSJZL,O,X,X,O,X,O,X
TIOSZLJ,O,O,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X
TIOZLJS,O,O,O,X,X,X,X
TIOZLSJ,O,O,O,X,O,X,X
TIOZJLS,O,O,X,O,X,X,X
TIOZJSL,O,O,X,O,X,O,O
TIOZSLJ,O,O,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X
TLIJSZO,X,X,X,X,O,O,X
TLIJSOZ,X,X,X,X,O,O,X
TLIJZSO,O,O,O,O,X,X,X
TLIJZOS,X,X,O,O,X,X,X
TLIJOSZ,X,X,X,X,O,O,X
TLIJOZS,O,O,O,O,X,X,X
TLISJZO,X,X,X,X,O,X,X
TLISJOZ,X,X,X,X,O,X,X
TLISZJO,X,O,O,X,O,X,X
TLISZOJ,X,O,O,X,O,X,X
TLISOJZ,X,X,X,X,O,X,X
TLISOZJ,X,O,O,X,O,X,X
TLIZJSO,O,O,O,X,X,X,X
TLIZJOS,X,X,O,X,X,X,X
TLIZSJO,O,O,O,X,O,X,X
TLIZSOJ,X,O,O,X,O,X,X
TLIZOJS,X,O,O,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X
TLIOJSZ,X,X,X,X,O,O,X
TLIOJZS,O,O,O,O,X,X,X
TLIOSJZ,X,X,X,X,O,X,X
TLIOSZJ,X,O,O,X,O,X,X
TLIOZJS,O,O,O,X,X,X,X
TLIOZSJ,O,O,O,X,O,X,X
TLJISZO,X,X,X,X,O,O,X
TLJISOZ,X,X,X,X,O,O,X
TLJIZSO,O,O,O,O,X,X,X
TLJIZOS,X,X,O,O,X,X,X
TLJIOSZ,X,X,X,X,O,O,X
TLJIOZS,O,O,O,O,X,X,X
TLJSIZO,X,X,X,X,O,O,X
TLJSIOZ,X,X,X,X,O,O,X
TLJSZIO,X,X,X,X,O,O,X
TLJSZOI,X,X,X,X,O,O,X
TLJSOIZ,X,X,X,X,O,O,X
TLJSOZI,X,X,X,X,O,O,X
TLJZISO,O,O,O,O,X,O,X
TLJZIOS,X,X,O,O,X,O,X
TLJZSIO,O,O,O,O,X,O,X
TLJZSOI,X,X,O,O,X,O,X
TLJZOIS,X,X,O,O,X,O,X
TLJZOSI,X,X,O,O,X,O,X
TLJOISZ,X,X,X,X,O,O,X
TLJOIZS,O,O,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,O,X
TLJOSZI,X,X,X,X,O,O,X
TLJOZIS,O,O,O,O,X,O,X
TLJOZSI,O,O,O,O,X,O,X
TLSIJZO,X,X,O,X,O,X,X
TLSIJOZ,X,X,O,X,O,X,X
TLSIZJO,X,O,O,X,O,X,X
TLSIZOJ,X,O,O,X,O,X,X
TLSIOJZ,X,X,O,X,O,X,X
TLSIOZJ,X,O,O,X,O,X,X
TLSJIZO,X,X,O,X,O,X,X
TLSJIOZ,X,X,O,X,O,X,X
TLSJZIO,X,X,O,X,O,X,X
TLSJZOI,X,X,O,X,O,X,X
TLSJOIZ,X,X,O,X,O,X,X
TLSJOZI,X,X,O,X,O,X,X
TLSZIJO,X,O,O,X,O,X,X
TLSZIOJ,X,O,O,X,O,X,X
TLSZJIO,X,O,O,X,O,X,X
TLSZJOI,X,X,O,X,O,X,X
TLSZOIJ,X,O,O,X,O,X,X
TLSZOJI,X,X,O,X,O,X,X
TLSOIJZ,X,X,O,X,O,X,X
TLSOIZJ,X,O,O,X,O,X,X
TLSOJIZ,X,X,O,X,O,X,X
TLSOJZI,X,X,O,X,O,X,X
TLSOZIJ,X,O,O,X,O,X,X
TLSOZJI,X,O,O,X,O,X,X
TLZIJSO,O,O,O,X,X,X,X
TLZIJOS,X,X,O,X,X,X,X
TLZISJO,O,O,O,X,O,X,X
TLZISOJ,X,O,O,X,O,X,X
TLZIOJS,X,O,O,X,X,X,X
TLZIOSJ,X,O,O,X,O,X,X
TLZJISO,O,O,O,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X
TLZJOIS,X,X,O,X,X,X,X
TLZJOSI,X,X,O,X,X,X,O
TLZSIJO,O,O,O,X,O,X,X
TLZSIOJ,X,O,O,X,O,X,X
TLZSJIO,O,O,O,X,O,X,X
TLZSJOI,X,X,O,X,O,X,X
TLZSOIJ,X,O,O,X,O,X,X
TLZSOJI,X,X,O,X,O,X,X
TLZOIJS,X,O,O,X,X,X,X
TLZOISJ,X,O,O,X,O,X,X
TLZOJIS,X,O,O,X,X,X,X
TLZOJSI,X,O,O,X,X,X,O
TLZOSIJ,X,O,O,X,O,X,X
TLZOSJI,X,O,O,X,O,X,X
TLOIJSZ,X,X,X,X,O,O,X
TLOIJZS,O,O,O,O,X,X,X
TLOISJZ,X,X,X,X,O,X,X
TLOISZJ,X,O,O,X,O,X,X
TLOIZJS,O,O,O,X,X,X,X
TLOIZSJ,O,O,O,X,O,X,X
TLOJISZ,X,X,X,X,O,O,X
TLOJIZS,O,O,O,O,X,X,X
TLOJSIZ,X,X,X,X,O,O,X
TLOJSZI,X,X,X,X,O,O,X
TLOJZIS,O,O,O,O,X,O,X
TLOJZSI,O,O,O,O,X,O,X
TLOSIJZ,X,X,O,X,O,X,X
TLOSIZJ,X,O,O,X,O,X,X
TLOSJIZ,X,X,O,X,O,X,X
TLOSJZI,X,X,O,X,O,X,X
TLOSZIJ,X,O,O,X,O,X,X
TLOSZJI,X,O,O,X,O,X,X
TLOZIJS,O,O,O,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X
TLOZJIS,O,O,O,X,X,X,X
TLOZJSI,O,O,O,X,X,X,O
TLOZSIJ,O,O,O,X,O,X,X
TLOZSJI,O,O,O,X,O,X,X
TJILSZO,X,X,X,X,O,O,X
TJILSOZ,X,X,X,X,O,O,X
TJILZSO,O,O,O,O,X,X,X
TJILZOS,X,X,O,O,X,O,X
TJILOSZ,X,X,X,X,O,O,X
TJILOZS,O,O,O,O,X,O,X
TJISLZO,X,X,X,X,O,O,X
TJISLOZ,X,X,X,X,O,O,X
TJISZLO,O,X,X,O,X,O,X
TJISZOL,O,X,X,O,X,O,X
TJISOLZ,X,X,X,X,X,O,X
TJISOZL,O,X,X,O,X,O,X
TJIZLSO,O,O,X,O,X,O,X
TJIZLOS,X,X,X,O,X,O,X
TJIZSLO,O,O,X,O,X,O,X
TJIZSOL,O,X,X,O,X,O,X
TJIZOLS,O,X,X,O,X,O,X
TJIZOSL,O,X,X,O,X,O,X
TJIOLSZ,X,X,X,X,O,O,X
TJIOLZS,O,O,O,O,X,O,X
TJIOSLZ,X,X,X,X,X,O,X
TJIOSZL,O,X,X,O,X,O,X
TJIOZLS,O,O,X,O,X,O,X
TJIOZSL,O,O,X,O,X,O,X
TJLISZO,X,X,X,X,O,O,X
TJLISOZ,X,X,X,X,O,O,X
TJLIZSO,O,O,O,O,X,O,X
TJLIZOS,X,X,O,O,X,O,X
TJLIOSZ,X,X,X,X,O,O,X
TJLIOZS,O,O,O,O,X,O,X
TJLSIZO,X,X,X,X,O,O,X
TJLSIOZ,X,X,X,X,O,O,X
TJLSZIO,X,X,X,X,O,O,X
TJLSZOI,X,X,X,X,O,O,X
TJLSOIZ,X,X,X,X,O,O,X
TJLSOZI,X,X,X,X,O,O,X
TJLZISO,O,O,O,O,X,O,X
TJLZIOS,X,X,O,O,X,O,X
TJLZSIO,O,O,O,O,X,O,X
TJLZSOI,X,X,O,O,X,O,X
TJLZOIS,X,X,O,O,X,O,X
TJLZOSI,X,X,O,O,X,O,X
TJLOISZ,X,X,X,X,O,O,X
TJLOIZS,O,O,O,O,X,O,X
TJLOSIZ,X,X,X,X,O,O,X
TJLOSZI,X,X,X,X,O,O,X
TJLOZIS,O,O,O,O,X,O,X
TJLOZSI,O,O,O,O,X,O,X
TJSILZO,X,X,X,O,O,O,X
TJSILOZ,X,X,X,O,O,O,X
TJSIZLO,O,X,X,O,X,O,X
TJSIZOL,O,X,X,O,X,O,X
TJSIOLZ,X,X,X,O,X,O,X
TJSIOZL,O,X,X,O,X,O,X
TJSLIZO,X,X,X,O,O,O,X
TJSLIOZ,X,X,X,O,O,O,X
TJSLZIO,X,X,X,O,O,O,X
TJSLZOI,X,X,X,O,O,O,X
TJSLOIZ,X,X,X,O,O,O,X
TJSLOZI,X,X,X,O,O,O,X
TJSZILO,O,X,X,O,X,O,X
TJSZIOL,O,X,X,O,X,O,X
TJSZLIO,O,X,X,O,X,O,X
TJSZLOI,X,X,X,O,X,O,X
TJSZOIL,O,X,X,O,X,O,X
TJSZOLI,X,X,X,O,X,O,X
TJSOILZ,X,X,X,O,X,O,X
TJSOIZL,O,X,X,O,X,O,X
TJSOLIZ,X,X,X,O,X,O,X
TJSOLZI,X,X,X,O,X,O,X
TJSOZIL,O,X,X,O,X,O,X
TJSOZLI,O,X,X,O,X,O,X
TJZILSO,O,O,X,O,X,O,X
TJZILOS,X,X,X,O,X,O,X
TJZISLO,O,O,X,O,X,O,X
TJZISOL,O,X,X,O,X,O,X
TJZIOLS,O,X,X,O,X,O,X
TJZIOSL,O,X,X,O,X,O,O
TJZLISO,O,O,X,O,X,O,X
