sequence,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFukBclBThBi?iBlrB3sB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFThBiiBOpBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFWlBThBiiBX?lB0rBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBlsBisB,v115@GhA8GeC8CeA8EeA8AeD8CeB8JeZEJvhFGgB0hBzkB/?rBisBlsB,v115@GhA8GeC8CeA8EeA8AeD8CeB8Jex/IvhFiiBOpBXlBT?mBlsB0rB
TOJSZLI,X,O,X,O,X,O
TOJZILS,O,O,O,X,X,X
TOJZISL,O,O,O,O,X,X
TOJZLIS,O,O,O,X,X,X
TOJZLSI,O,O,O,X,X,O
TOJZSIL,O,O,O,O,X,O
TOJZSLI,O,O,O,O,X,O
TOSILJZ,X,X,X,O,O,O
TOSILZJ,O,O,X,O,O,X
TOSIJLZ,X,X,X,O,O,O
TOSIJZL,X,X,X,O,O,O
TOSIZLJ,O,O,X,O,X,X
TOSIZJL,O,O,X,O,O,X
TOSLIJZ,X,X,X,O,O,O
TOSLIZJ,O,O,X,O,O,X
TOSLJIZ,X,O,X,O,O,O
TOSLJZI,X,O,X,O,O,O
TOSLZIJ,O,O,X,O,O,X
TOSLZJI,O,O,X,O,O,O
TOSJILZ,X,O,X,O,O,O
TOSJIZL,X,O,X,O,O,O
TOSJLIZ,X,O,X,O,O,O
TOSJLZI,X,O,X,O,O,O
TOSJZIL,X,O,X,O,O,O
TOSJZLI,X,O,X,O,X,O
TOSZILJ,O,O,X,O,X,X
TOSZIJL,O,O,X,O,O,X
TOSZLIJ,O,O,X,O,X,X
TOSZLJI,O,O,X,O,X,O
TOSZJIL,O,O,X,O,O,O
TOSZJLI,O,O,X,O,X,O
TOZILJS,O,O,O,X,X,X
TOZILSJ,O,O,O,X,X,X
TOZIJLS,O,O,O,X,X,X
TOZIJSL,O,O,O,O,X,X
TOZISLJ,O,O,O,O,X,X
TOZISJL,O,O,O,O,X,X
TOZLIJS,O,O,O,X,X,X
TOZLISJ,O,O,O,X,X,X
TOZLJIS,O,O,O,X,X,X
TOZLJSI,O,O,O,X,X,O
TOZLSIJ,O,O,O,X,X,X
TOZLSJI,O,O,O,X,X,O
TOZJILS,O,O,O,X,X,X
TOZJISL,O,O,O,O,X,X
TOZJLIS,O,O,O,X,X,X
TOZJLSI,O,O,O,X,X,O
TOZJSIL,O,O,O,O,X,O
TOZJSLI,O,O,O,O,X,O
TOZSILJ,O,O,O,O,X,X
TOZSIJL,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,O,X,O
TOZSJIL,O,O,O,O,X,O
TOZSJLI,O,O,O,O,X,O
ITLJSZO,X,O,O,X,X,O
ITLJSOZ,X,O,X,X,X,O
ITLJZSO,O,X,O,X,X,X
ITLJZOS,O,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,O
ITLJOZS,O,X,O,X,X,X
ITLSJZO,O,O,O,X,X,O
ITLSJOZ,O,O,X,X,X,O
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,O,O,X,O,O,X
ITLSOJZ,O,X,X,O,O,O
ITLSOZJ,O,O,X,O,O,X
ITLZJSO,O,X,O,X,X,X
ITLZJOS,O,X,O,X,X,X
ITLZSJO,O,X,O,X,X,X
ITLZSOJ,O,X,O,X,X,X
ITLZOJS,O,X,O,X,X,X
ITLZOSJ,O,X,O,X,X,X
ITLOJSZ,X,X,X,O,O,O
ITLOJZS,O,X,O,X,X,X
ITLOSJZ,X,X,X,O,O,O
ITLOSZJ,O,X,X,O,O,X
ITLOZJS,O,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X
ITJLSZO,X,O,O,X,X,O
ITJLSOZ,X,O,X,X,X,O
ITJLZSO,O,O,O,X,X,X
ITJLZOS,O,O,O,X,X,X
ITJLOSZ,X,X,X,X,X,O
ITJLOZS,O,X,O,X,X,X
ITJSLZO,X,O,O,X,X,O
ITJSLOZ,X,O,X,X,X,O
ITJSZLO,X,O,O,X,X,O
ITJSZOL,X,O,O,O,X,O
ITJSOLZ,X,O,X,O,X,O
ITJSOZL,X,O,X,O,X,O
ITJZLSO,O,O,O,X,X,X
ITJZLOS,O,O,O,X,X,X
ITJZSLO,O,O,O,X,X,X
ITJZSOL,O,O,O,X,X,X
ITJZOLS,O,O,O,X,X,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,X,X,X,O,X,O
ITJOLZS,O,X,O,X,X,X
ITJOSLZ,X,X,X,O,X,O
ITJOSZL,X,X,X,O,X,O
ITJOZLS,O,O,O,X,X,X
ITJOZSL,O,O,O,O,X,X
ITSLJZO,O,O,O,X,X,O
ITSLJOZ,O,O,X,X,X,O
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,O,O,X
ITSLOJZ,O,X,X,O,O,O
ITSLOZJ,O,O,X,O,O,X
ITSJLZO,O,O,O,X,X,O
ITSJLOZ,O,O,X,X,X,O
ITSJZLO,O,O,O,X,X,O
ITSJZOL,O,O,O,O,X,O
ITSJOLZ,O,O,X,O,X,O
ITSJOZL,O,O,X,O,X,O
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X
ITSZJLO,O,O,O,X,X,X
ITSZJOL,O,O,O,O,X,X
ITSZOLJ,O,O,O,O,X,X
ITSZOJL,O,O,O,O,O,X
ITSOLJZ,O,X,X,O,O,O
ITSOLZJ,O,O,X,O,O,X
ITSOJLZ,O,X,X,O,O,O
ITSOJZL,O,X,X,O,O,O
ITSOZLJ,O,O,X,O,X,X
ITSOZJL,O,O,X,O,O,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,O,O,O,X,X,X
ITZLSJO,O,O,O,X,X,X
ITZLSOJ,O,O,O,X,X,X
ITZLOJS,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,O,X,X,X
ITZJLOS,O,O,O,X,X,X
ITZJSLO,O,O,O,X,X,X
ITZJSOL,O,O,O,X,X,X
ITZJOLS,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,X
ITZSLJO,O,O,O,X,X,X
ITZSLOJ,O,O,O,O,X,X
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,O,X,X
ITZSOLJ,O,O,O,O,X,X
ITZSOJL,O,O,O,O,X,X
ITZOLJS,O,O,O,X,X,X
ITZOLSJ,O,O,O,X,X,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,O,O,O,X,X
ITZOSLJ,O,O,O,O,X,X
ITZOSJL,O,O,O,O,X,X
ITOLJSZ,X,X,X,O,O,O
ITOLJZS,O,X,O,X,X,X
ITOLSJZ,X,X,X,O,O,O
ITOLSZJ,O,X,X,O,O,X
ITOLZJS,O,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X
ITOJLSZ,X,X,X,O,O,O
ITOJLZS,O,X,O,X,X,X
ITOJSLZ,X,X,X,O,O,O
ITOJSZL,X,X,X,O,O,O
ITOJZLS,O,X,O,X,X,X
ITOJZSL,O,X,O,O,X,X
ITOSLJZ,X,X,X,O,O,O
ITOSLZJ,O,X,X,O,O,X
ITOSJLZ,X,X,X,O,O,O
ITOSJZL,X,X,X,O,O,O
ITOSZLJ,O,X,X,O,X,X
ITOSZJL,O,X,X,O,O,X
ITOZLJS,O,X,O,X,X,X
ITOZLSJ,O,X,O,X,X,X
ITOZJLS,O,X,O,X,X,X
ITOZJSL,O,X,O,O,X,X
ITOZSLJ,O,X,O,O,X,X
ITOZSJL,O,X,O,O,X,X
ILTJSZO,X,O,O,X,X,O
ILTJSOZ,X,O,X,X,X,O
ILTJZSO,O,X,O,X,X,X
ILTJZOS,O,X,O,X,X,X
ILTJOSZ,X,X,X,X,X,O
ILTJOZS,O,X,O,X,X,X
ILTSJZO,O,O,O,X,X,O
ILTSJOZ,O,O,X,X,X,O
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,O,O,X,O,O,X
ILTSOJZ,O,X,X,O,O,O
ILTSOZJ,O,O,X,O,O,X
ILTZJSO,O,X,O,X,X,X
ILTZJOS,O,X,O,X,X,X
ILTZSJO,O,X,O,X,X,X
ILTZSOJ,O,X,O,X,X,X
ILTZOJS,O,X,O,X,X,X
ILTZOSJ,O,X,O,X,X,X
ILTOJSZ,X,X,X,O,O,O
ILTOJZS,O,X,O,X,X,X
ILTOSJZ,X,X,X,O,O,O
ILTOSZJ,O,X,X,O,O,X
ILTOZJS,O,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X
ILJTSZO,X,O,O,X,X,O
ILJTSOZ,X,O,X,X,X,O
ILJTZSO,O,X,O,X,X,X
ILJTZOS,O,O,O,X,X,X
ILJTOSZ,X,X,X,X,X,O
ILJTOZS,O,X,O,X,X,X
ILJSTZO,O,O,O,X,X,O
ILJSTOZ,O,O,X,X,X,O
ILJSZTO,O,O,X,X,X,O
ILJSZOT,O,O,O,X,O,X
ILJSOTZ,X,O,X,X,O,O
ILJSOZT,X,O,X,X,O,X
ILJZTSO,O,X,O,X,X,X
ILJZTOS,O,O,O,X,X,X
ILJZSTO,O,O,X,X,X,X
ILJZSOT,O,O,O,X,X,X
ILJZOTS,O,O,O,X,X,X
ILJZOST,O,O,O,X,X,X
ILJOTSZ,X,X,X,X,O,X
ILJOTZS,X,X,O,X,X,X
ILJOSTZ,X,X,X,X,O,X
ILJOSZT,X,X,X,X,O,X
ILJOZTS,X,O,O,X,X,X
ILJOZST,X,O,O,X,O,X
ILSTJZO,O,O,O,X,X,O
ILSTJOZ,O,O,X,X,X,O
ILSTZJO,O,O,X,X,X,X
ILSTZOJ,O,O,X,X,O,X
ILSTOJZ,O,X,X,X,O,O
ILSTOZJ,O,O,X,X,O,X
ILSJTZO,O,O,O,X,X,O
ILSJTOZ,O,O,X,X,X,O
ILSJZTO,O,O,X,X,X,O
ILSJZOT,O,O,O,X,O,X
ILSJOTZ,X,O,X,X,O,O
ILSJOZT,X,O,X,X,O,X
ILSZTJO,O,O,X,X,X,X
ILSZTOJ,O,O,X,X,O,X
ILSZJTO,O,O,X,X,X,X
ILSZJOT,O,O,O,X,O,X
ILSZOTJ,O,O,X,X,O,X
ILSZOJT,O,O,O,O,O,X
ILSOTJZ,O,X,X,X,O,X
ILSOTZJ,O,O,X,X,O,X
ILSOJTZ,X,X,X,X,O,X
ILSOJZT,X,X,X,O,O,X
ILSOZTJ,O,O,X,X,O,X
ILSOZJT,O,O,X,O,O,X
ILZTJSO,O,X,O,X,X,X
ILZTJOS,O,X,O,X,X,X
ILZTSJO,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X
ILZTOJS,O,X,O,X,X,X
ILZTOSJ,O,X,X,X,X,X
ILZJTSO,O,X,O,X,X,X
ILZJTOS,O,O,O,X,X,X
ILZJSTO,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,X
ILZJOTS,O,O,O,X,X,X
ILZJOST,O,O,O,X,X,X
ILZSTJO,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,O,X
ILZSJTO,O,O,X,X,X,X
ILZSJOT,O,O,O,X,O,X
ILZSOTJ,O,O,X,X,O,X
ILZSOJT,O,O,O,X,O,X
ILZOTJS,O,X,O,X,X,X
ILZOTSJ,O,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X
ILZOJST,O,O,O,X,O,X
ILZOSTJ,O,O,X,X,O,X
ILZOSJT,O,O,O,X,O,X
ILOTJSZ,X,X,X,O,O,X
ILOTJZS,O,X,O,X,X,X
ILOTSJZ,X,X,X,O,O,X
ILOTSZJ,O,X,X,O,O,X
ILOTZJS,O,X,X,X,X,X
ILOTZSJ,O,X,X,X,X,X
ILOJTSZ,X,X,X,O,O,X
ILOJTZS,X,X,O,X,X,X
ILOJSTZ,X,X,X,X,O,X
ILOJSZT,X,X,X,O,O,X
ILOJZTS,X,X,O,X,X,X
ILOJZST,X,X,O,X,O,X
ILOSTJZ,O,X,X,X,O,X
ILOSTZJ,O,X,X,X,O,X
ILOSJTZ,X,X,X,X,O,X
ILOSJZT,X,X,X,O,O,X
ILOSZTJ,O,X,X,X,O,X
ILOSZJT,O,X,X,O,O,X
ILOZTJS,O,X,O,X,X,X
ILOZTSJ,O,X,X,X,X,X
ILOZJTS,O,X,O,X,X,X
ILOZJST,O,X,O,X,O,X
ILOZSTJ,O,X,X,X,O,X
ILOZSJT,O,X,O,X,O,X
IJTLSZO,X,O,O,X,X,O
IJTLSOZ,X,O,X,X,X,O
IJTLZSO,O,O,O,X,X,X
IJTLZOS,O,O,O,X,X,X
IJTLOSZ,X,X,X,X,X,O
IJTLOZS,O,X,O,X,X,X
IJTSLZO,X,O,O,X,X,O
IJTSLOZ,X,O,X,X,X,O
IJTSZLO,X,O,O,X,X,O
IJTSZOL,X,O,O,O,X,O
IJTSOLZ,X,O,X,O,X,O
IJTSOZL,X,O,X,O,X,O
IJTZLSO,O,O,O,X,X,X
IJTZLOS,O,O,O,X,X,X
IJTZSLO,O,O,O,X,X,X
IJTZSOL,O,O,O,X,X,X
IJTZOLS,O,O,O,X,X,X
IJTZOSL,O,O,O,X,X,X
IJTOLSZ,X,X,X,O,X,O
IJTOLZS,O,X,O,X,X,X
IJTOSLZ,X,X,X,O,X,O
IJTOSZL,X,X,X,O,X,O
IJTOZLS,O,O,O,X,X,X
IJTOZSL,O,O,O,O,X,X
IJLTSZO,X,O,O,X,X,O
IJLTSOZ,X,O,X,X,X,O
IJLTZSO,O,O,O,X,X,X
IJLTZOS,O,O,O,X,X,X
IJLTOSZ,X,X,X,X,X,O
IJLTOZS,O,X,O,X,X,X
IJLSTZO,O,O,O,X,X,O
IJLSTOZ,O,O,X,X,X,O
IJLSZTO,O,O,X,X,X,O
IJLSZOT,O,O,O,X,O,X
IJLSOTZ,X,O,X,X,O,O
IJLSOZT,X,O,X,X,O,X
IJLZTSO,O,X,O,X,X,X
IJLZTOS,O,O,O,X,X,X
IJLZSTO,O,O,X,X,X,X
IJLZSOT,O,O,O,X,X,X
IJLZOTS,O,O,O,X,X,X
IJLZOST,O,O,O,X,X,X
IJLOTSZ,X,X,X,X,O,X
IJLOTZS,X,X,O,X,X,X
IJLOSTZ,X,X,X,X,O,X
IJLOSZT,X,X,X,X,O,X
IJLOZTS,X,O,O,X,X,X
IJLOZST,X,O,O,X,O,X
IJSTLZO,O,O,O,X,X,O
IJSTLOZ,O,O,X,X,X,O
IJSTZLO,O,O,O,X,X,O
IJSTZOL,O,O,O,X,X,O
IJSTOLZ,O,O,X,X,X,O
IJSTOZL,O,O,X,X,X,O
IJSLTZO,O,O,O,X,X,O
IJSLTOZ,O,O,X,X,X,O
IJSLZTO,O,O,X,X,X,O
IJSLZOT,O,O,O,X,O,X
IJSLOTZ,X,O,X,X,O,O
IJSLOZT,X,O,X,X,O,X
IJSZTLO,O,O,X,X,X,O
IJSZTOL,O,O,X,X,X,O
IJSZLTO,O,O,X,X,X,O
IJSZLOT,O,O,O,X,X,X
IJSZOTL,O,O,X,O,O,X
IJSZOLT,O,O,O,O,O,X
IJSOTLZ,X,O,X,X,O,O
IJSOTZL,X,O,X,O,O,O
IJSOLTZ,X,O,X,X,O,O
IJSOLZT,X,O,X,O,O,X
IJSOZTL,X,O,X,O,O,X
IJSOZLT,X,O,X,O,O,X
IJZTLSO,O,O,O,X,X,X
IJZTLOS,O,O,O,X,X,X
IJZTSLO,O,O,O,X,X,X
IJZTSOL,O,O,O,X,X,X
IJZTOLS,O,O,O,X,X,X
IJZTOSL,O,O,O,X,X,X
IJZLTSO,O,X,O,X,X,X
IJZLTOS,O,O,O,X,X,X
IJZLSTO,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,X
IJZLOTS,O,O,O,X,X,X
IJZLOST,O,O,O,X,X,X
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,X
IJZOTLS,O,O,O,X,X,X
IJZOTSL,O,X,X,X,X,X
IJZOLTS,O,O,O,X,X,X
IJZOLST,O,O,O,X,X,X
IJZOSTL,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,X,X,X,O,O,X
IJOTLZS,X,X,O,X,X,X
IJOTSLZ,X,X,X,O,O,X
IJOTSZL,X,X,X,O,O,X
IJOTZLS,X,O,O,X,X,X
IJOTZSL,X,O,O,O,X,X
IJOLTSZ,X,X,X,O,O,X
IJOLTZS,X,X,O,X,X,X
IJOLSTZ,X,X,X,X,O,X
IJOLSZT,X,X,X,O,O,X
IJOLZTS,X,O,O,X,X,X
IJOLZST,X,O,O,X,O,X
IJOSTLZ,X,X,X,O,O,X
IJOSTZL,X,X,X,O,O,X
IJOSLTZ,X,X,X,X,O,X
IJOSLZT,X,X,X,O,O,X
IJOSZTL,X,X,X,O,O,X
IJOSZLT,X,X,X,O,O,X
IJOZTLS,X,O,O,X,X,X
IJOZTSL,X,X,X,O,X,X
IJOZLTS,X,O,O,X,X,X
IJOZLST,X,O,O,X,O,X
IJOZSTL,X,X,X,O,O,X
IJOZSLT,X,O,O,O,O,X
ISTLJZO,O,O,O,X,X,O
ISTLJOZ,O,O,X,X,X,O
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,O,O,X
ISTLOJZ,O,X,X,O,O,O
ISTLOZJ,O,O,X,O,O,X
ISTJLZO,O,O,O,X,X,O
ISTJLOZ,O,O,X,X,X,O
ISTJZLO,O,O,O,X,X,O
ISTJZOL,O,O,O,O,X,O
ISTJOLZ,O,O,X,O,X,O
ISTJOZL,O,O,X,O,X,O
ISTZLJO,O,O,O,X,X,X
ISTZLOJ,O,O,O,O,X,X
ISTZJLO,O,O,O,X,X,X
ISTZJOL,O,O,O,O,X,X
ISTZOLJ,O,O,O,O,X,X
ISTZOJL,O,O,O,O,O,X
ISTOLJZ,O,X,X,O,O,O
ISTOLZJ,O,O,X,O,O,X
ISTOJLZ,O,X,X,O,O,O
ISTOJZL,O,X,X,O,O,O
ISTOZLJ,O,O,X,O,X,X
ISTOZJL,O,O,X,O,O,X
ISLTJZO,O,O,O,X,X,O
ISLTJOZ,O,O,X,X,X,O
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,O,X
ISLTOJZ,O,X,X,X,O,O
ISLTOZJ,O,O,X,X,O,X
ISLJTZO,O,O,O,X,X,O
ISLJTOZ,O,O,X,X,X,O
ISLJZTO,O,O,X,X,X,O
ISLJZOT,O,O,O,X,O,X
ISLJOTZ,X,O,X,X,O,O
ISLJOZT,X,O,X,X,O,X
ISLZTJO,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,O,X
ISLZJTO,O,O,X,X,X,X
ISLZJOT,O,O,O,X,O,X
ISLZOTJ,O,O,X,X,O,X
ISLZOJT,O,O,O,O,O,X
ISLOTJZ,O,X,X,X,O,X
ISLOTZJ,O,O,X,X,O,X
ISLOJTZ,X,X,X,X,O,X
ISLOJZT,X,X,X,O,O,X
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,O,X,O,O,X
ISJTLZO,O,O,O,X,X,O
ISJTLOZ,O,O,X,X,X,O
ISJTZLO,O,O,O,X,X,O
ISJTZOL,O,O,O,X,X,O
ISJTOLZ,O,O,X,X,X,O
ISJTOZL,O,O,X,X,X,O
ISJLTZO,O,O,O,X,X,O
ISJLTOZ,O,O,X,X,X,O
ISJLZTO,O,O,X,X,X,O
ISJLZOT,O,O,O,X,O,X
ISJLOTZ,X,O,X,X,O,O
ISJLOZT,X,O,X,X,O,X
ISJZTLO,O,O,X,X,X,O
ISJZTOL,O,O,X,X,X,O
ISJZLTO,O,O,X,X,X,O
ISJZLOT,O,O,O,X,X,X
ISJZOTL,O,O,X,O,O,X
ISJZOLT,O,O,O,O,O,X
ISJOTLZ,X,O,X,X,O,O
ISJOTZL,X,O,X,O,O,O
ISJOLTZ,X,O,X,X,O,O
ISJOLZT,X,O,X,O,O,X
ISJOZTL,X,O,X,O,O,X
ISJOZLT,X,O,X,O,O,X
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,O,O,X,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,O,O,X
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,O,X
ISZLJTO,O,O,X,X,X,X
ISZLJOT,O,O,O,X,O,X
ISZLOTJ,O,O,X,X,O,X
ISZLOJT,O,O,O,O,O,X
ISZJTLO,O,O,X,X,X,X
ISZJTOL,O,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,O,X,O,O,X
ISZJOLT,O,O,O,O,O,X
ISZOTLJ,O,O,X,X,X,X
ISZOTJL,O,X,X,O,O,X
ISZOLTJ,O,O,X,X,O,X
ISZOLJT,O,O,O,O,O,X
ISZOJTL,O,O,X,O,O,X
ISZOJLT,O,O,O,O,O,X
ISOTLJZ,O,X,X,O,O,X
ISOTLZJ,O,O,X,O,O,X
ISOTJLZ,O,X,X,O,O,X
ISOTJZL,O,X,X,O,O,X
ISOTZLJ,O,O,X,O,X,X
ISOTZJL,O,O,X,O,O,X
ISOLTJZ,O,X,X,X,O,X
ISOLTZJ,O,O,X,X,O,X
ISOLJTZ,X,X,X,X,O,X
ISOLJZT,X,X,X,O,O,X
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,X,O,O,X
ISOJTLZ,X,X,X,O,O,X
ISOJTZL,X,X,X,O,O,X
ISOJLTZ,X,X,X,X,O,X
ISOJLZT,X,X,X,O,O,X
ISOJZTL,X,X,X,O,O,X
ISOJZLT,X,X,X,O,O,X
ISOZTLJ,O,O,X,X,X,X
ISOZTJL,O,X,X,O,O,X
ISOZLTJ,O,O,X,X,O,X
ISOZLJT,O,O,X,O,O,X
ISOZJTL,O,X,X,O,O,X
ISOZJLT,O,O,X,O,O,X
IZTLJSO,O,X,O,X,X,X
IZTLJOS,O,X,O,X,X,X
IZTLSJO,O,X,O,X,X,X
IZTLSOJ,O,X,O,X,X,X
IZTLOJS,O,X,O,X,X,X
IZTLOSJ,O,X,O,X,X,X
IZTJLSO,O,X,O,X,X,X
IZTJLOS,O,X,O,X,X,X
IZTJSLO,O,X,O,X,X,X
IZTJSOL,O,X,O,X,X,X
IZTJOLS,O,X,O,X,X,X
IZTJOSL,O,X,O,X,X,X
IZTSLJO,O,X,O,X,X,X
IZTSLOJ,O,X,O,O,X,X
IZTSJLO,O,X,O,X,X,X
IZTSJOL,O,X,O,O,X,X
IZTSOLJ,O,X,O,O,X,X
IZTSOJL,O,X,O,O,X,X
IZTOLJS,O,X,O,X,X,X
IZTOLSJ,O,X,O,X,X,X
IZTOJLS,O,X,O,X,X,X
IZTOJSL,O,X,O,O,X,X
IZTOSLJ,O,X,O,O,X,X
IZTOSJL,O,X,O,O,X,X
IZLTJSO,O,X,O,X,X,X
IZLTJOS,O,X,O,X,X,X
IZLTSJO,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X
IZLTOJS,O,X,O,X,X,X
IZLTOSJ,O,X,X,X,X,X
IZLJTSO,O,X,O,X,X,X
IZLJTOS,O,O,O,X,X,X
IZLJSTO,O,O,X,X,X,X
IZLJSOT,O,O,O,X,X,X
IZLJOTS,O,O,O,X,X,X
IZLJOST,O,O,O,X,X,X
IZLSTJO,O,X,X,X,X,X
IZLSTOJ,O,O,X,X,O,X
IZLSJTO,O,O,X,X,X,X
IZLSJOT,O,O,O,X,O,X
IZLSOTJ,O,O,X,X,O,X
IZLSOJT,O,O,O,X,O,X
IZLOTJS,O,X,O,X,X,X
IZLOTSJ,O,X,X,X,X,X
IZLOJTS,O,O,O,X,X,X
IZLOJST,O,O,O,X,O,X
IZLOSTJ,O,O,X,X,O,X
IZLOSJT,O,O,O,X,O,X
IZJTLSO,O,X,O,X,X,X
IZJTLOS,O,O,O,X,X,X
IZJTSLO,O,X,O,X,X,X
IZJTSOL,O,X,O,X,X,X
IZJTOLS,O,O,O,X,X,X
IZJTOSL,O,X,O,X,X,X
IZJLTSO,O,X,O,X,X,X
IZJLTOS,O,O,O,X,X,X
IZJLSTO,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,X
IZJLOTS,O,O,O,X,X,X
IZJLOST,O,O,O,X,X,X
IZJSTLO,O,O,X,X,X,X
IZJSTOL,O,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,O,X,X,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,O,X,X,X,X,X
IZJOLTS,O,O,O,X,X,X
IZJOLST,O,O,O,X,X,X
IZJOSTL,O,O,X,X,X,X
IZJOSLT,O,O,O,X,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,X,X,O,O,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,O,X
IZSLJTO,O,O,X,X,X,X
IZSLJOT,O,O,O,X,O,X
IZSLOTJ,O,O,X,X,O,X
IZSLOJT,O,O,O,O,O,X
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,X,X,X,X
IZSJLTO,O,O,X,X,X,X
IZSJLOT,O,O,O,X,X,X
IZSJOTL,O,O,X,O,O,X
IZSJOLT,O,O,O,O,O,X
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,X,X,O,O,X
IZSOLTJ,O,O,X,X,O,X
IZSOLJT,O,O,O,O,O,X
IZSOJTL,O,O,X,O,O,X
IZSOJLT,O,O,O,O,O,X
IZOTLJS,O,X,O,X,X,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,O,X,O,X,X,X
IZOTJSL,O,X,X,O,X,X
IZOTSLJ,O,X,X,O,X,X
IZOTSJL,O,X,X,O,X,X
IZOLTJS,O,X,O,X,X,X
IZOLTSJ,O,X,X,X,X,X
IZOLJTS,O,O,O,X,X,X
IZOLJST,O,O,O,X,O,X
IZOLSTJ,O,O,X,X,O,X
IZOLSJT,O,O,O,X,O,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,O,X,X,O,X,X
IZOJLTS,O,O,O,X,X,X
IZOJLST,O,O,O,X,O,X
IZOJSTL,O,O,X,O,O,X
IZOJSLT,O,O,O,O,O,X
IZOSTLJ,O,O,X,X,X,X
IZOSTJL,O,X,X,O,O,X
IZOSLTJ,O,O,X,X,O,X
IZOSLJT,O,O,O,O,O,X
IZOSJTL,O,O,X,O,O,X
IZOSJLT,O,O,O,O,O,X
IOTLJSZ,X,X,X,O,O,X
IOTLJZS,O,X,O,X,X,X
IOTLSJZ,X,X,X,O,O,X
IOTLSZJ,O,X,X,O,O,X
IOTLZJS,O,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,X
IOTJLSZ,X,X,X,O,O,X
IOTJLZS,O,X,O,X,X,X
IOTJSLZ,X,X,X,O,O,X
IOTJSZL,X,X,X,O,O,X
IOTJZLS,O,X,O,X,X,X
IOTJZSL,O,X,O,O,X,X
IOTSLJZ,X,X,X,O,O,X
IOTSLZJ,O,X,X,O,O,X
IOTSJLZ,X,X,X,O,O,X
IOTSJZL,X,X,X,O,O,X
IOTSZLJ,O,X,X,O,X,X
IOTSZJL,O,X,X,O,O,X
IOTZLJS,O,X,O,X,X,X
