sequence,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFxhBTjB3mB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFlhB3iB5oBetBzq?BCsB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFXiBTjBUmB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFzhB5nB8qB6tBOt?B3rB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFTjBqqB/rBFnBGt?B0sB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFRiBSoB8qB+rB/s?BTtB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB6tBGrBzs?B0qB,v115@9gB8HeC8GeC8GeC8CeA8Me6FJvhFThBxiBXnB8sB+t?BVwB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhF5oBFnB8sB6qBTr?BmsB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB8sB+tB6q?BTrB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnBGrBCtBTt?B0qB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X
TLJIZOS,O,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,O,X,X,X,O
TLJSOZI,O,X,O,X,X,X,O,X,X,X,O
TLJZISO,X,X,O,X,X,X,X,O,X,X,X
TLJZIOS,O,X,O,X,X,X,X,O,X,X,X
TLJZSIO,O,X,O,X,X,X,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X,X,O,X,X,X
TLJZOIS,O,X,O,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,O
TLJOIZS,O,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,O
TLJOSZI,O,X,O,X,X,X,X,X,X,X,O
TLJOZIS,O,X,O,X,X,X,X,O,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,O,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,O,X,X,X,X
TLSOJZI,O,X,O,X,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,O,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,O,X,X,X
TJILZOS,O,X,X,X,X,X,X,O,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,O,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,O,X,X,X
TJIZLOS,O,X,X,X,X,X,X,O,X,X,X
TJIZSLO,X,X,X,X,X,X,X,O,X,X,X
TJIZSOL,X,X,X,X,X,X,X,O,X,X,X
TJIZOLS,X,X,X,X,X,X,X,O,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,O,X,X,X
TJLIZOS,O,X,X,X,X,X,X,O,X,X,X
