sequence,v115@FhA8FeB8AeA8FeD8AeA8EeC8KeT/IvhFlgBGiB5oB/?qBKrB0pB,v115@FhA8FeB8AeA8FeD8AeA8EeC8Ke0/IvhFlgBGiB5oB/?pBKrBTqB,v115@FhA8FeB8AeA8FeD8AeA8EeC8KeT/IvhFigBGiB5oB3?lB0pBVwB,v115@FhA8FeB8AeA8FeD8AeA8EeC8Kei/IvhFzgBGiB5oB3?kBVvBUrB
ILTJSOZ,O,O,O,O
ILTJZSO,O,O,O,X
ILTJZOS,O,O,O,X
ILTJOSZ,O,O,X,X
ILTJOZS,X,O,X,X
ILTSJZO,O,O,O,O
ILTSJOZ,O,O,O,O
ILTSZJO,O,O,O,O
ILTSZOJ,O,O,O,O
ILTSOJZ,O,O,O,O
ILTSOZJ,O,O,O,O
ILTZJSO,O,O,O,X
ILTZJOS,O,O,O,X
ILTZSJO,O,O,O,X
ILTZSOJ,O,O,O,X
ILTZOJS,O,O,O,X
ILTZOSJ,O,O,O,X
ILTOJSZ,O,O,X,X
ILTOJZS,X,O,X,X
ILTOSJZ,O,O,X,X
ILTOSZJ,O,O,X,X
ILTOZJS,X,O,X,X
ILTOZSJ,X,O,X,X
ILJTSZO,O,O,O,O
ILJTSOZ,O,O,O,O
ILJTZSO,O,O,O,X
ILJTZOS,O,O,O,X
ILJTOSZ,O,O,X,X
ILJTOZS,X,O,X,X
ILJSTZO,O,O,X,O
ILJSTOZ,O,O,X,O
ILJSZTO,O,O,X,O
ILJSZOT,O,O,X,X
ILJSOTZ,O,O,X,O
ILJSOZT,O,O,X,X
ILJZTSO,O,O,X,X
ILJZTOS,O,O,X,X
ILJZSTO,O,O,X,X
ILJZSOT,O,O,X,X
ILJZOTS,O,O,X,X
ILJZOST,O,O,X,X
ILJOTSZ,O,O,X,X
ILJOTZS,X,O,X,X
ILJOSTZ,O,O,X,X
ILJOSZT,O,O,X,X
ILJOZTS,O,O,X,X
ILJOZST,O,O,X,X
ILSTJZO,O,O,X,O
ILSTJOZ,O,O,X,O
ILSTZJO,O,O,X,O
ILSTZOJ,O,O,X,O
ILSTOJZ,O,O,X,O
ILSTOZJ,O,O,X,O
ILSJTZO,O,O,X,O
ILSJTOZ,O,O,X,O
ILSJZTO,O,O,X,O
ILSJZOT,O,O,X,X
ILSJOTZ,O,O,X,O
ILSJOZT,O,O,X,X
ILSZTJO,O,O,X,O
ILSZTOJ,O,O,X,O
ILSZJTO,O,O,X,O
ILSZJOT,O,O,X,X
ILSZOTJ,O,O,X,X
ILSZOJT,O,O,X,X
ILSOTJZ,O,O,X,O
ILSOTZJ,O,O,X,O
ILSOJTZ,O,O,X,O
ILSOJZT,O,O,X,X
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,X,X
ILZTJSO,O,O,X,X
ILZTJOS,O,O,X,X
ILZTSJO,O,O,X,X
ILZTSOJ,O,O,X,X
ILZTOJS,O,O,X,X
ILZTOSJ,O,O,X,X
ILZJTSO,O,O,X,X
ILZJTOS,O,O,X,X
ILZJSTO,O,O,X,X
ILZJSOT,O,O,X,X
ILZJOTS,O,O,X,X
ILZJOST,O,O,X,X
ILZSTJO,O,O,X,X
ILZSTOJ,O,O,X,X
ILZSJTO,O,O,X,X
ILZSJOT,O,O,X,X
ILZSOTJ,O,O,X,X
ILZSOJT,O,O,X,X
ILZOTJS,O,O,X,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,O,X,X
ILZOJST,O,O,X,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,O,O,X,X
ILOTJZS,X,O,X,X
ILOTSJZ,O,O,X,X
ILOTSZJ,O,O,X,X
ILOTZJS,X,O,X,X
ILOTZSJ,X,O,X,X
ILOJTSZ,O,O,X,X
ILOJTZS,X,O,X,X
ILOJSTZ,O,O,X,X
ILOJSZT,O,O,X,X
ILOJZTS,O,O,X,X
ILOJZST,O,O,X,X
ILOSTJZ,O,O,X,X
ILOSTZJ,O,O,X,X
ILOSJTZ,O,O,X,X
ILOSJZT,O,O,X,X
ILOSZTJ,O,O,X,X
ILOSZJT,O,O,X,X
ILOZTJS,O,O,X,X
ILOZTSJ,O,O,X,X
ILOZJTS,O,O,X,X
ILOZJST,O,O,X,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,X,X
IJTLSZO,O,O,O,O
IJTLSOZ,O,O,O,O
IJTLZSO,O,O,O,X
IJTLZOS,O,O,O,X
IJTLOSZ,O,O,X,X
IJTLOZS,X,O,X,X
IJTSLZO,O,O,O,O
IJTSLOZ,O,O,O,O
IJTSZLO,O,O,O,O
IJTSZOL,O,O,O,O
IJTSOLZ,X,O,O,O
IJTSOZL,X,O,O,O
IJTZLSO,O,X,O,X
IJTZLOS,O,X,O,X
IJTZSLO,O,X,O,O
IJTZSOL,O,X,O,O
IJTZOLS,O,X,O,X
IJTZOSL,O,X,O,X
IJTOLSZ,X,O,X,X
IJTOLZS,X,O,X,X
IJTOSLZ,X,O,O,O
IJTOSZL,X,O,O,O
IJTOZLS,X,X,O,X
IJTOZSL,X,X,O,X
IJLTSZO,O,O,O,O
IJLTSOZ,O,O,O,O
IJLTZSO,O,O,O,X
IJLTZOS,O,O,O,X
IJLTOSZ,O,O,X,X
IJLTOZS,X,O,X,X
IJLSTZO,O,O,X,O
IJLSTOZ,O,O,X,O
IJLSZTO,O,O,X,O
IJLSZOT,O,O,X,X
IJLSOTZ,O,O,X,O
IJLSOZT,O,O,X,X
IJLZTSO,O,O,X,X
IJLZTOS,O,O,X,X
IJLZSTO,O,O,X,X
IJLZSOT,O,O,X,X
IJLZOTS,O,O,X,X
IJLZOST,O,O,X,X
IJLOTSZ,O,O,X,X
IJLOTZS,X,O,X,X
IJLOSTZ,O,O,X,X
IJLOSZT,O,O,X,X
IJLOZTS,O,O,X,X
IJLOZST,O,O,X,X
IJSTLZO,O,O,O,O
IJSTLOZ,O,O,O,O
IJSTZLO,O,O,O,O
IJSTZOL,O,O,O,O
IJSTOLZ,X,O,O,O
IJSTOZL,X,O,O,O
IJSLTZO,O,O,X,O
IJSLTOZ,O,O,X,O
IJSLZTO,O,O,X,O
IJSLZOT,O,O,X,X
IJSLOTZ,O,O,X,O
IJSLOZT,O,O,X,X
IJSZTLO,O,O,X,O
IJSZTOL,O,O,X,O
IJSZLTO,O,O,X,O
IJSZLOT,O,O,X,X
IJSZOTL,O,O,X,X
IJSZOLT,O,O,X,X
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,O,O,X,O
IJSOLZT,O,O,X,X
IJSOZTL,O,O,X,X
IJSOZLT,O,O,X,X
IJZTLSO,O,X,O,X
IJZTLOS,O,X,O,X
IJZTSLO,O,X,O,O
IJZTSOL,O,X,O,O
IJZTOLS,O,X,O,X
IJZTOSL,O,X,O,X
IJZLTSO,O,O,X,X
IJZLTOS,O,O,X,X
IJZLSTO,O,O,X,X
IJZLSOT,O,O,X,X
IJZLOTS,O,O,X,X
IJZLOST,O,O,X,X
IJZSTLO,O,O,X,O
IJZSTOL,O,O,X,O
IJZSLTO,O,O,X,O
IJZSLOT,O,O,X,X
IJZSOTL,O,O,X,X
IJZSOLT,O,O,X,X
IJZOTLS,O,X,X,X
IJZOTSL,O,X,X,X
IJZOLTS,O,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,O,X,X
IJZOSLT,O,O,X,X
IJOTLSZ,X,O,X,X
IJOTLZS,X,O,X,X
IJOTSLZ,X,O,O,O
IJOTSZL,X,O,O,O
IJOTZLS,X,X,O,X
IJOTZSL,X,X,O,X
IJOLTSZ,O,O,X,X
IJOLTZS,X,O,X,X
IJOLSTZ,O,O,X,X
IJOLSZT,O,O,X,X
IJOLZTS,O,O,X,X
IJOLZST,O,O,X,X
IJOSTLZ,X,O,X,O
IJOSTZL,X,O,X,O
IJOSLTZ,O,O,X,O
IJOSLZT,O,O,X,X
IJOSZTL,O,O,X,X
IJOSZLT,O,O,X,X
IJOZTLS,O,X,X,X
IJOZTSL,O,X,X,X
IJOZLTS,O,O,X,X
IJOZLST,O,O,X,X
IJOZSTL,O,O,X,X
IJOZSLT,O,O,X,X
ISTLJZO,O,O,O,O
ISTLJOZ,O,O,O,O
ISTLZJO,O,O,O,O
ISTLZOJ,O,O,O,O
ISTLOJZ,O,O,O,O
ISTLOZJ,O,O,O,O
ISTJLZO,O,O,O,O
ISTJLOZ,O,O,O,O
ISTJZLO,O,O,O,O
ISTJZOL,O,O,O,O
ISTJOLZ,X,O,O,O
ISTJOZL,X,O,O,O
ISTZLJO,O,O,O,O
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,O
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,X,O,O,O
ISTOLZJ,X,O,O,O
ISTOJLZ,X,O,O,O
ISTOJZL,X,O,O,O
ISTOZLJ,X,O,O,O
ISTOZJL,X,O,O,O
ISLTJZO,O,O,X,O
ISLTJOZ,O,O,X,O
ISLTZJO,O,O,X,O
ISLTZOJ,O,O,X,O
ISLTOJZ,O,O,X,O
ISLTOZJ,O,O,X,O
ISLJTZO,O,O,X,O
ISLJTOZ,O,O,X,O
ISLJZTO,O,O,X,O
ISLJZOT,O,O,X,X
ISLJOTZ,O,O,X,O
ISLJOZT,O,O,X,X
ISLZTJO,O,O,X,O
ISLZTOJ,O,O,X,O
ISLZJTO,O,O,X,O
ISLZJOT,O,O,X,X
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,X,X
ISLOTJZ,O,O,X,O
ISLOTZJ,O,O,X,O
ISLOJTZ,O,O,X,O
ISLOJZT,O,O,X,X
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,X,X
ISJTLZO,O,O,O,O
ISJTLOZ,O,O,O,O
ISJTZLO,O,O,O,O
ISJTZOL,O,O,O,O
ISJTOLZ,X,O,O,O
ISJTOZL,X,O,O,O
ISJLTZO,O,O,X,O
ISJLTOZ,O,O,X,O
ISJLZTO,O,O,X,O
ISJLZOT,O,O,X,X
ISJLOTZ,O,O,X,O
ISJLOZT,O,O,X,X
ISJZTLO,O,O,X,O
ISJZTOL,O,O,X,O
ISJZLTO,O,O,X,O
ISJZLOT,O,O,X,X
ISJZOTL,O,O,X,X
ISJZOLT,O,O,X,X
ISJOTLZ,X,O,X,O
ISJOTZL,X,O,X,O
ISJOLTZ,O,O,X,O
ISJOLZT,O,O,X,X
ISJOZTL,O,O,X,X
ISJOZLT,O,O,X,X
ISZTLJO,O,O,X,O
ISZTLOJ,O,O,X,O
ISZTJLO,O,O,X,O
ISZTJOL,O,O,X,O
ISZTOLJ,O,O,X,O
ISZTOJL,O,O,X,O
ISZLTJO,O,O,X,O
ISZLTOJ,O,O,X,O
ISZLJTO,O,O,X,O
ISZLJOT,O,O,X,X
ISZLOTJ,O,O,X,X
ISZLOJT,O,O,X,X
ISZJTLO,O,O,X,O
ISZJTOL,O,O,X,O
ISZJLTO,O,O,X,O
ISZJLOT,O,O,X,X
ISZJOTL,O,O,X,X
ISZJOLT,O,O,X,X
ISZOTLJ,O,O,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,X,X
ISZOJTL,O,O,X,X
ISZOJLT,O,O,X,X
ISOTLJZ,X,O,X,O
ISOTLZJ,X,O,X,O
ISOTJLZ,X,O,X,O
ISOTJZL,X,O,X,O
ISOTZLJ,X,O,X,O
ISOTZJL,X,O,X,O
ISOLTJZ,O,O,X,O
ISOLTZJ,O,O,X,O
ISOLJTZ,O,O,X,O
ISOLJZT,O,O,X,X
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,X,X
ISOJTLZ,X,O,X,O
ISOJTZL,X,O,X,O
ISOJLTZ,O,O,X,O
ISOJLZT,O,O,X,X
ISOJZTL,O,O,X,X
ISOJZLT,O,O,X,X
ISOZTLJ,O,O,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,O,O,X,X
ISOZLJT,O,O,X,X
ISOZJTL,O,O,X,X
ISOZJLT,O,O,X,X
IZTLJSO,O,X,O,X
IZTLJOS,O,X,O,X
IZTLSJO,O,X,O,X
IZTLSOJ,O,X,O,X
IZTLOJS,O,X,O,X
IZTLOSJ,O,X,O,X
IZTJLSO,O,X,O,X
IZTJLOS,O,X,O,X
IZTJSLO,O,X,O,O
IZTJSOL,O,X,O,O
IZTJOLS,O,X,O,X
IZTJOSL,O,X,O,X
IZTSLJO,O,X,O,O
IZTSLOJ,O,X,O,O
IZTSJLO,O,X,O,O
IZTSJOL,O,X,O,O
IZTSOLJ,O,X,O,O
IZTSOJL,O,X,O,O
IZTOLJS,O,X,O,X
IZTOLSJ,O,X,O,X
IZTOJLS,O,X,O,X
IZTOJSL,O,X,O,X
IZTOSLJ,O,X,O,X
IZTOSJL,O,X,O,X
IZLTJSO,O,O,X,X
IZLTJOS,O,O,X,X
IZLTSJO,O,O,X,X
IZLTSOJ,O,O,X,X
IZLTOJS,O,O,X,X
IZLTOSJ,O,O,X,X
IZLJTSO,O,O,X,X
IZLJTOS,O,O,X,X
IZLJSTO,O,O,X,X
IZLJSOT,O,O,X,X
IZLJOTS,O,O,X,X
IZLJOST,O,O,X,X
IZLSTJO,O,O,X,X
IZLSTOJ,O,O,X,X
IZLSJTO,O,O,X,X
IZLSJOT,O,O,X,X
IZLSOTJ,O,O,X,X
IZLSOJT,O,O,X,X
IZLOTJS,O,O,X,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,O,X,X
IZLOJST,O,O,X,X
IZLOSTJ,O,O,X,X
IZLOSJT,O,O,X,X
IZJTLSO,O,X,O,X
IZJTLOS,O,X,O,X
IZJTSLO,O,X,O,O
IZJTSOL,O,X,O,O
IZJTOLS,O,X,O,X
IZJTOSL,O,X,O,X
IZJLTSO,O,O,X,X
IZJLTOS,O,O,X,X
IZJLSTO,O,O,X,X
IZJLSOT,O,O,X,X
IZJLOTS,O,O,X,X
IZJLOST,O,O,X,X
IZJSTLO,O,O,X,O
IZJSTOL,O,O,X,O
IZJSLTO,O,O,X,O
IZJSLOT,O,O,X,X
IZJSOTL,O,O,X,X
IZJSOLT,O,O,X,X
IZJOTLS,O,X,X,X
IZJOTSL,O,X,X,X
IZJOLTS,O,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,O,X,X
IZJOSLT,O,O,X,X
IZSTLJO,O,O,X,O
IZSTLOJ,O,O,X,O
IZSTJLO,O,O,X,O
IZSTJOL,O,O,X,O
IZSTOLJ,O,O,X,O
IZSTOJL,O,O,X,O
IZSLTJO,O,O,X,O
IZSLTOJ,O,O,X,O
IZSLJTO,O,O,X,O
IZSLJOT,O,O,X,X
IZSLOTJ,O,O,X,X
IZSLOJT,O,O,X,X
IZSJTLO,O,O,X,O
IZSJTOL,O,O,X,O
IZSJLTO,O,O,X,O
IZSJLOT,O,O,X,X
IZSJOTL,O,O,X,X
IZSJOLT,O,O,X,X
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,X,X
IZSOLJT,O,O,X,X
IZSOJTL,O,O,X,X
IZSOJLT,O,O,X,X
IZOTLJS,O,X,X,X
IZOTLSJ,O,X,X,X
IZOTJLS,O,X,X,X
IZOTJSL,O,X,X,X
IZOTSLJ,O,X,X,X
IZOTSJL,O,X,X,X
IZOLTJS,O,O,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,O,X,X
IZOLJST,O,O,X,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,X
IZOJTLS,O,X,X,X
IZOJTSL,O,X,X,X
IZOJLTS,O,O,X,X
IZOJLST,O,O,X,X
IZOJSTL,O,O,X,X
IZOJSLT,O,O,X,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,O,X,X
IZOSJLT,O,O,X,X
IOTLJSZ,X,O,X,X
IOTLJZS,X,O,X,X
IOTLSJZ,X,O,X,X
IOTLSZJ,X,O,X,X
IOTLZJS,X,O,X,X
IOTLZSJ,X,O,X,X
IOTJLSZ,X,O,X,X
IOTJLZS,X,O,X,X
IOTJSLZ,X,O,O,O
IOTJSZL,X,O,O,O
IOTJZLS,X,X,O,X
IOTJZSL,X,X,O,X
IOTSLJZ,X,O,O,O
IOTSLZJ,X,O,O,O
IOTSJLZ,X,O,O,O
IOTSJZL,X,O,O,O
IOTSZLJ,X,O,O,O
IOTSZJL,X,O,O,O
IOTZLJS,X,X,O,X
IOTZLSJ,X,X,O,X
IOTZJLS,X,X,O,X
IOTZJSL,X,X,O,X
IOTZSLJ,X,X,O,X
IOTZSJL,X,X,O,X
IOLTJSZ,O,O,X,X
IOLTJZS,X,O,X,X
IOLTSJZ,O,O,X,X
IOLTSZJ,O,O,X,X
IOLTZJS,X,O,X,X
IOLTZSJ,X,O,X,X
IOLJTSZ,O,O,X,X
IOLJTZS,X,O,X,X
IOLJSTZ,O,O,X,X
IOLJSZT,O,O,X,X
IOLJZTS,O,O,X,X
IOLJZST,O,O,X,X
IOLSTJZ,O,O,X,X
IOLSTZJ,O,O,X,X
IOLSJTZ,O,O,X,X
IOLSJZT,O,O,X,X
IOLSZTJ,O,O,X,X
IOLSZJT,O,O,X,X
IOLZTJS,O,O,X,X
IOLZTSJ,O,O,X,X
IOLZJTS,O,O,X,X
IOLZJST,O,O,X,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,X,O,X,X
IOJTLZS,X,O,X,X
IOJTSLZ,X,O,O,O
IOJTSZL,X,O,O,O
IOJTZLS,X,X,O,X
IOJTZSL,X,X,O,X
IOJLTSZ,O,O,X,X
IOJLTZS,X,O,X,X
IOJLSTZ,O,O,X,X
IOJLSZT,O,O,X,X
IOJLZTS,O,O,X,X
IOJLZST,O,O,X,X
IOJSTLZ,X,O,X,O
IOJSTZL,X,O,X,O
IOJSLTZ,O,O,X,O
IOJSLZT,O,O,X,X
IOJSZTL,O,O,X,X
IOJSZLT,O,O,X,X
IOJZTLS,O,X,X,X
IOJZTSL,O,X,X,X
IOJZLTS,O,O,X,X
IOJZLST,O,O,X,X
IOJZSTL,O,O,X,X
IOJZSLT,O,O,X,X
IOSTLJZ,X,O,X,O
IOSTLZJ,X,O,X,O
IOSTJLZ,X,O,X,O
IOSTJZL,X,O,X,O
IOSTZLJ,X,O,X,O
IOSTZJL,X,O,X,O
IOSLTJZ,O,O,X,O
IOSLTZJ,O,O,X,O
IOSLJTZ,O,O,X,O
IOSLJZT,O,O,X,X
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,X,X
IOSJTLZ,X,O,X,O
IOSJTZL,X,O,X,O
IOSJLTZ,O,O,X,O
IOSJLZT,O,O,X,X
IOSJZTL,O,O,X,X
IOSJZLT,O,O,X,X
IOSZTLJ,O,O,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,O,O,X,X
IOSZLJT,O,O,X,X
IOSZJTL,O,O,X,X
IOSZJLT,O,O,X,X
IOZTLJS,O,X,X,X
IOZTLSJ,O,X,X,X
IOZTJLS,O,X,X,X
IOZTJSL,O,X,X,X
IOZTSLJ,O,X,X,X
IOZTSJL,O,X,X,X
IOZLTJS,O,O,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,O,X,X
IOZLJST,O,O,X,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,X,X
IOZJTLS,O,X,X,X
IOZJTSL,O,X,X,X
IOZJLTS,O,O,X,X
IOZJLST,O,O,X,X
IOZJSTL,O,O,X,X
IOZJSLT,O,O,X,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,O,X,X
IOZSJLT,O,O,X,X
LTIJSZO,O,O,O,O
LTIJSOZ,O,O,O,O
LTIJZSO,O,O,O,X
LTIJZOS,O,O,O,X
LTIJOSZ,O,O,X,X
LTIJOZS,X,O,X,X
LTISJZO,O,O,O,O
LTISJOZ,O,O,O,O
LTISZJO,O,O,O,O
LTISZOJ,O,O,O,O
LTISOJZ,O,O,O,O
LTISOZJ,O,O,O,O
LTIZJSO,O,O,O,X
LTIZJOS,O,O,O,X
LTIZSJO,O,O,O,X
LTIZSOJ,O,O,O,X
LTIZOJS,O,O,O,X
LTIZOSJ,O,O,O,X
LTIOJSZ,O,O,X,X
LTIOJZS,X,O,X,X
LTIOSJZ,O,O,X,X
LTIOSZJ,O,O,X,X
LTIOZJS,X,O,X,X
LTIOZSJ,X,O,X,X
LTJISZO,O,O,O,O
LTJISOZ,O,O,O,O
LTJIZSO,O,O,O,X
LTJIZOS,O,O,O,X
LTJIOSZ,O,O,X,X
LTJIOZS,X,O,X,X
LTJSIZO,O,O,O,O
LTJSIOZ,O,O,O,O
LTJSZIO,O,O,O,O
LTJSZOI,O,O,O,O
LTJSOIZ,O,O,O,O
LTJSOZI,O,O,O,O
LTJZISO,O,O,O,X
LTJZIOS,O,O,O,X
LTJZSIO,O,O,O,X
LTJZSOI,O,O,O,X
LTJZOIS,O,O,O,X
LTJZOSI,O,O,O,X
LTJOISZ,O,O,X,X
LTJOIZS,X,O,X,X
LTJOSIZ,O,O,X,X
LTJOSZI,O,O,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,O,O,O,O
LTSIJOZ,O,O,O,O
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,O,O,O
LTSIOZJ,O,O,O,O
LTSJIZO,O,O,O,O
LTSJIOZ,O,O,O,O
LTSJZIO,O,O,O,O
LTSJZOI,O,O,O,O
LTSJOIZ,O,O,O,O
LTSJOZI,O,O,O,O
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,O
LTSOIZJ,O,O,O,O
LTSOJIZ,O,O,O,O
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,O,O,X
LTZIJOS,O,O,O,X
LTZISJO,O,O,O,X
LTZISOJ,O,O,O,X
LTZIOJS,O,O,O,X
LTZIOSJ,O,O,O,X
LTZJISO,O,O,O,X
LTZJIOS,O,O,O,X
LTZJSIO,O,O,O,X
LTZJSOI,O,O,O,X
LTZJOIS,O,O,O,X
LTZJOSI,O,O,O,X
LTZSIJO,O,O,O,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,O,O,X
LTZSJOI,O,O,O,X
LTZSOIJ,O,O,O,X
LTZSOJI,O,O,O,X
LTZOIJS,O,O,O,X
LTZOISJ,O,O,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,O,X,X
LTOIJZS,X,O,X,X
LTOISJZ,O,O,X,X
LTOISZJ,O,O,X,X
LTOIZJS,X,O,X,X
LTOIZSJ,X,O,X,X
LTOJISZ,O,O,X,X
LTOJIZS,X,O,X,X
LTOJSIZ,O,O,X,X
LTOJSZI,O,O,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,O,O,X,X
LTOSIZJ,O,O,X,X
LTOSJIZ,O,O,X,X
LTOSJZI,O,O,X,X
LTOSZIJ,O,O,X,X
LTOSZJI,O,O,X,X
LTOZIJS,X,O,X,X
LTOZISJ,X,O,X,X
LTOZJIS,X,O,X,X
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,X,X
LTOZSJI,X,O,X,X
LITJSZO,O,O,O,O
LITJSOZ,O,O,O,O
LITJZSO,O,O,O,X
LITJZOS,O,O,O,X
LITJOSZ,O,O,X,X
LITJOZS,X,O,X,X
LITSJZO,O,O,O,O
LITSJOZ,O,O,O,O
LITSZJO,O,O,O,O
LITSZOJ,O,O,O,O
LITSOJZ,O,O,O,O
LITSOZJ,O,O,O,O
LITZJSO,O,O,O,X
LITZJOS,O,O,O,X
LITZSJO,O,O,O,X
LITZSOJ,O,O,O,X
LITZOJS,O,O,O,X
LITZOSJ,O,O,O,X
LITOJSZ,O,O,X,X
LITOJZS,X,O,X,X
LITOSJZ,O,O,X,X
LITOSZJ,O,O,X,X
LITOZJS,X,O,X,X
LITOZSJ,X,O,X,X
LIJTSZO,O,O,O,O
LIJTSOZ,O,O,O,O
LIJTZSO,O,O,O,X
LIJTZOS,O,O,O,X
LIJTOSZ,O,O,X,X
LIJTOZS,X,O,X,X
LIJSTZO,O,O,X,O
LIJSTOZ,O,O,X,O
LIJSZTO,O,O,X,O
LIJSZOT,O,O,X,X
LIJSOTZ,O,O,X,O
LIJSOZT,O,O,X,X
LIJZTSO,O,O,X,X
LIJZTOS,O,O,X,X
LIJZSTO,O,O,X,X
LIJZSOT,O,O,X,X
LIJZOTS,O,O,X,X
LIJZOST,O,O,X,X
LIJOTSZ,O,O,X,X
LIJOTZS,X,O,X,X
LIJOSTZ,O,O,X,X
LIJOSZT,O,O,X,X
LIJOZTS,O,O,X,X
LIJOZST,O,O,X,X
LISTJZO,O,O,X,O
LISTJOZ,O,O,X,O
LISTZJO,O,O,X,O
LISTZOJ,O,O,X,O
LISTOJZ,O,O,X,O
LISTOZJ,O,O,X,O
LISJTZO,O,O,X,O
LISJTOZ,O,O,X,O
LISJZTO,O,O,X,O
LISJZOT,O,O,X,X
LISJOTZ,O,O,X,O
LISJOZT,O,O,X,X
LISZTJO,O,O,X,O
LISZTOJ,O,O,X,O
LISZJTO,O,O,X,O
LISZJOT,O,O,X,X
LISZOTJ,O,O,X,X
LISZOJT,O,O,X,X
LISOTJZ,O,O,X,O
LISOTZJ,O,O,X,O
LISOJTZ,O,O,X,O
LISOJZT,O,O,X,X
LISOZTJ,O,O,X,X
LISOZJT,O,O,X,X
LIZTJSO,O,O,X,X
LIZTJOS,O,O,X,X
LIZTSJO,O,O,X,X
LIZTSOJ,O,O,X,X
LIZTOJS,O,O,X,X
LIZTOSJ,O,O,X,X
LIZJTSO,O,O,X,X
LIZJTOS,O,O,X,X
LIZJSTO,O,O,X,X
LIZJSOT,O,O,X,X
LIZJOTS,O,O,X,X
LIZJOST,O,O,X,X
LIZSTJO,O,O,X,X
LIZSTOJ,O,O,X,X
LIZSJTO,O,O,X,X
LIZSJOT,O,O,X,X
LIZSOTJ,O,O,X,X
LIZSOJT,O,O,X,X
LIZOTJS,O,O,X,X
LIZOTSJ,O,O,X,X
LIZOJTS,O,O,X,X
LIZOJST,O,O,X,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,O,O,X,X
LIOTJZS,X,O,X,X
LIOTSJZ,O,O,X,X
LIOTSZJ,O,O,X,X
LIOTZJS,X,O,X,X
LIOTZSJ,X,O,X,X
LIOJTSZ,O,O,X,X
LIOJTZS,X,O,X,X
LIOJSTZ,O,O,X,X
LIOJSZT,O,O,X,X
LIOJZTS,O,O,X,X
LIOJZST,O,O,X,X
LIOSTJZ,O,O,X,X
LIOSTZJ,O,O,X,X
LIOSJTZ,O,O,X,X
LIOSJZT,O,O,X,X
LIOSZTJ,O,O,X,X
LIOSZJT,O,O,X,X
LIOZTJS,O,O,X,X
LIOZTSJ,O,O,X,X
LIOZJTS,O,O,X,X
LIOZJST,O,O,X,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,X,X
LJTISZO,O,O,O,O
LJTISOZ,O,O,O,O
LJTIZSO,O,O,O,X
LJTIZOS,O,O,O,X
LJTIOSZ,O,O,X,X
LJTIOZS,X,O,X,X
LJTSIZO,O,O,O,O
LJTSIOZ,O,O,O,O
LJTSZIO,O,O,O,O
