sequence,v115@VhC8AeB8CeG8JeZEJvhFukB1lB0hB6nBTjBXqB
TILJSZO,X
TILJSOZ,X
TILJZSO,X
TILJZOS,O
TILJOSZ,X
TILJOZS,O
TILSJZO,O
TILSJOZ,O
TILSZJO,O
TILSZOJ,O
TILSOJZ,O
TILSOZJ,O
TILZJSO,X
TILZJOS,O
TILZSJO,O
TILZSOJ,O
TILZOJS,O
TILZOSJ,O
TILOJSZ,X
TILOJZS,O
TILOSJZ,O
TILOSZJ,O
TILOZJS,O
TILOZSJ,O
TIJLSZO,X
TIJLSOZ,X
TIJLZSO,X
TIJLZOS,O
TIJLOSZ,X
TIJLOZS,O
TIJSLZO,X
TIJSLOZ,X
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,X
TIJZLOS,O
TIJZSLO,X
TIJZSOL,X
TIJZOLS,O
TIJZOSL,X
TIJOLSZ,X
TIJOLZS,O
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,O
TIJOZSL,X
TISLJZO,O
TISLJOZ,O
TISLZJO,O
TISLZOJ,O
TISLOJZ,O
TISLOZJ,O
TISJLZO,O
TISJLOZ,O
TISJZLO,O
TISJZOL,O
TISJOLZ,O
TISJOZL,O
TISZLJO,O
TISZLOJ,O
TISZJLO,O
TISZJOL,O
TISZOLJ,O
TISZOJL,O
TISOLJZ,O
TISOLZJ,O
TISOJLZ,O
TISOJZL,O
TISOZLJ,O
TISOZJL,O
TIZLJSO,X
TIZLJOS,O
TIZLSJO,O
TIZLSOJ,O
TIZLOJS,O
TIZLOSJ,O
TIZJLSO,X
TIZJLOS,O
TIZJSLO,X
TIZJSOL,X
TIZJOLS,O
TIZJOSL,X
TIZSLJO,O
TIZSLOJ,O
TIZSJLO,O
TIZSJOL,O
TIZSOLJ,O
TIZSOJL,O
TIZOLJS,O
TIZOLSJ,O
TIZOJLS,O
TIZOJSL,X
TIZOSLJ,O
TIZOSJL,O
TIOLJSZ,X
TIOLJZS,O
TIOLSJZ,O
TIOLSZJ,O
TIOLZJS,O
TIOLZSJ,O
TIOJLSZ,X
TIOJLZS,O
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,O
TIOJZSL,X
TIOSLJZ,O
TIOSLZJ,O
TIOSJLZ,O
TIOSJZL,O
TIOSZLJ,O
TIOSZJL,O
TIOZLJS,O
TIOZLSJ,O
TIOZJLS,O
TIOZJSL,X
TIOZSLJ,O
TIOZSJL,O
TLIJSZO,X
TLIJSOZ,X
TLIJZSO,X
TLIJZOS,O
TLIJOSZ,X
TLIJOZS,O
TLISJZO,O
TLISJOZ,O
TLISZJO,O
TLISZOJ,O
TLISOJZ,O
TLISOZJ,O
TLIZJSO,X
TLIZJOS,O
TLIZSJO,O
TLIZSOJ,O
TLIZOJS,O
TLIZOSJ,O
TLIOJSZ,X
TLIOJZS,O
TLIOSJZ,O
TLIOSZJ,O
TLIOZJS,O
TLIOZSJ,O
TLJISZO,X
TLJISOZ,X
TLJIZSO,X
TLJIZOS,O
TLJIOSZ,X
TLJIOZS,O
TLJSIZO,X
TLJSIOZ,X
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,X
TLJZIOS,O
TLJZSIO,X
TLJZSOI,X
TLJZOIS,O
TLJZOSI,X
TLJOISZ,X
TLJOIZS,O
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,O
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,O
TLSIZJO,O
TLSIZOJ,O
TLSIOJZ,O
TLSIOZJ,O
TLSJIZO,O
TLSJIOZ,O
TLSJZIO,O
TLSJZOI,O
TLSJOIZ,O
TLSJOZI,O
TLSZIJO,O
TLSZIOJ,O
TLSZJIO,O
TLSZJOI,O
TLSZOIJ,O
TLSZOJI,O
TLSOIJZ,O
TLSOIZJ,O
TLSOJIZ,O
TLSOJZI,O
TLSOZIJ,O
TLSOZJI,O
TLZIJSO,X
TLZIJOS,O
TLZISJO,O
TLZISOJ,O
TLZIOJS,O
TLZIOSJ,O
TLZJISO,X
TLZJIOS,O
TLZJSIO,X
TLZJSOI,X
TLZJOIS,O
TLZJOSI,X
TLZSIJO,O
TLZSIOJ,O
TLZSJIO,O
TLZSJOI,O
TLZSOIJ,O
TLZSOJI,O
TLZOIJS,O
TLZOISJ,O
TLZOJIS,O
TLZOJSI,X
TLZOSIJ,O
TLZOSJI,O
TLOIJSZ,X
TLOIJZS,O
TLOISJZ,O
TLOISZJ,O
TLOIZJS,O
TLOIZSJ,O
TLOJISZ,X
TLOJIZS,O
TLOJSIZ,X
TLOJSZI,X
TLOJZIS,O
TLOJZSI,X
TLOSIJZ,O
TLOSIZJ,O
TLOSJIZ,O
TLOSJZI,O
TLOSZIJ,O
TLOSZJI,O
TLOZIJS,O
TLOZISJ,O
TLOZJIS,O
TLOZJSI,X
TLOZSIJ,O
TLOZSJI,O
TJILSZO,X
TJILSOZ,X
TJILZSO,X
TJILZOS,O
TJILOSZ,X
TJILOZS,O
TJISLZO,X
TJISLOZ,X
TJISZLO,X
TJISZOL,X
TJISOLZ,X
TJISOZL,X
TJIZLSO,X
TJIZLOS,O
TJIZSLO,X
TJIZSOL,X
TJIZOLS,O
TJIZOSL,X
TJIOLSZ,X
TJIOLZS,O
TJIOSLZ,X
TJIOSZL,X
TJIOZLS,O
TJIOZSL,X
TJLISZO,X
TJLISOZ,X
TJLIZSO,X
TJLIZOS,O
TJLIOSZ,X
TJLIOZS,O
TJLSIZO,X
TJLSIOZ,X
TJLSZIO,X
TJLSZOI,X
TJLSOIZ,X
TJLSOZI,X
TJLZISO,X
TJLZIOS,O
TJLZSIO,X
TJLZSOI,X
TJLZOIS,O
TJLZOSI,X
TJLOISZ,X
TJLOIZS,O
TJLOSIZ,X
TJLOSZI,X
TJLOZIS,O
TJLOZSI,X
TJSILZO,X
TJSILOZ,X
TJSIZLO,X
TJSIZOL,X
TJSIOLZ,X
TJSIOZL,X
TJSLIZO,X
TJSLIOZ,X
TJSLZIO,X
TJSLZOI,X
TJSLOIZ,X
TJSLOZI,X
TJSZILO,X
TJSZIOL,X
TJSZLIO,X
TJSZLOI,X
TJSZOIL,X
TJSZOLI,X
TJSOILZ,X
TJSOIZL,X
TJSOLIZ,X
TJSOLZI,X
TJSOZIL,X
TJSOZLI,X
TJZILSO,X
TJZILOS,O
TJZISLO,X
TJZISOL,X
TJZIOLS,O
TJZIOSL,X
TJZLISO,X
TJZLIOS,O
TJZLSIO,X
TJZLSOI,X
TJZLOIS,O
TJZLOSI,X
TJZSILO,X
TJZSIOL,X
TJZSLIO,X
TJZSLOI,X
TJZSOIL,X
TJZSOLI,X
TJZOILS,O
TJZOISL,X
TJZOLIS,O
TJZOLSI,X
TJZOSIL,X
TJZOSLI,X
TJOILSZ,X
TJOILZS,O
TJOISLZ,X
TJOISZL,X
TJOIZLS,O
TJOIZSL,X
TJOLISZ,X
TJOLIZS,O
TJOLSIZ,X
TJOLSZI,X
TJOLZIS,O
TJOLZSI,X
TJOSILZ,X
TJOSIZL,X
TJOSLIZ,X
TJOSLZI,X
TJOSZIL,X
TJOSZLI,X
TJOZILS,O
TJOZISL,X
TJOZLIS,O
TJOZLSI,X
TJOZSIL,X
TJOZSLI,X
TSILJZO,O
TSILJOZ,O
TSILZJO,O
TSILZOJ,O
TSILOJZ,O
TSILOZJ,O
TSIJLZO,O
TSIJLOZ,O
TSIJZLO,O
TSIJZOL,O
TSIJOLZ,O
TSIJOZL,O
TSIZLJO,O
TSIZLOJ,O
TSIZJLO,O
TSIZJOL,O
TSIZOLJ,O
TSIZOJL,O
TSIOLJZ,O
TSIOLZJ,O
TSIOJLZ,O
TSIOJZL,O
TSIOZLJ,O
TSIOZJL,O
TSLIJZO,O
TSLIJOZ,O
TSLIZJO,O
TSLIZOJ,O
TSLIOJZ,O
TSLIOZJ,O
TSLJIZO,O
TSLJIOZ,O
TSLJZIO,O
TSLJZOI,O
TSLJOIZ,O
TSLJOZI,O
TSLZIJO,O
TSLZIOJ,O
TSLZJIO,O
TSLZJOI,O
TSLZOIJ,O
TSLZOJI,O
TSLOIJZ,O
TSLOIZJ,O
TSLOJIZ,O
TSLOJZI,O
TSLOZIJ,O
TSLOZJI,O
