sequence,v115@JhB8HeB8DeA8BeE8BeB8JeZEJvhFukBFhB0iB6oB3m?BTsB
TILJSZO,O
TILJSOZ,X
TILJZSO,O
TILJZOS,X
TILJOSZ,X
TILJOZS,O
TILSJZO,O
TILSJOZ,X
TILSZJO,O
TILSZOJ,X
TILSOJZ,X
TILSOZJ,X
TILZJSO,O
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,X
TILOJZS,O
TILOSJZ,X
TILOSZJ,X
TILOZJS,O
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,X
TIJLZSO,O
TIJLZOS,X
TIJLOSZ,X
TIJLOZS,O
TIJSLZO,O
TIJSLOZ,X
TIJSZLO,O
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,O
TIJZLOS,X
TIJZSLO,X
TIJZSOL,X
TIJZOLS,X
TIJZOSL,X
TIJOLSZ,X
TIJOLZS,O
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,O
TIJOZSL,X
TISLJZO,O
TISLJOZ,X
TISLZJO,O
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,O
TISJLOZ,X
TISJZLO,O
TISJZOL,X
TISJOLZ,X
TISJOZL,X
TISZLJO,O
TISZLOJ,X
TISZJLO,O
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,O
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,O
TIZJLOS,X
TIZJSLO,X
TIZJSOL,X
TIZJOLS,X
TIZJOSL,X
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,X
TIZSOLJ,X
TIZSOJL,X
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,X
TIZOSLJ,X
TIZOSJL,X
TIOLJSZ,X
TIOLJZS,O
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,O
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,O
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,O
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,O
TIOZLSJ,X
TIOZJLS,O
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,O
TLIJSOZ,X
TLIJZSO,O
TLIJZOS,X
TLIJOSZ,X
TLIJOZS,O
TLISJZO,O
TLISJOZ,X
TLISZJO,O
TLISZOJ,X
TLISOJZ,X
TLISOZJ,X
TLIZJSO,O
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,X
TLIOJZS,O
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,O
TLIOZSJ,X
TLJISZO,O
TLJISOZ,X
TLJIZSO,O
TLJIZOS,X
TLJIOSZ,X
TLJIOZS,O
TLJSIZO,O
TLJSIOZ,X
TLJSZIO,O
TLJSZOI,X
TLJSOIZ,X
TLJSOZI,X
TLJZISO,O
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,X
TLJOIZS,O
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,O
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,X
TLSIZJO,O
TLSIZOJ,X
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,O
TLSJIOZ,X
TLSJZIO,O
TLSJZOI,X
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,O
TLSZIOJ,X
TLSZJIO,O
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,O
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,O
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,X
TLOIJZS,O
