sequence,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB
TLJIZSO,O,X,X,O,O,X
TLJIZOS,O,X,X,X,O,X
TLJIOSZ,X,X,O,O,X,O
TLJIOZS,O,X,X,O,O,O
TLJSIZO,O,O,O,O,O,X
TLJSIOZ,O,O,O,O,X,X
TLJSZIO,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,X
TLJSOIZ,O,O,O,O,X,X
TLJSOZI,O,O,O,O,X,X
TLJZISO,O,O,X,O,O,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,O,O,X,O,O,X
TLJZSOI,O,O,X,O,O,X
TLJZOIS,O,O,X,O,O,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,X,X,O,O,X,O
TLJOIZS,O,X,X,O,O,O
TLJOSIZ,X,O,O,O,X,X
TLJOSZI,X,O,O,O,X,X
TLJOZIS,O,O,X,O,O,X
TLJOZSI,O,O,X,O,O,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,X,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X
TLSOIZJ,O,O,O,O,X,X
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,X,X
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,O,X,O,O,X
TLZIJOS,O,O,X,X,O,X
TLZISJO,O,O,X,O,O,X
TLZISOJ,O,O,X,O,O,X
TLZIOJS,O,O,X,X,O,X
TLZIOSJ,O,O,X,X,O,X
TLZJISO,O,O,X,O,O,X
TLZJIOS,O,O,X,X,O,X
TLZJSIO,O,O,X,O,O,X
TLZJSOI,O,O,X,O,O,X
TLZJOIS,O,O,X,O,O,X
TLZJOSI,O,O,X,O,O,X
TLZSIJO,O,O,X,O,O,X
TLZSIOJ,O,O,X,O,O,X
TLZSJIO,O,O,X,O,O,X
TLZSJOI,O,O,X,O,O,X
TLZSOIJ,O,O,X,O,O,X
TLZSOJI,O,O,X,O,O,X
TLZOIJS,O,O,X,O,O,X
TLZOISJ,O,O,X,O,O,X
TLZOJIS,O,O,X,O,O,X
TLZOJSI,O,O,X,O,O,X
TLZOSIJ,O,O,X,O,O,X
TLZOSJI,O,O,X,O,O,X
TLOIJSZ,X,X,O,O,X,O
TLOIJZS,O,X,X,O,O,O
TLOISJZ,O,O,O,O,X,X
TLOISZJ,O,O,O,O,O,X
TLOIZJS,O,O,X,O,O,X
TLOIZSJ,O,O,X,O,O,X
TLOJISZ,X,X,O,O,X,O
TLOJIZS,O,X,X,O,O,O
TLOJSIZ,X,O,O,O,X,X
TLOJSZI,X,O,O,O,X,X
TLOJZIS,O,O,X,O,O,X
TLOJZSI,O,O,X,O,O,X
TLOSIJZ,O,O,O,O,X,X
TLOSIZJ,O,O,O,O,O,X
TLOSJIZ,O,O,O,O,X,X
TLOSJZI,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,O,X
TLOSZJI,O,O,O,O,O,X
TLOZIJS,O,O,X,O,O,X
TLOZISJ,O,O,X,O,O,X
TLOZJIS,O,O,X,O,O,X
TLOZJSI,O,O,X,O,O,X
TLOZSIJ,O,O,X,O,O,X
TLOZSJI,O,O,X,O,O,X
TJILSZO,X,X,O,O,O,X
TJILSOZ,X,X,O,O,X,X
TJILZSO,X,X,X,O,O,X
TJILZOS,X,X,X,X,O,X
TJILOSZ,X,X,O,O,O,O
TJILOZS,X,X,X,O,O,O
TJISLZO,X,X,O,O,O,X
TJISLOZ,X,X,O,O,X,X
TJISZLO,X,X,O,O,O,X
TJISZOL,X,X,O,O,O,X
TJISOLZ,X,X,O,O,O,X
TJISOZL,X,X,O,O,O,X
TJIZLSO,X,X,X,X,O,X
TJIZLOS,X,X,X,X,O,X
TJIZSLO,X,X,O,X,O,X
TJIZSOL,X,X,O,X,O,X
TJIZOLS,X,X,X,X,O,X
TJIZOSL,X,X,O,X,O,X
TJIOLSZ,X,X,O,O,O,O
TJIOLZS,X,X,X,X,O,O
TJIOSLZ,X,X,O,O,O,X
TJIOSZL,X,X,O,O,O,X
TJIOZLS,X,X,X,X,O,X
TJIOZSL,X,X,O,O,O,X
TJLISZO,O,X,O,O,O,X
TJLISOZ,O,X,O,O,X,X
TJLIZSO,O,X,X,O,O,X
TJLIZOS,O,X,X,X,O,X
TJLIOSZ,X,X,O,O,O,O
TJLIOZS,O,X,X,O,O,O
TJLSIZO,O,O,O,O,O,X
TJLSIOZ,O,O,O,O,X,X
TJLSZIO,O,O,O,O,O,X
TJLSZOI,O,O,O,O,O,X
TJLSOIZ,O,O,O,O,X,X
TJLSOZI,O,O,O,O,X,X
TJLZISO,O,O,X,O,O,X
TJLZIOS,O,O,X,X,O,X
TJLZSIO,O,O,X,O,O,X
TJLZSOI,O,O,X,O,O,X
TJLZOIS,O,O,X,O,O,X
TJLZOSI,O,O,X,O,O,X
TJLOISZ,X,X,O,O,O,O
TJLOIZS,O,X,X,O,O,O
TJLOSIZ,X,O,O,O,O,X
TJLOSZI,X,O,O,O,O,X
TJLOZIS,O,O,X,O,O,X
TJLOZSI,O,O,X,O,O,X
TJSILZO,O,O,O,O,O,X
TJSILOZ,O,O,O,O,X,X
TJSIZLO,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,X
TJSIOLZ,O,X,O,O,O,X
TJSIOZL,O,O,O,O,O,X
TJSLIZO,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,X,X
TJSLZIO,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,X,X
TJSLOZI,O,O,O,O,X,X
TJSZILO,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,X,O,O,O,X
TJSOIZL,O,O,O,O,O,X
TJSOLIZ,O,O,O,O,O,X
TJSOLZI,O,O,O,O,O,X
TJSOZIL,O,O,O,O,O,X
TJSOZLI,O,O,O,O,O,X
TJZILSO,O,O,X,X,O,X
TJZILOS,O,O,X,X,O,X
TJZISLO,O,O,O,X,O,X
TJZISOL,O,O,O,X,O,X
TJZIOLS,O,O,X,X,O,X
TJZIOSL,X,O,O,X,O,X
TJZLISO,O,O,X,O,O,X
TJZLIOS,O,O,X,X,O,X
TJZLSIO,O,O,X,O,O,X
TJZLSOI,O,O,X,O,O,X
TJZLOIS,O,O,X,O,O,X
TJZLOSI,O,O,X,O,O,X
TJZSILO,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,X
TJZSLIO,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,O,X,X,O,X
TJZOISL,X,O,O,O,O,X
