sequence,v115@RhB8AeC8DeG8MeT/IvhFOlBXhBVnBaoB5oB0sB
TILJSZO,X
TILJSOZ,O
TILJZSO,X
TILJZOS,X
TILJOSZ,O
TILJOZS,X
TILSJZO,X
TILSJOZ,O
TILSZJO,X
TILSZOJ,X
TILSOJZ,O
TILSOZJ,X
TILZJSO,X
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,O
TILOJZS,X
TILOSJZ,O
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,X
TIJLSOZ,O
TIJLZSO,X
TIJLZOS,X
TIJLOSZ,O
TIJLOZS,X
TIJSLZO,X
TIJSLOZ,O
TIJSZLO,O
TIJSZOL,O
TIJSOLZ,O
TIJSOZL,O
TIJZLSO,O
TIJZLOS,O
TIJZSLO,O
TIJZSOL,O
TIJZOLS,O
TIJZOSL,O
TIJOLSZ,O
TIJOLZS,X
TIJOSLZ,O
TIJOSZL,O
TIJOZLS,O
TIJOZSL,O
TISLJZO,X
TISLJOZ,O
TISLZJO,X
TISLZOJ,X
TISLOJZ,O
TISLOZJ,X
TISJLZO,X
TISJLOZ,O
TISJZLO,O
TISJZOL,O
TISJOLZ,O
TISJOZL,O
TISZLJO,O
TISZLOJ,O
TISZJLO,O
TISZJOL,O
TISZOLJ,O
TISZOJL,O
TISOLJZ,O
TISOLZJ,X
TISOJLZ,O
TISOJZL,O
TISOZLJ,O
TISOZJL,O
TIZLJSO,O
TIZLJOS,O
TIZLSJO,O
TIZLSOJ,O
TIZLOJS,O
TIZLOSJ,O
TIZJLSO,O
TIZJLOS,O
TIZJSLO,O
TIZJSOL,O
TIZJOLS,O
TIZJOSL,O
TIZSLJO,O
TIZSLOJ,O
TIZSJLO,O
TIZSJOL,O
TIZSOLJ,O
TIZSOJL,O
TIZOLJS,O
TIZOLSJ,O
TIZOJLS,O
TIZOJSL,O
TIZOSLJ,O
TIZOSJL,O
TIOLJSZ,O
TIOLJZS,X
TIOLSJZ,O
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,O
TIOJLZS,X
TIOJSLZ,O
TIOJSZL,O
TIOJZLS,O
TIOJZSL,O
TIOSLJZ,O
TIOSLZJ,X
TIOSJLZ,O
TIOSJZL,O
TIOSZLJ,O
TIOSZJL,O
TIOZLJS,O
TIOZLSJ,O
TIOZJLS,O
TIOZJSL,O
TIOZSLJ,O
TIOZSJL,O
TLIJSZO,X
TLIJSOZ,O
TLIJZSO,X
TLIJZOS,X
TLIJOSZ,O
TLIJOZS,X
TLISJZO,X
TLISJOZ,O
TLISZJO,X
TLISZOJ,X
TLISOJZ,O
TLISOZJ,X
TLIZJSO,X
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,O
TLIOJZS,X
TLIOSJZ,O
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,X
TLJISOZ,O
TLJIZSO,X
TLJIZOS,X
TLJIOSZ,O
TLJIOZS,X
TLJSIZO,X
TLJSIOZ,O
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,O
TLJSOZI,X
TLJZISO,X
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,O
TLJOIZS,X
TLJOSIZ,O
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,X
TLSIJOZ,O
TLSIZJO,X
TLSIZOJ,X
TLSIOJZ,O
TLSIOZJ,X
TLSJIZO,X
TLSJIOZ,O
TLSJZIO,X
TLSJZOI,X
TLSJOIZ,O
TLSJOZI,X
TLSZIJO,X
TLSZIOJ,X
TLSZJIO,X
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,O
TLSOIZJ,X
TLSOJIZ,O
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,X
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,X
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,O
TLOIJZS,X
TLOISJZ,O
TLOISZJ,X
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,O
TLOJIZS,X
TLOJSIZ,O
TLOJSZI,X
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,O
TLOSIZJ,X
TLOSJIZ,O
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,X
TJILSOZ,O
TJILZSO,X
TJILZOS,X
TJILOSZ,O
TJILOZS,X
TJISLZO,X
TJISLOZ,O
TJISZLO,O
TJISZOL,O
TJISOLZ,O
TJISOZL,O
TJIZLSO,O
TJIZLOS,O
TJIZSLO,O
TJIZSOL,O
TJIZOLS,O
TJIZOSL,O
TJIOLSZ,O
TJIOLZS,X
TJIOSLZ,O
TJIOSZL,O
TJIOZLS,O
TJIOZSL,O
TJLISZO,X
TJLISOZ,O
TJLIZSO,X
TJLIZOS,X
TJLIOSZ,O
TJLIOZS,X
TJLSIZO,X
TJLSIOZ,O
TJLSZIO,X
TJLSZOI,X
TJLSOIZ,O
TJLSOZI,X
TJLZISO,X
TJLZIOS,X
TJLZSIO,X
TJLZSOI,X
TJLZOIS,X
TJLZOSI,X
TJLOISZ,O
TJLOIZS,X
TJLOSIZ,O
TJLOSZI,X
TJLOZIS,X
TJLOZSI,X
TJSILZO,X
TJSILOZ,O
TJSIZLO,O
TJSIZOL,O
TJSIOLZ,O
TJSIOZL,O
TJSLIZO,X
TJSLIOZ,O
TJSLZIO,X
TJSLZOI,X
TJSLOIZ,O
TJSLOZI,X
TJSZILO,O
TJSZIOL,O
TJSZLIO,O
TJSZLOI,O
TJSZOIL,O
TJSZOLI,O
TJSOILZ,O
TJSOIZL,O
TJSOLIZ,O
TJSOLZI,X
TJSOZIL,O
TJSOZLI,O
TJZILSO,O
TJZILOS,O
TJZISLO,O
TJZISOL,O
TJZIOLS,O
TJZIOSL,O
TJZLISO,O
TJZLIOS,O
TJZLSIO,O
TJZLSOI,O
TJZLOIS,O
TJZLOSI,O
TJZSILO,O
TJZSIOL,O
TJZSLIO,O
TJZSLOI,O
TJZSOIL,O
TJZSOLI,O
TJZOILS,O
TJZOISL,O
TJZOLIS,O
TJZOLSI,O
TJZOSIL,O
TJZOSLI,O
TJOILSZ,O
TJOILZS,X
TJOISLZ,O
TJOISZL,O
TJOIZLS,O
TJOIZSL,O
TJOLISZ,O
TJOLIZS,X
TJOLSIZ,O
TJOLSZI,X
TJOLZIS,X
TJOLZSI,X
TJOSILZ,O
TJOSIZL,O
TJOSLIZ,O
TJOSLZI,X
TJOSZIL,O
TJOSZLI,O
TJOZILS,O
TJOZISL,O
TJOZLIS,O
TJOZLSI,O
TJOZSIL,O
TJOZSLI,O
TSILJZO,X
TSILJOZ,O
TSILZJO,X
