sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
TOJILSZ,X,X,X,X,X,O
TOJILZS,X,X,X,X,X,O
TOJISLZ,O,X,X,O,X,O
TOJISZL,O,X,O,O,X,O
TOJIZLS,X,X,O,X,X,O
TOJIZSL,X,X,O,O,X,O
TOJLISZ,X,X,X,X,X,O
TOJLIZS,X,X,X,X,X,O
TOJLSIZ,X,X,X,X,X,O
TOJLSZI,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,O
TOJLZSI,X,X,X,X,X,X
TOJSILZ,O,X,X,O,X,O
TOJSIZL,O,X,O,O,X,O
TOJSLIZ,O,X,X,O,X,O
TOJSLZI,X,X,X,O,X,X
TOJSZIL,O,X,O,O,X,X
TOJSZLI,X,X,O,O,X,X
TOJZILS,X,X,O,X,X,O
TOJZISL,X,X,O,O,X,O
TOJZLIS,X,X,O,X,X,O
TOJZLSI,X,X,O,X,X,X
TOJZSIL,X,X,O,O,X,X
TOJZSLI,X,X,O,O,X,X
TOSILJZ,O,X,X,O,X,O
TOSILZJ,X,O,X,O,X,X
TOSIJLZ,O,X,X,O,X,O
TOSIJZL,O,X,O,O,X,O
TOSIZLJ,O,O,O,O,X,X
TOSIZJL,O,X,O,O,X,X
TOSLIJZ,O,X,X,O,X,O
TOSLIZJ,X,O,X,O,X,X
TOSLJIZ,O,X,X,O,X,O
TOSLJZI,X,X,X,O,X,X
TOSLZIJ,X,O,X,O,X,X
TOSLZJI,X,O,X,O,X,X
TOSJILZ,O,X,X,O,X,O
TOSJIZL,O,X,O,O,X,O
TOSJLIZ,O,X,X,O,X,O
TOSJLZI,X,X,X,O,X,X
TOSJZIL,O,X,O,O,X,X
TOSJZLI,O,X,O,O,X,X
TOSZILJ,O,O,O,O,X,X
TOSZIJL,O,X,O,O,X,X
TOSZLIJ,O,O,O,O,X,X
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,X,O,O,X,X
TOSZJLI,O,X,O,O,X,X
TOZILJS,X,O,O,X,X,O
TOZILSJ,X,O,O,O,X,X
TOZIJLS,X,O,O,X,X,O
TOZIJSL,O,X,O,O,X,O
TOZISLJ,O,O,O,O,X,X
TOZISJL,O,X,O,O,X,X
TOZLIJS,X,O,O,X,X,O
TOZLISJ,X,O,O,O,X,X
TOZLJIS,X,O,O,X,X,O
TOZLJSI,X,O,O,X,X,X
TOZLSIJ,X,O,O,O,X,X
TOZLSJI,X,O,O,O,X,X
TOZJILS,X,O,O,X,X,O
TOZJISL,O,X,O,O,X,O
TOZJLIS,X,O,O,X,X,O
TOZJLSI,X,O,O,X,X,X
TOZJSIL,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,X
TOZSILJ,O,O,O,O,X,X
TOZSIJL,O,X,O,O,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,X,O,O,X,X
TOZSJLI,O,X,O,O,X,X
ITLJSZO,X,X,X,X,X,O
ITLJSOZ,X,X,X,X,X,O
ITLJZSO,X,X,X,X,X,O
ITLJZOS,X,X,X,X,X,O
ITLJOSZ,X,X,X,X,X,O
ITLJOZS,X,X,X,X,X,O
ITLSJZO,X,X,X,O,X,O
ITLSJOZ,O,X,X,O,X,O
ITLSZJO,X,O,X,O,X,X
ITLSZOJ,X,O,X,O,X,X
ITLSOJZ,O,X,X,O,X,O
ITLSOZJ,X,O,X,O,X,X
ITLZJSO,O,O,X,X,X,O
ITLZJOS,X,O,X,X,X,O
ITLZSJO,O,O,X,O,X,X
ITLZSOJ,O,O,X,O,X,X
ITLZOJS,X,O,X,X,X,O
ITLZOSJ,X,O,X,O,X,X
ITLOJSZ,X,X,X,X,X,O
ITLOJZS,X,X,X,X,X,O
ITLOSJZ,O,X,X,O,X,O
ITLOSZJ,X,O,X,O,X,X
ITLOZJS,X,O,X,X,X,O
ITLOZSJ,X,O,X,O,X,X
ITJLSZO,X,X,X,X,X,O
ITJLSOZ,X,X,X,X,X,O
ITJLZSO,X,X,X,X,X,O
ITJLZOS,X,X,X,X,X,O
ITJLOSZ,X,X,X,X,X,O
ITJLOZS,X,X,X,X,X,O
ITJSLZO,X,X,X,O,O,O
ITJSLOZ,O,X,X,O,X,O
ITJSZLO,X,X,O,O,O,O
ITJSZOL,O,X,O,O,O,O
ITJSOLZ,O,X,X,O,X,O
ITJSOZL,O,X,X,O,X,O
ITJZLSO,O,X,O,X,X,O
ITJZLOS,X,X,X,X,X,O
ITJZSLO,O,X,O,O,O,O
ITJZSOL,O,X,O,O,O,O
ITJZOLS,X,X,O,X,X,O
ITJZOSL,O,X,O,O,O,O
ITJOLSZ,X,X,X,X,X,O
ITJOLZS,X,X,X,X,X,O
ITJOSLZ,O,X,X,O,X,O
ITJOSZL,O,X,O,O,X,O
ITJOZLS,X,X,O,X,X,O
ITJOZSL,X,X,O,O,X,O
ITSLJZO,X,X,X,O,O,O
ITSLJOZ,O,X,X,O,X,O
ITSLZJO,X,O,X,O,X,X
ITSLZOJ,X,O,X,O,X,X
ITSLOJZ,O,X,X,O,X,O
ITSLOZJ,X,O,X,O,X,X
ITSJLZO,X,X,X,O,O,O
ITSJLOZ,O,X,X,O,X,O
ITSJZLO,O,X,O,O,O,O
ITSJZOL,O,X,O,O,O,O
ITSJOLZ,O,X,X,O,X,O
ITSJOZL,O,X,X,O,X,O
ITSZLJO,O,O,O,O,O,X
ITSZLOJ,O,O,X,O,O,X
ITSZJLO,O,X,O,O,O,X
ITSZJOL,O,X,O,O,O,X
ITSZOLJ,O,O,X,O,O,X
ITSZOJL,O,X,O,O,O,X
ITSOLJZ,O,X,X,O,X,O
ITSOLZJ,X,O,X,O,X,X
ITSOJLZ,O,X,X,O,X,O
ITSOJZL,O,X,X,O,X,O
ITSOZLJ,O,O,X,O,X,X
ITSOZJL,O,X,X,O,X,X
ITZLJSO,O,O,O,X,X,O
ITZLJOS,X,O,X,X,X,O
ITZLSJO,O,O,O,O,X,X
ITZLSOJ,O,O,X,O,X,X
ITZLOJS,X,O,X,X,X,O
ITZLOSJ,X,O,X,O,X,X
ITZJLSO,O,O,O,X,X,O
ITZJLOS,X,O,X,X,X,O
ITZJSLO,O,X,O,O,O,O
ITZJSOL,O,X,O,O,O,O
ITZJOLS,X,O,O,X,X,O
ITZJOSL,O,X,O,O,O,O
ITZSLJO,O,O,O,O,O,X
ITZSLOJ,O,O,X,O,O,X
ITZSJLO,O,X,O,O,O,X
ITZSJOL,O,X,O,O,O,X
ITZSOLJ,O,O,X,O,O,X
ITZSOJL,O,X,O,O,O,X
ITZOLJS,X,O,O,X,X,O
ITZOLSJ,X,O,O,O,X,X
ITZOJLS,X,O,O,X,X,O
ITZOJSL,O,X,O,O,O,O
ITZOSLJ,O,O,O,O,O,X
ITZOSJL,O,X,O,O,O,X
ITOLJSZ,X,X,X,X,X,O
ITOLJZS,X,X,X,X,X,O
ITOLSJZ,O,X,X,O,X,O
ITOLSZJ,X,O,X,O,X,X
ITOLZJS,X,O,X,X,X,O
ITOLZSJ,X,O,X,O,X,X
ITOJLSZ,X,X,X,X,X,O
ITOJLZS,X,X,X,X,X,O
ITOJSLZ,O,X,X,O,X,O
ITOJSZL,O,X,O,O,X,O
ITOJZLS,X,X,O,X,X,O
ITOJZSL,X,X,O,O,X,O
ITOSLJZ,O,X,X,O,X,O
ITOSLZJ,X,O,X,O,X,X
ITOSJLZ,O,X,X,O,X,O
ITOSJZL,O,X,O,O,X,O
ITOSZLJ,O,O,O,O,X,X
ITOSZJL,O,X,O,O,X,X
ITOZLJS,X,O,O,X,X,O
ITOZLSJ,X,O,O,O,X,X
ITOZJLS,X,O,O,X,X,O
ITOZJSL,O,X,O,O,X,O
ITOZSLJ,O,O,O,O,X,X
ITOZSJL,O,X,O,O,X,X
ILTJSZO,X,X,X,X,X,O
ILTJSOZ,X,X,X,X,X,O
ILTJZSO,X,X,X,X,X,O
ILTJZOS,X,X,X,X,X,O
ILTJOSZ,X,X,X,X,X,O
ILTJOZS,X,X,X,X,X,O
ILTSJZO,X,X,X,O,X,O
ILTSJOZ,O,X,X,O,X,O
ILTSZJO,X,O,X,O,X,X
ILTSZOJ,X,O,X,O,X,X
ILTSOJZ,O,X,X,O,X,O
ILTSOZJ,X,O,X,O,X,X
ILTZJSO,O,O,X,X,X,O
ILTZJOS,X,O,X,X,X,O
ILTZSJO,O,O,X,O,X,X
ILTZSOJ,O,O,X,O,X,X
ILTZOJS,X,O,X,X,X,O
ILTZOSJ,X,O,X,O,X,X
ILTOJSZ,X,X,X,X,X,O
ILTOJZS,X,X,X,X,X,O
ILTOSJZ,O,X,X,O,X,O
ILTOSZJ,X,O,X,O,X,X
ILTOZJS,X,O,X,X,X,O
ILTOZSJ,X,O,X,O,X,X
ILJTSZO,X,X,X,X,X,O
ILJTSOZ,X,X,X,X,X,O
ILJTZSO,X,X,X,X,X,O
ILJTZOS,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,O
ILJTOZS,X,X,X,X,X,O
ILJSTZO,X,X,X,X,O,O
ILJSTOZ,X,X,X,X,X,O
ILJSZTO,X,O,O,X,O,X
ILJSZOT,X,O,X,X,O,X
ILJSOTZ,X,X,X,X,X,O
ILJSOZT,X,O,X,X,O,X
ILJZTSO,X,O,O,X,X,O
ILJZTOS,X,O,X,X,X,O
ILJZSTO,X,O,O,X,O,X
ILJZSOT,X,O,X,X,O,X
ILJZOTS,X,O,O,X,X,O
ILJZOST,X,O,O,X,O,X
ILJOTSZ,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,O
ILJOSTZ,X,X,X,X,X,O
ILJOSZT,X,O,O,X,X,X
ILJOZTS,X,O,O,X,X,O
ILJOZST,X,O,O,X,X,X
ILSTJZO,X,X,X,O,O,O
ILSTJOZ,O,X,X,O,X,O
ILSTZJO,X,O,X,O,X,X
ILSTZOJ,X,O,X,O,X,X
ILSTOJZ,O,X,X,O,X,O
ILSTOZJ,X,O,X,O,X,X
ILSJTZO,X,X,X,O,O,O
ILSJTOZ,O,X,X,O,X,O
ILSJZTO,O,O,O,O,O,X
ILSJZOT,O,O,X,X,O,X
ILSJOTZ,O,X,X,X,X,O
ILSJOZT,O,O,X,X,O,X
ILSZTJO,O,O,O,O,O,X
ILSZTOJ,O,O,X,O,O,X
ILSZJTO,O,O,O,O,O,X
ILSZJOT,O,O,X,X,O,X
ILSZOTJ,O,O,X,O,O,X
ILSZOJT,O,O,X,X,O,X
ILSOTJZ,O,X,X,O,X,O
ILSOTZJ,X,O,X,O,X,X
ILSOJTZ,O,X,X,X,X,O
ILSOJZT,O,O,X,X,O,X
ILSOZTJ,O,O,X,O,X,X
ILSOZJT,O,O,X,X,X,X
ILZTJSO,O,O,O,X,X,O
ILZTJOS,X,O,X,X,X,O
ILZTSJO,O,O,O,O,X,X
ILZTSOJ,O,O,X,O,X,X
ILZTOJS,X,O,X,X,X,O
ILZTOSJ,X,O,X,O,X,X
ILZJTSO,O,O,O,X,X,O
ILZJTOS,X,O,X,X,X,O
ILZJSTO,O,O,O,X,O,X
ILZJSOT,O,O,X,X,O,X
ILZJOTS,X,O,O,X,X,O
ILZJOST,X,O,O,X,O,X
ILZSTJO,O,O,O,O,O,X
ILZSTOJ,O,O,X,O,O,X
ILZSJTO,O,O,O,O,O,X
ILZSJOT,O,O,X,X,O,X
ILZSOTJ,O,O,X,O,O,X
ILZSOJT,O,O,X,X,O,X
ILZOTJS,X,O,O,X,X,O
ILZOTSJ,X,O,O,X,X,X
ILZOJTS,X,O,O,X,X,O
ILZOJST,X,O,O,X,O,X
ILZOSTJ,X,O,O,X,O,X
ILZOSJT,X,O,O,X,O,X
ILOTJSZ,X,X,X,X,X,O
ILOTJZS,X,X,X,X,X,O
ILOTSJZ,O,X,X,X,X,O
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,X,O,X,X,X,O
ILOTZSJ,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,O
ILOJTZS,X,X,X,X,X,O
ILOJSTZ,X,X,X,X,X,O
ILOJSZT,X,O,O,X,X,X
ILOJZTS,X,O,O,X,X,O
ILOJZST,X,O,O,X,X,X
ILOSTJZ,O,X,X,X,X,O
ILOSTZJ,X,O,X,X,X,X
ILOSJTZ,O,X,X,X,X,O
ILOSJZT,O,O,O,X,X,X
ILOSZTJ,O,O,O,X,X,X
ILOSZJT,O,O,O,X,X,X
ILOZTJS,X,O,O,X,X,O
ILOZTSJ,X,O,O,X,X,X
ILOZJTS,X,O,O,X,X,O
ILOZJST,X,O,O,X,X,X
ILOZSTJ,X,O,O,X,X,X
ILOZSJT,X,O,O,X,X,X
IJTLSZO,X,X,X,X,X,O
IJTLSOZ,X,X,X,X,X,O
IJTLZSO,X,X,X,X,X,O
IJTLZOS,X,X,X,X,X,O
IJTLOSZ,X,X,X,X,X,O
IJTLOZS,X,X,X,X,X,O
IJTSLZO,X,X,X,O,O,O
IJTSLOZ,O,X,X,O,X,O
IJTSZLO,X,X,O,O,O,O
IJTSZOL,O,X,O,O,O,O
IJTSOLZ,O,X,X,O,X,O
IJTSOZL,O,X,X,O,X,O
IJTZLSO,O,X,O,X,X,O
IJTZLOS,X,X,X,X,X,O
IJTZSLO,O,X,O,O,O,O
IJTZSOL,O,X,O,O,O,O
IJTZOLS,X,X,O,X,X,O
IJTZOSL,O,X,O,O,O,O
IJTOLSZ,X,X,X,X,X,O
IJTOLZS,X,X,X,X,X,O
IJTOSLZ,O,X,X,O,X,O
IJTOSZL,O,X,O,O,X,O
IJTOZLS,X,X,O,X,X,O
IJTOZSL,X,X,O,O,X,O
IJLTSZO,X,X,X,X,X,O
IJLTSOZ,X,X,X,X,X,O
IJLTZSO,X,X,X,X,X,O
IJLTZOS,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,O
IJLSTZO,X,X,X,X,O,O
IJLSTOZ,X,X,X,X,X,O
IJLSZTO,X,O,O,X,O,X
IJLSZOT,X,O,X,X,O,X
IJLSOTZ,X,X,X,X,X,O
IJLSOZT,X,O,X,X,O,X
IJLZTSO,X,O,O,X,X,O
IJLZTOS,X,O,X,X,X,O
IJLZSTO,X,O,O,X,O,X
IJLZSOT,X,O,X,X,O,X
IJLZOTS,X,O,O,X,X,O
IJLZOST,X,O,O,X,O,X
IJLOTSZ,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,O
IJLOSTZ,X,X,X,X,X,O
IJLOSZT,X,O,O,X,X,X
IJLOZTS,X,O,O,X,X,O
IJLOZST,X,O,O,X,X,X
IJSTLZO,X,X,X,O,O,O
IJSTLOZ,O,X,X,O,X,O
IJSTZLO,O,X,O,O,O,O
IJSTZOL,O,X,O,O,O,O
IJSTOLZ,O,X,X,O,X,O
IJSTOZL,O,X,X,O,X,O
IJSLTZO,X,X,X,O,O,O
IJSLTOZ,O,X,X,O,X,O
IJSLZTO,O,O,O,O,O,X
IJSLZOT,O,O,X,X,O,X
IJSLOTZ,O,X,X,X,X,O
IJSLOZT,O,O,X,X,O,X
IJSZTLO,O,X,O,O,O,X
IJSZTOL,O,X,O,O,O,X
IJSZLTO,O,O,O,O,O,X
IJSZLOT,O,O,X,X,O,X
IJSZOTL,O,X,O,X,O,X
IJSZOLT,O,O,O,X,O,X
IJSOTLZ,O,X,X,X,X,O
IJSOTZL,O,X,O,X,X,O
IJSOLTZ,O,X,X,X,X,O
IJSOLZT,O,O,O,X,O,X
IJSOZTL,O,X,O,X,O,X
IJSOZLT,O,O,O,X,O,X
IJZTLSO,O,O,O,X,X,O
IJZTLOS,X,O,X,X,X,O
IJZTSLO,O,X,O,O,O,O
IJZTSOL,O,X,O,O,O,O
IJZTOLS,X,O,O,X,X,O
IJZTOSL,O,X,O,O,O,O
IJZLTSO,O,O,O,X,X,O
IJZLTOS,X,O,X,X,X,O
IJZLSTO,O,O,O,X,O,X
IJZLSOT,O,O,X,X,O,X
IJZLOTS,X,O,O,X,X,O
IJZLOST,X,O,O,X,O,X
IJZSTLO,O,X,O,O,O,X
IJZSTOL,O,X,O,O,O,X
IJZSLTO,O,O,O,O,O,X
IJZSLOT,O,O,X,X,O,X
IJZSOTL,O,X,O,X,O,X
IJZSOLT,O,O,O,X,O,X
IJZOTLS,X,O,O,X,X,O
IJZOTSL,O,X,O,X,O,O
IJZOLTS,X,O,O,X,X,O
IJZOLST,X,O,O,X,O,X
IJZOSTL,O,X,O,X,O,X
IJZOSLT,O,O,O,X,O,X
IJOTLSZ,X,X,X,X,X,O
IJOTLZS,X,X,X,X,X,O
IJOTSLZ,O,X,X,X,X,O
IJOTSZL,O,X,O,X,X,O
IJOTZLS,X,X,O,X,X,O
IJOTZSL,X,X,O,X,X,O
IJOLTSZ,X,X,X,X,X,O
IJOLTZS,X,X,X,X,X,O
IJOLSTZ,X,X,X,X,X,O
IJOLSZT,X,O,O,X,X,X
IJOLZTS,X,O,O,X,X,O
IJOLZST,X,O,O,X,X,X
IJOSTLZ,O,X,X,X,X,O
IJOSTZL,O,X,O,X,X,O
IJOSLTZ,O,X,X,X,X,O
IJOSLZT,O,O,O,X,O,X
IJOSZTL,O,X,O,X,O,X
IJOSZLT,O,O,O,X,O,X
IJOZTLS,X,O,O,X,X,O
IJOZTSL,X,X,O,X,O,O
IJOZLTS,X,O,O,X,X,O
IJOZLST,X,O,O,X,O,X
IJOZSTL,X,X,O,X,O,X
IJOZSLT,X,O,O,X,O,X
ISTLJZO,X,X,X,O,O,O
ISTLJOZ,O,X,X,O,X,O
ISTLZJO,X,O,X,O,X,X
ISTLZOJ,X,O,X,O,X,X
ISTLOJZ,O,X,X,O,X,O
ISTLOZJ,X,O,X,O,X,X
ISTJLZO,X,X,X,O,O,O
ISTJLOZ,O,X,X,O,X,O
ISTJZLO,O,X,O,O,O,O
ISTJZOL,O,X,O,O,O,O
ISTJOLZ,O,X,X,O,X,O
ISTJOZL,O,X,X,O,X,O
ISTZLJO,O,O,O,O,O,X
ISTZLOJ,O,O,X,O,O,X
ISTZJLO,O,X,O,O,O,X
ISTZJOL,O,X,O,O,O,X
ISTZOLJ,O,O,X,O,O,X
ISTZOJL,O,X,O,O,O,X
ISTOLJZ,O,X,X,O,X,O
ISTOLZJ,X,O,X,O,X,X
ISTOJLZ,O,X,X,O,X,O
ISTOJZL,O,X,X,O,X,O
ISTOZLJ,O,O,X,O,X,X
ISTOZJL,O,X,X,O,X,X
ISLTJZO,X,X,X,O,O,O
ISLTJOZ,O,X,X,O,X,O
ISLTZJO,X,O,X,O,X,X
ISLTZOJ,X,O,X,O,X,X
ISLTOJZ,O,X,X,O,X,O
ISLTOZJ,X,O,X,O,X,X
ISLJTZO,X,X,X,O,O,O
ISLJTOZ,O,X,X,O,X,O
ISLJZTO,O,O,O,O,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,O,X,X,X,X,O
ISLJOZT,O,O,X,X,O,X
ISLZTJO,O,O,O,O,O,X
ISLZTOJ,O,O,X,O,O,X
ISLZJTO,O,O,O,O,O,X
ISLZJOT,O,O,X,X,O,X
ISLZOTJ,O,O,X,O,O,X
ISLZOJT,O,O,X,X,O,X
ISLOTJZ,O,X,X,O,X,O
ISLOTZJ,X,O,X,O,X,X
ISLOJTZ,O,X,X,X,X,O
ISLOJZT,O,O,X,X,O,X
ISLOZTJ,O,O,X,O,X,X
ISLOZJT,O,O,X,X,X,X
ISJTLZO,X,X,X,O,O,O
ISJTLOZ,O,X,X,O,X,O
ISJTZLO,O,X,O,O,O,O
ISJTZOL,O,X,O,O,O,O
ISJTOLZ,O,X,X,O,X,O
ISJTOZL,O,X,X,O,X,O
ISJLTZO,X,X,X,O,O,O
ISJLTOZ,O,X,X,O,X,O
ISJLZTO,O,O,O,O,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,O,X,X,X,X,O
ISJLOZT,O,O,X,X,O,X
ISJZTLO,O,X,O,O,O,X
ISJZTOL,O,X,O,O,O,X
ISJZLTO,O,O,O,O,O,X
ISJZLOT,O,O,X,X,O,X
ISJZOTL,O,X,O,X,O,X
ISJZOLT,O,O,O,X,O,X
ISJOTLZ,O,X,X,X,X,O
ISJOTZL,O,X,O,X,X,O
ISJOLTZ,O,X,X,X,X,O
ISJOLZT,O,O,O,X,O,X
ISJOZTL,O,X,O,X,O,X
ISJOZLT,O,O,O,X,O,X
ISZTLJO,O,O,O,O,O,X
ISZTLOJ,O,O,X,O,O,X
ISZTJLO,O,X,O,O,O,X
ISZTJOL,O,X,O,O,O,X
ISZTOLJ,O,O,X,O,O,X
ISZTOJL,O,X,O,O,O,X
ISZLTJO,O,O,O,O,O,X
ISZLTOJ,O,O,X,O,O,X
ISZLJTO,O,O,O,O,O,X
ISZLJOT,O,O,X,X,O,X
ISZLOTJ,O,O,X,O,O,X
ISZLOJT,O,O,X,X,O,X
ISZJTLO,O,X,O,O,O,X
ISZJTOL,O,X,O,O,O,X
ISZJLTO,O,O,O,O,O,X
ISZJLOT,O,O,X,X,O,X
ISZJOTL,O,X,O,X,O,X
ISZJOLT,O,O,O,X,O,X
ISZOTLJ,O,O,O,O,O,X
ISZOTJL,O,X,O,O,O,X
ISZOLTJ,O,O,O,O,O,X
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,X,O,X,O,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,O,X,X,O,X,O
ISOTLZJ,X,O,X,O,X,X
ISOTJLZ,O,X,X,O,X,O
ISOTJZL,O,X,O,O,X,O
ISOTZLJ,O,O,O,O,X,X
ISOTZJL,O,X,O,O,X,X
ISOLTJZ,O,X,X,O,X,O
ISOLTZJ,X,O,X,O,X,X
ISOLJTZ,O,X,X,X,X,O
ISOLJZT,O,O,O,X,O,X
ISOLZTJ,O,O,O,O,X,X
ISOLZJT,O,O,O,X,X,X
ISOJTLZ,O,X,X,X,X,O
ISOJTZL,O,X,O,X,X,O
ISOJLTZ,O,X,X,X,X,O
ISOJLZT,O,O,O,X,O,X
ISOJZTL,O,X,O,X,O,X
ISOJZLT,O,O,O,X,O,X
ISOZTLJ,O,O,O,O,O,X
ISOZTJL,O,X,O,O,O,X
ISOZLTJ,O,O,O,O,O,X
ISOZLJT,O,O,O,X,O,X
ISOZJTL,O,X,O,X,O,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,O,O,O,X,X,O
IZTLJOS,X,O,X,X,X,O
IZTLSJO,O,O,O,O,X,X
IZTLSOJ,O,O,X,O,X,X
IZTLOJS,X,O,X,X,X,O
IZTLOSJ,X,O,X,O,X,X
IZTJLSO,O,O,O,X,X,O
IZTJLOS,X,O,X,X,X,O
IZTJSLO,O,X,O,O,O,O
IZTJSOL,O,X,O,O,O,O
IZTJOLS,X,O,O,X,X,O
IZTJOSL,O,X,O,O,O,O
IZTSLJO,O,O,O,O,O,X
IZTSLOJ,O,O,X,O,O,X
IZTSJLO,O,X,O,O,O,X
IZTSJOL,O,X,O,O,O,X
IZTSOLJ,O,O,X,O,O,X
IZTSOJL,O,X,O,O,O,X
IZTOLJS,X,O,O,X,X,O
IZTOLSJ,X,O,O,O,X,X
IZTOJLS,X,O,O,X,X,O
IZTOJSL,O,X,O,O,O,O
IZTOSLJ,O,O,O,O,O,X
IZTOSJL,O,X,O,O,O,X
IZLTJSO,O,O,O,X,X,O
IZLTJOS,X,O,X,X,X,O
IZLTSJO,O,O,O,O,X,X
IZLTSOJ,O,O,X,O,X,X
IZLTOJS,X,O,X,X,X,O
IZLTOSJ,X,O,X,O,X,X
IZLJTSO,O,O,O,X,X,O
IZLJTOS,X,O,X,X,X,O
IZLJSTO,O,O,O,X,O,X
IZLJSOT,O,O,X,X,O,X
IZLJOTS,X,O,O,X,X,O
IZLJOST,X,O,O,X,O,X
IZLSTJO,O,O,O,O,O,X
IZLSTOJ,O,O,X,O,O,X
IZLSJTO,O,O,O,O,O,X
IZLSJOT,O,O,X,X,O,X
IZLSOTJ,O,O,X,O,O,X
IZLSOJT,O,O,X,X,O,X
IZLOTJS,X,O,O,X,X,O
IZLOTSJ,X,O,O,X,X,X
IZLOJTS,X,O,O,X,X,O
IZLOJST,X,O,O,X,O,X
IZLOSTJ,X,O,O,X,O,X
IZLOSJT,X,O,O,X,O,X
IZJTLSO,O,O,O,X,X,O
IZJTLOS,X,O,X,X,X,O
IZJTSLO,O,X,O,O,O,O
IZJTSOL,O,X,O,O,O,O
IZJTOLS,X,O,O,X,X,O
IZJTOSL,O,X,O,O,O,O
IZJLTSO,O,O,O,X,X,O
IZJLTOS,X,O,X,X,X,O
IZJLSTO,O,O,O,X,O,X
IZJLSOT,O,O,X,X,O,X
IZJLOTS,X,O,O,X,X,O
IZJLOST,X,O,O,X,O,X
IZJSTLO,O,X,O,O,O,X
IZJSTOL,O,X,O,O,O,X
IZJSLTO,O,O,O,O,O,X
IZJSLOT,O,O,X,X,O,X
IZJSOTL,O,X,O,X,O,X
IZJSOLT,O,O,O,X,O,X
IZJOTLS,X,O,O,X,X,O
IZJOTSL,O,X,O,X,O,O
IZJOLTS,X,O,O,X,X,O
IZJOLST,X,O,O,X,O,X
IZJOSTL,O,X,O,X,O,X
IZJOSLT,O,O,O,X,O,X
IZSTLJO,O,O,O,O,O,X
IZSTLOJ,O,O,X,O,O,X
IZSTJLO,O,X,O,O,O,X
IZSTJOL,O,X,O,O,O,X
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,O,X,O,O,O,X
IZSLTJO,O,O,O,O,O,X
IZSLTOJ,O,O,X,O,O,X
IZSLJTO,O,O,O,O,O,X
IZSLJOT,O,O,X,X,O,X
IZSLOTJ,O,O,X,O,O,X
IZSLOJT,O,O,X,X,O,X
IZSJTLO,O,X,O,O,O,X
IZSJTOL,O,X,O,O,O,X
IZSJLTO,O,O,O,O,O,X
IZSJLOT,O,O,X,X,O,X
IZSJOTL,O,X,O,X,O,X
IZSJOLT,O,O,O,X,O,X
IZSOTLJ,O,O,O,O,O,X
IZSOTJL,O,X,O,O,O,X
IZSOLTJ,O,O,O,O,O,X
IZSOLJT,O,O,O,X,O,X
IZSOJTL,O,X,O,X,O,X
IZSOJLT,O,O,O,X,O,X
IZOTLJS,X,O,O,X,X,O
IZOTLSJ,X,O,O,O,X,X
IZOTJLS,X,O,O,X,X,O
IZOTJSL,O,X,O,O,O,O
IZOTSLJ,O,O,O,O,O,X
IZOTSJL,O,X,O,O,O,X
IZOLTJS,X,O,O,X,X,O
IZOLTSJ,X,O,O,X,X,X
IZOLJTS,X,O,O,X,X,O
IZOLJST,X,O,O,X,O,X
IZOLSTJ,X,O,O,X,O,X
IZOLSJT,X,O,O,X,O,X
IZOJTLS,X,O,O,X,X,O
IZOJTSL,O,X,O,X,O,O
IZOJLTS,X,O,O,X,X,O
IZOJLST,X,O,O,X,O,X
IZOJSTL,O,X,O,X,O,X
IZOJSLT,O,O,O,X,O,X
IZOSTLJ,O,O,O,O,O,X
IZOSTJL,O,X,O,O,O,X
IZOSLTJ,O,O,O,O,O,X
IZOSLJT,O,O,O,X,O,X
IZOSJTL,O,X,O,X,O,X
IZOSJLT,O,O,O,X,O,X
IOTLJSZ,X,X,X,X,X,O
IOTLJZS,X,X,X,X,X,O
