sequence,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFmgB5oBXlBF?nBCnBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KeT/IvhFumBcnB5oBX?lBKrBlqB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke2EJvhFlhBcnB5oB3?lBClBTrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Ke/EJvhFalBzgBcnB5?oBFrBurB,v115@FhA8IeA8AeA8FeB8AeD8BeC8KezAJvhFCiB5oBmkBX?nBlkBUrB,v115@FhA8IeA8AeA8FeB8AeD8BeC8Kei/IvhF3gBTiB5oBW?qBlrBcrB
TLIOZSJ,X,O,X,O,X,X
TLJISZO,X,X,X,X,X,O
TLJISOZ,X,X,X,X,X,O
TLJIZSO,X,X,X,X,X,O
TLJIZOS,X,X,X,X,X,O
TLJIOSZ,X,X,X,X,X,O
TLJIOZS,X,X,X,X,X,O
TLJSIZO,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,X,O
TLJSZIO,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O
TLJSOZI,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O
TLJZIOS,X,X,X,X,X,O
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O
TLJZOSI,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,X,X,X,X,X,O
TLJOSZI,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,O
TLSIJOZ,O,X,X,O,X,O
TLSIZJO,X,O,X,O,X,X
TLSIZOJ,X,O,X,O,X,X
TLSIOJZ,O,X,X,O,X,O
TLSIOZJ,X,O,X,O,X,X
TLSJIZO,X,X,X,O,X,O
TLSJIOZ,O,X,X,O,X,O
TLSJZIO,X,X,X,O,X,X
TLSJZOI,X,X,X,O,X,X
TLSJOIZ,O,X,X,O,X,O
TLSJOZI,X,X,X,O,X,X
TLSZIJO,X,O,X,O,X,X
TLSZIOJ,X,O,X,O,X,X
TLSZJIO,X,O,X,O,X,X
TLSZJOI,X,O,X,O,X,X
TLSZOIJ,X,O,X,O,X,X
TLSZOJI,X,O,X,O,X,X
TLSOIJZ,O,X,X,O,X,O
TLSOIZJ,X,O,X,O,X,X
TLSOJIZ,O,X,X,O,X,O
TLSOJZI,X,X,X,O,X,X
TLSOZIJ,X,O,X,O,X,X
TLSOZJI,X,O,X,O,X,X
TLZIJSO,O,O,X,X,X,O
TLZIJOS,X,O,X,X,X,O
TLZISJO,O,O,X,O,X,X
TLZISOJ,O,O,X,O,X,X
TLZIOJS,X,O,X,X,X,O
TLZIOSJ,X,O,X,O,X,X
TLZJISO,O,O,X,X,X,O
TLZJIOS,X,O,X,X,X,O
TLZJSIO,O,O,X,X,X,X
TLZJSOI,O,O,X,X,X,X
TLZJOIS,X,O,X,X,X,O
TLZJOSI,X,O,X,X,X,X
TLZSIJO,O,O,X,O,X,X
TLZSIOJ,O,O,X,O,X,X
TLZSJIO,O,O,X,O,X,X
TLZSJOI,O,O,X,O,X,X
TLZSOIJ,O,O,X,O,X,X
TLZSOJI,O,O,X,O,X,X
TLZOIJS,X,O,X,X,X,O
TLZOISJ,X,O,X,O,X,X
TLZOJIS,X,O,X,X,X,O
TLZOJSI,X,O,X,X,X,X
TLZOSIJ,X,O,X,O,X,X
TLZOSJI,X,O,X,O,X,X
TLOIJSZ,X,X,X,X,X,O
TLOIJZS,X,X,X,X,X,O
TLOISJZ,O,X,X,O,X,O
TLOISZJ,X,O,X,O,X,X
TLOIZJS,X,O,X,X,X,O
TLOIZSJ,X,O,X,O,X,X
TLOJISZ,X,X,X,X,X,O
TLOJIZS,X,X,X,X,X,O
TLOJSIZ,X,X,X,X,X,O
TLOJSZI,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,O
TLOJZSI,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,O
TLOSIZJ,X,O,X,O,X,X
TLOSJIZ,O,X,X,O,X,O
TLOSJZI,X,X,X,O,X,X
TLOSZIJ,X,O,X,O,X,X
TLOSZJI,X,O,X,O,X,X
TLOZIJS,X,O,X,X,X,O
TLOZISJ,X,O,X,O,X,X
TLOZJIS,X,O,X,X,X,O
TLOZJSI,X,O,X,X,X,X
TLOZSIJ,X,O,X,O,X,X
TLOZSJI,X,O,X,O,X,X
TJILSZO,X,X,X,X,X,O
TJILSOZ,X,X,X,X,X,O
TJILZSO,X,X,X,X,X,O
TJILZOS,X,X,X,X,X,O
TJILOSZ,X,X,X,X,X,O
TJILOZS,X,X,X,X,X,O
TJISLZO,X,X,X,O,O,O
TJISLOZ,O,X,X,O,X,O
TJISZLO,X,X,O,O,O,O
TJISZOL,O,X,O,O,O,O
TJISOLZ,O,X,X,O,X,O
TJISOZL,O,X,X,O,X,O
TJIZLSO,O,X,O,X,X,O
TJIZLOS,X,X,X,X,X,O
TJIZSLO,O,X,O,O,O,O
TJIZSOL,O,X,O,O,O,O
TJIZOLS,X,X,O,X,X,O
TJIZOSL,O,X,O,O,O,O
TJIOLSZ,X,X,X,X,X,O
TJIOLZS,X,X,X,X,X,O
TJIOSLZ,O,X,X,O,X,O
TJIOSZL,O,X,O,O,X,O
TJIOZLS,X,X,O,X,X,O
TJIOZSL,X,X,O,O,X,O
TJLISZO,X,X,X,X,X,O
TJLISOZ,X,X,X,X,X,O
TJLIZSO,X,X,X,X,X,O
TJLIZOS,X,X,X,X,X,O
TJLIOSZ,X,X,X,X,X,O
TJLIOZS,X,X,X,X,X,O
TJLSIZO,X,X,X,X,X,O
TJLSIOZ,X,X,X,X,X,O
TJLSZIO,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O
TJLSOZI,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O
TJLZIOS,X,X,X,X,X,O
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O
TJLOIZS,X,X,X,X,X,O
TJLOSIZ,X,X,X,X,X,O
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O
TJLOZSI,X,X,X,X,X,X
TJSILZO,X,X,X,O,O,O
TJSILOZ,O,X,X,O,X,O
TJSIZLO,X,X,O,O,O,O
TJSIZOL,O,X,O,O,O,O
TJSIOLZ,O,X,X,O,X,O
TJSIOZL,O,X,X,O,X,O
TJSLIZO,X,X,X,O,O,O
TJSLIOZ,O,X,X,O,X,O
TJSLZIO,X,X,X,O,O,X
TJSLZOI,X,X,X,O,O,X
TJSLOIZ,O,X,X,O,X,O
TJSLOZI,X,X,X,O,X,X
TJSZILO,X,X,O,O,O,X
TJSZIOL,O,X,O,O,O,X
TJSZLIO,X,X,O,O,O,X
TJSZLOI,X,X,X,O,O,X
TJSZOIL,O,X,O,O,O,X
TJSZOLI,X,X,X,O,O,X
TJSOILZ,O,X,X,O,X,O
TJSOIZL,O,X,X,O,X,O
TJSOLIZ,O,X,X,O,X,O
TJSOLZI,X,X,X,O,X,X
TJSOZIL,O,X,X,O,X,X
TJSOZLI,X,X,X,O,X,X
TJZILSO,O,X,O,X,X,O
TJZILOS,X,X,X,X,X,O
TJZISLO,O,X,O,O,O,O
TJZISOL,O,X,O,O,O,O
TJZIOLS,X,X,O,X,X,O
TJZIOSL,O,X,O,O,O,O
TJZLISO,O,X,O,X,X,O
TJZLIOS,X,X,X,X,X,O
TJZLSIO,O,X,O,X,X,X
TJZLSOI,O,X,X,X,X,X
TJZLOIS,X,X,X,X,X,O
TJZLOSI,X,X,X,X,X,X
TJZSILO,O,X,O,O,O,X
TJZSIOL,O,X,O,O,O,X
TJZSLIO,O,X,O,O,O,X
TJZSLOI,O,X,X,O,O,X
TJZSOIL,O,X,O,O,O,X
TJZSOLI,O,X,X,O,O,X
TJZOILS,X,X,O,X,X,O
TJZOISL,O,X,O,O,O,O
TJZOLIS,X,X,O,X,X,O
TJZOLSI,X,X,O,X,X,X
TJZOSIL,O,X,O,O,O,X
TJZOSLI,O,X,O,O,O,X
TJOILSZ,X,X,X,X,X,O
TJOILZS,X,X,X,X,X,O
TJOISLZ,O,X,X,O,X,O
TJOISZL,O,X,O,O,X,O
TJOIZLS,X,X,O,X,X,O
TJOIZSL,X,X,O,O,X,O
TJOLISZ,X,X,X,X,X,O
TJOLIZS,X,X,X,X,X,O
TJOLSIZ,X,X,X,X,X,O
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,O
TJOLZSI,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,O
TJOSIZL,O,X,O,O,X,O
TJOSLIZ,O,X,X,O,X,O
TJOSLZI,X,X,X,O,X,X
TJOSZIL,O,X,O,O,X,X
TJOSZLI,X,X,O,O,X,X
TJOZILS,X,X,O,X,X,O
TJOZISL,X,X,O,O,X,O
TJOZLIS,X,X,O,X,X,O
TJOZLSI,X,X,O,X,X,X
TJOZSIL,X,X,O,O,X,X
TJOZSLI,X,X,O,O,X,X
TSILJZO,X,X,X,O,O,O
TSILJOZ,O,X,X,O,X,O
TSILZJO,X,O,X,O,X,X
TSILZOJ,X,O,X,O,X,X
TSILOJZ,O,X,X,O,X,O
TSILOZJ,X,O,X,O,X,X
TSIJLZO,X,X,X,O,O,O
TSIJLOZ,O,X,X,O,X,O
TSIJZLO,O,X,O,O,O,O
TSIJZOL,O,X,O,O,O,O
TSIJOLZ,O,X,X,O,X,O
TSIJOZL,O,X,X,O,X,O
TSIZLJO,O,O,O,O,O,X
TSIZLOJ,O,O,X,O,O,X
TSIZJLO,O,X,O,O,O,X
TSIZJOL,O,X,O,O,O,X
TSIZOLJ,O,O,X,O,O,X
TSIZOJL,O,X,O,O,O,X
TSIOLJZ,O,X,X,O,X,O
TSIOLZJ,X,O,X,O,X,X
TSIOJLZ,O,X,X,O,X,O
TSIOJZL,O,X,X,O,X,O
TSIOZLJ,O,O,X,O,X,X
TSIOZJL,O,X,X,O,X,X
TSLIJZO,X,X,X,O,O,O
TSLIJOZ,O,X,X,O,X,O
TSLIZJO,X,O,X,O,X,X
TSLIZOJ,X,O,X,O,X,X
TSLIOJZ,O,X,X,O,X,O
TSLIOZJ,X,O,X,O,X,X
TSLJIZO,X,X,X,O,O,O
TSLJIOZ,O,X,X,O,X,O
TSLJZIO,X,X,X,O,O,X
TSLJZOI,X,X,X,O,O,X
TSLJOIZ,O,X,X,O,X,O
TSLJOZI,X,X,X,O,X,X
TSLZIJO,X,O,X,O,X,X
TSLZIOJ,X,O,X,O,X,X
TSLZJIO,X,O,X,O,X,X
TSLZJOI,X,O,X,O,X,X
TSLZOIJ,X,O,X,O,X,X
TSLZOJI,X,O,X,O,X,X
TSLOIJZ,O,X,X,O,X,O
TSLOIZJ,X,O,X,O,X,X
TSLOJIZ,O,X,X,O,X,O
TSLOJZI,X,X,X,O,X,X
TSLOZIJ,X,O,X,O,X,X
TSLOZJI,X,O,X,O,X,X
TSJILZO,X,X,X,O,O,O
TSJILOZ,O,X,X,O,X,O
TSJIZLO,O,X,O,O,O,O
TSJIZOL,O,X,O,O,O,O
TSJIOLZ,O,X,X,O,X,O
TSJIOZL,O,X,X,O,X,O
TSJLIZO,X,X,X,O,O,O
TSJLIOZ,O,X,X,O,X,O
TSJLZIO,X,X,X,O,O,X
TSJLZOI,X,X,X,O,O,X
TSJLOIZ,O,X,X,O,X,O
TSJLOZI,X,X,X,O,X,X
TSJZILO,O,X,O,O,O,X
TSJZIOL,O,X,O,O,O,X
TSJZLIO,O,X,O,O,O,X
TSJZLOI,O,X,X,O,O,X
TSJZOIL,O,X,O,O,O,X
TSJZOLI,O,X,X,O,O,X
TSJOILZ,O,X,X,O,X,O
TSJOIZL,O,X,X,O,X,O
TSJOLIZ,O,X,X,O,X,O
TSJOLZI,X,X,X,O,X,X
TSJOZIL,O,X,X,O,X,X
TSJOZLI,O,X,X,O,X,X
TSZILJO,O,O,O,O,O,X
TSZILOJ,O,O,X,O,O,X
TSZIJLO,O,X,O,O,O,X
TSZIJOL,O,X,O,O,O,X
TSZIOLJ,O,O,X,O,O,X
TSZIOJL,O,X,O,O,O,X
TSZLIJO,O,O,O,O,O,X
TSZLIOJ,O,O,X,O,O,X
TSZLJIO,O,O,O,O,O,X
TSZLJOI,O,O,X,O,O,X
TSZLOIJ,O,O,X,O,O,X
TSZLOJI,O,O,X,O,O,X
TSZJILO,O,X,O,O,O,X
TSZJIOL,O,X,O,O,O,X
TSZJLIO,O,X,O,O,O,X
TSZJLOI,O,X,X,O,O,X
TSZJOIL,O,X,O,O,O,X
TSZJOLI,O,X,X,O,O,X
TSZOILJ,O,O,X,O,O,X
TSZOIJL,O,X,O,O,O,X
TSZOLIJ,O,O,X,O,O,X
TSZOLJI,O,O,X,O,O,X
TSZOJIL,O,X,O,O,O,X
TSZOJLI,O,X,X,O,O,X
TSOILJZ,O,X,X,O,X,O
TSOILZJ,X,O,X,O,X,X
TSOIJLZ,O,X,X,O,X,O
TSOIJZL,O,X,X,O,X,O
TSOIZLJ,O,O,X,O,X,X
TSOIZJL,O,X,X,O,X,X
TSOLIJZ,O,X,X,O,X,O
TSOLIZJ,X,O,X,O,X,X
TSOLJIZ,O,X,X,O,X,O
TSOLJZI,X,X,X,O,X,X
TSOLZIJ,X,O,X,O,X,X
TSOLZJI,X,O,X,O,X,X
TSOJILZ,O,X,X,O,X,O
TSOJIZL,O,X,X,O,X,O
TSOJLIZ,O,X,X,O,X,O
TSOJLZI,X,X,X,O,X,X
TSOJZIL,O,X,X,O,X,X
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,O,X,O,X,X
TSOZIJL,O,X,X,O,X,X
TSOZLIJ,O,O,X,O,X,X
TSOZLJI,O,O,X,O,X,X
TSOZJIL,O,X,X,O,X,X
TSOZJLI,O,X,X,O,X,X
TZILJSO,O,O,O,X,X,O
TZILJOS,X,O,X,X,X,O
TZILSJO,O,O,O,O,X,X
TZILSOJ,O,O,X,O,X,X
TZILOJS,X,O,X,X,X,O
TZILOSJ,X,O,X,O,X,X
TZIJLSO,O,O,O,X,X,O
TZIJLOS,X,O,X,X,X,O
TZIJSLO,O,X,O,O,O,O
TZIJSOL,O,X,O,O,O,O
TZIJOLS,X,O,O,X,X,O
TZIJOSL,O,X,O,O,O,O
TZISLJO,O,O,O,O,O,X
TZISLOJ,O,O,X,O,O,X
TZISJLO,O,X,O,O,O,X
TZISJOL,O,X,O,O,O,X
TZISOLJ,O,O,X,O,O,X
TZISOJL,O,X,O,O,O,X
TZIOLJS,X,O,O,X,X,O
TZIOLSJ,X,O,O,O,X,X
TZIOJLS,X,O,O,X,X,O
TZIOJSL,O,X,O,O,O,O
TZIOSLJ,O,O,O,O,O,X
TZIOSJL,O,X,O,O,O,X
TZLIJSO,O,O,O,X,X,O
TZLIJOS,X,O,X,X,X,O
TZLISJO,O,O,O,O,X,X
TZLISOJ,O,O,X,O,X,X
TZLIOJS,X,O,X,X,X,O
TZLIOSJ,X,O,X,O,X,X
TZLJISO,O,O,O,X,X,O
TZLJIOS,X,O,X,X,X,O
TZLJSIO,O,O,O,X,X,X
TZLJSOI,O,O,X,X,X,X
TZLJOIS,X,O,X,X,X,O
TZLJOSI,X,O,X,X,X,X
TZLSIJO,O,O,O,O,X,X
TZLSIOJ,O,O,X,O,X,X
TZLSJIO,O,O,O,O,X,X
TZLSJOI,O,O,X,O,X,X
TZLSOIJ,O,O,X,O,X,X
TZLSOJI,O,O,X,O,X,X
TZLOIJS,X,O,X,X,X,O
TZLOISJ,X,O,X,O,X,X
TZLOJIS,X,O,X,X,X,O
TZLOJSI,X,O,X,X,X,X
TZLOSIJ,X,O,X,O,X,X
TZLOSJI,X,O,X,O,X,X
TZJILSO,O,O,O,X,X,O
TZJILOS,X,O,X,X,X,O
TZJISLO,O,X,O,O,O,O
TZJISOL,O,X,O,O,O,O
TZJIOLS,X,O,O,X,X,O
TZJIOSL,O,X,O,O,O,O
TZJLISO,O,O,O,X,X,O
TZJLIOS,X,O,X,X,X,O
TZJLSIO,O,O,O,X,X,X
TZJLSOI,O,O,X,X,X,X
TZJLOIS,X,O,X,X,X,O
TZJLOSI,X,O,X,X,X,X
TZJSILO,O,X,O,O,O,X
TZJSIOL,O,X,O,O,O,X
TZJSLIO,O,X,O,O,O,X
TZJSLOI,O,X,X,O,O,X
TZJSOIL,O,X,O,O,O,X
TZJSOLI,O,X,X,O,O,X
TZJOILS,X,O,O,X,X,O
TZJOISL,O,X,O,O,O,O
TZJOLIS,X,O,O,X,X,O
TZJOLSI,X,O,O,X,X,X
TZJOSIL,O,X,O,O,O,X
TZJOSLI,O,X,O,O,O,X
TZSILJO,O,O,O,O,O,X
TZSILOJ,O,O,X,O,O,X
TZSIJLO,O,X,O,O,O,X
TZSIJOL,O,X,O,O,O,X
TZSIOLJ,O,O,X,O,O,X
TZSIOJL,O,X,O,O,O,X
TZSLIJO,O,O,O,O,O,X
TZSLIOJ,O,O,X,O,O,X
TZSLJIO,O,O,O,O,O,X
TZSLJOI,O,O,X,O,O,X
TZSLOIJ,O,O,X,O,O,X
TZSLOJI,O,O,X,O,O,X
TZSJILO,O,X,O,O,O,X
TZSJIOL,O,X,O,O,O,X
TZSJLIO,O,X,O,O,O,X
TZSJLOI,O,X,X,O,O,X
TZSJOIL,O,X,O,O,O,X
TZSJOLI,O,X,X,O,O,X
TZSOILJ,O,O,X,O,O,X
TZSOIJL,O,X,O,O,O,X
TZSOLIJ,O,O,X,O,O,X
TZSOLJI,O,O,X,O,O,X
TZSOJIL,O,X,O,O,O,X
TZSOJLI,O,X,X,O,O,X
TZOILJS,X,O,O,X,X,O
TZOILSJ,X,O,O,O,X,X
TZOIJLS,X,O,O,X,X,O
TZOIJSL,O,X,O,O,O,O
TZOISLJ,O,O,O,O,O,X
TZOISJL,O,X,O,O,O,X
TZOLIJS,X,O,O,X,X,O
TZOLISJ,X,O,O,O,X,X
TZOLJIS,X,O,O,X,X,O
TZOLJSI,X,O,O,X,X,X
TZOLSIJ,X,O,O,O,X,X
TZOLSJI,X,O,O,O,X,X
TZOJILS,X,O,O,X,X,O
