sequence,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFXhB8mBGjBaqBzq?BVxB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFlhBGjBUlBKsBTr?B3qB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFlgB3hBGjByrBTq?BxwB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFRhBGjBKqBzlB3r?BUsB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFymBGjBFlB3qBUs?BTrB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFzhBGjBFlB3qBUs?BKrB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhF3hBGjBTlBKsBUm?BxvB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFxgBGjBFmBTqB3r?BKsB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFzgBGjBKqBRrBUs?B3rB
TILJSZO,O,X,O,X,O,O,X,X,O
TILJSOZ,O,O,O,O,X,X,O,X,O
TILJZSO,O,X,O,X,X,X,X,X,O
TILJZOS,O,O,O,X,X,X,O,X,O
TILJOSZ,O,O,O,O,X,X,O,X,O
TILJOZS,O,O,O,O,X,X,O,X,O
TILSJZO,O,X,O,X,O,O,X,X,O
TILSJOZ,O,O,O,O,X,X,O,X,O
TILSZJO,O,X,O,X,O,O,X,X,O
TILSZOJ,O,X,O,X,O,O,X,X,O
TILSOJZ,O,X,O,O,X,X,O,X,O
TILSOZJ,O,X,O,O,X,X,O,X,O
TILZJSO,O,X,O,X,X,X,X,X,O
TILZJOS,O,O,O,X,X,X,O,X,O
TILZSJO,O,X,O,X,X,X,X,X,O
TILZSOJ,O,X,O,X,X,X,X,X,O
TILZOJS,O,O,O,X,X,X,O,X,O
TILZOSJ,O,O,O,X,X,X,O,X,O
TILOJSZ,O,O,O,O,X,X,O,X,O
TILOJZS,O,O,O,O,X,X,O,X,O
TILOSJZ,O,O,O,O,X,X,O,X,O
TILOSZJ,O,X,O,O,X,X,O,X,O
TILOZJS,O,O,O,O,X,X,O,X,O
TILOZSJ,O,X,O,X,X,X,O,X,O
TIJLSZO,O,X,O,X,O,O,X,X,O
TIJLSOZ,O,O,O,O,X,X,O,X,O
TIJLZSO,O,X,O,X,X,X,X,X,O
TIJLZOS,O,O,O,X,X,X,O,X,O
TIJLOSZ,O,O,O,O,X,X,O,X,O
TIJLOZS,O,O,O,O,X,X,O,X,O
TIJSLZO,O,X,X,X,O,O,X,X,X
TIJSLOZ,O,X,X,O,X,X,O,X,X
TIJSZLO,O,X,X,X,O,O,X,X,X
TIJSZOL,O,X,X,X,O,O,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,O,O,X,X,X
TIJZLSO,O,X,O,X,O,X,X,X,X
TIJZLOS,O,O,O,X,X,X,O,X,X
TIJZSLO,O,X,O,X,O,O,X,X,X
TIJZSOL,O,X,X,X,O,O,X,X,X
TIJZOLS,O,O,O,X,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,X,X,X,O,X,X
TIJOLZS,O,O,O,X,X,X,O,X,X
TIJOSLZ,X,X,O,X,X,X,O,X,X
TIJOSZL,O,X,O,X,O,O,X,X,X
TIJOZLS,O,X,O,X,X,X,O,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X
TISLJZO,O,X,X,X,O,O,X,X,X
TISLJOZ,O,X,X,O,X,X,O,X,X
TISLZJO,O,X,X,X,O,O,X,X,X
TISLZOJ,O,X,X,X,O,O,X,X,X
TISLOJZ,O,X,X,O,X,X,O,X,X
TISLOZJ,O,X,X,O,X,X,O,X,X
TISJLZO,O,X,X,X,O,O,X,X,X
TISJLOZ,O,X,X,O,X,X,O,X,X
TISJZLO,O,X,X,X,O,O,X,X,X
TISJZOL,O,X,X,X,O,O,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,X
TISJOZL,O,X,X,X,O,O,X,X,X
TISZLJO,O,X,X,X,O,O,X,X,X
TISZLOJ,O,X,X,X,O,O,X,X,X
TISZJLO,O,X,X,X,O,O,X,X,X
TISZJOL,O,X,X,X,O,O,X,X,X
TISZOLJ,X,X,X,X,O,O,X,X,X
TISZOJL,O,X,X,X,O,O,X,X,X
TISOLJZ,X,X,X,X,X,X,O,X,X
TISOLZJ,X,X,X,X,X,X,O,X,X
TISOJLZ,X,X,X,X,X,X,O,X,X
TISOJZL,O,X,X,X,O,O,X,X,X
TISOZLJ,O,X,X,X,O,O,X,X,X
TISOZJL,O,X,X,X,O,O,X,X,X
TIZLJSO,O,X,O,X,O,X,X,X,X
TIZLJOS,O,O,O,X,X,X,O,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X
TIZLOJS,O,O,O,X,X,X,O,X,X
TIZLOSJ,O,O,O,X,X,X,O,X,X
TIZJLSO,O,X,O,X,O,X,X,X,X
TIZJLOS,O,O,O,X,X,X,O,X,X
TIZJSLO,O,X,O,X,O,O,X,X,X
TIZJSOL,O,X,X,X,O,O,X,X,X
TIZJOLS,O,O,O,X,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X
