sequence,v115@9gA8IeA8IeA8AeB8DeA8AeD8CeB8KeuEJvhF3gBcmB?KnBziB5oB1wB,v115@9gA8IeA8IeA8AeB8DeA8AeD8CeB8KeuEJvhF3gBFiB?8nB5oBTmBywB,v115@9gA8IeA8IeA8AeB8DeA8AeD8CeB8KeuEJvhF3gBziB?5oBimBUnB1wB
OSJIZLT,X,O,X
OSJLTIZ,O,X,O
OSJLTZI,O,X,O
OSJLITZ,O,X,O
OSJLIZT,X,O,X
OSJLZTI,X,O,X
OSJLZIT,X,O,X
OSJZTIL,X,O,O
OSJZTLI,X,X,O
OSJZITL,X,O,O
OSJZILT,X,O,X
OSJZLTI,X,O,X
OSJZLIT,X,O,X
OSZTILJ,X,X,O
OSZTIJL,X,O,O
OSZTLIJ,X,X,O
OSZTLJI,X,X,O
OSZTJIL,X,O,O
OSZTJLI,X,X,O
OSZITLJ,X,X,O
OSZITJL,X,O,O
OSZILTJ,X,O,X
OSZILJT,X,O,X
OSZIJTL,X,O,O
OSZIJLT,X,O,X
OSZLTIJ,X,O,X
OSZLTJI,X,O,X
OSZLITJ,X,O,X
OSZLIJT,X,O,X
OSZLJTI,X,O,X
OSZLJIT,X,O,X
OSZJTIL,X,O,O
OSZJTLI,X,X,O
OSZJITL,X,O,O
OSZJILT,X,O,X
OSZJLTI,X,O,X
OSZJLIT,X,O,X
OZTILJS,O,O,O
OZTILSJ,O,O,O
OZTIJLS,O,O,O
OZTIJSL,X,O,O
OZTISLJ,X,X,O
OZTISJL,X,O,O
OZTLIJS,O,O,O
OZTLISJ,O,O,O
OZTLJIS,O,O,O
OZTLJSI,O,O,O
OZTLSIJ,O,O,O
OZTLSJI,O,O,O
OZTJILS,O,O,O
OZTJISL,X,O,O
OZTJLIS,O,O,O
OZTJLSI,O,O,O
OZTJSIL,X,O,O
OZTJSLI,X,X,O
OZTSILJ,X,X,O
OZTSIJL,X,O,O
OZTSLIJ,X,X,O
OZTSLJI,X,X,O
OZTSJIL,X,O,O
OZTSJLI,X,X,O
OZITLJS,O,O,O
OZITLSJ,O,O,O
OZITJLS,O,O,O
OZITJSL,X,O,O
OZITSLJ,X,X,O
OZITSJL,X,O,O
OZILTJS,O,O,X
OZILTSJ,O,O,X
OZILJTS,O,O,X
OZILJST,X,O,X
OZILSTJ,X,O,X
OZILSJT,X,O,X
OZIJTLS,O,O,O
OZIJTSL,X,O,O
OZIJLTS,O,O,X
OZIJLST,X,O,X
OZIJSTL,X,O,O
OZIJSLT,X,O,X
OZISTLJ,X,X,O
OZISTJL,X,O,O
OZISLTJ,X,O,X
OZISLJT,X,O,X
OZISJTL,X,O,O
OZISJLT,X,O,X
OZLTIJS,O,O,X
OZLTISJ,O,O,X
OZLTJIS,O,O,X
OZLTJSI,O,O,X
OZLTSIJ,O,O,X
OZLTSJI,O,O,X
OZLITJS,O,O,X
OZLITSJ,O,O,X
OZLIJTS,O,O,X
OZLIJST,X,O,X
OZLISTJ,X,O,X
OZLISJT,X,O,X
OZLJTIS,O,O,X
OZLJTSI,O,O,X
OZLJITS,O,O,X
OZLJIST,X,O,X
OZLJSTI,X,O,X
OZLJSIT,X,O,X
OZLSTIJ,X,O,X
OZLSTJI,X,O,X
OZLSITJ,X,O,X
OZLSIJT,X,O,X
OZLSJTI,X,O,X
OZLSJIT,X,O,X
OZJTILS,O,O,O
OZJTISL,X,O,O
OZJTLIS,O,O,O
OZJTLSI,O,O,O
OZJTSIL,X,O,O
OZJTSLI,X,X,O
OZJITLS,O,O,O
OZJITSL,X,O,O
OZJILTS,O,O,X
OZJILST,X,O,X
OZJISTL,X,O,O
OZJISLT,X,O,X
OZJLTIS,O,O,X
OZJLTSI,O,O,X
OZJLITS,O,O,X
OZJLIST,X,O,X
OZJLSTI,X,O,X
OZJLSIT,X,O,X
OZJSTIL,X,O,O
OZJSTLI,X,X,O
OZJSITL,X,O,O
OZJSILT,X,O,X
OZJSLTI,X,O,X
OZJSLIT,X,O,X
OZSTILJ,X,X,O
OZSTIJL,X,O,O
OZSTLIJ,X,X,O
OZSTLJI,X,X,O
OZSTJIL,X,O,O
OZSTJLI,X,X,O
OZSITLJ,X,X,O
OZSITJL,X,O,O
OZSILTJ,X,O,X
OZSILJT,X,O,X
OZSIJTL,X,O,O
OZSIJLT,X,O,X
OZSLTIJ,X,O,X
OZSLTJI,X,O,X
OZSLITJ,X,O,X
OZSLIJT,X,O,X
OZSLJTI,X,O,X
OZSLJIT,X,O,X
OZSJTIL,X,O,O
OZSJTLI,X,X,O
OZSJITL,X,O,O
OZSJILT,X,O,X
OZSJLTI,X,O,X
OZSJLIT,X,O,X
