sequence,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFTgBGjBlmB3?nBimB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JezAJvhFRiBSoBVqBU?nBXrBupB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF2lBXiBTjBS?sBFmB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFlgBUiBTjB/?qBOrBSxB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeCAJvhFGjB8pBRmB3?nBlmBzqB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFUhBFiBTjBS?sBmqB/qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF8mB+nBTjBy?qB/qBFrB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeUBJvhFRiBSoBXlBV?sBzqBupB
TILJSZO,X,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,O,X,X
TILJZSO,X,O,X,X,X,O,O,X
TILJZOS,X,X,X,X,X,O,O,X
TILJOSZ,X,X,X,X,X,O,X,O
TILJOZS,X,X,X,X,X,O,O,O
TILSJZO,O,X,X,X,X,O,X,X
TILSJOZ,X,X,X,X,X,O,X,X
TILSZJO,O,O,O,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X,X
TILSOJZ,X,X,X,X,X,O,X,O
TILSOZJ,X,O,O,X,X,X,X,O
TILZJSO,X,O,O,X,X,O,O,X
TILZJOS,X,X,O,X,X,O,O,X
TILZSJO,O,O,O,X,X,X,X,X
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,X,X,O,X,X,O,X,O
TILZOSJ,O,O,O,X,X,X,X,O
TILOJSZ,X,X,X,X,X,O,X,O
TILOJZS,X,X,X,X,X,O,O,O
TILOSJZ,X,X,X,X,X,O,X,O
TILOSZJ,X,X,O,X,X,X,X,O
TILOZJS,X,X,O,X,X,O,X,O
TILOZSJ,X,O,O,X,X,X,X,O
TIJLSZO,X,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,O,X,X
TIJLZSO,X,X,X,X,X,O,O,X
TIJLZOS,X,X,X,X,X,O,O,X
TIJLOSZ,X,X,X,X,X,O,X,O
TIJLOZS,X,X,X,X,X,O,O,O
TIJSLZO,O,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X
TIJSZOL,O,X,X,O,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X
TIJZLSO,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,O,X
TIJZSLO,O,X,X,O,X,X,X,X
TIJZSOL,O,X,X,O,X,X,X,X
