sequence,v115@HhB8HeC8GeD8AeB8BeA8Jem/IvhFzgBRiBSoBUnBFr?BXtB,v115@HhB8HeC8GeD8AeB8BeA8Jex/IvhFylBGiBTjBUnBFr?BXtB,v115@HhB8HeC8GeD8AeB8BeA8Jex/IvhFylBfnBTjBWtBFr?B0sB,v115@HhB8HeC8GeD8AeB8BeA8Jex/IvhFylBGiBUnBToBFr?BXtB,v115@HhB8HeC8GeD8AeB8BeA8Jem/IvhFFhBxiBfrBCnBTo?B0sB,v115@HhB8HeC8GeD8AeB8BeA8Jex/IvhF0iBllBzmBStBOr?BXtB,v115@HhB8HeC8GeD8AeB8BeA8Jex/IvhF+nB0lBlmBToBir?BXtB
TOILSJZ,X,O,O,X,O,X,X
TOILSZJ,X,O,X,O,O,O,X
TOILZJS,X,O,X,O,X,O,X
TOILZSJ,X,O,X,O,X,O,X
TOIJLSZ,X,X,O,X,O,X,X
TOIJLZS,X,X,O,O,X,O,X
TOIJSLZ,O,X,O,X,O,X,X
TOIJSZL,O,X,O,X,O,X,X
TOIJZLS,O,X,O,O,X,O,O
TOIJZSL,O,X,O,O,X,X,O
TOISLJZ,O,O,O,X,O,X,X
TOISLZJ,O,O,X,O,O,O,X
TOISJLZ,O,O,O,X,O,X,X
TOISJZL,O,O,O,X,O,X,X
TOISZLJ,O,O,X,O,X,O,X
TOISZJL,O,O,X,O,O,X,X
TOIZLJS,O,O,X,O,X,O,O
TOIZLSJ,O,O,X,O,X,O,X
TOIZJLS,O,O,X,O,X,O,O
TOIZJSL,O,O,X,O,X,X,O
TOIZSLJ,O,O,X,O,X,O,X
TOIZSJL,O,O,X,O,X,X,O
TOLIJSZ,X,X,O,X,O,X,X
TOLIJZS,X,X,O,O,X,O,X
TOLISJZ,X,O,O,X,O,X,X
TOLISZJ,X,O,X,O,O,O,X
TOLIZJS,X,O,X,O,X,O,X
TOLIZSJ,X,O,X,O,X,O,X
TOLJISZ,X,X,O,X,O,X,X
TOLJIZS,X,X,O,O,X,O,X
TOLJSIZ,O,X,O,X,O,X,X
TOLJSZI,O,X,O,X,O,X,X
TOLJZIS,O,X,O,O,X,O,O
TOLJZSI,O,X,O,O,X,O,O
TOLSIJZ,O,O,O,X,O,X,X
TOLSIZJ,O,O,X,O,O,O,X
TOLSJIZ,O,O,O,X,O,X,X
TOLSJZI,O,O,O,X,O,X,X
TOLSZIJ,O,O,X,O,O,O,X
TOLSZJI,O,O,X,O,O,O,X
TOLZIJS,O,O,X,O,X,O,O
TOLZISJ,O,O,X,O,X,O,X
TOLZJIS,O,O,X,O,X,O,O
TOLZJSI,O,O,X,O,X,O,O
TOLZSIJ,O,O,X,O,X,O,X
TOLZSJI,O,O,X,O,X,O,X
TOJILSZ,X,X,O,X,O,X,X
TOJILZS,X,X,O,O,X,O,X
TOJISLZ,O,X,O,X,O,X,X
TOJISZL,O,X,O,X,O,X,X
TOJIZLS,O,X,O,O,X,O,O
TOJIZSL,O,X,O,O,X,X,O
TOJLISZ,X,X,O,X,O,X,X
TOJLIZS,X,X,O,O,X,O,X
TOJLSIZ,O,X,O,X,O,X,X
TOJLSZI,O,X,O,X,O,X,X
TOJLZIS,O,X,O,O,X,O,O
TOJLZSI,O,X,O,O,X,O,O
TOJSILZ,O,X,O,X,O,X,X
TOJSIZL,O,X,O,X,O,X,X
TOJSLIZ,O,X,O,X,O,X,X
TOJSLZI,O,X,O,X,O,X,X
TOJSZIL,O,X,O,X,O,X,O
TOJSZLI,O,X,O,X,O,X,O
TOJZILS,O,X,O,O,X,O,O
TOJZISL,O,X,O,O,X,X,O
TOJZLIS,O,X,O,O,X,O,O
TOJZLSI,O,X,O,O,X,O,O
TOJZSIL,O,X,O,O,X,X,O
TOJZSLI,O,X,O,O,X,X,O
TOSILJZ,O,O,O,X,O,X,X
TOSILZJ,O,O,X,O,O,O,X
TOSIJLZ,O,O,O,X,O,X,X
TOSIJZL,O,O,O,X,O,X,X
TOSIZLJ,O,O,X,O,X,O,X
TOSIZJL,O,O,X,O,O,X,X
TOSLIJZ,O,O,O,X,O,X,X
TOSLIZJ,O,O,X,O,O,O,X
TOSLJIZ,O,O,O,X,O,X,X
TOSLJZI,O,O,O,X,O,X,X
TOSLZIJ,O,O,X,O,O,O,X
TOSLZJI,O,O,X,O,O,O,X
TOSJILZ,O,O,O,X,O,X,X
TOSJIZL,O,O,O,X,O,X,X
TOSJLIZ,O,O,O,X,O,X,X
TOSJLZI,O,O,O,X,O,X,X
TOSJZIL,O,O,O,X,O,X,O
TOSJZLI,O,O,O,X,O,X,O
TOSZILJ,O,O,X,O,X,O,X
TOSZIJL,O,O,X,O,O,X,O
TOSZLIJ,O,O,X,O,O,O,X
TOSZLJI,O,O,X,O,O,O,X
TOSZJIL,O,O,X,O,O,X,O
TOSZJLI,O,O,X,O,O,X,O
TOZILJS,O,O,X,O,X,O,O
TOZILSJ,O,O,X,O,X,O,X
TOZIJLS,O,O,X,O,X,O,O
TOZIJSL,O,O,X,O,X,X,O
TOZISLJ,O,O,X,O,X,O,X
TOZISJL,O,O,X,O,X,X,O
TOZLIJS,O,O,X,O,X,O,O
TOZLISJ,O,O,X,O,X,O,X
TOZLJIS,O,O,X,O,X,O,O
TOZLJSI,O,O,X,O,X,O,O
TOZLSIJ,O,O,X,O,X,O,X
TOZLSJI,O,O,X,O,X,O,X
TOZJILS,O,O,X,O,X,O,O
TOZJISL,O,O,X,O,X,X,O
TOZJLIS,O,O,X,O,X,O,O
TOZJLSI,O,O,X,O,X,O,O
TOZJSIL,O,O,X,O,X,X,O
TOZJSLI,O,O,X,O,X,X,O
TOZSILJ,O,O,X,O,X,O,X
TOZSIJL,O,O,X,O,X,X,O
TOZSLIJ,O,O,X,O,X,O,X
TOZSLJI,O,O,X,O,X,O,X
TOZSJIL,O,O,X,O,X,X,O
TOZSJLI,O,O,X,O,X,X,O
ITLJSZO,X,O,O,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X
ITLJZSO,X,O,O,O,X,X,X
ITLJZOS,X,O,O,O,X,X,X
ITLJOSZ,X,X,O,X,X,X,X
ITLJOZS,X,X,O,O,X,O,X
ITLSJZO,X,O,O,X,X,X,X
ITLSJOZ,X,O,O,X,X,X,X
ITLSZJO,X,O,O,O,X,X,X
ITLSZOJ,X,O,X,O,X,X,X
ITLSOJZ,X,O,O,X,X,X,X
ITLSOZJ,X,O,X,O,X,O,X
ITLZJSO,X,O,O,O,X,X,X
ITLZJOS,X,O,O,O,X,X,X
ITLZSJO,X,O,O,O,X,X,X
ITLZSOJ,X,O,X,O,X,X,X
ITLZOJS,X,O,X,O,X,O,X
ITLZOSJ,X,O,X,O,X,O,X
ITLOJSZ,X,X,O,X,X,X,X
ITLOJZS,X,X,O,O,X,O,X
ITLOSJZ,X,O,O,X,X,X,X
ITLOSZJ,X,O,X,O,X,O,X
ITLOZJS,X,O,X,O,X,O,X
ITLOZSJ,X,O,X,O,X,O,X
ITJLSZO,X,O,O,X,X,X,X
ITJLSOZ,X,O,O,X,X,X,X
ITJLZSO,X,O,O,O,X,X,X
ITJLZOS,X,O,O,O,X,X,X
ITJLOSZ,X,X,O,X,X,X,X
ITJLOZS,X,X,O,O,X,O,X
ITJSLZO,O,O,O,X,X,X,X
ITJSLOZ,O,O,O,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X
ITJSOLZ,O,O,O,X,X,X,X
ITJSOZL,O,O,O,X,X,X,X
ITJZLSO,O,O,O,O,X,X,X
ITJZLOS,O,O,O,O,X,X,O
ITJZSLO,O,O,O,O,X,X,X
ITJZSOL,O,O,O,O,X,X,O
ITJZOLS,O,O,O,O,X,X,O
ITJZOSL,O,O,O,O,X,X,O
ITJOLSZ,X,X,O,X,X,X,X
ITJOLZS,X,X,O,O,X,O,X
ITJOSLZ,O,X,O,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X
ITJOZLS,O,X,O,O,X,O,O
ITJOZSL,O,X,O,O,X,X,O
ITSLJZO,O,O,O,X,X,X,X
ITSLJOZ,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,X,X,X
ITSLZOJ,O,O,X,O,X,X,X
ITSLOJZ,O,O,O,X,X,X,X
ITSLOZJ,O,O,X,O,X,O,X
ITSJLZO,O,O,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X
ITSJOLZ,O,O,O,X,X,X,X
ITSJOZL,O,O,O,X,X,X,X
ITSZLJO,O,O,O,O,X,X,X
ITSZLOJ,O,O,X,O,X,X,X
ITSZJLO,O,O,O,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X
ITSZOLJ,O,O,X,O,X,X,X
ITSZOJL,O,O,X,O,X,X,X
ITSOLJZ,O,O,O,X,X,X,X
ITSOLZJ,O,O,X,O,X,O,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X
ITSOZLJ,O,O,X,O,X,O,X
ITSOZJL,O,O,X,O,X,X,X
ITZLJSO,O,O,O,O,X,X,X
ITZLJOS,O,O,O,O,X,X,O
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,X,O,X,X,X
ITZLOJS,O,O,X,O,X,O,O
ITZLOSJ,O,O,X,O,X,O,X
ITZJLSO,O,O,O,O,X,X,X
ITZJLOS,O,O,O,O,X,X,O
ITZJSLO,O,O,O,O,X,X,X
ITZJSOL,O,O,O,O,X,X,O
ITZJOLS,O,O,O,O,X,X,O
ITZJOSL,O,O,O,O,X,X,O
ITZSLJO,O,O,O,O,X,X,X
ITZSLOJ,O,O,X,O,X,X,X
ITZSJLO,O,O,O,O,X,X,X
ITZSJOL,O,O,O,O,X,X,O
ITZSOLJ,O,O,X,O,X,X,X
ITZSOJL,O,O,X,O,X,X,O
ITZOLJS,O,O,X,O,X,O,O
ITZOLSJ,O,O,X,O,X,O,X
ITZOJLS,O,O,X,O,X,O,O
ITZOJSL,O,O,X,O,X,X,O
ITZOSLJ,O,O,X,O,X,O,X
ITZOSJL,O,O,X,O,X,X,O
ITOLJSZ,X,X,O,X,X,X,X
ITOLJZS,X,X,O,O,X,O,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,X,O,X,O,X,O,X
ITOLZJS,X,O,X,O,X,O,X
ITOLZSJ,X,O,X,O,X,O,X
ITOJLSZ,X,X,O,X,X,X,X
ITOJLZS,X,X,O,O,X,O,X
ITOJSLZ,O,X,O,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X
ITOJZLS,O,X,O,O,X,O,O
ITOJZSL,O,X,O,O,X,X,O
ITOSLJZ,O,O,O,X,X,X,X
ITOSLZJ,O,O,X,O,X,O,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X
ITOSZLJ,O,O,X,O,X,O,X
ITOSZJL,O,O,X,O,X,X,X
ITOZLJS,O,O,X,O,X,O,O
ITOZLSJ,O,O,X,O,X,O,X
ITOZJLS,O,O,X,O,X,O,O
ITOZJSL,O,O,X,O,X,X,O
ITOZSLJ,O,O,X,O,X,O,X
ITOZSJL,O,O,X,O,X,X,O
ILTJSZO,X,O,O,X,O,X,X
ILTJSOZ,X,O,O,X,O,X,X
ILTJZSO,X,O,O,O,X,X,X
ILTJZOS,X,O,O,O,X,X,X
ILTJOSZ,X,X,O,X,X,X,X
ILTJOZS,X,X,O,O,X,O,X
ILTSJZO,X,O,O,X,O,X,X
ILTSJOZ,X,O,O,X,O,X,X
ILTSZJO,X,O,O,O,O,X,X
ILTSZOJ,X,O,X,O,X,X,X
ILTSOJZ,X,O,O,X,O,X,X
ILTSOZJ,X,O,X,O,X,O,X
ILTZJSO,X,O,O,O,X,X,X
ILTZJOS,X,O,O,O,X,X,X
ILTZSJO,X,O,O,O,X,X,X
ILTZSOJ,X,O,X,O,X,X,X
ILTZOJS,X,O,X,O,X,O,X
ILTZOSJ,X,O,X,O,X,O,X
ILTOJSZ,X,X,O,X,X,X,X
ILTOJZS,X,X,O,O,X,O,X
ILTOSJZ,X,O,O,X,X,X,X
ILTOSZJ,X,O,X,O,X,O,X
ILTOZJS,X,O,X,O,X,O,X
ILTOZSJ,X,O,X,O,X,O,X
ILJTSZO,X,X,O,X,O,X,X
ILJTSOZ,X,X,O,X,O,X,X
ILJTZSO,X,X,O,X,X,X,X
ILJTZOS,X,X,O,X,X,X,X
ILJTOSZ,X,X,O,X,X,X,X
ILJTOZS,X,X,O,X,X,O,X
ILJSTZO,X,X,O,X,O,X,X
ILJSTOZ,X,X,O,X,O,X,X
ILJSZTO,X,O,X,X,O,X,X
ILJSZOT,X,O,X,X,O,X,X
ILJSOTZ,X,X,O,X,O,X,X
ILJSOZT,X,O,X,X,O,X,X
ILJZTSO,X,O,O,X,O,X,X
ILJZTOS,X,X,O,X,X,X,O
ILJZSTO,X,O,X,X,O,X,X
ILJZSOT,X,O,X,X,O,X,X
ILJZOTS,X,X,O,X,O,X,O
ILJZOST,X,O,X,X,O,X,X
ILJOTSZ,X,X,O,X,O,X,X
ILJOTZS,X,X,O,X,X,X,X
ILJOSTZ,X,X,O,X,O,X,X
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,X,X,O,X,X,X,O
ILJOZST,X,X,X,X,O,X,X
ILSTJZO,X,O,X,X,O,X,X
ILSTJOZ,X,O,X,X,O,X,X
ILSTZJO,X,O,X,X,O,X,X
ILSTZOJ,X,O,X,X,O,X,X
ILSTOJZ,X,O,X,X,O,X,X
ILSTOZJ,X,O,X,X,O,O,X
ILSJTZO,X,X,O,X,O,X,X
ILSJTOZ,X,X,O,X,O,X,X
ILSJZTO,X,O,X,X,O,X,X
ILSJZOT,X,O,X,X,O,X,X
ILSJOTZ,X,X,O,X,O,X,X
ILSJOZT,X,O,X,X,O,X,X
ILSZTJO,X,O,X,X,O,X,X
ILSZTOJ,X,O,X,X,O,X,X
ILSZJTO,X,O,X,X,O,X,X
ILSZJOT,X,O,X,X,O,X,X
ILSZOTJ,X,O,X,X,O,X,X
ILSZOJT,X,O,X,X,O,X,X
ILSOTJZ,X,O,X,X,O,X,X
ILSOTZJ,X,O,X,X,O,X,X
ILSOJTZ,X,X,X,X,O,X,X
ILSOJZT,X,O,X,X,O,X,X
ILSOZTJ,X,O,X,X,O,X,X
ILSOZJT,X,O,X,X,O,X,X
ILZTJSO,X,O,X,X,O,X,X
ILZTJOS,X,X,X,X,X,X,O
ILZTSJO,X,O,X,X,O,X,X
ILZTSOJ,X,O,X,X,O,X,X
ILZTOJS,X,X,X,X,X,O,O
ILZTOSJ,X,X,X,X,X,O,X
ILZJTSO,X,O,O,X,O,X,X
ILZJTOS,X,X,O,X,X,X,O
ILZJSTO,X,O,X,X,O,X,X
ILZJSOT,X,O,X,X,O,X,X
ILZJOTS,X,X,O,X,O,X,O
ILZJOST,X,O,X,X,O,X,X
ILZSTJO,X,O,X,X,O,X,X
ILZSTOJ,X,O,X,X,O,X,X
ILZSJTO,X,O,X,X,O,X,X
ILZSJOT,X,O,X,X,O,X,X
ILZSOTJ,X,O,X,X,O,X,X
ILZSOJT,X,O,X,X,O,X,X
ILZOTJS,X,X,X,X,O,O,O
ILZOTSJ,X,X,X,X,O,O,X
ILZOJTS,X,X,X,X,O,X,O
ILZOJST,X,O,X,X,O,X,X
ILZOSTJ,X,O,X,X,O,X,X
ILZOSJT,X,O,X,X,O,X,X
ILOTJSZ,X,X,X,X,O,X,X
ILOTJZS,X,X,X,O,X,O,X
ILOTSJZ,X,X,X,X,O,X,X
ILOTSZJ,X,X,X,O,O,O,X
ILOTZJS,X,X,X,O,X,O,X
ILOTZSJ,X,X,X,O,X,O,X
ILOJTSZ,X,X,O,X,O,X,X
ILOJTZS,X,X,O,X,X,X,X
ILOJSTZ,X,X,O,X,O,X,X
ILOJSZT,X,X,X,X,O,X,X
ILOJZTS,X,X,O,X,X,X,O
ILOJZST,X,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,O,X,X
ILOSTZJ,X,O,X,X,O,X,X
ILOSJTZ,X,X,X,X,O,X,X
ILOSJZT,X,O,X,X,O,X,X
ILOSZTJ,X,O,X,X,O,X,X
ILOSZJT,X,O,X,X,O,X,X
ILOZTJS,X,X,X,X,X,O,O
ILOZTSJ,X,X,X,X,X,O,X
ILOZJTS,X,X,X,X,X,X,O
ILOZJST,X,O,X,X,O,X,X
ILOZSTJ,X,O,X,X,O,X,X
ILOZSJT,X,O,X,X,O,X,X
IJTLSZO,X,O,O,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X
IJTLZSO,X,O,O,O,X,X,X
IJTLZOS,X,O,O,O,X,X,X
IJTLOSZ,X,X,O,X,X,X,X
IJTLOZS,X,X,O,O,X,O,X
IJTSLZO,O,O,O,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X
IJTSOZL,O,O,O,X,X,X,X
IJTZLSO,O,O,O,O,X,X,X
IJTZLOS,O,O,O,O,X,X,O
IJTZSLO,O,O,O,O,X,X,X
IJTZSOL,O,O,O,O,X,X,O
IJTZOLS,O,O,O,O,X,X,O
IJTZOSL,O,O,O,O,X,X,O
IJTOLSZ,X,X,O,X,X,X,X
IJTOLZS,X,X,O,O,X,O,X
IJTOSLZ,O,X,O,X,X,X,X
IJTOSZL,O,X,O,X,X,X,X
IJTOZLS,O,X,O,O,X,O,O
IJTOZSL,O,X,O,O,X,X,O
IJLTSZO,X,X,O,X,O,X,X
IJLTSOZ,X,X,O,X,O,X,X
IJLTZSO,X,X,O,X,X,X,X
IJLTZOS,X,X,O,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X
IJLTOZS,X,X,O,X,X,O,X
IJLSTZO,X,X,O,X,O,X,X
IJLSTOZ,X,X,O,X,O,X,X
IJLSZTO,X,O,X,X,O,X,X
IJLSZOT,X,O,X,X,O,X,X
IJLSOTZ,X,X,O,X,O,X,X
IJLSOZT,X,O,X,X,O,X,X
IJLZTSO,X,O,O,X,O,X,X
IJLZTOS,X,X,O,X,X,X,O
IJLZSTO,X,O,X,X,O,X,X
IJLZSOT,X,O,X,X,O,X,X
IJLZOTS,X,X,O,X,O,X,O
IJLZOST,X,O,X,X,O,X,X
IJLOTSZ,X,X,O,X,O,X,X
IJLOTZS,X,X,O,X,X,X,X
IJLOSTZ,X,X,O,X,O,X,X
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,X,X,O,X,X,X,O
IJLOZST,X,X,X,X,O,X,X
IJSTLZO,O,O,O,X,O,X,X
IJSTLOZ,O,O,O,X,O,X,X
IJSTZLO,O,O,O,X,O,X,X
IJSTZOL,O,O,O,X,O,X,X
IJSTOLZ,O,O,O,X,O,X,X
IJSTOZL,O,O,O,X,O,X,X
IJSLTZO,O,X,O,X,O,X,X
IJSLTOZ,O,X,O,X,O,X,X
IJSLZTO,O,O,X,X,O,X,X
IJSLZOT,O,O,X,X,O,X,X
IJSLOTZ,O,X,O,X,O,X,X
IJSLOZT,O,O,X,X,O,X,X
IJSZTLO,O,O,X,X,O,X,X
IJSZTOL,O,O,X,X,O,X,O
IJSZLTO,O,O,X,X,O,X,X
IJSZLOT,O,O,X,X,O,X,X
IJSZOTL,O,O,X,X,O,X,O
IJSZOLT,O,O,X,X,O,X,X
IJSOTLZ,X,O,O,X,O,X,X
IJSOTZL,X,O,O,X,O,X,X
IJSOLTZ,X,X,O,X,O,X,X
IJSOLZT,X,O,X,X,O,X,X
IJSOZTL,X,O,X,X,O,X,O
IJSOZLT,X,O,X,X,O,X,X
IJZTLSO,O,O,O,X,X,X,X
IJZTLOS,O,X,O,X,X,X,O
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X,O
IJZTOLS,O,X,O,X,X,X,O
IJZTOSL,O,X,O,X,X,X,O
IJZLTSO,O,O,O,X,O,X,X
IJZLTOS,O,X,O,X,X,X,O
IJZLSTO,O,O,X,X,O,X,X
IJZLSOT,X,O,X,X,O,X,X
IJZLOTS,O,X,O,X,O,X,O
IJZLOST,X,O,X,X,O,X,X
IJZSTLO,O,O,X,X,O,X,X
IJZSTOL,O,O,X,X,O,X,O
IJZSLTO,O,O,X,X,O,X,X
IJZSLOT,O,O,X,X,O,X,X
IJZSOTL,O,O,X,X,O,X,O
IJZSOLT,O,O,X,X,O,X,X
IJZOTLS,O,X,O,X,O,X,O
IJZOTSL,O,X,O,X,O,X,O
IJZOLTS,O,X,O,X,O,X,O
IJZOLST,X,O,X,X,O,X,X
IJZOSTL,X,O,X,X,O,X,O
IJZOSLT,X,O,X,X,O,X,X
IJOTLSZ,X,X,O,X,O,X,X
IJOTLZS,X,X,O,O,X,X,X
IJOTSLZ,X,X,O,X,O,X,X
IJOTSZL,X,X,O,X,O,X,X
IJOTZLS,X,X,O,O,X,X,O
IJOTZSL,X,X,O,O,X,X,O
IJOLTSZ,X,X,O,X,O,X,X
IJOLTZS,X,X,O,X,X,X,X
IJOLSTZ,X,X,O,X,O,X,X
IJOLSZT,X,X,X,X,O,X,X
IJOLZTS,X,X,O,X,X,X,O
IJOLZST,X,X,X,X,O,X,X
IJOSTLZ,X,X,O,X,O,X,X
IJOSTZL,X,X,O,X,O,X,X
IJOSLTZ,X,X,O,X,O,X,X
IJOSLZT,X,X,X,X,O,X,X
IJOSZTL,X,X,X,X,O,X,O
IJOSZLT,X,X,X,X,O,X,X
IJOZTLS,X,X,O,X,X,X,O
IJOZTSL,X,X,O,X,X,X,O
IJOZLTS,X,X,O,X,X,X,O
IJOZLST,X,X,X,X,O,X,X
IJOZSTL,X,X,X,X,O,X,O
IJOZSLT,X,X,X,X,O,X,X
ISTLJZO,O,O,O,X,O,X,X
ISTLJOZ,O,O,O,X,O,X,X
ISTLZJO,O,O,O,O,O,X,X
ISTLZOJ,O,O,X,O,O,X,X
ISTLOJZ,O,O,O,X,O,X,X
ISTLOZJ,O,O,X,O,O,O,X
ISTJLZO,O,O,O,X,O,X,X
ISTJLOZ,O,O,O,X,O,X,X
ISTJZLO,O,O,O,X,O,X,X
ISTJZOL,O,O,O,X,O,X,X
ISTJOLZ,O,O,O,X,O,X,X
ISTJOZL,O,O,O,X,O,X,X
ISTZLJO,O,O,O,O,O,X,X
ISTZLOJ,O,O,X,O,O,X,X
ISTZJLO,O,O,O,O,O,X,X
ISTZJOL,O,O,O,O,O,X,X
ISTZOLJ,O,O,X,O,O,X,X
ISTZOJL,O,O,X,O,O,X,X
ISTOLJZ,O,O,O,X,O,X,X
ISTOLZJ,O,O,X,O,O,O,X
ISTOJLZ,O,O,O,X,O,X,X
ISTOJZL,O,O,O,X,O,X,X
ISTOZLJ,O,O,X,O,X,O,X
ISTOZJL,O,O,X,O,O,X,X
ISLTJZO,O,O,X,X,O,X,X
ISLTJOZ,O,O,X,X,O,X,X
ISLTZJO,O,O,X,X,O,X,X
ISLTZOJ,O,O,X,X,O,X,X
ISLTOJZ,O,O,X,X,O,X,X
ISLTOZJ,O,O,X,X,O,O,X
ISLJTZO,O,X,O,X,O,X,X
ISLJTOZ,O,X,O,X,O,X,X
ISLJZTO,O,O,X,X,O,X,X
ISLJZOT,O,O,X,X,O,X,X
ISLJOTZ,O,X,O,X,O,X,X
ISLJOZT,O,O,X,X,O,X,X
ISLZTJO,O,O,X,X,O,X,X
ISLZTOJ,O,O,X,X,O,X,X
ISLZJTO,O,O,X,X,O,X,X
ISLZJOT,O,O,X,X,O,X,X
ISLZOTJ,O,O,X,X,O,X,X
ISLZOJT,O,O,X,X,O,X,X
ISLOTJZ,O,O,X,X,O,X,X
ISLOTZJ,O,O,X,X,O,X,X
ISLOJTZ,O,X,X,X,O,X,X
ISLOJZT,O,O,X,X,O,X,X
ISLOZTJ,O,O,X,X,O,X,X
ISLOZJT,O,O,X,X,O,X,X
ISJTLZO,O,O,O,X,O,X,X
ISJTLOZ,O,O,O,X,O,X,X
ISJTZLO,O,O,O,X,O,X,X
ISJTZOL,O,O,O,X,O,X,X
ISJTOLZ,O,O,O,X,O,X,X
ISJTOZL,O,O,O,X,O,X,X
ISJLTZO,O,X,O,X,O,X,X
ISJLTOZ,O,X,O,X,O,X,X
ISJLZTO,O,O,X,X,O,X,X
ISJLZOT,O,O,X,X,O,X,X
ISJLOTZ,O,X,O,X,O,X,X
ISJLOZT,O,O,X,X,O,X,X
ISJZTLO,O,O,X,X,O,X,X
ISJZTOL,O,O,X,X,O,X,O
ISJZLTO,O,O,X,X,O,X,X
ISJZLOT,O,O,X,X,O,X,X
ISJZOTL,O,O,X,X,O,X,O
ISJZOLT,O,O,X,X,O,X,X
ISJOTLZ,X,O,O,X,O,X,X
ISJOTZL,X,O,O,X,O,X,X
ISJOLTZ,X,X,O,X,O,X,X
ISJOLZT,X,O,X,X,O,X,X
ISJOZTL,X,O,X,X,O,X,O
ISJOZLT,X,O,X,X,O,X,X
ISZTLJO,O,O,X,X,O,X,X
ISZTLOJ,O,O,X,X,O,X,X
ISZTJLO,O,O,X,X,O,X,X
ISZTJOL,O,O,X,X,O,X,O
ISZTOLJ,O,O,X,X,O,X,X
ISZTOJL,O,O,X,X,O,X,O
ISZLTJO,O,O,X,X,O,X,X
ISZLTOJ,O,O,X,X,O,X,X
ISZLJTO,O,O,X,X,O,X,X
ISZLJOT,O,O,X,X,O,X,X
ISZLOTJ,O,O,X,X,O,X,X
ISZLOJT,O,O,X,X,O,X,X
ISZJTLO,O,O,X,X,O,X,X
ISZJTOL,O,O,X,X,O,X,O
ISZJLTO,O,O,X,X,O,X,X
ISZJLOT,O,O,X,X,O,X,X
ISZJOTL,O,O,X,X,O,X,O
ISZJOLT,O,O,X,X,O,X,X
ISZOTLJ,O,O,X,X,O,X,X
ISZOTJL,O,O,X,X,O,X,O
ISZOLTJ,O,O,X,X,O,X,X
ISZOLJT,O,O,X,X,O,X,X
ISZOJTL,O,O,X,X,O,X,O
ISZOJLT,O,O,X,X,O,X,X
ISOTLJZ,X,O,X,X,O,X,X
ISOTLZJ,X,O,X,O,O,X,X
ISOTJLZ,X,O,X,X,O,X,X
ISOTJZL,X,O,X,X,O,X,X
ISOTZLJ,X,O,X,O,X,X,X
ISOTZJL,X,O,X,O,O,X,X
ISOLTJZ,X,O,X,X,O,X,X
ISOLTZJ,X,O,X,X,O,X,X
ISOLJTZ,X,X,X,X,O,X,X
ISOLJZT,X,O,X,X,O,X,X
ISOLZTJ,X,O,X,X,O,X,X
ISOLZJT,X,O,X,X,O,X,X
ISOJTLZ,X,O,X,X,O,X,X
ISOJTZL,X,O,X,X,O,X,X
ISOJLTZ,X,X,X,X,O,X,X
ISOJLZT,X,O,X,X,O,X,X
ISOJZTL,X,O,X,X,O,X,O
ISOJZLT,X,O,X,X,O,X,X
ISOZTLJ,X,O,X,X,X,X,X
ISOZTJL,X,O,X,X,O,X,O
ISOZLTJ,X,O,X,X,O,X,X
ISOZLJT,X,O,X,X,O,X,X
ISOZJTL,X,O,X,X,O,X,O
ISOZJLT,X,O,X,X,O,X,X
IZTLJSO,O,O,O,O,X,X,X
IZTLJOS,O,O,O,O,X,X,O
IZTLSJO,O,O,O,O,X,X,X
IZTLSOJ,O,O,X,O,X,X,X
IZTLOJS,O,O,X,O,X,O,O
IZTLOSJ,O,O,X,O,X,O,X
IZTJLSO,O,O,O,O,X,X,X
IZTJLOS,O,O,O,O,X,X,O
IZTJSLO,O,O,O,O,X,X,X
IZTJSOL,O,O,O,O,X,X,O
IZTJOLS,O,O,O,O,X,X,O
IZTJOSL,O,O,O,O,X,X,O
IZTSLJO,O,O,O,O,X,X,X
IZTSLOJ,O,O,X,O,X,X,X
