sequence,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeCAJvhF0hB5oBllB3?nBmnBzpB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeuEJvhF1lB0hB5oBz?nBinBXqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KelBJvhFcnBTjBRlBC?lBXqBGtB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFlhBziB5oB2?sBCqBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBcnBTjBC?qBGtBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0BJvhF5oBupB3lBz?nBinBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFxhBTjBFnBC?qBGtBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBupBcqBT?nB6tBFtB
TILJSZO,O,X,X,O,X,X,O,X
TILJSOZ,X,X,X,O,X,X,O,X
TILJZSO,O,X,X,O,X,X,O,X
TILJZOS,X,O,X,O,X,X,O,X
TILJOSZ,X,X,X,O,X,X,O,X
TILJOZS,X,O,X,O,X,X,O,X
TILSJZO,O,O,X,O,X,X,O,X
TILSJOZ,X,O,X,O,X,X,O,X
TILSZJO,O,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,X,O,X
TILZJOS,X,O,O,O,X,X,O,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,O,X
TILOJZS,X,O,X,O,X,X,O,X
TILOSJZ,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,O,X
TIJLSOZ,X,X,X,O,X,X,O,X
TIJLZSO,O,X,X,O,X,X,O,X
TIJLZOS,X,O,X,O,X,X,O,X
TIJLOSZ,X,X,X,O,X,X,O,X
TIJLOZS,X,O,X,O,X,X,O,X
TIJSLZO,O,O,X,O,X,X,O,X
TIJSLOZ,X,O,X,O,X,X,O,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,O,X,X
TIJSOLZ,X,O,X,O,X,X,O,X
TIJSOZL,X,O,X,X,X,O,X,X
TIJZLSO,O,X,X,O,X,X,O,X
TIJZLOS,X,O,O,O,X,X,O,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,O,X,X
