sequence,v115@HhB8HeD8FeE8DeA8Jem/IvhFChBxiB/rBToB0sBFsB,v115@HhB8HeD8FeE8DeA8Jex/IvhFylBTjBWtBlrBfsB0sB,v115@HhB8HeD8FeE8DeA8Jex/IvhFylBTjBGnBFnB0rBXtB,v115@HhB8HeD8FeE8DeA8Jem/IvhFzgBCiBXjBctBxrBVxB,v115@HhB8HeD8FeE8DeA8Jem/IvhFzgBRiB1rBCtBctBXsB,v115@HhB8HeD8FeE8DeA8Jem/IvhFfmB0hBxiBzrBFtBCtB
TILJSZO,X,O,X,X,O,X
TILJSOZ,X,O,X,X,O,X
TILJZSO,X,O,X,X,O,X
TILJZOS,X,O,X,X,O,X
TILJOSZ,X,O,X,X,O,X
TILJOZS,X,O,X,X,O,X
TILSJZO,X,O,X,X,O,X
TILSJOZ,X,O,O,X,O,X
TILSZJO,X,X,O,X,O,X
TILSZOJ,X,X,O,X,O,X
TILSOJZ,X,X,O,X,O,X
TILSOZJ,X,X,O,X,O,X
TILZJSO,X,O,O,X,O,X
TILZJOS,X,O,X,X,O,X
TILZSJO,X,X,O,X,O,X
TILZSOJ,X,X,O,X,O,X
TILZOJS,X,X,X,X,O,X
TILZOSJ,X,X,X,X,O,X
TILOJSZ,X,O,X,X,O,X
TILOJZS,X,O,X,X,O,X
TILOSJZ,X,X,X,X,O,X
TILOSZJ,X,X,X,X,O,X
TILOZJS,X,X,X,X,O,X
TILOZSJ,X,X,X,X,O,X
TIJLSZO,X,O,X,X,O,X
TIJLSOZ,X,O,X,X,O,X
TIJLZSO,X,O,X,X,O,X
TIJLZOS,X,O,X,X,O,X
TIJLOSZ,X,O,X,X,O,X
TIJLOZS,X,O,X,X,O,X
TIJSLZO,X,O,X,X,X,X
TIJSLOZ,X,O,X,X,X,X
TIJSZLO,X,O,X,X,X,X
TIJSZOL,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,X,O
TIJSOZL,X,O,X,X,X,O
TIJZLSO,X,O,X,O,X,X
TIJZLOS,X,O,X,O,X,X
TIJZSLO,X,O,X,O,X,X
TIJZSOL,X,O,X,O,X,X
