sequence,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBSnBOoBlmBXsBRvB,v115@JhA8FeF8DeB8FeC8Jex/IvhFXhBTiBOoBFsB0pBSwB,v115@JhA8FeF8DeB8FeC8JeT/IvhFlgB3hBOoBCsBcsBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFFiBXjBRsBSvB0rBmqB,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBmhBqrB3nBFoBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFUiBFjBRsBCrBXqB2wB,v115@JhA8FeF8DeB8FeC8JeT/IvhFSmBXjBRsBOsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeT/IvhF6nBOoBRmBfsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeCBJvhFxiBmmBznB1wB/pBUqB,v115@JhA8FeF8DeB8FeC8Je6HJvhFOoBRmBzrB/pBUqBFrB
TILJSZO,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,X,O,X,X,X,X
TILJOSZ,X,O,O,X,X,X,X,O,X,X
TILJOZS,X,O,O,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,X,X,O,X,O,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,O,X,O,X,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,O,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,O,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,X,X,X
TILZOSJ,X,X,X,O,X,O,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,O,X,X
TILOJZS,X,O,O,X,X,O,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,X,O,X,X,X,X
TILOZJS,X,X,X,O,X,O,X,X,X,X
TILOZSJ,X,X,X,O,X,O,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,O,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,O,X,X
TIJLOZS,X,O,O,X,X,O,X,X,X,X
TIJSLZO,X,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,O,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,O,O,X,X,X,X,X,X,X
TIJZLOS,X,O,O,X,X,O,X,X,X,X
TIJZSLO,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,O,O,X,X,O,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,O,X,X
TIJOLZS,X,O,O,X,X,O,X,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,O,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,O,X,X,X,X,X,X
