sequence,v115@GhA8IeA8CeA8EeB8BeG8JeOEJvhFXgBVmBUiBaoBzp?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jel/IvhFUhBRiB/pBOqByw?BzsB,v115@GhA8IeA8CeA8EeB8BeG8JeT/IvhFOlBXhBVnBaoB0p?BxwB,v115@GhA8IeA8CeA8EeB8BeG8Jei/IvhFRhBFlBTmBmnB3n?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JexAJvhFmiBTkBilB3mB1s?B0pB,v115@GhA8IeA8CeA8EeB8BeG8JeUBJvhFRiB/pBFlByrBzn?BmpB
TLIJZOS,O,X,O,X,X,X
TLIJOSZ,O,X,X,O,O,X
TLIJOZS,O,X,X,O,X,X
TLISJZO,O,O,O,X,O,X
TLISJOZ,O,O,O,X,O,X
TLISZJO,O,O,O,X,O,X
TLISZOJ,O,O,O,X,O,X
TLISOJZ,O,X,O,O,O,X
TLISOZJ,O,O,O,X,O,X
TLIZJSO,O,O,O,X,X,X
TLIZJOS,O,X,O,X,X,X
TLIZSJO,O,O,O,X,X,X
TLIZSOJ,O,O,O,X,X,X
TLIZOJS,O,X,O,O,X,X
TLIZOSJ,O,X,O,X,X,X
TLIOJSZ,O,X,X,O,O,X
TLIOJZS,O,X,X,O,X,X
TLIOSJZ,O,X,O,O,O,X
TLIOSZJ,O,X,O,X,O,X
TLIOZJS,O,X,O,O,X,X
TLIOZSJ,O,X,O,X,X,X
TLJISZO,O,O,X,X,O,X
TLJISOZ,O,O,X,X,O,X
TLJIZSO,O,O,X,X,X,X
TLJIZOS,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,O,X
TLJIOZS,O,X,X,O,X,X
TLJSIZO,O,O,X,X,O,X
TLJSIOZ,O,O,X,X,O,X
TLJSZIO,O,O,X,X,O,X
TLJSZOI,O,O,X,X,O,X
TLJSOIZ,X,O,X,O,O,X
TLJSOZI,O,O,X,O,O,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,X,X,X,X,X
TLJZSIO,O,O,X,X,O,X
TLJZSOI,O,O,X,X,O,X
TLJZOIS,O,O,X,O,X,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,O,O,X,O,O,X
TLJOIZS,O,O,X,O,X,X
TLJOSIZ,O,O,X,O,O,X
TLJOSZI,O,O,X,O,O,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,O,O,X,O,O,X
TLSIJZO,O,O,X,X,O,X
TLSIJOZ,O,O,X,X,O,X
TLSIZJO,O,O,X,X,O,X
TLSIZOJ,O,O,X,X,O,O
TLSIOJZ,O,O,X,O,O,O
TLSIOZJ,O,O,X,X,O,O
TLSJIZO,O,O,X,X,O,X
TLSJIOZ,O,O,X,X,O,X
TLSJZIO,O,O,X,X,O,X
TLSJZOI,O,O,X,X,O,O
TLSJOIZ,X,O,X,O,O,O
TLSJOZI,O,O,X,O,O,O
TLSZIJO,O,O,X,X,O,X
TLSZIOJ,O,O,X,X,O,O
TLSZJIO,O,O,X,X,O,X
TLSZJOI,O,O,X,X,O,O
TLSZOIJ,O,O,X,X,O,O
TLSZOJI,O,O,X,X,O,O
TLSOIJZ,O,O,X,O,O,O
TLSOIZJ,O,O,X,X,O,O
TLSOJIZ,O,O,X,O,O,O
TLSOJZI,O,O,X,O,O,O
TLSOZIJ,O,O,X,X,O,O
TLSOZJI,O,O,X,X,O,O
TLZIJSO,O,O,O,X,X,X
TLZIJOS,O,X,O,X,X,X
TLZISJO,O,O,O,X,X,X
TLZISOJ,O,O,O,X,X,X
TLZIOJS,O,X,O,O,X,X
TLZIOSJ,O,X,O,X,X,X
TLZJISO,O,O,O,X,X,X
TLZJIOS,O,X,O,X,X,X
TLZJSIO,O,O,X,X,O,X
TLZJSOI,O,O,X,X,O,X
TLZJOIS,O,O,O,O,X,X
TLZJOSI,O,O,X,O,O,X
TLZSIJO,O,O,X,X,O,X
TLZSIOJ,O,O,X,X,O,O
TLZSJIO,O,O,X,X,O,X
TLZSJOI,O,O,X,X,O,O
TLZSOIJ,O,O,X,X,O,O
TLZSOJI,O,O,X,X,O,O
TLZOIJS,O,O,O,O,X,X
TLZOISJ,O,O,O,X,X,O
TLZOJIS,O,O,O,O,X,X
TLZOJSI,O,O,X,O,O,X
TLZOSIJ,O,O,X,X,O,O
TLZOSJI,O,O,X,X,O,O
TLOIJSZ,O,O,X,O,O,X
TLOIJZS,O,O,X,O,X,X
TLOISJZ,O,O,X,O,O,O
TLOISZJ,O,O,X,X,O,O
TLOIZJS,O,O,X,O,X,X
TLOIZSJ,O,O,X,X,X,O
TLOJISZ,O,O,X,O,O,X
TLOJIZS,O,O,X,O,X,X
TLOJSIZ,O,O,X,O,O,X
TLOJSZI,O,O,X,O,O,X
TLOJZIS,O,O,X,O,X,X
TLOJZSI,O,O,X,O,O,X
TLOSIJZ,O,O,X,O,O,O
TLOSIZJ,O,O,X,X,O,O
TLOSJIZ,O,O,X,O,O,O
TLOSJZI,O,O,X,O,O,O
TLOSZIJ,O,O,X,X,O,O
TLOSZJI,O,O,X,X,O,O
TLOZIJS,O,O,X,O,X,X
TLOZISJ,O,O,X,X,X,O
TLOZJIS,O,O,X,O,X,X
TLOZJSI,O,O,X,O,O,X
TLOZSIJ,O,O,X,X,O,O
TLOZSJI,O,O,X,X,O,O
TJILSZO,O,X,X,X,O,X
TJILSOZ,O,X,X,X,O,X
TJILZSO,O,X,X,X,X,X
TJILZOS,O,X,X,X,X,X
TJILOSZ,O,X,X,O,O,X
TJILOZS,O,X,X,O,X,X
TJISLZO,O,X,X,X,O,X
TJISLOZ,O,X,X,X,O,X
TJISZLO,O,X,X,X,O,X
TJISZOL,O,X,X,X,X,X
TJISOLZ,O,X,X,X,O,X
TJISOZL,O,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X
TJIOLSZ,O,X,X,O,O,X
TJIOLZS,O,X,X,O,X,X
TJIOSLZ,O,X,X,O,O,X
TJIOSZL,O,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X
TJIOZSL,O,X,X,X,X,X
TJLISZO,O,O,X,X,O,X
TJLISOZ,O,O,X,X,O,X
TJLIZSO,O,O,X,X,X,X
TJLIZOS,O,X,X,X,X,X
TJLIOSZ,O,X,X,O,O,X
TJLIOZS,O,X,X,O,X,X
TJLSIZO,O,O,X,X,O,X
TJLSIOZ,O,O,X,X,O,X
TJLSZIO,O,O,X,X,O,X
TJLSZOI,O,O,X,X,O,X
TJLSOIZ,X,O,X,O,O,X
TJLSOZI,O,O,X,O,O,X
TJLZISO,O,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X
TJLZSIO,O,O,X,X,O,X
TJLZSOI,O,O,X,X,O,X
TJLZOIS,O,O,X,O,X,X
TJLZOSI,O,O,X,O,O,X
TJLOISZ,O,O,X,O,O,X
TJLOIZS,O,O,X,O,X,X
TJLOSIZ,O,O,X,O,O,X
TJLOSZI,O,O,X,O,O,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,O,O,X,O,O,X
TJSILZO,O,O,X,X,O,X
TJSILOZ,O,O,X,X,O,X
TJSIZLO,O,O,X,X,O,X
TJSIZOL,O,O,X,X,X,X
TJSIOLZ,O,O,X,X,O,X
TJSIOZL,O,O,X,X,X,X
TJSLIZO,O,O,X,X,O,X
TJSLIOZ,O,O,X,X,O,X
TJSLZIO,O,O,X,X,O,X
TJSLZOI,O,O,X,X,O,X
TJSLOIZ,X,O,X,O,O,X
TJSLOZI,O,O,X,O,O,X
TJSZILO,O,O,X,X,O,X
TJSZIOL,O,O,X,X,X,X
TJSZLIO,O,O,X,X,O,X
TJSZLOI,O,O,X,X,O,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,X,X,O,X
TJSOILZ,O,O,X,O,O,X
TJSOIZL,O,O,X,X,X,X
TJSOLIZ,X,O,X,O,O,X
TJSOLZI,O,O,X,O,O,X
TJSOZIL,O,O,X,X,X,X
TJSOZLI,O,O,X,X,O,X
TJZILSO,O,X,X,X,X,X
TJZILOS,O,X,X,O,X,X
TJZISLO,O,O,X,X,X,X
TJZISOL,O,O,X,X,X,X
TJZIOLS,O,X,X,O,X,X
TJZIOSL,O,X,X,O,X,X
TJZLISO,O,O,X,X,X,X
TJZLIOS,O,X,X,O,X,X
TJZLSIO,O,O,X,X,O,X
TJZLSOI,O,O,X,O,O,X
TJZLOIS,O,O,X,O,X,X
TJZLOSI,O,O,X,O,O,X
TJZSILO,O,O,X,X,O,X
TJZSIOL,O,O,X,X,X,X
TJZSLIO,O,O,X,X,O,X
TJZSLOI,O,O,X,O,O,X
TJZSOIL,O,O,X,O,X,X
TJZSOLI,O,O,X,O,O,X
TJZOILS,O,X,X,O,X,X
TJZOISL,O,O,X,O,X,X
TJZOLIS,O,O,X,O,X,X
TJZOLSI,O,O,X,O,O,X
TJZOSIL,O,O,X,O,X,X
TJZOSLI,O,O,X,O,O,X
TJOILSZ,O,O,X,O,O,X
TJOILZS,O,O,X,O,X,X
TJOISLZ,O,O,X,O,O,X
TJOISZL,O,O,X,X,X,X
TJOIZLS,O,X,X,O,X,X
TJOIZSL,O,O,X,O,X,X
TJOLISZ,O,O,X,O,O,X
TJOLIZS,O,O,X,O,X,X
TJOLSIZ,O,O,X,O,O,X
TJOLSZI,O,O,X,O,O,X
TJOLZIS,O,O,X,O,X,X
TJOLZSI,O,O,X,O,O,X
TJOSILZ,O,O,X,O,O,X
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,O,X,O,O,X
TJOSLZI,O,O,X,O,O,X
TJOSZIL,O,O,X,X,X,X
TJOSZLI,O,O,X,X,O,X
TJOZILS,O,X,X,O,X,X
TJOZISL,O,O,X,O,X,X
TJOZLIS,O,O,X,O,X,X
TJOZLSI,O,O,X,O,O,X
TJOZSIL,O,O,X,O,X,X
TJOZSLI,O,O,X,O,O,X
TSILJZO,O,O,O,X,O,X
TSILJOZ,O,X,O,X,O,X
TSILZJO,O,O,O,X,O,X
TSILZOJ,O,O,O,X,O,O
TSILOJZ,O,O,O,O,O,O
TSILOZJ,O,O,O,X,O,O
TSIJLZO,O,X,O,X,O,X
TSIJLOZ,O,X,O,X,O,X
TSIJZLO,O,X,O,X,O,X
TSIJZOL,O,X,O,X,X,X
TSIJOLZ,O,X,O,X,O,X
TSIJOZL,O,X,O,X,X,X
TSIZLJO,O,X,O,X,O,X
TSIZLOJ,O,X,O,X,O,O
TSIZJLO,O,X,O,X,O,X
TSIZJOL,O,X,O,X,X,X
TSIZOLJ,O,X,O,X,X,O
TSIZOJL,O,X,O,X,X,X
TSIOLJZ,O,O,O,O,O,O
TSIOLZJ,O,O,O,X,O,O
TSIOJLZ,O,O,O,O,O,O
TSIOJZL,O,X,O,X,X,X
TSIOZLJ,O,O,O,X,X,O
TSIOZJL,O,X,O,X,X,X
TSLIJZO,O,O,X,X,O,X
TSLIJOZ,O,O,X,X,O,X
TSLIZJO,O,O,X,X,O,X
TSLIZOJ,O,O,X,X,O,O
TSLIOJZ,O,O,X,O,O,O
TSLIOZJ,O,O,X,X,O,O
TSLJIZO,O,O,X,X,O,X
TSLJIOZ,O,O,X,X,O,X
TSLJZIO,O,O,X,X,O,X
TSLJZOI,O,O,X,X,O,O
TSLJOIZ,X,O,X,O,O,O
TSLJOZI,O,O,X,O,O,O
TSLZIJO,O,O,X,X,O,X
TSLZIOJ,O,O,X,X,O,O
TSLZJIO,O,O,X,X,O,X
TSLZJOI,O,O,X,X,O,O
TSLZOIJ,O,O,X,X,O,O
TSLZOJI,O,O,X,X,O,O
TSLOIJZ,O,O,X,O,O,O
TSLOIZJ,O,O,X,X,O,O
TSLOJIZ,O,O,X,O,O,O
TSLOJZI,O,O,X,O,O,O
TSLOZIJ,O,O,X,X,O,O
TSLOZJI,O,O,X,X,O,O
TSJILZO,O,O,O,X,O,X
TSJILOZ,O,O,O,X,O,X
TSJIZLO,O,O,O,X,O,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,O,O,O,X,O,X
TSJIOZL,O,O,O,X,X,X
TSJLIZO,O,O,X,X,O,X
TSJLIOZ,O,O,X,X,O,X
TSJLZIO,O,O,X,X,O,X
TSJLZOI,O,O,X,X,O,O
TSJLOIZ,X,O,X,O,O,O
TSJLOZI,O,O,X,O,O,O
TSJZILO,O,O,O,X,O,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,X,X,O,X
TSJZLOI,O,O,X,X,O,O
TSJZOIL,O,O,O,X,X,X
TSJZOLI,O,O,X,X,O,O
TSJOILZ,O,O,X,O,O,O
TSJOIZL,O,O,X,X,X,X
TSJOLIZ,X,O,X,O,O,O
TSJOLZI,O,O,X,O,O,O
TSJOZIL,O,O,X,X,X,X
TSJOZLI,O,O,X,X,O,O
TSZILJO,O,X,O,X,O,X
TSZILOJ,O,X,O,X,O,O
TSZIJLO,O,X,O,X,O,X
TSZIJOL,O,X,O,X,X,X
TSZIOLJ,O,X,O,X,X,O
TSZIOJL,O,X,O,X,X,X
TSZLIJO,O,O,X,X,O,X
TSZLIOJ,O,O,X,X,O,O
TSZLJIO,O,O,X,X,O,X
TSZLJOI,O,O,X,X,O,O
TSZLOIJ,O,O,X,X,O,O
TSZLOJI,O,O,X,X,O,O
TSZJILO,O,X,O,X,O,X
TSZJIOL,O,X,O,X,X,X
TSZJLIO,O,X,X,X,O,X
TSZJLOI,O,X,X,X,O,O
TSZJOIL,O,X,O,X,X,X
TSZJOLI,O,X,X,X,O,O
TSZOILJ,O,O,O,X,X,O
TSZOIJL,O,X,O,X,X,X
TSZOLIJ,O,O,X,X,O,O
TSZOLJI,O,O,X,X,O,O
TSZOJIL,O,X,O,X,X,X
TSZOJLI,O,X,X,X,O,O
TSOILJZ,O,O,X,O,O,O
TSOILZJ,O,O,X,X,O,O
TSOIJLZ,O,O,X,O,O,O
TSOIJZL,O,O,X,X,X,X
TSOIZLJ,O,O,X,X,X,O
TSOIZJL,O,X,X,X,X,X
TSOLIJZ,O,O,X,O,O,O
TSOLIZJ,O,O,X,X,O,O
TSOLJIZ,O,O,X,O,O,O
TSOLJZI,O,O,X,O,O,O
TSOLZIJ,O,O,X,X,O,O
TSOLZJI,O,O,X,X,O,O
TSOJILZ,O,O,X,O,O,O
TSOJIZL,O,O,X,X,X,X
TSOJLIZ,O,O,X,O,O,O
TSOJLZI,O,O,X,O,O,O
TSOJZIL,O,O,X,X,X,X
TSOJZLI,O,O,X,X,O,O
TSOZILJ,O,O,X,X,X,O
TSOZIJL,O,X,X,X,X,X
TSOZLIJ,O,O,X,X,O,O
TSOZLJI,O,O,X,X,O,O
TSOZJIL,O,X,X,X,X,X
TSOZJLI,O,X,X,X,O,O
TZILJSO,O,X,O,X,X,X
TZILJOS,O,X,O,O,X,X
TZILSJO,O,X,O,X,X,X
TZILSOJ,O,X,O,O,X,X
TZILOJS,O,X,O,O,X,X
TZILOSJ,O,X,O,O,X,X
TZIJLSO,O,X,O,X,X,X
TZIJLOS,O,X,O,O,X,X
TZIJSLO,O,X,O,X,X,X
TZIJSOL,O,X,O,X,X,X
TZIJOLS,O,X,O,O,X,X
TZIJOSL,O,X,O,O,X,X
TZISLJO,O,X,O,X,X,X
TZISLOJ,O,X,O,O,X,X
TZISJLO,O,X,O,X,X,X
TZISJOL,O,X,O,X,X,X
TZISOLJ,O,X,O,O,X,X
TZISOJL,O,X,O,O,X,X
TZIOLJS,O,X,O,O,X,X
TZIOLSJ,O,X,O,O,X,X
TZIOJLS,O,X,O,O,X,X
TZIOJSL,O,X,O,O,X,X
TZIOSLJ,O,X,O,O,X,X
TZIOSJL,O,X,O,O,X,X
TZLIJSO,O,X,O,X,X,X
TZLIJOS,O,X,O,O,X,X
TZLISJO,O,X,O,X,X,X
TZLISOJ,O,X,O,O,X,X
TZLIOJS,O,X,O,O,X,X
TZLIOSJ,O,X,O,O,X,X
TZLJISO,O,X,O,X,X,X
TZLJIOS,O,X,O,O,X,X
TZLJSIO,O,X,X,X,O,X
TZLJSOI,O,X,X,O,O,X
TZLJOIS,O,X,O,O,X,X
TZLJOSI,O,X,X,O,O,X
TZLSIJO,O,X,X,X,O,X
TZLSIOJ,O,X,X,O,O,X
TZLSJIO,O,X,X,X,O,X
TZLSJOI,O,X,X,O,O,X
TZLSOIJ,O,X,X,O,O,X
TZLSOJI,O,X,X,O,O,X
TZLOIJS,O,X,O,O,X,X
TZLOISJ,O,X,O,O,X,X
TZLOJIS,O,X,O,O,X,X
TZLOJSI,O,X,X,O,O,X
TZLOSIJ,O,X,X,O,O,X
TZLOSJI,O,X,X,O,O,X
TZJILSO,O,X,O,X,X,X
TZJILOS,O,X,O,O,X,X
TZJISLO,O,X,O,X,X,X
TZJISOL,O,X,O,X,X,X
TZJIOLS,O,X,O,O,X,X
TZJIOSL,O,X,O,O,X,X
TZJLISO,O,X,O,X,X,X
TZJLIOS,O,X,O,O,X,X
TZJLSIO,O,X,X,X,O,X
TZJLSOI,O,X,X,O,O,X
TZJLOIS,O,X,O,O,X,X
TZJLOSI,O,X,X,O,O,X
TZJSILO,O,X,O,X,O,X
TZJSIOL,O,X,O,X,X,X
TZJSLIO,O,X,X,X,O,X
TZJSLOI,O,X,X,O,O,X
TZJSOIL,O,X,O,O,X,X
TZJSOLI,O,X,X,O,O,X
TZJOILS,O,X,O,O,X,X
TZJOISL,O,X,O,O,X,X
TZJOLIS,O,X,O,O,X,X
TZJOLSI,O,X,X,O,O,X
TZJOSIL,O,X,O,O,X,X
TZJOSLI,O,X,X,O,O,X
TZSILJO,O,X,O,X,O,X
TZSILOJ,O,X,O,O,O,X
TZSIJLO,O,X,O,X,O,X
TZSIJOL,O,X,O,X,X,X
TZSIOLJ,O,X,O,O,X,X
TZSIOJL,O,X,O,O,X,X
TZSLIJO,O,X,X,X,O,X
TZSLIOJ,O,X,X,O,O,X
TZSLJIO,O,X,X,X,O,X
TZSLJOI,O,X,X,O,O,X
TZSLOIJ,O,X,X,O,O,X
TZSLOJI,O,X,X,O,O,X
TZSJILO,O,X,O,X,O,X
TZSJIOL,O,X,O,X,X,X
TZSJLIO,O,X,X,X,O,X
TZSJLOI,O,X,X,O,O,X
TZSJOIL,O,X,O,O,X,X
TZSJOLI,O,X,X,O,O,X
TZSOILJ,O,X,O,O,X,X
TZSOIJL,O,X,O,O,X,X
TZSOLIJ,O,X,X,O,O,X
TZSOLJI,O,X,X,O,O,X
TZSOJIL,O,X,O,O,X,X
TZSOJLI,O,X,X,O,O,X
TZOILJS,O,X,O,O,X,X
TZOILSJ,O,X,O,O,X,X
TZOIJLS,O,X,O,O,X,X
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,X,O,O,X,X
TZOISJL,O,X,O,O,X,X
TZOLIJS,O,X,O,O,X,X
TZOLISJ,O,X,O,O,X,X
TZOLJIS,O,X,O,O,X,X
TZOLJSI,O,X,X,O,O,X
TZOLSIJ,O,X,X,O,O,X
TZOLSJI,O,X,X,O,O,X
TZOJILS,O,X,O,O,X,X
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,X,O,O,X,X
TZOJLSI,O,X,X,O,O,X
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,X,X,O,O,X
TZOSILJ,O,X,O,O,X,X
TZOSIJL,O,X,O,O,X,X
TZOSLIJ,O,X,X,O,O,X
TZOSLJI,O,X,X,O,O,X
TZOSJIL,O,X,O,O,X,X
TZOSJLI,O,X,X,O,O,X
TOILJSZ,O,O,X,O,O,X
TOILJZS,O,O,X,O,X,X
TOILSJZ,O,O,X,O,O,O
TOILSZJ,O,O,X,X,O,O
TOILZJS,O,O,X,O,X,X
TOILZSJ,O,O,X,X,X,O
TOIJLSZ,O,O,X,O,O,X
TOIJLZS,O,O,X,O,X,X
TOIJSLZ,O,O,X,O,O,X
TOIJSZL,O,O,X,X,X,X
TOIJZLS,O,X,X,O,X,X
TOIJZSL,O,O,X,O,X,X
TOISLJZ,O,O,X,O,O,O
TOISLZJ,O,O,X,X,O,O
TOISJLZ,O,O,X,O,O,O
TOISJZL,O,O,X,X,X,X
TOISZLJ,O,O,X,X,X,O
TOISZJL,O,X,X,X,X,X
TOIZLJS,O,X,X,O,X,X
TOIZLSJ,O,X,X,O,X,X
TOIZJLS,O,X,X,O,X,X
TOIZJSL,O,X,X,O,X,X
TOIZSLJ,O,X,X,O,X,X
TOIZSJL,O,X,X,O,X,X
TOLIJSZ,O,O,X,O,O,X
TOLIJZS,O,O,X,O,X,X
TOLISJZ,O,O,X,O,O,O
TOLISZJ,O,O,X,X,O,O
TOLIZJS,O,O,X,O,X,X
TOLIZSJ,O,O,X,X,X,O
TOLJISZ,O,O,X,O,O,X
TOLJIZS,O,O,X,O,X,X
TOLJSIZ,O,O,X,O,O,X
TOLJSZI,O,O,X,O,O,X
TOLJZIS,O,O,X,O,X,X
TOLJZSI,O,O,X,O,O,X
TOLSIJZ,O,O,X,O,O,O
TOLSIZJ,O,O,X,X,O,O
TOLSJIZ,O,O,X,O,O,O
TOLSJZI,O,O,X,O,O,O
TOLSZIJ,O,O,X,X,O,O
TOLSZJI,O,O,X,X,O,O
TOLZIJS,O,O,X,O,X,X
TOLZISJ,O,O,X,X,X,O
TOLZJIS,O,O,X,O,X,X
TOLZJSI,O,O,X,O,O,X
TOLZSIJ,O,O,X,X,O,O
TOLZSJI,O,O,X,X,O,O
TOJILSZ,O,O,X,O,O,X
TOJILZS,O,O,X,O,X,X
TOJISLZ,O,O,X,O,O,X
TOJISZL,O,O,X,X,X,X
TOJIZLS,O,X,X,O,X,X
TOJIZSL,O,O,X,O,X,X
TOJLISZ,O,O,X,O,O,X
TOJLIZS,O,O,X,O,X,X
TOJLSIZ,O,O,X,O,O,X
TOJLSZI,O,O,X,O,O,X
TOJLZIS,O,O,X,O,X,X
TOJLZSI,O,O,X,O,O,X
TOJSILZ,O,O,X,O,O,X
TOJSIZL,O,O,X,X,X,X
TOJSLIZ,O,O,X,O,O,X
TOJSLZI,O,O,X,O,O,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,X,O,X
TOJZILS,O,X,X,O,X,X
