sequence,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBOpBllBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JeOEJvhFXgB0hB6nB1uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF0hB6nBllBmpBXr?BTpB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nBOpB0lBlmBzp?BXrB,v115@FhB8HeB8FeA8AeB8EeE8JexAJvhF6nBOpBXlBlmBzq?B0pB,v115@FhB8HeB8FeA8AeB8EeE8JecEJvhFxgB6nBXlBlmBzq?B2uB,v115@FhB8HeB8FeA8AeB8EeE8Je/EJvhFFgB0hB6nB2uBxq?BzqB,v115@FhB8HeB8FeA8AeB8EeE8Jex/IvhF6nB0lBlmBmpBTp?BXrB
TIOZJLS,X,O,X,O,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X
TIOZSLJ,X,O,X,X,O,O,X,X
TIOZSJL,X,O,X,X,O,O,X,X
TLIJSZO,X,O,X,X,X,X,O,X
TLIJSOZ,X,O,X,X,X,X,O,X
TLIJZSO,X,O,X,X,X,X,O,X
TLIJZOS,X,O,X,X,X,X,X,O
TLIJOSZ,X,O,X,X,O,O,X,X
TLIJOZS,X,O,X,O,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,X
TLISJOZ,X,O,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,O,O,X,X
TLISOZJ,X,O,X,X,O,O,X,X
TLIZJSO,X,O,X,X,X,X,O,X
TLIZJOS,X,O,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,O,O,X,X
TLIOJSZ,X,O,X,X,O,O,X,X
TLIOJZS,X,O,X,O,X,X,X,X
TLIOSJZ,X,O,X,X,O,O,X,X
TLIOSZJ,X,O,X,X,O,O,X,X
TLIOZJS,X,O,X,O,X,X,X,X
TLIOZSJ,X,O,X,X,O,O,X,X
TLJISZO,O,O,X,X,X,X,O,X
TLJISOZ,O,O,X,X,X,X,O,X
TLJIZSO,O,O,X,X,X,X,O,X
TLJIZOS,O,O,X,X,X,X,X,O
TLJIOSZ,O,O,X,X,O,O,X,X
TLJIOZS,O,O,X,O,X,X,X,X
TLJSIZO,O,O,O,X,X,X,O,X
TLJSIOZ,O,O,O,X,X,X,O,X
TLJSZIO,O,O,O,X,X,X,O,X
TLJSZOI,O,O,O,X,X,X,O,O
TLJSOIZ,O,O,O,X,O,X,O,X
TLJSOZI,O,O,O,O,O,X,O,X
TLJZISO,O,O,X,X,X,X,O,X
TLJZIOS,O,O,X,X,X,X,X,O
TLJZSIO,O,O,O,X,X,X,O,X
TLJZSOI,O,O,O,X,X,X,O,O
TLJZOIS,O,O,X,O,X,X,X,O
TLJZOSI,O,O,X,O,O,X,X,O
TLJOISZ,O,O,X,X,O,O,X,X
TLJOIZS,O,O,X,O,X,X,X,X
TLJOSIZ,O,O,X,X,O,O,X,X
TLJOSZI,O,O,X,O,O,O,X,X
TLJOZIS,O,O,X,O,X,X,X,O
TLJOZSI,O,O,X,O,O,X,X,O
TLSIJZO,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,O,X,X
TLSIOZJ,O,O,O,X,O,O,X,X
TLSJIZO,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,O
TLSJOIZ,O,O,O,X,O,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,O,O,X,X,O,O,X,X
TLSOIZJ,O,O,O,X,O,O,X,X
TLSOJIZ,O,O,O,X,O,O,X,X
TLSOJZI,O,O,O,O,O,O,X,X
TLSOZIJ,O,X,O,X,O,O,X,X
TLSOZJI,O,O,O,O,O,O,X,X
TLZIJSO,X,O,X,X,X,X,O,X
TLZIJOS,X,O,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,O,O,X,X
TLZJISO,O,O,X,X,X,X,O,X
TLZJIOS,O,O,X,X,X,X,X,O
TLZJSIO,O,O,O,X,X,X,O,X
TLZJSOI,O,O,O,X,X,X,O,O
TLZJOIS,O,O,X,O,X,X,X,O
TLZJOSI,O,O,X,O,O,X,X,O
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X
TLZOISJ,O,O,X,X,O,O,X,X
TLZOJIS,O,O,X,O,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X
TLZOSIJ,O,X,X,X,O,O,X,X
TLZOSJI,O,O,X,O,O,O,X,X
TLOIJSZ,O,O,X,X,O,O,X,X
TLOIJZS,O,O,X,O,X,X,X,X
TLOISJZ,X,O,X,X,O,O,X,X
TLOISZJ,O,O,X,X,O,O,X,X
TLOIZJS,O,O,X,O,X,X,X,X
TLOIZSJ,O,O,X,X,O,O,X,X
TLOJISZ,O,O,X,X,O,O,X,X
TLOJIZS,O,O,X,O,X,X,X,X
TLOJSIZ,O,O,X,X,O,O,X,X
TLOJSZI,O,O,X,O,O,O,X,X
TLOJZIS,O,O,X,O,X,X,X,O
TLOJZSI,O,O,X,O,O,X,X,O
TLOSIJZ,O,O,X,X,O,O,X,X
TLOSIZJ,O,O,X,X,O,O,X,X
TLOSJIZ,O,O,X,X,O,O,X,X
TLOSJZI,O,O,X,O,O,O,X,X
TLOSZIJ,O,X,X,X,O,O,X,X
TLOSZJI,O,O,X,O,O,O,X,X
TLOZIJS,O,O,X,O,X,X,X,X
TLOZISJ,O,O,X,X,O,O,X,X
TLOZJIS,O,O,X,O,X,X,X,X
TLOZJSI,O,O,X,O,O,X,X,X
TLOZSIJ,O,X,X,X,O,O,X,X
TLOZSJI,O,O,X,O,O,O,X,X
TJILSZO,O,O,X,X,X,X,O,X
TJILSOZ,O,O,X,X,X,X,O,X
TJILZSO,O,O,X,X,X,X,O,X
TJILZOS,O,O,X,X,X,X,X,O
TJILOSZ,O,O,X,X,O,O,X,X
TJILOZS,O,O,X,O,X,X,X,X
TJISLZO,O,O,X,X,X,X,O,X
TJISLOZ,O,O,X,X,X,X,O,X
