sequence,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFRhB/pBOqB8qBCn?BTsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhF/mBUiBikB1qBWv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBfsB6sB0p?BlqB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBSsBlpB3q?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhFihBTkBGnBlqBUs?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFzgB/pBKqBGnBRr?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jei/IvhFRhB1pB8qBzmB+s?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Je0/IvhFlgB2pBxmB3mBSv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhF/pBFlB8qBCnBTs?BmpB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhFRhByqB0pBGsB/q?BFsB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFanB/pBxlB+sBUm?BTqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFUhBanB/pB+sBxq?BTqB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhFypBzlBGsB/pBFs?BUqB
TIZLSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJLOS,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZJOSL,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZSLJO,X,O,O,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,O,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,O,O,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,O,O,X,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,O,O,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,O,O,X,X,X,X,X
TLISJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLISOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIZJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X
TLIOJZS,X,O,X,X,O,X,X,O,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,O,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,X,O,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,O,O,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,O,O,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,O,O,X,X,X,X,X
TLJSIZO,O,O,O,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TLJSZOI,O,O,O,O,X,X,O,O,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,X,O,O,X,X,X,X,X
