sequence,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFRhB/pBOqB8qBCn?BTsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhF/mBUiBikB1qBWv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBfsB6sB0p?BlqB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhF2lBRhBSsBlpB3q?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jex/IvhFihBTkBGnBlqBUs?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFzgB/pBKqBGnBRr?BUsB,v115@EhC8HeB8HeC8CeB8BeB8Jei/IvhFRhB1pB8qBzmB+s?BXqB,v115@EhC8HeB8HeC8CeB8BeB8Je0/IvhFlgB2pBxmB3mBSv?BTsB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhF/pBFlB8qBCnBTs?BmpB,v115@EhC8HeB8HeC8CeB8BeB8JeT/IvhFRhByqB0pBGsB/q?BFsB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFanB/pBxlB+sBUm?BTqB,v115@EhC8HeB8HeC8CeB8BeB8Jel/IvhFUhBanB/pB+sBxq?BTqB,v115@EhC8HeB8HeC8CeB8BeB8JeRBJvhFypBzlBGsB/pBFs?BUqB
TJSOLIZ,O,O,X,O,X,X,O,X,X,X,O,O,X
TJSOLZI,O,O,X,O,X,X,O,X,X,X,O,X,X
TJSOZIL,O,O,O,O,X,X,O,X,X,X,O,X,X
TJSOZLI,O,O,O,O,X,X,O,X,X,X,O,X,X
TJZILSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZILOS,X,X,O,X,O,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,X,X,X,O,X,X,X,X,X,X
TJZISOL,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,O,X,O,X,O,O,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJZLISO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJZLIOS,X,O,O,X,O,X,O,X,X,O,X,X,X
TJZLSIO,X,O,O,X,X,X,O,X,X,O,X,X,X
TJZLSOI,X,O,O,X,O,X,O,X,X,O,X,X,X
TJZLOIS,X,O,O,X,O,X,O,O,X,O,X,X,X
TJZLOSI,X,O,O,X,O,X,O,X,X,O,X,X,X
TJZSILO,X,O,O,X,X,X,O,X,X,X,X,X,X
TJZSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,O,O,X,X,X,O,X,X,X,X,X,X
TJZSLOI,X,O,O,X,O,X,O,X,X,X,X,X,X
TJZSOIL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJZSOLI,X,O,O,X,O,X,O,X,X,X,X,X,X
TJZOILS,X,X,O,X,O,X,O,O,X,X,X,X,X
TJZOISL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJZOLIS,X,O,O,X,O,X,O,O,X,O,X,X,X
TJZOLSI,X,O,O,X,O,X,O,X,X,O,X,X,X
TJZOSIL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJZOSLI,X,O,O,X,O,X,O,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,O,O,X,X,O,X,X
TJOILZS,X,O,X,X,O,X,O,O,X,X,X,X,X
TJOISLZ,X,O,X,X,X,X,O,X,X,X,O,X,X
TJOISZL,X,O,X,X,X,X,X,O,X,X,O,X,X
TJOIZLS,X,X,O,X,O,X,O,O,X,X,X,X,X
TJOIZSL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJOLISZ,X,O,X,X,X,X,O,O,X,X,O,X,O
TJOLIZS,X,O,X,X,O,X,O,O,X,X,X,X,O
TJOLSIZ,O,O,O,O,X,X,O,O,X,X,O,X,O
TJOLSZI,O,O,O,O,X,X,O,O,X,X,O,X,O
TJOLZIS,X,O,O,X,X,X,O,O,X,X,X,X,O
TJOLZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TJOSILZ,O,O,X,O,X,X,O,X,X,X,O,X,X
TJOSIZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TJOSLIZ,O,O,X,O,X,X,O,X,X,X,O,X,X
TJOSLZI,O,O,X,O,X,X,O,X,X,X,O,X,X
TJOSZIL,O,O,O,O,X,X,O,X,X,X,O,X,X
TJOSZLI,O,O,O,O,X,X,O,X,X,X,O,X,X
TJOZILS,X,X,O,X,O,X,O,O,X,X,X,X,X
TJOZISL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJOZLIS,X,O,O,X,O,X,O,O,X,X,X,X,X
TJOZLSI,X,O,O,X,O,X,O,X,X,X,X,X,X
TJOZSIL,X,O,O,X,O,X,O,O,X,X,X,X,X
TJOZSLI,X,O,O,X,O,X,O,X,X,X,X,X,X
TSILJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TSILJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X
TSILZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TSILOJZ,X,X,X,O,X,O,X,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIJLZO,O,O,O,O,X,O,X,X,X,X,X,O,X
TSIJLOZ,X,O,X,O,X,O,X,X,X,X,O,O,X
TSIJZLO,O,O,O,X,X,X,X,X,X,X,X,O,X
TSIJZOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,X,X,O,X,O,X,X,X,X,O,O,X
TSIJOZL,O,O,O,O,X,X,X,X,X,X,O,O,X
TSIZLJO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,O,X,X,X,X,O,X,X
TSIOJZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TSIOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLIJZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLIJOZ,X,X,O,O,X,O,X,X,X,X,X,X,X
TSLIZJO,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLIOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLJIZO,O,O,O,O,X,O,X,X,X,X,X,O,X
TSLJIOZ,X,O,O,O,X,O,X,X,X,X,O,O,X
TSLJZIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TSLJZOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSLJOIZ,O,O,O,O,X,X,O,X,X,X,O,O,X
TSLJOZI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSLZIJO,O,O,O,X,X,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLZJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLZJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLZOIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,O,O,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,X,X,X,X,X,O,X,X
TSLOJZI,O,O,O,O,X,X,X,X,X,X,O,X,X
TSLOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,X,X,X,X,X,X,O,X
TSJILOZ,X,O,X,O,X,X,X,X,X,X,O,O,X
TSJIZLO,O,O,O,X,X,X,X,X,X,X,X,O,X
TSJIZOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,X,O,X,X,X,X,X,X,O,O,X
TSJIOZL,O,O,O,O,X,X,X,X,X,X,O,O,X
TSJLIZO,O,O,O,O,X,O,X,X,X,X,X,O,X
TSJLIOZ,X,O,O,O,X,O,X,X,X,X,O,O,X
TSJLZIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TSJLZOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJLOIZ,O,O,O,O,X,X,O,X,X,X,O,O,X
TSJLOZI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJZILO,O,O,O,X,X,X,O,X,X,X,X,O,X
TSJZIOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TSJZLIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TSJZLOI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJZOIL,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJZOLI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJOILZ,O,O,X,O,X,X,O,X,X,X,O,O,X
TSJOIZL,O,O,O,O,X,X,X,X,X,X,O,O,X
TSJOLIZ,O,O,X,O,X,X,O,X,X,X,O,O,X
TSJOLZI,O,O,X,O,X,X,O,X,X,X,O,X,X
TSJOZIL,O,O,O,O,X,X,O,X,X,X,O,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X,X,O,X,X
TSZILJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X,O,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X
TSZLJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZLJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZLOIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSZJILO,O,O,O,X,X,X,O,X,X,X,X,O,X
TSZJIOL,O,O,O,O,X,X,X,X,X,X,X,O,X
TSZJLIO,O,O,O,O,X,X,O,X,X,X,X,O,X
TSZJLOI,O,O,O,O,O,X,O,X,X,X,O,X,X
TSZJOIL,O,O,O,O,O,X,O,X,X,X,O,X,X
TSZJOLI,O,O,O,O,O,X,O,X,O,X,O,X,X
TSZOILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZOIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TSZOLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSZOJIL,O,O,O,O,O,X,X,X,X,X,O,X,X
TSZOJLI,O,O,O,O,O,X,X,X,O,X,O,X,X
TSOILJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TSOIJZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TSOIZLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOIZJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TSOLZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TSOLZJI,O,O,X,O,X,X,X,X,O,X,X,X,X
TSOJILZ,O,O,X,O,X,X,X,X,X,X,O,O,X
TSOJIZL,O,O,O,O,X,X,X,X,X,X,O,O,X
TSOJLIZ,O,O,X,O,X,X,X,X,X,X,O,O,X
TSOJLZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TSOJZIL,O,O,O,O,X,X,X,X,X,X,O,X,X
TSOJZLI,O,O,O,O,X,X,X,X,X,X,O,X,X
TSOZILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOZIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TSOZLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TSOZJIL,O,O,O,O,O,X,X,X,X,X,O,X,X
TSOZJLI,O,O,O,O,O,X,X,X,O,X,O,X,X
TZILJSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TZILJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TZILSJO,X,X,O,X,X,X,O,X,X,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TZILOJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZILOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIJLSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TZIJLOS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZIJSLO,O,X,O,X,X,X,O,X,X,X,X,X,X
TZIJSOL,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIJOLS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZIJOSL,X,X,O,X,O,X,O,X,X,X,X,X,X
TZISLJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZISLOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZIOLJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZIOLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIOJLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIOJSL,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIOSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIOSJL,X,O,O,X,O,X,X,X,X,X,X,X,X
TZLIJSO,O,X,O,X,X,X,O,X,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X,O,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZLISOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLIOJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZLIOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TZLJISO,O,X,O,X,X,X,O,X,X,O,X,X,X
TZLJIOS,X,X,O,X,O,X,O,X,X,O,X,X,X
TZLJSIO,O,X,O,X,X,X,O,X,X,O,X,X,X
TZLJSOI,O,X,O,X,O,X,O,X,X,O,X,X,X
TZLJOIS,X,X,O,X,O,X,O,X,X,O,X,X,X
TZLJOSI,X,X,O,X,O,X,O,X,X,O,X,X,X
TZLSIJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLSJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZLSJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TZLSOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TZLSOJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TZLOIJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZLOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TZLOJIS,X,X,O,X,O,X,O,X,X,O,X,X,X
TZLOJSI,X,X,O,X,O,X,O,X,X,O,X,X,X
TZLOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TZLOSJI,X,O,O,O,X,X,X,X,X,X,X,X,X
TZJILSO,X,X,O,X,X,X,O,X,X,X,X,X,X
TZJILOS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZJISLO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZJISOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJIOLS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZJIOSL,X,O,O,X,O,X,O,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,X,O,X,X,O,X,X,X
TZJLIOS,X,O,O,X,O,X,O,X,X,O,X,X,X
TZJLSIO,O,O,O,X,X,X,O,X,X,O,X,X,X
TZJLSOI,O,O,O,X,O,X,O,X,X,O,X,X,X
TZJLOIS,X,O,O,X,O,X,O,X,X,O,X,X,X
TZJLOSI,X,O,O,X,O,X,O,X,X,O,X,X,X
TZJSILO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZJSIOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZJSLOI,O,O,O,X,O,X,O,X,X,X,X,X,X
TZJSOIL,O,O,O,X,O,X,O,X,X,X,X,X,X
TZJSOLI,O,O,O,X,O,X,O,X,X,X,X,X,X
TZJOILS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZJOISL,O,O,O,X,O,X,O,X,X,X,X,X,X
TZJOLIS,O,O,O,X,O,X,O,X,X,O,X,X,X
TZJOLSI,O,O,O,X,O,X,O,X,X,O,X,X,X
TZJOSIL,O,O,O,X,O,X,O,X,X,X,X,X,X
TZJOSLI,O,O,O,X,O,X,O,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,O,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TZSLJIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSLJOI,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZSJILO,O,O,O,X,X,X,O,X,X,X,X,X,X
TZSJIOL,O,O,O,O,X,X,X,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,O,X,X,X,X,X,X
TZSJLOI,O,O,O,O,O,X,O,X,X,X,X,X,X
TZSJOIL,O,O,O,O,O,X,O,X,X,X,X,X,X
TZSJOLI,O,O,O,O,O,X,O,X,O,X,X,X,X
TZSOILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZSOJIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TZSOJLI,O,O,O,O,O,X,X,X,O,X,X,X,X
TZOILJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZOILSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TZOIJLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TZOIJSL,O,X,O,X,O,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOLIJS,O,X,O,X,O,X,O,X,X,X,X,X,X
TZOLISJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOLJIS,O,X,O,X,O,X,O,X,X,O,X,X,X
TZOLJSI,O,X,O,X,O,X,O,X,X,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZOJILS,X,X,O,X,O,X,O,X,X,X,X,X,X
TZOJISL,O,O,O,X,O,X,O,X,X,X,X,X,X
TZOJLIS,O,O,O,X,O,X,O,X,X,O,X,X,X
TZOJLSI,O,O,O,X,O,X,O,X,X,O,X,X,X
TZOJSIL,O,O,O,X,O,X,O,X,X,X,X,X,X
TZOJSLI,O,O,O,X,O,X,O,X,X,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TZOSLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TZOSJIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TZOSJLI,O,O,O,O,O,X,X,X,O,X,X,X,X
TOILJSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOILJZS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOILSJZ,X,O,X,O,X,X,X,O,X,X,X,X,X
TOILSZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOILZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOIJLZS,X,O,X,X,O,X,X,O,X,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TOIJSZL,X,O,X,X,X,X,X,O,X,X,X,X,X
TOIJZLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIJZSL,X,O,X,X,O,X,X,O,X,X,X,X,X
TOISLJZ,X,O,X,O,X,X,X,O,X,X,X,X,X
TOISLZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOISJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,O,X,X,X,O,X,X,X,X,X
TOISZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOISZJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIZLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOIZJLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIZJSL,X,X,X,X,O,X,X,O,X,X,X,X,X
TOIZSLJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TOIZSJL,X,O,X,X,O,X,X,X,X,X,X,X,X
TOLIJSZ,X,O,X,X,X,X,X,O,X,X,X,X,X
TOLIJZS,X,O,X,X,O,X,X,O,X,X,X,X,X
TOLISJZ,O,O,X,O,X,X,X,O,X,X,X,X,X
TOLISZJ,O,O,X,X,O,X,X,X,O,X,X,X,X
TOLIZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,O,X,X,X,O,X,X,X,X
TOLJISZ,X,O,X,X,X,X,O,O,X,X,X,X,O
TOLJIZS,X,O,X,X,O,X,O,O,X,X,X,X,O
TOLJSIZ,O,O,O,O,X,X,O,O,X,X,X,X,O
TOLJSZI,O,O,O,O,X,X,O,O,X,X,X,X,O
TOLJZIS,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLJZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOLSIJZ,O,O,O,O,X,X,X,O,X,X,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,O,X,X,X,X,X
TOLSJZI,O,O,O,O,X,X,X,O,X,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X,O,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOLZIJS,O,X,O,X,O,X,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOLZJIS,O,X,O,X,O,X,O,O,X,X,X,X,X
TOLZJSI,O,X,O,X,O,X,O,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOLZSJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOJILSZ,X,O,X,X,X,X,O,O,X,X,O,X,X
TOJILZS,X,O,X,X,O,X,O,O,X,X,X,X,X
TOJISLZ,X,O,X,X,X,X,O,X,X,X,O,X,X
TOJISZL,X,O,X,X,X,X,X,O,X,X,O,X,X
TOJIZLS,X,X,O,X,O,X,O,O,X,X,X,X,X
TOJIZSL,X,O,O,X,O,X,O,O,X,X,X,X,X
TOJLISZ,X,O,X,X,X,X,O,O,X,X,O,X,O
TOJLIZS,X,O,X,X,O,X,O,O,X,X,X,X,O
TOJLSIZ,O,O,O,O,X,X,O,O,X,X,O,X,O
TOJLSZI,O,O,O,O,X,X,O,O,X,X,O,X,O
TOJLZIS,X,O,O,X,X,X,O,O,X,X,X,X,O
TOJLZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TOJSILZ,O,O,X,O,X,X,O,X,X,X,O,X,X
TOJSIZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TOJSLIZ,O,O,X,O,X,X,O,X,X,X,O,X,X
TOJSLZI,O,O,X,O,X,X,O,X,X,X,O,X,X
TOJSZIL,O,O,O,O,X,X,O,X,X,X,O,X,X
TOJSZLI,O,O,O,O,X,X,O,X,X,X,O,X,X
TOJZILS,X,X,O,X,O,X,O,O,X,X,X,X,X
TOJZISL,X,O,O,X,O,X,O,O,X,X,X,X,X
TOJZLIS,X,O,O,X,O,X,O,O,X,X,X,X,X
TOJZLSI,X,O,O,X,O,X,O,X,X,X,X,X,X
TOJZSIL,X,O,O,X,O,X,O,O,X,X,X,X,X
TOJZSLI,X,O,O,X,O,X,O,X,X,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSIJZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TOSIZLJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSLIJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,O,X,X,X,O,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TOSLZJI,O,O,X,O,X,X,X,X,O,X,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSJIZL,O,O,O,O,X,X,X,X,X,X,O,X,X
TOSJLIZ,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,X,O,X,X
TOSJZIL,O,O,O,O,X,X,X,X,X,X,O,X,X
TOSJZLI,O,O,O,O,X,X,X,X,X,X,O,X,X
TOSZILJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSZLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X,O,X,X,X,X
TOSZJIL,O,O,O,O,O,X,X,X,X,X,O,X,X
TOSZJLI,O,O,O,O,O,X,X,X,O,X,O,X,X
TOZILJS,X,X,O,X,O,X,O,X,X,X,X,X,X
TOZILSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOZIJLS,X,X,O,X,O,X,X,X,X,X,X,X,X
