sequence,v115@9gA8IeA8IeA8AeC8EeE8DeA8JeRAJvhF3hBcnBTjBC?lBWxBFtB,v115@9gA8IeA8IeA8AeC8EeE8DeA8JeuEJvhF3gBTjBxmBU?sBFtBCsB,v115@9gA8IeA8IeA8AeC8EeE8DeA8JeuEJvhF3gBFiB6oB0?mBznBRxB,v115@9gA8IeA8IeA8AeC8EeE8DeA8JeuEJvhF1lB0hBxiBC?oBzrBXtB,v115@9gA8IeA8IeA8AeC8EeE8DeA8JeRAJvhF3hBFjBClBT?nBctBWxB
ITLOZSJ,O,X,O,X,X
ITJLSZO,O,X,O,X,X
ITJLSOZ,O,O,O,X,X
ITJLZSO,O,X,O,X,X
ITJLZOS,O,X,O,X,X
ITJLOSZ,O,O,O,X,X
ITJLOZS,O,X,O,X,X
ITJSLZO,X,X,O,O,X
ITJSLOZ,X,O,O,O,X
ITJSZLO,X,O,O,O,X
ITJSZOL,X,O,O,O,X
ITJSOLZ,X,O,O,O,X
ITJSOZL,X,O,O,O,X
ITJZLSO,O,O,O,O,X
ITJZLOS,O,O,O,O,X
ITJZSLO,O,O,O,O,X
ITJZSOL,O,O,O,O,X
ITJZOLS,O,O,O,O,X
ITJZOSL,O,O,O,O,X
ITJOLSZ,O,O,O,X,X
ITJOLZS,O,X,O,X,X
ITJOSLZ,X,O,O,O,X
ITJOSZL,X,O,O,O,X
ITJOZLS,O,O,O,O,X
ITJOZSL,O,O,O,O,X
ITSLJZO,X,X,O,O,X
ITSLJOZ,X,O,O,O,X
ITSLZJO,X,X,O,O,X
ITSLZOJ,X,X,O,O,X
ITSLOJZ,X,O,O,O,X
ITSLOZJ,X,X,O,O,X
ITSJLZO,X,X,O,O,X
ITSJLOZ,X,O,O,O,X
ITSJZLO,X,O,O,O,X
ITSJZOL,X,O,O,O,X
ITSJOLZ,X,O,O,O,X
ITSJOZL,X,O,O,O,X
ITSZLJO,X,O,O,O,X
ITSZLOJ,X,O,O,O,X
ITSZJLO,X,O,O,O,X
ITSZJOL,X,O,O,O,X
ITSZOLJ,X,O,O,X,X
ITSZOJL,X,O,O,O,X
ITSOLJZ,X,O,O,O,X
ITSOLZJ,X,X,O,O,X
ITSOJLZ,X,O,O,O,X
ITSOJZL,X,O,O,O,X
ITSOZLJ,X,O,O,O,X
ITSOZJL,X,O,O,O,X
ITZLJSO,O,O,O,O,X
ITZLJOS,O,O,O,O,X
ITZLSJO,O,O,O,X,X
ITZLSOJ,O,O,O,X,X
ITZLOJS,O,O,O,X,X
ITZLOSJ,O,O,O,X,X
ITZJLSO,X,O,O,O,X
ITZJLOS,X,O,O,O,X
ITZJSLO,X,O,O,O,X
ITZJSOL,X,O,O,O,X
ITZJOLS,X,O,O,O,X
ITZJOSL,X,O,O,O,X
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,O,O,X
ITZSJLO,X,O,O,O,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,O,X,X
ITZSOJL,O,O,O,O,X
ITZOLJS,O,O,O,O,X
ITZOLSJ,O,O,O,X,X
ITZOJLS,X,O,O,O,X
ITZOJSL,X,O,O,O,X
ITZOSLJ,O,O,O,O,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,O,O,O,X,X
ITOLJZS,O,X,O,X,X
ITOLSJZ,O,O,O,X,X
ITOLSZJ,O,X,O,X,X
ITOLZJS,O,X,O,X,X
ITOLZSJ,O,X,O,X,X
ITOJLSZ,O,O,O,X,X
ITOJLZS,O,X,O,X,X
ITOJSLZ,X,O,O,O,X
ITOJSZL,X,O,O,O,X
ITOJZLS,O,O,O,O,X
ITOJZSL,O,O,O,O,X
ITOSLJZ,X,O,O,O,X
ITOSLZJ,X,X,O,O,X
ITOSJLZ,X,O,O,O,X
ITOSJZL,X,O,O,O,X
ITOSZLJ,X,O,O,O,X
ITOSZJL,X,O,O,O,X
ITOZLJS,O,O,O,O,X
ITOZLSJ,O,O,O,X,X
ITOZJLS,X,O,O,O,X
ITOZJSL,X,O,O,O,X
ITOZSLJ,O,O,O,O,X
ITOZSJL,O,O,O,O,X
ILTJSZO,O,X,O,X,O
ILTJSOZ,O,O,O,X,O
ILTJZSO,O,X,O,X,O
ILTJZOS,O,X,O,X,O
ILTJOSZ,O,O,O,X,O
ILTJOZS,O,X,O,X,O
ILTSJZO,O,X,O,X,O
ILTSJOZ,O,O,O,X,O
ILTSZJO,O,X,O,X,O
ILTSZOJ,O,X,O,X,O
ILTSOJZ,O,O,O,X,X
ILTSOZJ,O,X,O,X,X
ILTZJSO,O,X,O,X,O
ILTZJOS,O,X,O,X,O
ILTZSJO,O,X,O,X,O
ILTZSOJ,O,X,O,X,O
ILTZOJS,O,X,O,X,O
ILTZOSJ,O,X,O,X,O
ILTOJSZ,O,O,O,X,X
ILTOJZS,O,X,O,X,X
ILTOSJZ,O,O,O,X,X
ILTOSZJ,O,X,O,X,X
ILTOZJS,O,X,O,X,X
ILTOZSJ,O,X,O,X,X
ILJTSZO,O,X,O,X,O
ILJTSOZ,O,O,O,X,O
ILJTZSO,O,X,O,X,O
ILJTZOS,O,X,O,X,O
ILJTOSZ,O,O,O,X,O
ILJTOZS,O,X,O,X,O
ILJSTZO,O,X,O,X,O
ILJSTOZ,O,O,O,X,O
ILJSZTO,O,O,O,X,O
ILJSZOT,O,X,O,X,O
ILJSOTZ,X,X,O,X,O
ILJSOZT,O,X,O,X,O
ILJZTSO,O,O,O,X,O
ILJZTOS,O,O,O,X,O
ILJZSTO,O,O,O,X,O
ILJZSOT,O,X,O,X,O
ILJZOTS,O,X,O,X,O
ILJZOST,O,X,O,X,O
ILJOTSZ,O,X,O,X,O
ILJOTZS,O,X,O,X,O
ILJOSTZ,X,X,O,X,O
ILJOSZT,O,X,O,X,O
ILJOZTS,O,X,O,X,O
ILJOZST,O,X,O,X,O
ILSTJZO,O,X,O,X,O
ILSTJOZ,O,O,O,X,O
ILSTZJO,O,X,O,X,O
ILSTZOJ,O,X,O,X,O
ILSTOJZ,O,O,O,X,X
ILSTOZJ,O,X,O,X,X
ILSJTZO,O,X,O,X,O
ILSJTOZ,O,O,O,X,O
ILSJZTO,O,O,O,X,O
ILSJZOT,O,X,O,X,O
ILSJOTZ,X,X,O,X,O
ILSJOZT,O,X,O,X,O
ILSZTJO,X,O,O,X,O
ILSZTOJ,X,O,O,X,O
ILSZJTO,O,O,O,X,O
ILSZJOT,O,X,O,X,O
ILSZOTJ,X,X,O,X,O
ILSZOJT,X,X,O,X,O
ILSOTJZ,X,X,O,X,X
ILSOTZJ,X,X,O,X,X
ILSOJTZ,X,X,O,X,O
ILSOJZT,O,X,O,X,O
ILSOZTJ,X,X,O,X,O
ILSOZJT,X,X,O,X,O
ILZTJSO,O,O,O,X,O
ILZTJOS,O,O,O,X,O
ILZTSJO,O,O,O,X,O
ILZTSOJ,O,O,O,X,O
ILZTOJS,O,O,O,X,O
ILZTOSJ,O,O,O,X,O
ILZJTSO,O,O,O,X,O
ILZJTOS,O,O,O,X,O
ILZJSTO,O,O,O,X,O
ILZJSOT,O,X,O,X,O
ILZJOTS,O,X,O,X,O
ILZJOST,O,X,O,X,O
ILZSTJO,X,O,O,X,O
ILZSTOJ,X,O,O,X,O
ILZSJTO,O,O,O,X,O
ILZSJOT,O,X,O,X,O
ILZSOTJ,X,X,O,X,O
ILZSOJT,X,X,O,X,O
ILZOTJS,X,X,O,X,O
ILZOTSJ,X,X,O,X,O
ILZOJTS,X,X,O,X,O
ILZOJST,X,X,O,X,O
ILZOSTJ,X,X,O,X,O
ILZOSJT,X,X,O,X,O
ILOTJSZ,O,X,O,X,X
ILOTJZS,O,X,O,X,X
ILOTSJZ,O,X,O,X,X
ILOTSZJ,O,X,O,X,X
ILOTZJS,O,X,O,X,X
ILOTZSJ,O,X,O,X,X
ILOJTSZ,O,X,O,X,O
ILOJTZS,O,X,O,X,O
ILOJSTZ,X,X,O,X,O
ILOJSZT,O,X,O,X,O
ILOJZTS,O,X,O,X,O
ILOJZST,O,X,O,X,O
ILOSTJZ,X,X,O,X,X
ILOSTZJ,X,X,O,X,X
ILOSJTZ,X,X,O,X,O
ILOSJZT,O,X,O,X,O
ILOSZTJ,X,X,O,X,O
ILOSZJT,X,X,O,X,O
ILOZTJS,X,X,O,X,O
ILOZTSJ,X,X,O,X,O
ILOZJTS,X,X,O,X,O
ILOZJST,X,X,O,X,O
ILOZSTJ,X,X,O,X,O
ILOZSJT,X,X,O,X,O
IJTLSZO,O,X,O,X,X
IJTLSOZ,O,O,O,X,X
IJTLZSO,O,X,O,X,X
IJTLZOS,O,X,O,X,X
IJTLOSZ,O,O,O,X,X
IJTLOZS,O,X,O,X,X
IJTSLZO,X,X,O,O,X
IJTSLOZ,X,O,O,O,X
IJTSZLO,X,O,O,O,X
IJTSZOL,X,O,O,O,X
IJTSOLZ,X,O,O,O,X
IJTSOZL,X,O,O,O,X
IJTZLSO,O,O,O,O,X
IJTZLOS,O,O,O,O,X
IJTZSLO,O,O,O,O,X
IJTZSOL,O,O,O,O,X
IJTZOLS,O,O,O,O,X
IJTZOSL,O,O,O,O,X
IJTOLSZ,O,O,O,X,X
IJTOLZS,O,X,O,X,X
IJTOSLZ,X,O,O,O,X
IJTOSZL,X,O,O,O,X
IJTOZLS,O,O,O,O,X
IJTOZSL,O,O,O,O,X
IJLTSZO,O,X,O,X,O
IJLTSOZ,O,O,O,X,O
IJLTZSO,O,X,O,X,O
IJLTZOS,O,X,O,X,O
IJLTOSZ,O,O,O,X,O
IJLTOZS,O,X,O,X,O
IJLSTZO,O,X,O,X,O
IJLSTOZ,O,O,O,X,O
IJLSZTO,O,O,O,X,O
IJLSZOT,O,X,O,X,O
IJLSOTZ,X,X,O,X,O
IJLSOZT,O,X,O,X,O
IJLZTSO,O,O,O,X,O
IJLZTOS,O,O,O,X,O
IJLZSTO,O,O,O,X,O
IJLZSOT,O,X,O,X,O
IJLZOTS,O,X,O,X,O
IJLZOST,O,X,O,X,O
IJLOTSZ,O,X,O,X,O
IJLOTZS,O,X,O,X,O
IJLOSTZ,X,X,O,X,O
IJLOSZT,O,X,O,X,O
IJLOZTS,O,X,O,X,O
IJLOZST,O,X,O,X,O
IJSTLZO,X,X,O,O,X
IJSTLOZ,X,O,O,O,X
IJSTZLO,O,O,O,O,O
IJSTZOL,O,O,O,O,O
IJSTOLZ,X,O,O,O,X
IJSTOZL,X,O,O,O,O
IJSLTZO,O,X,O,O,O
IJSLTOZ,X,O,O,O,O
IJSLZTO,O,O,O,O,O
IJSLZOT,O,X,O,X,O
IJSLOTZ,X,X,O,O,O
IJSLOZT,O,X,O,O,O
IJSZTLO,O,O,O,X,O
IJSZTOL,O,O,O,X,O
IJSZLTO,O,O,O,X,O
IJSZLOT,O,X,O,X,O
IJSZOTL,O,O,O,X,O
IJSZOLT,X,X,O,X,O
IJSOTLZ,X,O,O,O,X
IJSOTZL,X,O,O,O,O
IJSOLTZ,X,X,O,O,O
IJSOLZT,X,X,O,O,O
IJSOZTL,O,O,O,X,O
IJSOZLT,X,X,O,X,O
IJZTLSO,O,O,O,X,O
IJZTLOS,O,O,O,X,O
IJZTSLO,O,O,O,X,O
IJZTSOL,O,O,O,X,O
IJZTOLS,O,O,O,X,X
IJZTOSL,O,O,O,X,X
IJZLTSO,O,O,O,X,O
IJZLTOS,O,O,O,X,O
IJZLSTO,O,O,O,X,O
IJZLSOT,O,X,O,X,O
IJZLOTS,O,X,O,X,O
IJZLOST,O,X,O,X,O
IJZSTLO,O,O,O,X,O
IJZSTOL,O,O,O,X,O
IJZSLTO,O,O,O,X,O
IJZSLOT,O,X,O,X,O
IJZSOTL,O,O,O,X,O
IJZSOLT,X,X,O,X,X
IJZOTLS,X,O,O,X,O
IJZOTSL,X,O,O,X,O
IJZOLTS,X,X,O,X,O
IJZOLST,X,X,O,X,O
IJZOSTL,X,O,O,X,O
IJZOSLT,X,X,O,X,O
IJOTLSZ,X,O,O,X,X
IJOTLZS,X,X,O,X,X
IJOTSLZ,X,O,O,O,X
IJOTSZL,X,O,O,O,X
IJOTZLS,X,X,O,O,X
IJOTZSL,X,O,O,O,X
IJOLTSZ,X,X,O,X,O
IJOLTZS,X,X,O,X,O
IJOLSTZ,X,X,O,X,O
IJOLSZT,X,X,O,X,O
IJOLZTS,X,X,O,X,O
IJOLZST,X,X,O,X,O
IJOSTLZ,X,O,O,O,X
IJOSTZL,X,O,O,O,O
IJOSLTZ,X,X,O,O,O
IJOSLZT,X,X,O,O,O
IJOSZTL,X,O,O,X,O
IJOSZLT,X,X,O,X,O
IJOZTLS,X,O,O,X,O
IJOZTSL,X,O,O,X,O
IJOZLTS,X,X,O,X,O
IJOZLST,X,X,O,X,O
IJOZSTL,X,O,O,X,O
IJOZSLT,X,X,O,X,O
ISTLJZO,X,X,O,O,X
ISTLJOZ,X,O,O,O,X
ISTLZJO,X,X,O,O,X
ISTLZOJ,X,X,O,O,X
ISTLOJZ,X,O,O,O,X
ISTLOZJ,X,X,O,O,X
ISTJLZO,X,X,O,O,X
ISTJLOZ,X,O,O,O,X
ISTJZLO,O,O,O,O,O
ISTJZOL,O,O,O,O,O
ISTJOLZ,X,O,O,O,X
ISTJOZL,X,O,O,O,O
ISTZLJO,X,O,O,O,O
ISTZLOJ,X,O,O,O,O
ISTZJLO,X,O,O,O,O
ISTZJOL,X,O,O,O,O
ISTZOLJ,X,O,O,X,O
ISTZOJL,X,O,O,O,O
ISTOLJZ,X,O,O,O,X
ISTOLZJ,X,X,O,O,X
ISTOJLZ,X,O,O,O,X
ISTOJZL,X,O,O,O,X
ISTOZLJ,X,O,O,O,X
ISTOZJL,X,O,O,O,X
ISLTJZO,O,X,O,O,O
ISLTJOZ,X,O,O,O,O
ISLTZJO,X,X,O,O,O
ISLTZOJ,X,X,O,O,O
ISLTOJZ,X,O,O,O,X
ISLTOZJ,X,X,O,O,X
ISLJTZO,O,X,O,O,O
ISLJTOZ,X,O,O,O,O
ISLJZTO,O,O,O,O,O
ISLJZOT,O,X,O,X,O
ISLJOTZ,X,X,O,O,O
ISLJOZT,O,X,O,O,O
ISLZTJO,X,O,O,O,O
ISLZTOJ,X,O,O,O,O
ISLZJTO,O,O,O,O,O
ISLZJOT,O,X,O,X,O
ISLZOTJ,X,X,O,X,O
ISLZOJT,X,X,O,X,O
ISLOTJZ,X,X,O,O,X
ISLOTZJ,X,X,O,O,X
ISLOJTZ,X,X,O,O,O
ISLOJZT,O,X,O,O,O
ISLOZTJ,X,X,O,O,O
ISLOZJT,X,X,O,O,O
ISJTLZO,X,X,O,O,X
ISJTLOZ,X,O,O,O,X
ISJTZLO,O,O,O,O,O
ISJTZOL,O,O,O,O,O
ISJTOLZ,X,O,O,O,X
ISJTOZL,X,O,O,O,O
ISJLTZO,O,X,O,O,O
ISJLTOZ,X,O,O,O,O
ISJLZTO,O,O,O,O,O
ISJLZOT,O,X,O,X,O
ISJLOTZ,X,X,O,O,O
ISJLOZT,O,X,O,O,O
ISJZTLO,O,O,O,X,O
ISJZTOL,O,O,O,X,O
ISJZLTO,O,O,O,X,O
ISJZLOT,O,X,O,X,O
ISJZOTL,O,O,O,X,O
ISJZOLT,X,X,O,X,O
ISJOTLZ,X,O,O,O,X
ISJOTZL,X,O,O,O,O
ISJOLTZ,X,X,O,O,O
ISJOLZT,X,X,O,O,O
ISJOZTL,O,O,O,X,O
ISJOZLT,X,X,O,X,O
ISZTLJO,X,O,O,X,O
ISZTLOJ,X,O,O,X,O
ISZTJLO,X,O,O,X,O
ISZTJOL,X,O,O,X,O
ISZTOLJ,X,O,O,X,O
ISZTOJL,X,O,O,X,O
ISZLTJO,X,O,O,X,O
ISZLTOJ,X,O,O,X,O
ISZLJTO,X,O,O,X,O
ISZLJOT,X,X,O,X,O
ISZLOTJ,X,X,O,X,O
ISZLOJT,X,X,O,X,O
ISZJTLO,O,O,O,X,O
ISZJTOL,O,O,O,X,O
ISZJLTO,O,O,O,X,O
ISZJLOT,X,X,O,X,O
ISZJOTL,O,O,O,X,O
ISZJOLT,X,X,O,X,O
ISZOTLJ,X,O,O,X,O
ISZOTJL,X,O,O,X,O
ISZOLTJ,X,X,O,X,X
ISZOLJT,X,X,O,X,X
ISZOJTL,X,O,O,X,O
ISZOJLT,X,X,O,X,X
ISOTLJZ,X,O,O,O,X
ISOTLZJ,X,X,O,O,X
ISOTJLZ,X,O,O,O,X
ISOTJZL,X,O,O,O,X
ISOTZLJ,X,X,O,O,X
ISOTZJL,X,O,O,O,X
ISOLTJZ,X,X,O,O,X
ISOLTZJ,X,X,O,O,X
ISOLJTZ,X,X,O,O,X
ISOLJZT,X,X,O,O,X
ISOLZTJ,X,X,O,O,X
ISOLZJT,X,X,O,O,X
ISOJTLZ,X,O,O,O,X
ISOJTZL,X,O,O,O,O
ISOJLTZ,X,X,O,O,X
ISOJLZT,X,X,O,O,O
ISOJZTL,O,O,O,X,O
ISOJZLT,X,X,O,X,O
ISOZTLJ,X,O,O,O,O
ISOZTJL,X,O,O,O,O
ISOZLTJ,X,X,O,O,X
ISOZLJT,X,X,O,O,X
ISOZJTL,X,O,O,O,O
ISOZJLT,X,X,O,X,X
IZTLJSO,X,O,O,X,O
IZTLJOS,X,O,O,X,O
IZTLSJO,X,O,O,X,O
IZTLSOJ,X,O,O,X,O
IZTLOJS,X,O,O,X,O
IZTLOSJ,X,O,O,X,O
IZTJLSO,X,O,O,X,O
IZTJLOS,X,O,O,X,O
IZTJSLO,X,O,O,X,O
IZTJSOL,X,O,O,X,O
IZTJOLS,X,O,O,X,X
IZTJOSL,X,O,O,X,X
IZTSLJO,X,O,O,X,O
IZTSLOJ,X,O,O,X,O
IZTSJLO,X,O,O,X,O
IZTSJOL,X,O,O,X,O
IZTSOLJ,X,O,O,X,O
IZTSOJL,X,O,O,X,O
IZTOLJS,X,O,O,X,X
IZTOLSJ,X,O,O,X,X
IZTOJLS,X,O,O,X,X
IZTOJSL,X,O,O,X,X
IZTOSLJ,X,O,O,X,X
IZTOSJL,X,O,O,X,X
IZLTJSO,X,O,O,X,O
IZLTJOS,X,O,O,X,O
IZLTSJO,X,O,O,X,O
IZLTSOJ,X,O,O,X,O
IZLTOJS,X,O,O,X,O
IZLTOSJ,X,O,O,X,O
IZLJTSO,X,O,O,X,O
IZLJTOS,X,O,O,X,O
IZLJSTO,X,O,O,X,O
IZLJSOT,X,X,O,X,O
IZLJOTS,X,X,O,X,O
IZLJOST,X,X,O,X,O
IZLSTJO,X,O,O,X,O
IZLSTOJ,X,O,O,X,O
IZLSJTO,X,O,O,X,O
IZLSJOT,X,X,O,X,O
IZLSOTJ,X,X,O,X,O
IZLSOJT,X,X,O,X,O
IZLOTJS,X,X,O,X,O
IZLOTSJ,X,X,O,X,O
IZLOJTS,X,X,O,X,O
IZLOJST,X,X,O,X,O
IZLOSTJ,X,X,O,X,O
IZLOSJT,X,X,O,X,O
IZJTLSO,X,O,O,X,O
IZJTLOS,X,O,O,X,O
IZJTSLO,X,O,O,X,O
IZJTSOL,X,O,O,X,O
IZJTOLS,X,O,O,X,X
IZJTOSL,X,O,O,X,X
IZJLTSO,X,O,O,X,O
IZJLTOS,X,O,O,X,O
IZJLSTO,X,O,O,X,O
IZJLSOT,X,X,O,X,O
IZJLOTS,X,X,O,X,O
IZJLOST,X,X,O,X,O
IZJSTLO,X,O,O,X,O
IZJSTOL,X,O,O,X,O
IZJSLTO,X,O,O,X,O
IZJSLOT,X,X,O,X,O
IZJSOTL,X,O,O,X,O
IZJSOLT,X,X,O,X,X
IZJOTLS,X,O,O,X,O
IZJOTSL,X,O,O,X,O
IZJOLTS,X,X,O,X,O
IZJOLST,X,X,O,X,O
IZJOSTL,X,O,O,X,O
IZJOSLT,X,X,O,X,O
IZSTLJO,X,O,O,X,O
IZSTLOJ,X,O,O,X,O
IZSTJLO,X,O,O,X,O
IZSTJOL,X,O,O,X,O
IZSTOLJ,X,O,O,X,O
IZSTOJL,X,O,O,X,O
IZSLTJO,X,O,O,X,O
IZSLTOJ,X,O,O,X,O
IZSLJTO,X,O,O,X,O
IZSLJOT,X,X,O,X,O
IZSLOTJ,X,X,O,X,O
IZSLOJT,X,X,O,X,O
IZSJTLO,X,O,O,X,O
IZSJTOL,X,O,O,X,O
IZSJLTO,X,O,O,X,O
IZSJLOT,X,X,O,X,O
IZSJOTL,X,O,O,X,O
IZSJOLT,X,X,O,X,X
IZSOTLJ,X,O,O,X,O
IZSOTJL,X,O,O,X,O
IZSOLTJ,X,X,O,X,X
IZSOLJT,X,X,O,X,X
IZSOJTL,X,O,O,X,O
IZSOJLT,X,X,O,X,X
IZOTLJS,X,O,O,X,X
IZOTLSJ,X,O,O,X,X
IZOTJLS,X,O,O,X,X
IZOTJSL,X,O,O,X,X
IZOTSLJ,X,O,O,X,X
IZOTSJL,X,O,O,X,X
IZOLTJS,X,X,O,X,X
IZOLTSJ,X,X,O,X,X
IZOLJTS,X,X,O,X,X
IZOLJST,X,X,O,X,X
IZOLSTJ,X,X,O,X,X
IZOLSJT,X,X,O,X,X
IZOJTLS,X,O,O,X,X
IZOJTSL,X,O,O,X,X
IZOJLTS,X,X,O,X,X
IZOJLST,X,X,O,X,X
IZOJSTL,X,O,O,X,X
IZOJSLT,X,X,O,X,X
IZOSTLJ,X,O,O,X,X
IZOSTJL,X,O,O,X,X
IZOSLTJ,X,X,O,X,X
IZOSLJT,X,X,O,X,X
IZOSJTL,X,O,O,X,X
IZOSJLT,X,X,O,X,X
IOTLJSZ,X,O,O,X,X
IOTLJZS,X,X,O,X,X
IOTLSJZ,X,O,O,X,X
IOTLSZJ,X,X,O,X,X
IOTLZJS,X,X,O,X,X
IOTLZSJ,X,X,O,X,X
IOTJLSZ,X,O,O,X,X
IOTJLZS,X,X,O,X,X
IOTJSLZ,X,O,O,O,X
IOTJSZL,X,O,O,O,X
IOTJZLS,X,X,O,O,X
IOTJZSL,X,O,O,O,X
IOTSLJZ,X,O,O,O,X
IOTSLZJ,X,X,O,O,X
IOTSJLZ,X,O,O,O,X
IOTSJZL,X,O,O,O,X
IOTSZLJ,X,X,O,O,X
IOTSZJL,X,O,O,O,X
IOTZLJS,X,X,O,O,X
IOTZLSJ,X,X,O,X,X
IOTZJLS,X,X,O,O,X
IOTZJSL,X,O,O,O,X
IOTZSLJ,X,X,O,O,X
IOTZSJL,X,O,O,O,X
IOLTJSZ,X,X,O,X,X
IOLTJZS,X,X,O,X,X
IOLTSJZ,X,X,O,X,X
IOLTSZJ,X,X,O,X,X
IOLTZJS,X,X,O,X,X
IOLTZSJ,X,X,O,X,X
IOLJTSZ,X,X,O,X,X
IOLJTZS,X,X,O,X,X
IOLJSTZ,X,X,O,X,X
IOLJSZT,X,X,O,X,X
IOLJZTS,X,X,O,X,X
IOLJZST,X,X,O,X,X
IOLSTJZ,X,X,O,X,X
IOLSTZJ,X,X,O,X,X
IOLSJTZ,X,X,O,X,X
IOLSJZT,X,X,O,X,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,X,X,O,X,X
IOLZTJS,X,X,O,X,X
IOLZTSJ,X,X,O,X,X
IOLZJTS,X,X,O,X,X
IOLZJST,X,X,O,X,X
IOLZSTJ,X,X,O,X,X
IOLZSJT,X,X,O,X,X
IOJTLSZ,X,O,O,X,X
IOJTLZS,X,X,O,X,X
IOJTSLZ,X,O,O,O,X
IOJTSZL,X,O,O,O,X
IOJTZLS,X,X,O,O,X
IOJTZSL,X,O,O,O,X
IOJLTSZ,X,X,O,X,X
IOJLTZS,X,X,O,X,X
IOJLSTZ,X,X,O,X,X
IOJLSZT,X,X,O,X,X
IOJLZTS,X,X,O,X,X
IOJLZST,X,X,O,X,X
IOJSTLZ,X,O,O,O,X
IOJSTZL,X,O,O,O,X
IOJSLTZ,X,X,O,O,X
IOJSLZT,X,X,O,O,X
IOJSZTL,X,O,O,X,X
IOJSZLT,X,X,O,X,X
IOJZTLS,X,O,O,X,X
IOJZTSL,X,O,O,X,X
IOJZLTS,X,X,O,X,X
IOJZLST,X,X,O,X,X
IOJZSTL,X,O,O,X,X
IOJZSLT,X,X,O,X,X
IOSTLJZ,X,O,O,O,X
IOSTLZJ,X,X,O,O,X
IOSTJLZ,X,O,O,O,X
IOSTJZL,X,O,O,O,X
IOSTZLJ,X,X,O,O,X
IOSTZJL,X,O,O,O,X
IOSLTJZ,X,X,O,O,X
IOSLTZJ,X,X,O,O,X
IOSLJTZ,X,X,O,O,X
IOSLJZT,X,X,O,O,X
IOSLZTJ,X,X,O,O,X
IOSLZJT,X,X,O,O,X
IOSJTLZ,X,O,O,O,X
IOSJTZL,X,O,O,O,X
IOSJLTZ,X,X,O,O,X
IOSJLZT,X,X,O,O,X
IOSJZTL,X,O,O,X,X
IOSJZLT,X,X,O,X,X
IOSZTLJ,X,O,O,O,X
IOSZTJL,X,O,O,O,X
IOSZLTJ,X,X,O,O,X
IOSZLJT,X,X,O,O,X
IOSZJTL,X,O,O,O,X
IOSZJLT,X,X,O,X,X
IOZTLJS,X,O,O,O,X
IOZTLSJ,X,O,O,X,X
IOZTJLS,X,O,O,O,X
IOZTJSL,X,O,O,O,X
IOZTSLJ,X,O,O,O,X
IOZTSJL,X,O,O,O,X
IOZLTJS,X,X,O,O,X
IOZLTSJ,X,X,O,X,X
IOZLJTS,X,X,O,X,X
IOZLJST,X,X,O,X,X
IOZLSTJ,X,X,O,X,X
IOZLSJT,X,X,O,X,X
IOZJTLS,X,O,O,O,X
IOZJTSL,X,O,O,O,X
IOZJLTS,X,X,O,X,X
IOZJLST,X,X,O,X,X
IOZJSTL,X,O,O,X,X
IOZJSLT,X,X,O,X,X
IOZSTLJ,X,O,O,O,X
IOZSTJL,X,O,O,O,X
IOZSLTJ,X,X,O,O,X
IOZSLJT,X,X,O,O,X
IOZSJTL,X,O,O,O,X
IOZSJLT,X,X,O,X,X
LTIJSZO,O,X,O,X,O
LTIJSOZ,O,O,O,X,O
LTIJZSO,O,X,O,X,O
LTIJZOS,O,X,O,X,O
LTIJOSZ,O,O,O,X,O
LTIJOZS,O,X,O,X,O
LTISJZO,O,X,O,X,O
LTISJOZ,O,O,O,X,O
LTISZJO,O,X,O,X,O
LTISZOJ,O,X,O,X,O
LTISOJZ,O,O,O,X,X
LTISOZJ,O,X,O,X,X
LTIZJSO,O,X,O,X,O
LTIZJOS,O,X,O,X,O
LTIZSJO,O,X,O,X,O
LTIZSOJ,O,X,O,X,O
LTIZOJS,O,X,O,X,O
LTIZOSJ,O,X,O,X,O
LTIOJSZ,O,O,O,X,X
LTIOJZS,O,X,O,X,X
LTIOSJZ,O,O,O,X,X
LTIOSZJ,O,X,O,X,X
LTIOZJS,O,X,O,X,X
LTIOZSJ,O,X,O,X,X
LTJISZO,O,X,O,X,O
LTJISOZ,O,O,O,X,O
LTJIZSO,O,X,O,X,O
LTJIZOS,O,X,O,X,O
LTJIOSZ,O,O,O,X,O
LTJIOZS,O,X,O,X,O
LTJSIZO,O,X,O,O,O
LTJSIOZ,O,O,O,O,O
LTJSZIO,O,O,O,O,O
LTJSZOI,O,O,O,O,O
LTJSOIZ,O,O,X,O,O
LTJSOZI,O,O,X,O,O
LTJZISO,O,O,O,O,O
LTJZIOS,O,O,X,O,O
LTJZSIO,O,O,O,O,O
LTJZSOI,O,O,O,O,O
LTJZOIS,O,O,X,O,O
LTJZOSI,O,O,O,O,O
LTJOISZ,O,O,X,X,O
LTJOIZS,O,X,X,X,O
LTJOSIZ,O,O,X,O,O
LTJOSZI,O,O,X,O,O
LTJOZIS,O,O,X,O,O
LTJOZSI,O,O,X,O,O
LTSIJZO,O,X,O,O,O
LTSIJOZ,O,O,O,O,O
LTSIZJO,O,X,O,O,O
LTSIZOJ,O,X,O,O,O
LTSIOJZ,O,O,O,O,X
