sequence,v115@NhA8HeB8BeA8BeH8Jei/IvhFRhBunBcoBFlBXmBTpB,v115@NhA8HeB8BeA8BeH8JeZEJvhFzfBfmBlhBunBcoBCqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFfmBlhBqnBTjBupBUqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFCgBlhBWoB8pBzqBXtB
TILJSZO,X,X,O,X
TILJSOZ,X,X,O,X
TILJZSO,O,X,O,X
TILJZOS,O,X,O,X
TILJOSZ,X,X,O,X
TILJOZS,X,X,O,O
TILSJZO,O,O,O,X
TILSJOZ,X,O,O,X
TILSZJO,O,O,O,X
TILSZOJ,O,O,O,X
TILSOJZ,X,O,O,X
TILSOZJ,O,O,O,X
TILZJSO,O,O,O,X
TILZJOS,O,O,O,X
TILZSJO,O,O,O,X
TILZSOJ,O,O,O,X
TILZOJS,O,O,O,X
TILZOSJ,X,O,O,X
TILOJSZ,X,X,O,X
TILOJZS,X,X,O,O
TILOSJZ,X,O,O,X
TILOSZJ,X,O,O,X
TILOZJS,O,O,O,O
TILOZSJ,X,O,O,O
TIJLSZO,X,X,O,X
TIJLSOZ,X,X,O,X
TIJLZSO,O,X,O,X
TIJLZOS,O,X,O,X
TIJLOSZ,X,X,O,X
TIJLOZS,X,X,O,O
TIJSLZO,X,O,O,X
TIJSLOZ,X,O,O,X
TIJSZLO,X,O,O,X
TIJSZOL,X,O,X,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,X,O
TIJZLSO,O,O,O,X
TIJZLOS,O,X,O,X
TIJZSLO,O,O,O,X
TIJZSOL,X,O,X,X
TIJZOLS,O,X,X,O
TIJZOSL,X,O,X,O
TIJOLSZ,X,X,O,X
TIJOLZS,X,X,O,O
TIJOSLZ,X,X,O,X
TIJOSZL,X,X,X,O
TIJOZLS,X,X,X,O
TIJOZSL,X,X,X,O
TISLJZO,O,O,O,X
TISLJOZ,X,O,O,X
TISLZJO,O,O,O,X
TISLZOJ,O,O,O,X
TISLOJZ,X,O,O,X
TISLOZJ,O,O,O,X
TISJLZO,O,O,O,X
TISJLOZ,X,O,O,X
TISJZLO,O,O,O,X
TISJZOL,O,O,X,X
TISJOLZ,X,X,O,X
TISJOZL,X,X,X,O
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,X
TISZJLO,O,O,O,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,O,O,X
TISOLZJ,O,O,O,X
TISOJLZ,O,X,O,X
TISOJZL,O,X,X,O
TISOZLJ,O,O,X,O
TISOZJL,O,O,X,O
TIZLJSO,O,O,O,X
TIZLJOS,O,O,O,X
TIZLSJO,O,O,O,X
